#{"t_start": 1735830508.8137672, "env_id": "CustomHopper-source-v0"}
r,l,t
5.620873,21,0.363552
94.293848,49,0.39139
7.442442,19,0.402357
8.910819,12,0.40921
3.055996,8,0.413101
2.491972,19,0.422609
15.432899,20,0.43219
8.835156,17,0.440016
-2.189445,12,0.446154
-8.874539,16,0.454404
1.344189,9,0.459804
17.027343,22,0.472159
2.607237,8,0.476425
-0.862925,13,0.483035
2.625631,23,0.493598
14.481347,15,0.50035
38.463478,28,0.513209
33.606012,32,0.527634
-0.06717,7,0.531022
-0.79857,15,0.537859
-6.613215,14,0.544311
23.106168,24,0.555601
-2.809293,12,0.561415
49.268219,25,0.574597
2.105517,16,0.583694
10.210083,16,0.592643
59.350483,35,0.608758
-1.119047,10,0.613593
7.141478,22,0.623684
0.72384,15,0.630785
3.194896,13,0.636993
-1.944487,14,0.643461
-0.534518,10,0.648368
10.560472,13,0.655398
1.751292,11,0.662182
55.267407,32,0.679773
-0.146066,7,0.683309
1.150829,15,0.690679
13.106458,15,0.697616
34.458291,23,0.708187
14.074133,24,0.719424
3.880913,9,0.723681
15.562079,24,0.736557
2.491251,9,0.741699
13.69735,20,0.752089
-3.187979,9,0.756389
0.37732,11,0.761708
0.796232,9,0.766274
6.866482,11,0.771293
-0.533543,6,0.774036
-6.24951,13,0.781824
7.605929,10,0.787064
66.822229,35,0.807931
4.572898,8,0.812912
99.63695,46,0.838567
4.26239,9,0.842901
72.008947,43,0.861946
1.112158,11,0.867148
6.013424,12,0.872787
0.392628,13,0.878676
18.693348,31,0.89482
-5.364882,11,0.901431
20.30901,22,0.913596
-5.192859,18,0.921738
56.121337,27,0.933831
7.860575,19,0.942916
3.310539,15,0.951067
16.659692,16,0.960611
12.131511,21,0.972972
3.037343,10,0.978663
0.547718,19,0.989478
1.595867,9,0.99461
-0.352027,7,0.998342
4.612238,12,1.004215
6.634409,14,1.010728
47.485307,34,1.025616
3.61416,11,1.030475
-0.19231,8,1.034202
2.289495,17,1.042056
8.57106,14,1.048259
31.106246,24,1.060263
3.066477,21,1.069721
4.723778,9,1.073855
-0.692408,19,1.084295
-5.773631,14,1.092089
3.846866,11,1.097897
4.835013,15,1.106044
11.415713,16,1.115537
3.290721,18,1.125376
24.085866,20,1.136432
3.629737,8,1.140937
3.087036,14,1.147569
5.400119,13,1.154134
0.696601,10,1.159803
25.917114,21,1.17201
20.395346,20,1.183637
33.26195,22,1.196377
4.417992,12,1.203193
2.93922,14,1.211797
-3.59991,17,1.221364
61.361267,29,1.234977
30.831378,22,1.245108
4.513837,9,1.249377
28.157984,22,1.261874
0.549176,12,1.267307
10.244914,14,1.273567
28.754938,22,1.284165
-3.032743,12,1.290029
59.44339,43,1.309259
3.124391,11,1.314226
0.821183,11,1.319144
5.644759,11,1.324991
77.427502,41,1.343206
2.397256,13,1.349111
92.105205,43,1.368919
15.493568,38,1.390447
8.195208,13,2.194884
24.240389,19,2.204936
2.411249,12,2.212215
-4.608875,17,2.222246
2.847865,7,2.226374
6.365684,10,2.232369
0.834518,11,2.238614
16.163426,14,2.248085
18.420369,23,2.261179
16.624398,25,2.275747
65.411117,39,2.296006
11.427362,13,2.303239
2.281977,9,2.307704
-3.085788,16,2.315111
59.551433,51,2.33809
12.383916,22,2.34981
16.181895,24,2.363227
38.301466,17,2.373069
38.535869,23,2.385772
1.184593,9,2.391038
6.89133,10,2.396408
3.943378,10,2.401714
17.536884,15,2.408708
3.4144,11,2.413701
-4.735916,14,2.420271
72.454558,39,2.437827
-0.201135,14,2.444669
3.474064,9,2.449829
3.291853,7,2.453086
37.190058,28,2.46688
83.031549,45,2.49151
51.549642,35,2.507651
18.881122,17,2.515415
0.114886,13,2.521402
12.068967,26,2.536585
44.261261,33,2.556265
22.414575,18,2.565315
1.502864,11,2.5709
9.521082,14,2.578038
31.930979,23,2.589212
3.702654,23,2.601543
34.191578,22,2.613743
6.850609,12,2.621278
30.100357,22,2.632711
7.863847,11,2.639792
30.270156,23,2.652976
3.841811,10,2.658798
68.372237,35,2.676689
47.792686,25,2.688405
5.787506,14,2.696558
23.8414,20,2.707085
28.005905,23,2.720294
73.028582,46,2.744708
7.939162,12,2.75015
23.898928,16,2.757945
126.76436,57,2.783197
41.136556,30,2.796677
51.234893,39,2.814371
22.519959,18,2.822676
21.349193,47,2.843591
23.18851,25,2.854746
53.030074,52,2.878538
201.764417,89,2.923619
41.620991,48,2.948383
3.147067,9,2.952786
11.364517,10,2.957643
4.98224,16,2.964815
-4.686018,23,2.976166
68.324862,40,2.998383
100.910468,58,3.025242
5.936183,10,3.030455
8.990458,21,3.042115
43.554438,20,3.053805
6.935287,14,3.061512
5.172283,10,3.0664
6.764665,13,3.073143
17.390065,21,3.08387
14.00384,16,3.092421
253.891483,131,3.154258
19.397562,23,3.167992
80.711412,49,3.198733
0.111878,11,3.205041
11.258758,20,3.21579
48.106964,31,3.233323
7.09171,9,3.238483
10.494514,21,4.082315
76.394616,40,4.104807
78.566837,36,4.122368
2.684439,14,4.129053
51.303123,31,4.143829
46.002276,27,4.158836
57.256535,34,4.176783
128.724025,54,4.209052
63.088637,29,4.225692
136.176372,76,4.261675
141.815784,80,4.301394
-3.286737,14,4.308823
15.975531,20,4.319612
68.291083,30,4.333747
79.752077,43,4.354648
-4.759976,12,4.361142
99.751101,45,4.386238
1.295487,10,4.391459
18.014141,14,4.398243
115.576274,48,4.422179
-1.147068,19,4.434044
97.935043,42,4.461399
2.113927,10,4.467546
40.021964,33,4.486841
46.550236,20,4.499068
69.083313,33,4.518287
44.638196,29,4.533351
54.217462,22,4.546114
139.527488,56,4.574915
0.687248,10,4.580073
9.519625,14,4.586609
93.854371,42,4.60667
92.109385,42,4.626477
3.151497,15,4.633585
43.302451,28,4.648674
93.036775,40,4.668099
54.254049,30,4.682576
96.844786,43,4.704252
1.107654,19,4.7132
98.167889,42,4.732915
227.598603,114,4.786856
0.262299,11,4.793285
30.991976,23,4.806499
18.454948,14,4.814065
52.575714,26,4.826251
33.644413,24,4.837628
79.957248,70,4.870558
152.487988,64,4.901321
59.077614,36,4.919165
13.318662,16,4.929042
-5.245587,16,4.939181
0.491112,13,4.947048
86.782349,42,4.967891
89.765086,47,4.990018
89.407297,52,5.014514
111.844168,47,5.036447
2.947884,28,5.049709
98.335792,43,5.070057
116.873501,49,5.093165
107.365276,48,5.120257
58.528949,30,5.970133
43.443003,20,5.981317
63.102653,31,5.997844
99.539683,48,6.020375
90.120131,44,6.04733
124.723353,59,6.08385
82.145555,47,6.111505
10.80373,15,6.120277
49.939874,23,6.133703
18.032696,31,6.152358
62.765217,33,6.169828
130.972331,58,6.200123
6.93463,16,6.209523
101.376679,48,6.234121
34.138923,23,6.244932
96.73396,55,6.272999
160.583443,71,6.307107
4.571204,16,6.316419
93.117524,49,6.34356
6.852094,10,6.348392
82.094943,41,6.368679
111.766217,56,6.398424
112.563908,50,6.423967
79.489286,38,6.445095
78.581446,44,6.467576
208.089979,86,6.511523
150.935752,71,6.547114
48.356604,30,6.561724
68.973051,45,6.583668
214.176458,98,6.637652
218.707601,90,6.680755
92.427156,46,6.703231
82.925971,42,6.726496
192.151579,82,6.76621
211.256083,88,6.810078
61.267916,35,6.826871
84.237123,44,6.847645
69.348426,41,6.867312
3.761764,12,6.873178
168.990649,71,6.906024
18.241058,17,6.914351
56.299108,34,6.933574
110.802592,56,6.961908
59.772168,39,6.980692
