#{"t_start": 1736509377.1861072, "env_id": "CustomHopper-source-v0"}
r,l,t
8.901061,21,0.443146
11.191471,20,0.457659
24.673494,20,0.472045
12.406891,16,0.484215
71.932594,46,0.516426
10.57052,13,0.525387
21.39367,23,0.541285
8.322656,20,0.555303
20.735627,29,0.577194
7.844428,14,0.587573
9.548496,10,0.596038
7.552854,10,0.602716
5.922851,12,0.611416
7.134877,9,0.617761
25.461276,34,0.639735
5.40842,14,0.652095
9.63812,14,0.66531
40.452177,37,0.689851
24.168094,23,0.703743
10.358614,16,0.715008
9.393473,14,0.724547
11.833977,12,0.732305
6.636551,13,0.740983
9.056599,11,0.749378
68.336122,48,0.782049
2.13417,20,0.795989
7.566861,19,0.808691
8.041622,19,0.821508
11.293337,24,0.836528
6.071144,18,0.848774
7.982759,11,0.856142
6.790631,11,0.863027
32.659067,45,0.892117
9.870229,28,0.910072
70.136247,50,0.942451
8.132654,12,0.950974
50.135321,36,0.973197
8.528291,17,0.984519
9.024624,20,0.997999
6.48259,10,1.004184
11.000033,19,1.016303
8.21773,16,1.026587
16.453723,17,1.037222
7.664078,12,1.044571
13.760526,15,1.056092
10.172615,19,1.06896
11.626958,14,1.077701
6.143578,12,1.086352
8.141389,10,1.095066
6.846827,10,1.102956
16.962922,24,1.132282
10.04537,34,1.176649
8.837006,34,1.200492
15.159617,16,1.21068
52.028313,34,1.232401
30.533383,31,1.252161
8.366453,16,1.262419
9.268028,13,1.270564
13.809469,19,1.282544
9.128248,18,1.294386
10.672481,15,1.303088
7.081992,15,1.311689
18.464899,16,1.322353
12.363464,16,1.332438
17.948678,19,1.34432
16.26333,16,1.354837
8.546235,24,1.370462
11.438416,14,1.379909
11.513504,16,1.390823
27.798966,24,1.405443
13.196343,16,1.41543
14.384393,21,1.429807
5.04114,7,1.434634
7.319807,9,1.44076
9.23427,11,1.447699
10.423006,12,1.456209
68.28739,47,1.487252
4.850828,13,1.496626
49.686608,40,1.522684
11.936693,16,1.533584
9.905607,11,1.54096
12.882364,21,1.556356
4.112576,13,1.5663
13.16191,16,1.578643
7.865005,11,1.593355
13.221363,17,1.60864
22.078737,32,1.633267
10.310827,18,1.648685
7.748212,12,1.662112
16.022226,15,1.678149
16.046832,31,1.707271
13.716021,15,1.717068
8.733621,10,1.727267
11.947,22,1.742821
9.873491,12,1.751112
18.52019,18,1.765706
8.268282,13,1.776015
50.303563,47,1.809136
5.993265,10,1.815848
12.58014,14,1.826117
12.798205,17,1.838533
12.10933,13,1.847258
9.347378,20,1.86162
13.941045,15,1.872419
17.266667,17,1.883926
10.368992,11,1.894385
4.717105,13,3.214401
19.245073,19,3.228411
12.918595,18,3.241629
49.926647,41,3.273318
3.010672,8,3.278979
20.268471,22,3.295636
13.331521,21,3.313452
16.928562,18,3.326926
5.318732,12,3.336962
29.467087,27,3.355863
8.267322,14,3.366671
22.644156,22,3.382643
28.743387,39,3.412972
7.057678,13,3.422331
17.271764,26,3.441736
18.672545,18,3.454534
33.118759,36,3.48145
75.465006,53,3.522717
10.085923,15,3.536094
6.156523,8,3.542088
15.624142,25,3.560088
11.053923,14,3.571288
12.369927,19,3.586258
14.522594,17,3.599906
9.446413,11,3.608666
11.912101,19,3.622092
7.936911,11,3.63041
6.237022,15,3.642273
19.576025,22,3.659398
22.232808,24,3.680366
10.544044,15,3.692999
10.036203,21,3.70994
120.828387,67,3.757615
9.047077,13,3.767392
6.300876,10,3.774227
67.520472,42,3.802443
5.488324,13,3.817745
80.321434,50,3.854332
5.892751,8,3.859793
8.264855,12,3.867827
14.750509,19,3.882829
9.63384,17,3.893586
7.806077,16,3.905178
10.762827,15,3.914514
28.238032,37,3.938719
65.316315,41,3.967368
16.290031,17,3.978882
71.333428,52,4.018253
9.142905,11,4.025625
14.445738,34,4.049314
6.744458,13,4.057367
14.738182,18,4.069898
1.661601,12,4.078115
10.297794,13,4.086103
35.602608,33,4.107637
16.502616,28,4.126006
11.256583,14,4.135847
20.234475,19,4.149036
11.87974,17,4.159877
12.589229,18,4.173031
36.19149,42,4.200312
14.781499,22,4.215945
9.804606,18,4.227443
67.591459,58,4.265947
11.26073,14,4.275866
13.961461,24,4.290395
9.160684,13,4.301753
20.522901,22,4.323109
21.786548,22,4.343966
92.144417,62,4.391778
26.3684,34,4.415049
12.931256,16,4.425713
7.972455,13,4.435356
11.252365,19,4.448716
3.577341,8,4.454391
8.802603,30,4.474382
96.147464,59,4.513814
14.287869,16,4.523996
11.516499,25,4.542115
21.871102,18,4.553775
18.57849,19,4.566732
93.734553,67,4.611985
33.933307,31,4.632139
8.830522,18,4.644247
13.761561,20,4.656337
7.199113,9,4.661552
18.968225,20,4.675516
11.034272,23,5.811559
7.081915,18,5.823443
75.197026,76,5.871282
18.743656,18,5.88332
81.618649,58,5.922691
18.647218,19,5.935664
12.450625,12,5.944446
50.181095,37,5.968152
6.088922,13,5.977039
43.279975,30,5.995894
8.824155,18,6.008981
71.105347,41,6.034616
191.085135,89,6.092588
83.366519,46,6.121881
13.74591,29,6.140121
66.868935,39,6.168848
29.659059,31,6.190439
112.437483,60,6.231969
4.586158,13,6.242013
10.44727,13,6.250731
56.279748,38,6.276705
17.836387,17,6.288739
5.667939,10,6.295223
6.354767,10,6.302541
19.172619,20,6.315434
9.770254,12,6.322652
139.637283,71,6.373349
4.474191,7,6.381481
143.340325,73,6.441332
157.127706,75,6.495071
120.883203,71,6.541114
153.761873,73,6.594223
26.02982,19,6.607365
50.458279,46,6.638661
82.529408,46,6.671818
61.61618,38,6.699019
15.525552,16,6.710516
22.301727,20,6.723488
45.145449,27,6.741884
9.559394,16,6.75146
6.715733,15,6.760197
49.372697,28,6.779654
73.35162,42,6.808269
91.502068,57,6.845383
35.733652,28,6.86433
73.498032,46,6.894607
76.938425,55,6.931492
21.539932,19,6.944633
105.64104,66,6.98911
146.149898,70,7.035507
57.332863,42,7.064663
51.244354,31,7.085931
7.033105,10,7.092568
86.199512,50,7.125133
39.576231,56,7.160296
7.214978,8,7.166374
24.69982,27,7.189554
18.657711,16,7.200514
7.162286,9,7.207697
8.123109,11,8.402218
100.199167,55,8.441098
13.633497,17,8.455378
59.614154,42,8.497547
81.69045,47,8.530073
104.901573,57,8.56827
15.2233,14,8.578354
119.359824,63,8.620404
79.730665,47,8.650457
41.711983,25,8.666693
188.210866,130,8.749142
155.039039,78,8.799972
158.769359,80,8.852509
211.269413,93,8.91569
17.53788,24,8.931178
69.110382,41,8.95663
114.864738,60,8.998052
47.207313,33,9.020564
36.824459,30,9.040152
73.43529,44,9.06924
138.434875,74,9.117292
16.712339,14,9.125836
35.434351,38,9.150453
116.051869,65,9.190183
85.918372,51,9.221831
76.371946,48,9.252803
85.886876,49,9.286968
142.495825,95,9.348891
71.86963,45,9.376668
9.121965,25,9.391464
9.916545,10,9.398088
51.368908,56,9.436414
61.818006,38,9.458864
78.039628,50,9.490857
104.428531,57,9.52971
85.069434,49,9.561061
81.838417,52,9.593973
17.553976,20,9.608142
117.859124,65,9.651568
64.104426,39,9.676082
10.572049,11,9.682434
