#{"t_start": 1736509377.2002761, "env_id": "CustomHopper-target-v0"}
r,l,t
21.201223,26,159.589262
41.947927,33,159.644719
22.644786,33,159.680271
8.792655,23,159.700605
8.381966,11,159.716746
10.649651,12,159.726732
11.912488,12,159.735438
14.623315,28,159.756079
10.498093,27,159.781678
12.179731,22,159.798536
24.729602,25,159.816289
21.125641,22,159.831298
15.280708,16,159.84467
14.959978,37,159.872403
14.213492,15,159.88501
10.904356,20,159.898487
11.669227,14,159.907531
65.800538,45,159.948165
37.558257,36,159.973874
6.387161,9,159.982575
15.61839,19,159.99647
8.110638,15,160.005965
11.686092,19,160.019712
16.734785,16,160.032434
11.482381,24,160.056816
11.29671,16,160.093428
20.473736,17,160.116784
37.68857,27,160.142196
10.113095,20,160.172011
7.470124,9,160.182046
13.645002,24,160.202293
12.683324,16,160.21519
16.616018,34,160.24461
16.055802,26,160.267035
31.325743,31,160.290486
51.13848,33,160.313798
12.54941,32,160.337143
13.80894,24,160.354296
81.943558,71,160.399625
8.719423,14,160.408477
9.315535,14,160.420422
9.112493,16,160.432456
17.376635,17,160.443922
59.965052,44,160.480567
12.662382,15,160.491335
5.138065,8,160.496504
12.35142,14,160.505611
13.139996,17,160.517059
10.835547,17,160.528316
17.606266,31,160.553615
66.010464,58,160.598734
9.060555,26,160.617246
18.331643,24,160.635261
17.515207,21,160.651938
28.129046,38,160.690725
6.084933,13,160.699284
9.423333,12,160.707268
10.960994,12,160.715258
20.941917,24,160.730496
13.187748,14,160.739104
7.685066,11,160.745691
13.249658,15,160.754715
6.277472,14,160.764246
11.507067,13,160.771865
8.588689,11,160.778659
13.406932,32,160.7995
13.596507,21,160.813538
22.951354,22,160.829206
14.901062,15,160.838751
8.289043,12,160.847149
8.702767,19,160.859969
19.246428,22,160.874326
10.696904,11,160.882037
19.725418,17,160.893872
8.541702,17,160.905458
18.973684,19,160.918648
11.754612,18,160.93198
10.494176,13,160.94093
13.782674,24,160.956292
72.856812,47,160.983336
42.613763,29,161.002833
37.672817,35,161.029449
9.707369,13,161.038867
22.690222,21,161.057388
15.756346,23,161.079209
18.733118,33,161.103567
8.961889,22,161.120112
11.210829,13,161.130269
29.179088,32,161.154403
18.124706,23,161.170433
16.804221,22,161.185895
11.452733,20,161.200428
11.308461,25,162.246141
11.803487,14,162.254173
18.20882,29,162.271665
8.072899,9,162.27735
124.172298,74,162.321347
38.209401,30,162.341382
9.482683,11,162.348179
6.530744,20,162.35999
15.652656,16,162.368744
6.384306,9,162.375382
8.423302,10,162.381307
15.233368,17,162.391282
66.64273,43,162.415845
9.513215,10,162.421264
13.233642,18,162.4317
54.350499,40,162.455698
23.751051,29,162.472302
75.857772,48,162.499336
14.037221,18,162.511482
6.679941,14,162.520161
9.317917,14,162.529563
6.651564,11,162.536294
14.310189,16,162.546315
13.507809,16,162.556257
19.571238,24,162.571789
130.311047,74,162.617439
12.547398,13,162.625228
8.812995,15,162.633769
19.521022,28,162.652627
12.198134,13,162.660271
81.093267,52,162.693639
29.020845,32,162.713683
11.237161,18,162.725241
101.535964,86,162.774864
13.380344,14,162.783875
20.634122,36,162.807257
21.611393,19,162.826228
7.812264,12,162.837973
14.12018,14,162.847777
9.127518,15,162.866446
10.091119,23,162.884465
8.83351,22,162.906898
115.902328,64,162.95481
24.042943,22,162.969918
8.457908,15,162.979123
40.552477,30,162.997828
13.358662,15,163.006388
50.101756,41,163.029743
11.021295,23,163.042129
19.528034,22,163.056272
12.304263,14,163.064229
7.508948,9,163.069468
20.41674,19,163.081051
22.947316,20,163.093542
19.489141,18,163.104038
30.729765,26,163.120679
20.496307,22,163.133423
161.910683,83,163.188961
47.201543,37,163.211609
77.545613,55,163.245971
34.653487,29,163.263165
11.477991,18,163.27575
24.01214,24,163.290017
51.488774,49,163.32011
101.530787,67,163.36377
58.713258,43,163.393315
19.57321,25,163.410188
9.48935,14,163.42131
6.824249,23,163.439493
33.506961,29,163.461635
75.501634,48,163.493223
11.56496,13,163.501709
11.898772,24,163.517823
41.483924,32,163.53769
10.907607,16,163.548485
22.70002,22,164.560304
27.904482,25,164.575009
22.624026,23,164.589009
91.303143,55,164.627295
10.856568,15,164.636696
36.543522,28,164.655048
19.913228,21,164.67221
10.65533,20,164.68895
23.004899,28,164.712428
14.104342,19,164.724948
34.836394,28,164.743559
18.239047,20,164.759581
14.941027,18,164.771461
14.568908,18,164.785352
18.091377,34,164.814176
10.216729,13,164.823857
82.025149,58,164.864005
10.463823,15,164.874173
57.34195,54,164.912033
40.834681,47,164.943084
12.323435,13,164.951545
8.130206,13,164.962106
18.542028,17,164.973769
60.976671,39,165.006026
8.173407,12,165.014203
10.388583,13,165.027483
93.325345,59,165.072315
75.822224,46,165.104422
24.582142,32,165.12662
156.32378,78,165.18307
23.198431,22,165.198822
20.597526,29,165.217913
92.057232,73,165.272676
62.328304,63,165.318558
7.391365,10,165.326242
9.659397,12,165.334046
25.767445,24,165.352106
51.126321,40,165.379836
33.904334,27,165.399309
88.754604,58,165.438339
31.448266,43,165.467974
13.417188,17,165.480632
37.287273,32,165.511452
13.593374,17,165.52668
10.917226,14,165.540197
78.356039,50,165.577688
76.594842,49,165.610923
22.655769,18,165.623445
96.036954,62,165.665114
44.085419,49,165.697994
110.979876,69,165.742794
17.964238,32,165.763716
218.590212,100,165.83202
11.889039,22,165.845849
25.598538,23,165.861219
60.048467,44,165.909686
41.059594,31,165.941186
131.060292,86,166.00621
38.555567,33,166.028484
95.402125,59,167.141733
11.510152,12,167.149591
71.500339,41,167.176371
10.666986,12,167.184135
18.866573,20,167.197721
40.423848,30,167.215717
185.776919,96,167.275874
113.663549,78,167.32562
15.946645,21,167.339113
100.815003,57,167.378852
26.595811,22,167.393323
53.070306,38,167.420587
100.028342,57,167.455614
28.326088,48,167.485198
31.687817,24,167.5029
89.99756,58,167.540273
17.785879,16,167.553012
35.932363,27,167.579349
8.339283,22,167.600487
69.456478,41,167.630818
71.58513,42,167.65829
37.188252,30,167.677635
173.731308,85,167.732154
121.731087,67,167.777388
114.751347,61,167.819042
195.590986,111,167.893267
107.966331,59,167.933226
67.423481,39,167.963558
50.121274,37,167.988157
91.918603,57,168.026468
5.474593,10,168.033886
10.862708,19,168.046272
53.172683,33,168.069042
108.987678,58,168.105209
58.515637,33,168.127334
92.005678,51,168.159371
84.490796,48,168.191173
56.211148,35,168.213697
53.264344,33,168.235471
20.609569,21,168.249404
57.392869,35,168.273823
84.052492,52,168.307272
10.862941,15,168.316355
14.73909,31,168.338142
88.705975,51,168.37005
28.573313,23,168.384531
77.912744,45,168.414034
135.559812,68,168.460216
58.374305,36,168.484691
73.179432,47,169.662082
133.970155,76,169.720083
18.113185,39,169.754838
54.332019,38,169.780884
73.922553,45,169.813802
199.178795,94,169.885446
70.512312,44,169.914416
36.470626,29,169.935899
105.952112,80,169.989127
127.740063,77,170.04262
102.263767,56,170.09158
74.342054,52,170.126738
26.071602,28,170.145366
150.694841,82,170.201285
37.413193,33,170.221008
24.683441,21,170.236806
225.22906,99,170.299757
17.8521,23,170.313732
68.385212,42,170.342812
22.750659,26,170.359998
91.854786,52,170.397029
130.231705,98,170.461671
65.658372,40,170.487653
22.8588,20,170.501596
105.335079,60,170.545384
128.304608,67,170.591304
90.484565,55,170.626386
157.703605,84,170.677903
197.944695,96,170.738173
12.847054,16,170.749099
70.404997,43,170.780748
112.872813,62,170.820596
169.264984,92,170.879503
84.2921,52,170.911656
68.68172,48,170.941294
94.968551,56,170.977874
92.284806,53,171.010542
27.730585,44,172.120296
246.108635,145,172.215153
176.626282,90,172.267612
192.287463,104,172.330784
60.518944,41,172.359528
71.473103,47,172.389919
103.496966,62,172.428497
39.274381,33,172.449394
92.23025,57,172.484036
67.267701,44,172.510888
150.494589,79,172.556284
46.694903,34,172.576478
245.531256,116,172.646452
88.2959,54,172.681084
120.487758,76,172.731994
17.361021,16,172.742515
78.151585,50,172.771172
66.668299,44,172.799011
71.918516,47,172.834796
87.084995,55,172.872595
73.013438,50,172.903812
219.171322,110,172.969248
57.600462,40,172.993816
51.779471,35,173.014986
124.036227,71,173.059388
231.073631,124,173.129539
249.081836,115,173.201735
120.996153,71,173.245212
116.349733,69,173.28772
71.493406,47,173.314989
98.841357,60,173.35078
156.890614,83,174.445959
113.545871,67,174.48602
100.846466,59,174.52434
186.002452,102,174.588608
138.708187,75,174.633601
109.979086,63,174.674021
33.417121,29,174.692081
96.911388,58,174.725384
231.947547,103,174.800948
169.488294,92,174.864804
223.704325,109,174.93694
166.520268,89,174.99059
216.122336,110,175.052498
231.802699,107,175.129584
15.368834,16,175.139942
83.123431,51,175.173675
107.559137,63,175.214518
159.303241,79,175.266196
206.850389,109,175.327077
59.777261,39,175.352845
68.183002,43,175.380226
73.519663,46,175.410382
69.89301,44,175.43622
256.075628,144,175.517654
198.990088,115,175.595709
65.776742,41,175.619589
97.637965,58,175.657391
69.640766,44,175.685979
63.952699,41,175.71058
96.459255,61,176.752917
59.667038,39,176.77733
175.297216,111,176.845844
44.540933,33,176.864221
46.613923,31,176.882546
105.158924,68,176.924898
176.102351,89,176.979888
151.70237,80,177.028416
179.64468,96,177.089124
220.737293,115,177.152711
57.524386,38,177.176742
241.593801,117,177.24563
216.812295,127,177.327063
126.86765,70,177.367981
222.582548,119,177.435736
199.633792,110,177.503316
198.687625,112,177.573194
77.364735,49,177.602291
232.685006,107,177.669598
73.887138,47,177.698301
217.02915,99,177.761489
71.721066,46,177.788872
225.830199,114,177.858056
84.633675,52,177.888965
98.697394,59,177.934394
221.959093,114,178.993957
201.770997,108,179.06148
175.53659,103,179.123738
194.861367,104,179.190608
106.210296,59,179.228296
219.593844,106,179.295515
136.107589,70,179.338383
218.286147,131,179.418
162.798163,85,179.469906
188.703016,109,179.538447
108.232128,61,179.577821
200.195778,105,179.638619
179.737916,89,179.696059
244.055977,118,179.769824
204.192558,101,179.841154
118.524039,68,179.88921
215.149636,105,179.963729
63.577139,44,179.998227
217.835426,96,180.062078
76.0122,46,180.08774
211.076721,107,180.163866
179.130701,83,180.218948
228.480468,110,180.292785
230.885582,110,181.391753
117.037058,69,181.43303
237.412876,112,181.502863
237.097464,113,181.574849
104.750617,69,181.615407
231.607753,108,181.679753
215.176671,110,181.741385
138.292009,78,181.79271
240.813517,129,181.870439
216.252875,107,181.933914
226.61286,107,182.000537
110.874794,67,182.04949
250.180686,133,182.132897
218.568766,113,182.202866
91.506453,60,182.239811
237.103167,114,182.309164
229.041917,112,182.382281
108.646024,62,182.420138
230.14289,108,182.488595
234.311745,108,182.554816
232.515381,107,183.619201
230.494271,110,183.684118
124.578176,68,183.726488
222.648585,107,183.791914
178.023893,97,183.845937
224.146181,103,183.910675
195.326279,98,183.966653
218.862332,102,184.027745
226.538811,108,184.09824
233.833413,115,184.17529
246.959207,132,184.254646
241.252956,122,184.331482
241.102945,117,184.400546
179.858985,89,184.454374
168.563641,85,184.507266
209.457018,102,184.566581
232.905965,113,184.635424
80.066974,48,184.666023
193.162028,95,184.72512
212.840668,106,184.787571
101.057778,65,184.82719
218.052796,112,185.950084
230.662749,111,186.018876
222.123284,115,186.088626
241.302774,118,186.166058
192.884822,114,186.239561
244.11256,116,186.309346
233.590717,123,186.379135
254.18081,115,186.45326
191.444754,102,186.512759
236.779551,131,186.594102
239.31151,111,186.657606
166.188913,91,186.711479
218.98535,111,186.778595
169.605482,96,186.833242
189.136292,93,186.891231
239.095899,119,186.96437
229.372345,114,187.033539
184.288408,103,187.096314
255.801474,127,188.319616
240.059599,111,188.397346
257.375864,117,188.486252
218.578006,107,188.567005
236.111071,116,188.650662
236.973379,117,188.734246
243.067058,117,188.818873
219.194845,110,188.89442
242.323289,113,188.974764
261.983466,121,189.058512
213.734375,106,189.137737
216.467197,104,189.214351
231.758265,107,189.293691
255.669948,125,189.382785
137.6239,77,189.439032
233.497098,117,189.524099
224.041878,111,189.599707
215.310518,98,189.671048
76.37422,48,189.703597
221.59285,109,191.021308
222.744687,106,191.091712
196.735063,99,191.158673
235.176356,109,191.22958
203.284633,95,191.291147
161.91065,86,191.348853
231.221932,112,191.422958
196.910701,98,191.490756
256.480563,117,191.566751
203.605987,98,191.633725
85.661068,53,191.665644
230.762439,108,191.736008
249.805232,128,191.820087
270.362822,120,191.896511
235.105551,109,191.971282
141.4592,82,192.022016
212.634394,101,192.087993
241.100307,112,192.157181
225.270779,101,192.219184
242.964227,115,192.296646
243.977171,110,193.440228
221.778305,108,193.506611
201.626033,104,193.571433
151.323574,84,193.621446
238.531757,112,193.692107
237.592851,111,193.76059
271.47265,123,193.832699
242.844464,115,193.907658
217.337589,113,193.975799
157.81125,83,194.02648
248.060757,113,194.097623
222.329326,108,194.16285
223.353391,109,194.233835
238.626163,113,194.304647
289.139125,129,194.384822
227.487863,100,194.450617
238.0141,117,194.530714
256.334066,122,194.604437
228.730094,104,194.671979
238.626564,114,195.850493
234.642303,111,195.92829
249.479066,115,196.008715
225.338744,105,196.078872
103.674855,61,196.120322
244.643312,112,196.19083
240.201788,113,196.261547
281.16064,126,196.337424
252.567679,112,196.405655
266.735226,128,196.482179
224.661195,103,196.548809
166.498053,89,196.605958
205.583358,99,196.667217
239.195514,110,196.734188
234.733815,113,196.804881
257.247915,131,196.884442
239.038135,108,196.950504
225.123337,106,197.018815
185.707123,104,197.080432
119.650352,68,198.145992
287.53194,122,198.235837
154.14124,83,198.292869
265.056885,121,198.374149
260.60955,121,198.451133
188.939362,99,198.514071
231.254997,103,198.579254
311.296593,137,198.670121
232.724842,110,198.738738
212.775809,112,198.810121
221.55155,104,198.871239
182.365464,92,198.925805
243.819106,117,198.996632
307.30167,129,199.074201
262.540242,116,199.140814
294.717421,126,199.214872
270.893392,121,199.284143
248.314214,113,199.354166
216.012104,103,200.477914
285.423836,125,200.573233
250.099266,120,200.662514
271.266889,122,200.744825
235.40678,110,200.816852
244.52222,108,200.885833
283.016551,130,200.964274
255.84344,117,201.039658
180.552256,94,201.095946
209.039327,100,201.15781
217.13744,104,201.218328
331.600227,133,201.297288
267.865017,125,201.373189
211.808985,101,201.435224
323.217459,147,201.519669
231.919705,106,201.582137
248.752194,107,201.645325
242.360199,112,201.71473
334.298481,136,202.820268
170.398155,91,202.885905
323.55883,134,202.976475
244.637746,112,203.049603
256.697387,119,203.126955
186.478728,96,203.18818
350.610132,149,203.276985
307.761699,144,203.363622
359.902738,142,203.450509
255.256658,121,203.518773
134.325996,79,203.565015
228.035833,114,203.632057
244.428303,116,203.699829
68.065926,46,203.72582
181.099373,96,203.781205
177.929986,92,203.835734
218.571602,108,203.899874
159.159615,85,203.94967
223.803768,108,204.015211
239.880916,114,205.12598
324.033946,137,205.22731
353.577121,150,205.327579
313.307289,135,205.418242
223.986478,99,205.484915
259.568984,115,205.562003
340.01334,141,205.649274
242.615747,128,205.729528
327.194348,135,205.812771
264.058102,135,205.894696
319.817597,143,205.980756
94.913356,59,206.015019
325.845139,140,206.096376
274.918981,120,206.168903
301.551205,135,206.247436
272.740401,121,206.319363
278.308959,119,207.410979
303.711184,129,207.501116
285.631236,129,207.586126
315.340617,130,207.668181
295.787971,122,207.744918
310.982104,131,207.827145
324.30859,131,207.907162
307.002808,128,207.987051
328.837567,131,208.065996
320.420041,132,208.144662
292.380057,131,208.224265
328.048052,134,208.306986
301.715414,134,208.385041
327.091388,137,208.46986
275.69788,131,208.552685
293.564303,120,208.626931
333.467711,133,209.722071
254.560857,118,209.802255
300.882063,135,209.889158
321.788591,135,209.974574
271.541047,126,210.052685
335.256628,140,210.148502
330.60089,134,210.238955
249.004256,126,210.317416
339.504436,153,210.414336
376.97442,142,210.504387
277.666515,123,210.582594
483.777385,175,210.690022
307.379111,131,210.772055
348.198536,145,210.858186
401.04841,160,210.959113
345.34833,142,212.073221
338.936843,137,212.166815
335.699091,141,212.257484
289.551466,126,212.336452
288.056757,133,212.417662
335.976917,144,212.506468
345.796885,136,212.591717
304.603755,125,212.666588
328.363097,130,212.742424
213.762082,107,212.804376
322.904154,132,212.882973
298.86403,124,212.960071
213.032102,105,213.030459
314.347697,134,213.114309
348.087143,136,213.195934
310.189952,131,214.282145
284.287341,132,214.372561
428.370472,163,214.47629
283.025236,127,214.55815
757.303839,293,214.735159
223.529229,117,214.804883
174.706314,90,214.857007
310.378189,131,214.936511
480.463795,184,215.047972
523.240258,188,215.169037
228.334827,111,215.243534
240.442671,110,215.311279
330.883533,135,215.430996
256.254478,119,215.510546
357.340667,143,216.640678
510.242302,181,216.769135
327.625299,133,216.856431
406.295391,154,216.952755
134.813513,79,217.002309
365.74927,143,217.094431
461.811032,174,217.203549
225.422139,113,217.273144
377.803062,148,217.364302
260.715166,120,217.435528
488.913105,176,217.538475
318.339585,133,217.616365
60.445796,41,217.640102
211.812571,109,217.704207
495.120784,187,217.813512
369.93723,148,218.888789
342.835229,139,218.984154
318.870199,128,219.06761
383.15967,147,219.163429
253.722915,120,219.240338
303.00731,135,219.327631
297.86277,132,219.409324
335.981398,132,219.491806
331.007757,132,219.572261
327.382516,133,219.650672
317.663496,131,219.727185
371.232109,150,219.821041
347.024469,146,219.910185
362.53288,141,219.99837
419.639262,157,220.095532
346.410172,139,221.324806
394.036337,151,221.437403
410.778315,150,221.541075
388.074223,153,221.644053
394.099268,151,221.74248
513.134676,181,221.855839
361.643247,144,221.948659
182.850188,94,222.005498
292.986901,126,222.084054
342.909585,154,222.178379
245.280435,111,222.249845
352.369923,142,222.337819
371.350132,150,222.428596
353.340727,146,222.519467
504.0166,176,223.659466
410.354538,153,223.773479
443.841284,169,223.887152
553.244319,193,224.010394
264.440804,118,224.085888
634.67144,220,224.22076
461.77516,172,224.323759
278.812702,117,224.394954
599.940765,213,224.522022
504.182054,177,224.62456
391.405417,160,224.719491
488.752134,180,224.831033
382.733517,149,224.920141
413.334167,162,226.120836
352.12264,151,226.225363
418.254395,157,226.325359
501.952836,188,226.442968
566.170215,194,226.562437
465.550885,167,226.666
397.851671,162,226.760631
394.129434,154,226.851639
379.305837,144,226.938519
216.159302,104,227.003227
474.191956,169,227.105122
695.595101,227,227.246714
362.953688,144,228.375194
409.828695,147,228.480342
380.176113,153,228.5835
355.050648,140,228.673529
379.89505,145,228.764943
509.186621,195,228.886894
434.096122,162,228.98258
412.906762,162,229.078894
366.422408,141,229.164551
374.254822,148,229.258346
325.188588,132,229.337203
419.872794,158,229.432869
483.826645,170,229.540728
501.151997,176,230.732491
422.439838,156,230.843925
