#{"t_start": 1736508210.5628777, "env_id": "CustomHopper-source-v0"}
r,l,t
9.611657,15,0.390914
9.841583,19,0.405252
15.310736,15,0.414234
23.592823,37,0.436714
8.605729,15,0.448411
9.021616,30,0.466856
29.971079,44,0.49641
20.18111,25,0.511414
6.969897,11,0.518261
8.67338,15,0.528196
23.796215,20,0.539693
7.003379,9,0.544827
11.535403,17,0.556018
23.273317,29,0.572486
7.196741,9,0.577819
28.694263,26,0.59339
6.483433,10,0.59885
6.981402,8,0.604016
50.691092,38,0.630825
8.341435,11,0.63822
16.311145,19,0.65065
36.742931,32,0.673763
15.019246,15,0.683947
15.789219,16,0.694387
14.702792,33,0.71517
6.688292,11,0.722177
13.34983,23,0.736819
7.283012,13,0.745147
6.654879,13,0.753888
7.193659,18,0.767169
6.376901,11,0.774846
7.898722,11,0.78231
7.371601,16,0.792482
10.233807,10,0.798752
13.215151,18,0.810613
23.203888,21,0.824039
10.482351,12,0.832043
9.188545,10,0.837458
6.762822,26,0.851754
13.987062,16,0.861677
12.531078,13,0.87014
12.3538,16,0.879538
8.979937,22,0.894357
7.439574,10,0.901678
7.342599,11,0.9084
25.057555,23,0.921493
12.599784,13,0.929384
10.268735,16,0.939553
14.562373,22,0.951669
14.455772,22,0.965684
9.129553,15,0.975321
29.525026,23,0.989242
14.393982,31,1.010549
8.221378,19,1.022252
19.879633,35,1.04377
8.698398,11,1.050007
6.430085,11,1.056558
12.949727,13,1.064279
14.15284,22,1.077885
7.897662,13,1.085388
40.561063,27,1.102119
216.498767,110,1.170673
17.77121,17,1.18068
47.294121,39,1.204242
16.787452,31,1.222697
12.171461,16,1.234473
8.314077,15,1.245029
23.234431,25,1.26104
9.590044,17,1.271526
8.582068,13,1.280329
6.476226,10,1.28686
27.458158,25,1.301423
18.945049,26,1.317576
16.210304,18,1.329147
6.45802,8,1.334408
10.198891,17,1.344751
12.066271,25,1.360925
41.930008,50,1.394136
7.374175,13,1.402808
13.521422,15,1.411911
