#{"t_start": 1736508210.5729246, "env_id": "CustomHopper-target-v0"}
r,l,t
13.500022,14,142.09027
18.999409,18,142.123938
10.524032,14,142.156759
15.105499,16,142.174731
5.870424,11,142.191025
8.521929,13,142.202491
10.043965,14,142.213772
13.444387,34,142.243112
14.275725,15,142.254278
14.11882,19,142.267287
29.90243,25,142.285266
12.251876,13,142.294881
11.389092,18,142.306545
11.143788,22,142.322464
10.68743,14,142.331829
14.109653,21,142.345283
10.347003,21,142.363931
7.368204,11,142.373328
14.887229,17,142.387143
8.719913,14,142.397109
6.965329,8,142.403137
13.908848,24,142.420864
13.124018,21,142.43652
10.070279,15,142.450949
29.361012,40,142.481698
28.372494,31,142.509191
29.075918,32,142.53134
11.62967,15,142.541666
23.155756,40,142.568556
13.25138,36,142.594297
9.111303,10,142.602474
13.480463,13,142.611444
17.388519,28,142.633645
14.90362,22,142.64712
8.651054,28,142.666936
21.162611,26,142.687241
18.774997,30,142.705138
27.991469,35,142.730618
18.230996,19,142.744015
6.547007,8,142.751474
28.797523,29,142.77099
8.159859,10,142.777287
23.617235,30,142.797996
10.209907,13,142.806687
10.455949,14,142.81707
7.617698,11,142.8235
51.803083,42,142.847356
8.56234,12,142.855244
11.664942,14,142.863174
11.28744,23,142.876506
10.440173,15,142.885974
8.585909,12,142.893769
15.915651,28,142.908858
17.814571,26,142.925166
10.807777,15,142.933592
16.66739,28,142.950931
15.11593,18,142.963881
29.559749,26,142.979603
8.872557,10,142.986931
7.246222,14,142.994675
9.644287,10,143.000803
9.732579,17,143.010241
7.283891,10,143.0173
15.182498,15,143.025664
14.7452,22,143.038496
15.290392,20,143.051337
9.650232,10,143.058218
11.164761,16,143.069689
16.356078,16,143.084743
21.511742,20,143.097321
13.107846,19,143.109394
7.497015,9,143.118402
28.310603,23,143.134104
8.285898,9,143.140004
24.219378,23,143.154411
10.635701,15,143.163914
9.153333,11,143.176025
15.13875,20,143.193034
10.790041,17,143.20412
10.636639,12,143.212637
11.027302,18,143.224328
8.594534,10,143.230507
14.646263,24,143.245478
92.892967,79,143.296201
11.129999,13,143.303593
7.200736,11,143.309851
13.405458,18,143.321313
9.922209,14,143.329268
9.836287,11,143.335676
8.344905,16,143.3471
13.896977,16,143.357683
13.671819,16,143.367579
17.597737,23,143.383997
52.708048,40,143.406547
8.126563,9,143.413245
12.181412,15,143.422736
10.368654,12,143.429744
19.59982,33,143.448689
18.846015,26,143.464532
19.68985,18,143.473964
13.572132,24,143.491444
11.706033,14,143.499373
29.239975,25,143.514227
10.858952,12,143.521425
8.582864,9,143.526483
8.643036,12,143.533424
8.591863,17,144.516204
22.112347,24,144.529699
9.337594,12,144.536528
63.522744,68,144.577392
133.080951,90,144.632106
21.252662,26,144.648262
9.174186,10,144.65405
18.224214,19,144.665803
10.252176,17,144.67751
10.382092,12,144.685487
83.622471,79,144.737193
24.425679,22,144.75227
10.031723,26,144.769486
18.398397,29,144.788721
33.94237,27,144.80596
13.507435,18,144.818568
12.57412,17,144.829554
18.425372,17,144.840331
12.724142,13,144.848012
13.332009,13,144.855237
20.251208,40,144.879007
21.951367,29,144.896697
13.732381,16,144.907363
10.9993,32,144.927555
13.548885,15,144.937082
17.69048,17,144.949836
33.252869,26,144.967076
16.184839,21,144.98166
15.886715,31,145.00127
9.101092,10,145.008768
17.486276,29,145.027361
11.315871,21,145.040133
15.659384,16,145.04988
52.886912,40,145.075147
12.671465,15,145.087034
33.868101,30,145.10525
7.809294,11,145.113586
39.91805,33,145.132638
33.588384,30,145.150494
16.073036,17,145.160603
23.83122,21,145.173544
7.299477,8,145.178849
14.640624,19,145.190406
90.827938,61,145.228269
11.343047,13,145.235819
12.73426,13,145.245174
14.055884,15,145.253786
11.281553,17,145.264846
25.951403,22,145.279486
37.072329,28,145.296201
11.474094,14,145.305916
25.33745,32,145.335342
11.335611,17,145.353495
11.348402,18,145.366882
7.79956,9,145.377786
9.365656,11,145.385686
22.850476,21,145.405656
24.816308,22,145.422339
8.319292,9,145.429784
30.478744,26,145.453696
15.981498,15,145.462695
9.547003,13,145.474062
27.895634,24,145.488939
11.716373,28,145.506708
8.773652,11,145.514392
37.447267,35,145.534092
11.273103,13,145.543362
30.314373,26,145.558283
9.426346,10,145.564708
8.601462,13,145.573193
26.215516,25,145.588253
15.101284,17,145.59962
22.303079,37,145.623407
15.025706,15,145.632427
10.26064,13,145.640779
54.717405,54,145.672879
130.924602,114,145.736591
7.150886,9,145.742281
36.547315,32,145.760932
20.486366,23,145.776661
7.41329,9,145.78251
14.554458,19,145.793495
32.849117,25,145.812868
12.516542,28,145.829353
75.63129,50,146.851255
107.094481,65,146.890272
19.980626,20,146.903956
62.550249,52,146.936184
23.131898,31,146.954391
10.161953,10,146.961234
