#{"t_start": 1736610656.3626444, "env_id": "CustomHopper-source-v0"}
r,l,t
6.036345,9,0.368471
5.009781,14,0.379842
22.418449,22,0.393625
11.692633,17,0.404408
5.724344,14,0.413325
6.832053,9,0.419087
11.0418,24,0.433053
10.938009,21,0.444467
11.835733,20,0.457639
2.990027,17,0.469114
8.020029,13,0.476804
33.568915,26,0.492879
11.865009,15,0.502499
5.324234,10,0.508795
8.9923,12,0.516339
27.532712,37,0.537277
8.096134,19,0.548002
6.967289,12,0.554313
19.097587,23,0.566101
5.372159,9,0.570526
8.154106,15,0.579176
4.19759,8,0.583919
16.267533,19,0.593737
5.139216,10,0.598509
81.922705,52,0.6276
6.918721,26,0.642495
6.946342,13,0.652852
7.891233,12,0.658681
11.129454,18,0.671757
9.885695,14,0.678651
4.343206,11,0.684855
7.771285,24,0.697944
7.528109,14,0.705998
8.928459,14,0.713104
12.073202,14,0.720772
4.441842,25,0.734935
10.146539,13,0.74193
6.796889,15,0.750977
16.115271,19,0.76213
6.784832,12,0.768543
14.857456,14,0.776697
9.914647,12,0.783583
6.254664,10,0.789584
128.879262,94,0.841305
6.508581,10,0.846425
17.464153,30,0.867573
8.961759,12,0.874149
8.085544,11,0.882251
4.900679,9,0.887825
5.720664,13,0.895246
5.104379,9,0.901161
12.076138,23,0.91547
16.931797,15,0.925951
8.969944,16,0.934464
16.141649,16,0.94637
32.752466,43,0.974466
6.069674,9,0.980336
29.917313,32,0.998836
10.461862,15,1.009761
6.532097,9,1.015317
8.060057,15,1.025148
13.693585,20,1.03894
21.735903,24,1.053987
5.123677,12,1.062634
38.42756,31,1.083271
7.411872,11,1.090023
20.740357,19,1.104002
37.326068,46,1.131617
8.562642,11,1.137186
7.338132,10,1.144321
8.26494,11,1.150049
24.321863,40,1.175886
12.654188,14,1.184945
5.192709,11,1.191296
17.021279,25,1.205015
5.096087,9,1.209586
7.887747,14,1.219543
11.689717,18,1.230465
12.732121,14,1.23835
9.616599,13,1.246556
6.885993,13,1.254912
50.875989,36,1.276026
5.209391,15,1.285022
10.81553,21,1.297112
11.642891,20,1.3086
9.151503,14,1.315985
12.187191,15,1.325717
17.18836,23,1.342666
9.899932,12,1.353277
7.313928,13,1.361354
9.33566,12,1.376369
9.180926,14,1.389067
6.747675,11,1.398185
31.197536,31,1.416288
7.629084,13,1.426724
3.852525,19,1.438034
6.359126,15,1.447317
9.158943,12,1.453484
32.200771,35,1.47476
12.007063,23,1.486644
44.869732,46,1.514297
8.287771,14,1.5236
6.205475,21,1.536334
15.961203,14,1.544623
8.55215,17,1.555057
9.103541,14,1.562562
15.009856,17,1.572179
5.629531,12,1.580341
7.205643,14,1.589601
11.951316,17,1.600037
24.839807,27,1.616074
8.855982,18,2.588093
22.439153,23,2.601636
53.613463,42,2.627133
30.597161,25,2.641666
11.708167,17,2.653558
9.010511,20,2.665216
14.99319,27,2.684166
35.031478,33,2.704107
18.022903,19,2.715841
12.743842,16,2.725551
92.403818,56,2.757292
20.208808,18,2.76894
12.600381,17,2.77816
10.263607,12,2.78571
