#{"t_start": 1736610656.3734426, "env_id": "CustomHopper-target-v0"}
r,l,t
7.31527,11,578.730523
27.269272,26,578.773942
13.158188,20,578.806909
11.789127,17,578.827326
11.650434,15,578.839021
21.838493,37,578.866081
9.350595,15,578.875938
11.801242,15,578.887473
11.773603,17,578.899791
51.721317,36,578.923248
10.308787,16,578.932912
9.65868,27,578.951388
3.11039,7,578.957491
15.528758,20,578.96958
20.040604,18,578.983248
7.160521,11,578.994669
7.670567,12,579.007921
16.460065,17,579.022181
9.252142,12,579.029909
23.389706,23,579.047455
6.239771,10,579.05495
7.754558,14,579.064194
13.162648,19,579.082509
12.840009,16,579.093962
7.36112,9,579.100935
43.485614,37,579.127925
12.022719,26,579.151886
10.721843,27,579.170457
7.922074,14,579.181942
9.065276,11,579.188104
7.629827,33,579.211728
13.401829,17,579.224143
143.431071,73,579.275312
17.042718,21,579.289783
8.667313,12,579.296765
77.524146,64,579.339673
7.705638,12,579.346955
18.447132,22,579.362879
32.990084,32,579.385591
21.436292,36,579.408208
15.314667,18,579.420542
13.465576,16,579.430616
9.947347,12,579.436872
9.180378,13,579.443846
8.871248,17,579.453908
8.414298,11,579.460229
9.947267,17,579.469849
10.021791,19,579.480369
4.784351,9,579.485482
7.613788,25,579.499237
17.377262,22,579.511337
6.632897,18,579.521066
32.230946,29,579.537403
8.18409,10,579.544765
10.345272,14,579.553659
15.31815,18,579.565318
17.474232,35,579.587738
7.770983,11,579.593766
8.465411,11,579.600056
7.638573,11,579.606856
7.221171,9,579.611941
9.893393,14,579.620854
14.657499,16,579.629776
10.143081,15,579.639818
6.712426,11,579.64703
4.997275,8,579.65254
8.28088,22,579.666799
5.591054,9,579.672259
11.007009,14,579.681046
3.859493,14,579.689204
21.722143,20,579.702208
11.132534,17,579.722725
19.511426,22,579.737359
5.213983,11,579.745445
20.930812,42,579.776016
26.189832,50,579.817041
9.045109,17,579.828027
10.046878,16,579.838135
4.746433,13,579.846654
6.853133,17,579.859414
13.424488,21,579.872754
6.59283,12,579.879515
6.851162,9,579.884364
13.504167,18,579.89532
7.306433,9,579.900536
10.205475,11,579.908242
14.236183,21,579.920359
31.661539,27,579.936535
12.450016,16,579.945136
13.691172,17,579.955588
10.930697,17,579.966543
7.784547,18,579.977425
15.809699,21,579.989576
215.744535,107,580.045883
14.911128,39,580.06611
10.480571,31,580.082621
13.576377,19,580.092816
20.929867,28,580.107918
7.266652,11,580.114163
11.062903,21,580.129276
9.646373,13,581.070402
21.924091,19,581.080415
30.965771,30,581.099019
23.702419,22,581.112815
8.301242,11,581.120368
60.085042,40,581.147587
16.958434,20,581.162805
12.527202,16,581.171945
21.71607,21,581.185293
20.084129,20,581.198004
20.802369,23,581.211675
12.60359,20,581.222833
8.201988,15,581.232509
17.825569,19,581.243278
6.508502,9,581.248492
25.726803,29,581.26515
14.526486,15,581.273937
39.136583,34,581.293328
22.841776,19,581.303165
21.073667,22,581.316468
13.825333,17,581.326779
21.857633,28,581.344031
8.027643,11,581.350729
20.665431,20,581.363505
10.795097,19,581.375281
6.829899,10,581.38144
15.73494,30,581.399606
16.835034,17,581.409698
33.325948,28,581.424529
19.228381,21,581.43567
111.892426,69,581.474682
26.985192,25,581.489913
17.528673,18,581.501192
19.852599,28,581.51731
30.936204,27,581.533293
21.486758,19,581.545299
18.587563,34,581.564051
15.976911,18,581.574032
15.046808,16,581.583103
12.616484,25,581.598586
7.543506,21,581.611297
29.177458,46,581.636291
22.737101,29,581.66364
5.720983,9,581.673409
11.853188,15,581.688154
46.302283,34,581.71209
14.492483,20,581.733203
15.265049,16,581.744128
22.882415,22,581.761465
13.031642,19,581.775519
11.697654,16,581.786712
34.874454,35,581.80992
11.218266,14,581.819429
8.55411,11,581.82658
72.414901,46,581.858327
15.765807,27,581.873386
106.737564,60,581.908082
14.419988,24,581.92298
7.574802,10,581.928899
86.287419,54,581.964835
6.996365,10,581.972975
18.691035,27,581.990634
49.779114,33,582.013294
24.764004,24,582.028453
8.215918,10,582.035355
29.285402,25,582.050855
16.786506,28,582.06831
9.50435,11,582.077001
11.400089,14,582.085984
29.654931,28,582.103779
6.898857,10,582.110109
23.804834,27,582.127149
35.507764,31,582.145061
11.461982,16,582.154265
11.789608,18,582.167878
10.364034,13,582.175377
9.829739,17,582.185704
36.868067,39,582.207261
33.751028,35,582.225294
15.600519,20,582.237279
10.965538,12,582.244719
10.854122,13,582.253714
14.170643,17,582.264169
9.128817,11,582.271087
10.640161,16,582.280187
23.528667,22,582.294243
11.720639,12,582.301653
17.408335,19,582.312734
11.217367,27,582.328642
20.703385,19,582.339023
19.312764,24,582.353004
12.97825,17,583.324067
17.772091,19,583.334022
62.100469,40,583.357132
147.967401,72,583.397768
11.343774,12,583.407938
167.497402,87,583.458039
63.832759,38,583.480401
89.383965,71,583.521547
78.048007,48,583.551446
25.317871,37,583.574631
45.163112,35,583.59606
13.026106,14,583.603514
44.643304,51,583.634767
38.110778,32,583.654385
11.312117,16,583.663314
