#{"t_start": 1736594988.78086, "env_id": "CustomHopper-source-v0"}
r,l,t
7.452833,15,0.448562
9.526647,14,0.456989
9.525971,13,0.466092
18.171243,19,0.478786
9.84679,11,0.485914
7.904879,34,0.509334
97.614268,56,0.543715
6.009887,9,0.549757
29.25711,28,0.567716
8.047264,23,0.582096
7.020977,10,0.587747
7.635351,12,0.595009
9.04625,12,0.604325
8.130745,14,0.613438
6.43134,15,0.623149
24.539123,25,0.63955
30.628727,28,0.65998
5.139144,10,0.666534
10.481677,17,0.677293
26.999669,23,0.690431
5.779061,10,0.697284
11.437833,20,0.710989
79.197108,54,0.746049
7.818764,11,0.75263
48.182003,40,0.778643
9.755782,14,0.787155
4.224689,11,0.795959
7.894067,19,0.807817
12.932784,18,0.818337
10.632597,14,0.827996
6.252765,14,0.838171
11.117895,18,0.849724
12.820259,16,0.860132
8.715387,13,0.868962
8.548282,10,0.875379
6.532326,11,0.88243
7.989045,24,0.898141
10.414708,14,0.910185
7.475854,13,0.918654
6.532628,11,0.927413
12.011523,20,0.941185
7.488179,21,0.959969
4.387354,17,0.975165
1.763707,10,0.983185
7.276001,21,0.998641
43.425719,42,1.023902
6.927779,16,1.034109
14.487708,19,1.046196
23.301306,24,1.062212
94.498574,53,1.093622
6.95146,10,1.099711
12.962468,27,1.116136
10.192524,14,1.125368
5.248623,9,1.131578
15.308781,18,1.142605
13.084272,16,1.152554
8.707879,15,1.162623
51.445917,30,1.183356
49.802797,37,1.206022
16.336534,16,1.21486
9.858109,15,1.224448
11.360297,13,1.240289
7.863858,14,1.252437
29.522836,28,1.27462
24.189756,21,1.290829
30.154508,29,1.311552
8.353785,24,1.327105
10.41358,15,1.336892
8.702985,11,1.342994
8.456458,15,1.35342
28.658827,32,1.37432
8.362172,12,1.381992
27.744948,24,1.397231
7.646291,10,1.407188
10.631832,26,1.422258
15.729459,19,1.434284
10.861433,12,1.441679
12.942743,22,1.455187
11.643413,17,1.465693
13.934646,31,1.482526
19.307823,28,1.499824
71.478088,40,1.524169
16.556379,22,1.538113
14.104699,21,1.550661
6.799039,10,1.557768
26.330589,25,1.573658
10.076003,15,1.583513
10.072251,14,1.592477
11.015952,23,1.60657
33.45747,27,1.623905
14.908277,15,1.634835
12.050385,15,1.64457
8.888825,12,1.652181
5.50811,11,1.659169
4.976676,9,1.665731
19.593842,18,1.676356
6.343116,10,1.683355
18.897732,15,1.695592
7.526514,10,1.702127
15.720409,17,1.711555
10.734503,16,1.72086
4.345192,7,1.725996
6.132341,13,1.733804
21.728559,29,1.750679
8.409054,12,1.758345
6.297644,9,1.76363
21.772614,19,1.776017
12.742053,16,1.785652
16.288627,19,2.834572
25.254016,25,2.852834
20.267195,19,2.865953
11.895997,31,2.890391
13.887278,15,2.900196
10.009584,16,2.910749
22.202897,42,2.937219
38.046552,39,2.959774
64.440528,46,2.98558
21.146918,20,2.997073
4.989782,8,3.002734
10.267284,26,3.02382
13.003031,13,3.033273
18.172106,18,3.045738
6.306463,34,3.066575
12.036894,21,3.078615
29.960115,27,3.095905
27.396372,32,3.116311
27.776517,22,3.129813
22.576136,20,3.140753
6.935816,10,3.146938
9.297963,13,3.154581
9.815596,14,3.16374
24.291252,23,3.177115
7.621313,11,3.183874
6.532707,10,3.191237
17.295984,17,3.200526
97.360814,52,3.229917
6.395154,10,3.235605
4.797638,10,3.241532
9.09944,24,3.256545
19.841003,18,3.26759
7.892043,10,3.273737
7.160147,9,3.279608
10.712272,16,3.289863
12.602214,14,3.29858
110.671318,61,3.335661
59.848504,48,3.364925
30.034671,29,3.3845
9.631079,20,3.395165
13.354388,43,3.423445
10.092668,12,3.43117
24.419817,21,3.443959
9.034221,12,3.451476
8.795337,13,3.45928
8.72826,12,3.466934
11.656982,21,3.481674
23.678092,20,3.494417
16.732663,18,3.505975
40.727619,30,3.52234
209.226871,126,3.596823
28.139953,31,3.614535
12.529196,16,3.624424
14.127656,45,3.651721
17.734697,21,3.667681
14.386667,18,3.677883
17.485924,19,3.688497
6.816591,27,3.705092
12.445606,13,3.712774
3.956229,19,3.724116
32.571425,26,3.740136
5.806117,9,3.745885
17.618223,25,3.762094
13.773602,16,3.771093
45.535518,43,3.795014
9.150319,12,3.803187
29.562468,23,3.81722
60.444427,58,3.855768
7.675881,10,3.862114
10.580565,17,3.872825
4.864857,15,3.881864
119.495191,76,3.928306
8.897796,18,3.938264
10.061535,14,3.946133
98.499753,54,3.976643
13.374425,15,3.985366
22.335143,25,4.001557
10.119871,14,4.01041
24.765754,42,4.033177
24.910159,25,4.046563
11.140158,14,4.054586
13.71365,22,4.065671
8.947268,25,4.079496
17.048823,44,5.080386
15.311985,18,5.092087
8.79942,14,5.103617
6.170517,11,5.113247
8.848394,21,5.126386
2.260478,25,5.142529
140.528226,88,5.19855
3.71229,16,5.208557
78.272228,44,5.232587
9.770252,14,5.240892
209.819492,90,5.294553
16.992827,33,5.313049
9.266229,30,5.33058
65.054832,47,5.360459
66.576641,46,5.389683
54.251061,31,5.409447
33.545837,34,5.432556
29.105316,24,5.447779
57.483149,45,5.474637
14.659785,19,5.486829
112.57402,59,5.5216
128.868559,69,5.560459
12.592295,31,5.576537
51.734321,35,5.596035
7.837055,15,5.604074
9.294993,14,5.612597
24.739441,45,5.639979
11.742918,29,5.657793
150.67337,70,5.696485
13.705993,22,5.709991
32.860871,22,5.723335
19.108855,18,5.733127
8.111456,11,5.740258
77.003743,45,5.767177
9.430102,16,5.776617
46.089071,33,5.794652
8.100332,10,5.801301
107.058626,56,5.836291
7.216552,13,5.844925
32.565737,28,5.861957
75.40026,44,5.889799
35.782505,28,5.907588
39.898067,30,5.925692
37.333134,26,5.941735
3.901622,26,5.956148
94.118595,51,5.983486
157.529646,76,6.023501
11.908664,13,6.031357
14.794333,15,6.040588
132.695843,65,6.075687
22.40511,23,6.087785
6.985001,12,6.095833
16.093567,18,6.105956
143.694474,87,6.156672
39.018833,29,6.173831
164.908652,91,6.230623
32.486773,50,6.265425
91.330594,57,7.253556
13.969231,15,7.262622
23.238645,20,7.274665
188.916205,82,7.327255
205.726052,89,7.379941
67.484401,39,7.402875
83.030569,46,7.431657
151.035102,75,7.477114
207.202952,92,7.525475
19.17806,30,7.541423
13.216586,14,7.549505
101.982756,59,7.580415
79.224526,47,7.60542
140.28511,69,7.644202
29.314574,23,7.658477
18.705258,19,7.669891
94.771596,55,7.701324
96.383788,81,7.748812
137.268471,89,7.80182
39.732878,37,7.824457
8.712593,12,7.832458
58.891313,34,7.851556
44.694776,35,7.872639
50.843378,62,7.909226
126.541418,67,7.947403
138.848854,69,7.986832
14.863621,17,7.997566
128.375563,81,8.046
9.207439,10,8.052558
112.520558,58,8.086202
37.358874,30,8.102022
98.244851,59,8.139285
121.864998,59,8.173516
216.685711,95,8.228693
185.09288,91,8.280177
76.669855,61,8.318919
101.632068,54,8.350069
139.465702,69,8.389282
62.021533,56,8.419525
91.052495,47,9.418239
77.280845,42,9.445456
65.003916,38,9.469725
22.026409,22,9.48332
209.408223,92,9.547316
151.779194,76,9.59084
56.672258,50,9.622262
99.273302,53,9.650792
46.542447,34,9.671089
202.767402,90,9.724495
196.402693,93,9.774283
236.948969,120,9.843301
64.880296,38,9.865071
60.972424,35,9.886833
98.884647,57,9.920292
14.132044,17,9.92927
84.714895,46,9.958491
140.148949,68,10.000073
208.578123,89,10.057684
24.865481,21,10.071035
195.919317,100,10.135112
233.162334,142,10.219452
113.743459,58,10.252145
76.218768,42,10.279459
198.945779,85,10.330777
223.808043,102,10.388825
72.431684,43,10.415669
260.988893,126,10.490573
12.065238,13,10.499475
186.020272,85,10.553527
166.008631,129,10.621947
109.77546,58,11.62153
60.339672,39,11.648293
62.478873,36,11.670326
200.145375,87,11.721856
54.439449,32,11.74186
75.710098,43,11.764906
127.490998,62,11.801789
130.379472,66,11.84053
73.726889,41,11.864288
216.498516,91,11.917421
198.17813,88,11.968637
157.19917,79,12.014276
81.879374,45,12.042291
66.731532,38,12.066542
41.95337,27,12.085619
181.101051,81,12.135292
72.920735,44,12.160138
126.543736,66,12.1978
162.921553,75,12.237257
56.509088,33,12.256488
96.954883,51,12.284071
208.208196,92,12.333366
185.405568,100,12.39134
149.599736,73,12.43739
165.622572,77,12.484889
217.515277,104,12.550059
161.853545,74,12.591601
42.439729,36,12.612837
38.878917,29,12.632289
74.15207,41,12.654724
57.540084,34,12.673806
167.749013,98,12.727904
65.03227,37,12.74703
211.891048,103,13.766763
183.898475,83,13.828934
165.190306,82,13.884748
55.377538,39,13.909704
190.308197,84,13.96291
211.934359,91,14.021683
188.714068,88,14.080683
209.694947,93,14.138493
201.013611,91,14.200448
103.242732,56,14.231667
55.746705,32,14.248329
208.177704,93,14.302308
81.466842,51,14.333016
249.819577,118,14.407121
160.08554,82,14.456423
178.233797,81,14.50491
198.790486,86,14.557544
212.224986,99,14.615236
193.872723,113,14.683846
86.501469,57,14.717124
205.908133,91,14.773862
202.034991,87,14.827838
14.014781,18,14.839381
255.135736,130,14.919305
243.647993,116,14.990829
237.784,104,16.012954
197.884757,85,16.067596
225.990522,102,16.12838
196.165367,86,16.182444
133.062214,66,16.22236
224.781686,111,16.291328
127.565809,63,16.330762
236.191982,114,16.40196
141.238044,67,16.444554
209.347397,105,16.513395
208.883696,92,16.569633
220.864696,102,16.638225
84.5805,47,16.66794
217.796523,100,16.749973
157.414168,76,16.820234
209.526912,93,16.898319
68.602,39,16.930502
98.206357,53,16.971599
132.700308,66,17.014415
164.536036,76,17.064162
196.601576,86,17.125188
117.01124,60,17.161356
203.569386,88,17.22316
173.253266,78,17.274147
212.581728,91,17.334701
232.603567,116,18.491492
208.224604,89,18.553598
201.902818,94,18.617174
233.432255,123,18.698612
209.251015,93,18.759264
99.316208,55,18.794078
191.296451,85,18.855018
61.663457,42,18.89358
200.745194,97,18.960471
69.180871,37,18.986278
252.248902,129,19.069877
118.739566,68,19.109686
221.738857,93,19.179495
142.922994,72,19.227543
182.794264,87,19.286153
221.22086,95,19.347243
220.830648,107,19.416148
227.062861,95,19.488717
71.001823,38,19.51365
132.556928,67,19.556406
