#{"t_start": 1736594988.7943873, "env_id": "CustomHopper-target-v0"}
r,l,t
15.684967,18,398.563511
13.251753,18,398.589745
15.985343,23,398.607482
5.22347,20,398.621936
19.496975,24,398.638997
13.282216,22,398.657081
69.062484,41,398.684116
15.645287,21,398.698621
5.222275,12,398.710876
12.254641,13,398.73139
13.913832,15,398.746294
8.580861,10,398.757218
8.587088,11,398.770891
23.933419,23,398.793326
5.604984,9,398.803912
6.402692,12,398.814906
8.673076,13,398.826429
11.37306,16,398.842243
5.44532,12,398.852566
12.94995,15,398.862662
12.985465,16,398.876204
9.531551,13,398.886823
6.463545,9,398.892619
9.962425,25,398.912239
10.251294,14,398.921513
13.934873,15,398.930927
5.261252,11,398.937715
5.233414,8,400.437735
11.587341,14,400.446786
8.073896,11,400.453894
14.1386,15,400.463345
19.317134,20,400.474945
7.393994,10,400.480927
23.316719,27,400.497278
8.170634,12,400.504655
36.848716,41,400.530689
6.156298,9,400.536532
9.388709,11,400.543129
20.99729,24,400.557539
25.788615,23,400.571142
12.970352,18,400.580932
8.825835,15,400.590986
6.571488,9,400.596122
6.816475,10,400.603364
6.737812,11,400.609118
24.051656,23,400.623377
10.382285,13,400.631473
11.343664,13,400.639249
13.720538,17,400.649985
27.791051,37,400.671622
20.731565,20,400.684071
9.594711,11,400.691592
7.752171,10,400.699223
13.158238,14,400.707543
21.807024,33,400.748779
29.344331,48,400.800317
7.101098,15,400.811796
9.592139,11,400.819553
20.427311,25,400.836816
9.396705,20,400.849779
8.595558,11,400.856847
7.37208,9,400.862342
5.894369,8,400.867002
15.787292,17,400.877246
53.024708,40,400.903933
9.114658,13,400.912495
6.492304,9,400.917526
17.518086,20,400.928594
6.027352,20,400.940913
12.720333,15,400.950395
19.303295,32,400.96962
8.683352,16,400.981843
10.136903,13,400.993073
6.171736,19,401.008708
13.423129,14,401.018417
6.620675,31,401.049871
12.487769,16,401.059555
16.476695,21,401.07704
27.608891,26,401.096822
9.503898,27,401.115884
49.031367,37,401.1443
10.146705,13,401.153697
8.525918,10,401.160406
7.422875,11,401.168
7.845445,12,401.175756
10.901157,13,401.18307
14.769097,21,401.197226
21.165502,31,401.217762
6.609179,9,401.224824
7.856154,12,401.233593
9.894615,12,401.242953
5.090419,13,401.251556
8.836762,22,401.26991
19.444464,19,401.280685
15.192473,17,401.292658
8.544203,10,401.301808
37.81544,27,401.320264
10.577647,16,401.329671
15.804869,18,401.341455
9.879872,14,401.350571
5.751712,20,401.365121
8.518911,14,401.373524
6.767318,12,401.381307
8.628186,12,401.389922
10.81844,14,401.397906
25.944375,23,401.410547
10.329411,12,401.417491
14.17188,23,401.431155
11.841743,13,401.437971
4.877933,12,401.444136
9.638927,15,401.452338
6.882324,29,401.467508
29.354399,25,401.480805
10.84256,17,401.490309
5.512223,10,401.495884
23.12377,28,401.510162
18.734917,24,402.653566
9.469039,18,402.668081
62.928422,42,402.696974
26.627106,26,402.714197
15.954737,16,402.724697
14.978945,15,402.738145
18.799461,38,402.764271
16.460174,17,402.776356
50.405402,46,402.806687
17.737546,17,402.816237
20.117779,21,402.828651
11.877147,18,402.84218
10.658385,14,402.851614
10.369056,20,402.8637
39.307408,27,402.880269
156.096821,81,402.925579
13.985365,17,402.935103
11.138727,14,402.942774
14.902865,23,402.955863
22.686373,22,402.967689
146.570256,71,403.005417
16.712669,28,403.024795
9.609055,17,403.035109
6.13404,13,403.043145
34.343461,28,403.060315
6.679662,14,403.067453
90.926584,62,403.146004
14.86111,18,403.162646
8.248235,11,403.170289
24.864788,21,403.18548
7.304209,11,403.193937
96.258973,60,403.241222
15.128559,32,403.262178
9.271273,14,403.271437
22.059764,21,403.284526
17.495553,22,403.29758
17.01527,19,403.310907
6.976473,10,403.317033
175.8912,87,403.370787
9.510446,22,403.384236
167.40336,102,403.443208
10.681948,25,403.459458
29.480972,24,403.472957
6.36261,12,403.479545
21.252301,23,403.491687
17.947167,28,403.506695
16.141056,16,403.515142
28.077657,35,403.535811
26.656107,24,403.550104
25.101105,23,403.564357
14.197484,18,403.576391
7.784839,10,403.582291
25.427695,21,403.595188
82.864318,57,403.625723
15.728445,23,403.639138
12.931666,18,403.649926
32.361419,46,403.675896
6.778417,9,403.680561
7.225108,11,403.686542
21.235521,18,403.698517
108.679923,59,403.729913
6.390142,10,403.735989
8.93528,22,403.74702
7.08669,11,403.753848
9.465955,15,403.762022
15.791247,27,403.776091
9.676476,15,403.785184
15.035248,16,403.794167
26.735147,25,403.811198
20.831686,33,403.870905
40.016185,33,403.909131
10.376856,19,403.924315
25.245467,23,403.940514
60.377057,37,403.966657
17.860859,18,403.979149
7.903575,13,403.989177
60.39017,45,404.959765
103.347814,64,405.006102
21.977115,28,405.023846
10.80172,12,405.033432
10.085584,13,405.043517
35.148534,35,405.067075
13.569041,16,405.077636
36.066115,32,405.095586
118.152039,67,405.131114
107.948164,63,405.167207
29.203595,26,405.182384
18.129902,21,405.194384
14.639852,41,405.215787
20.227314,20,405.227028
86.23338,48,405.258051
128.410759,79,405.306354
25.281804,22,405.320399
103.261367,68,405.362247
115.050553,77,405.413711
51.989369,59,405.473227
79.397256,53,405.522009
69.944775,41,405.552209
167.656749,84,405.614031
12.018216,15,405.624089
9.492533,11,405.631157
35.643747,27,405.648592
87.575549,51,405.680538
18.442466,20,405.695688
66.261098,87,405.751473
35.458665,35,405.77411
74.795136,48,405.80717
10.150356,15,405.816846
15.974634,18,405.830556
35.710269,29,405.84897
13.966725,18,405.86275
21.00202,19,405.874902
35.852681,33,405.895643
26.00287,24,405.91085
