#{"t_start": 1736609181.0895088, "env_id": "CustomHopper-source-v0"}
r,l,t
8.533148,13,0.352259
3.58028,16,0.3641
17.941031,35,0.389781
64.660884,38,0.41869
10.739523,24,0.433769
13.666302,16,0.446134
4.121034,16,0.457283
68.206794,58,0.49778
12.291031,15,0.507257
9.753593,18,0.520129
9.002441,14,0.530228
24.39001,31,0.551103
8.070946,15,0.566108
3.870213,14,0.575574
4.211278,7,0.579705
15.254908,16,0.590446
65.048891,45,0.6187
6.272391,13,0.626604
5.378302,33,0.651925
6.785599,9,0.658577
3.058213,12,0.668596
44.97785,32,0.692462
5.344262,10,0.698545
8.207879,15,0.709485
11.921999,15,0.718327
17.105175,17,0.729578
25.300658,21,0.744084
14.365793,17,0.754528
6.599582,9,0.759233
13.218828,17,0.769514
15.503155,17,0.778665
13.266364,21,0.791257
22.938571,22,0.804384
12.094327,16,0.813462
16.618675,30,0.829706
8.206323,10,0.834798
4.831585,12,0.841954
48.678245,33,0.860821
7.738763,11,0.866944
11.199274,17,0.87622
18.863074,20,0.887372
8.743266,12,0.894308
13.773932,14,0.902206
78.951876,47,0.927517
18.870618,20,0.938195
10.069547,15,0.946383
12.476763,22,0.957879
12.645017,20,0.96904
7.266404,10,0.97423
8.474817,11,0.981908
4.381755,12,0.988471
28.137766,47,1.01476
9.854502,17,1.024605
14.521136,37,1.044366
8.468816,11,1.050714
3.565178,10,1.056116
36.65484,34,1.0768
14.885734,16,1.086244
14.740509,20,1.09915
12.368414,13,1.106421
8.293084,21,1.11913
5.39155,10,1.124529
10.106476,18,1.134794
9.372152,11,1.140846
7.971397,19,1.151483
7.936017,21,1.165693
4.057433,9,1.170697
15.684861,34,1.189981
7.8108,10,1.19539
17.918033,26,1.210073
11.830224,14,1.219168
4.14856,8,1.224339
7.444631,12,1.231743
10.870076,27,1.24721
23.414989,28,1.262187
5.05874,10,1.267282
3.583002,12,1.273416
15.162275,25,1.28771
6.119302,11,1.294033
43.370239,38,1.314778
6.964381,10,1.320311
6.512387,16,1.329495
34.189819,31,1.346376
29.001935,24,1.35831
4.594227,9,1.362762
7.395149,13,1.369736
