#{"t_start": 1736609181.0991218, "env_id": "CustomHopper-target-v0"}
r,l,t
22.922294,22,339.818033
5.797008,8,339.835498
9.524234,11,339.85124
8.730977,12,339.869204
10.897294,12,339.881614
23.329116,32,339.905009
10.961094,14,339.917281
7.176597,16,339.929405
7.423047,10,339.935892
8.345339,10,339.944273
18.265304,23,339.960825
6.664068,9,339.969797
15.699507,16,339.982036
7.114139,13,339.99234
8.206733,16,340.002561
8.035663,10,340.008842
13.178217,17,340.019972
6.631885,12,340.029933
11.740092,19,340.044502
27.511989,23,340.059473
7.570185,9,340.065596
8.144211,12,340.072719
62.987751,44,340.099434
8.556654,10,340.104698
33.504015,49,340.134715
22.139677,22,340.14734
17.333762,19,340.15875
23.238571,31,340.17949
26.055742,21,340.191931
15.516542,28,340.208233
17.031201,17,340.218574
42.178202,32,340.236158
8.850419,19,340.245857
28.033838,30,340.265977
10.230254,18,340.277045
41.718258,34,340.298551
6.390718,10,340.304947
10.341762,17,340.317007
14.206089,17,340.329031
14.865011,15,340.3383
13.895178,21,340.351853
18.762221,28,340.368867
16.455963,18,340.379798
13.579476,18,340.390262
10.390131,14,340.397654
6.215024,9,340.403895
33.561608,31,340.4271
13.630413,22,340.443568
6.90903,10,340.450486
12.545859,15,340.459514
6.524432,12,340.468068
5.396067,8,340.473197
17.246979,19,340.485803
8.956092,11,340.492302
11.830013,15,340.501513
6.021679,17,340.511066
20.664605,18,340.522104
6.37301,10,340.530358
21.614409,23,340.54494
11.703386,15,340.554208
32.206331,30,340.572864
7.939577,10,340.57953
12.288633,22,340.594327
8.874358,12,340.600682
9.108618,15,340.60986
10.869174,13,340.616973
7.537482,17,340.627387
6.86783,11,340.632963
10.950387,15,340.642019
5.160351,12,340.648766
21.059946,29,340.665309
13.323402,24,340.682103
7.610427,9,340.688407
11.095643,15,340.69741
13.408582,21,340.708498
7.233404,11,340.718231
8.740511,12,340.725082
19.396889,21,340.737935
14.603149,24,340.753384
11.262543,12,340.761635
12.396729,15,340.772755
14.266051,33,340.797414
10.076301,12,340.808103
10.458905,13,340.815357
13.477022,27,340.830875
8.042862,17,340.841847
4.804801,8,340.846426
14.097505,16,340.85611
27.946235,31,340.874418
13.889942,18,340.885237
5.429741,8,340.889858
7.201877,10,340.89596
5.584234,9,340.90382
6.716532,10,340.909379
6.848534,14,340.919829
33.876669,27,340.935172
14.184791,18,340.946836
19.60132,20,340.958709
25.194436,23,340.973285
14.791195,16,340.983455
15.461325,16,340.994049
14.892895,20,341.004689
8.60556,13,341.01279
18.329153,20,341.02425
12.558589,28,341.03992
6.023013,18,341.050742
9.326991,14,341.059119
14.841308,17,341.06771
30.349113,38,341.091544
12.059582,15,341.101996
19.976192,21,341.116576
8.58208,11,341.126548
9.278215,21,341.140072
9.98518,16,341.149399
10.504999,28,342.164598
25.008078,22,342.177697
18.690795,19,342.189057
37.979045,40,342.211031
5.186364,18,342.222224
8.202136,10,342.228278
61.877912,59,342.263465
8.058154,11,342.26978
10.219143,12,342.276762
8.761308,13,342.284401
70.181866,44,342.30999
14.258404,14,342.318463
21.974781,21,342.330919
10.288358,13,342.338827
26.748954,25,342.353907
38.506243,33,342.375762
24.911124,23,342.389776
12.632415,24,342.403294
55.669635,36,342.424309
44.560318,36,342.44453
16.124418,20,342.456603
10.72082,12,342.463459
141.630355,76,342.503267
21.166715,25,342.516922
4.75037,9,342.522361
10.646061,13,342.530891
10.975475,15,342.540429
7.346291,12,342.547631
85.814706,55,342.577699
17.436428,18,342.588074
13.135711,15,342.595947
7.151658,11,342.602889
24.833716,39,342.625448
10.638179,12,342.631905
6.431133,9,342.63719
19.458644,32,342.656886
6.724756,30,342.685243
13.791087,24,342.709936
7.962167,12,342.718179
61.526339,44,342.746572
18.950524,24,342.769774
17.39737,17,342.780806
32.410218,24,342.799551
4.793021,8,342.804821
8.524442,11,342.811368
18.69566,18,342.82586
51.784517,46,342.851895
10.340805,12,342.860249
54.839338,41,342.88401
10.116164,18,342.89323
25.539332,23,342.904968
9.636238,13,342.912431
7.347514,13,342.919736
79.004202,55,342.95179
58.405931,41,342.975417
29.239191,23,342.988126
12.200181,14,342.997011
24.760419,23,343.011002
18.235118,20,343.022123
15.950737,19,343.036114
11.809243,13,343.043734
10.231871,15,343.05143
61.874759,45,343.075635
7.67665,13,343.082818
10.922846,13,343.089713
13.575548,33,343.107908
23.930841,22,343.121591
25.42782,21,343.13366
8.783075,17,343.14622
11.218141,23,343.164433
11.572412,17,343.175222
17.272584,35,343.195879
51.319837,62,343.229133
7.700569,10,343.234661
28.960376,25,343.249062
69.476011,42,343.273603
14.353675,23,343.289199
14.263135,23,343.301909
24.420797,39,343.324181
15.634195,24,343.33788
94.664308,61,343.370715
24.373045,32,343.393161
154.373341,87,344.431592
9.121457,12,344.438516
55.707376,69,344.482839
51.770911,37,344.505143
18.832714,27,344.525175
103.817244,62,344.562985
21.496854,27,344.581903
10.013356,12,344.589117
13.374587,17,344.599664
35.319751,34,344.620616
27.539056,30,344.64083
118.090487,63,344.684685
83.473292,55,344.718409
103.70756,68,344.760867
55.081251,70,344.801473
118.596622,77,344.84735
114.656298,72,344.893205
14.809205,19,344.908701
36.408097,50,344.937727
8.816335,13,344.947049
19.145946,20,344.958202
6.841123,14,344.966825
11.979724,14,344.976203
19.527841,29,344.99261
21.391463,30,345.01009
3.927286,12,345.019371
42.651752,32,345.038706
11.654343,14,345.047955
96.297266,60,345.083029
9.329542,11,345.089491
171.791452,81,345.134615
94.58149,53,345.167523
13.551012,15,345.175527
16.933393,20,345.187613
15.160183,24,345.204235
35.053172,34,345.228799
15.670201,19,345.241753
12.267617,22,345.255454
21.901192,30,345.273928
80.258232,68,345.312711
11.585122,17,345.321567
58.013033,42,345.343632
33.892506,39,345.367006
20.154786,37,345.386475
12.131491,15,345.395156
42.969411,44,345.416437
18.590414,22,345.429175
79.573404,51,345.458304
109.872342,85,345.528134
31.137372,42,345.561006
10.630551,18,345.573329
10.520193,15,345.581971
28.889194,29,345.599319
55.28461,33,345.618486
25.043805,25,345.632813
16.428913,19,345.644796
71.93193,47,346.605622
73.419996,45,346.632244
128.401651,72,346.676233
86.539685,53,346.712195
77.625769,49,346.741548
103.250222,58,346.777876
78.039944,49,346.807087
202.610987,112,346.872312
132.152033,77,346.916199
94.453085,57,346.95109
73.294591,45,346.97458
188.367644,94,347.028183
54.988883,46,347.05422
43.401985,30,347.069772
76.754598,51,347.095443
70.951831,45,347.122962
18.97535,23,347.138716
55.634738,36,347.161405
11.798934,31,347.179723
15.138646,17,347.190027
178.706166,147,347.275828
22.06931,22,347.293251
158.164899,79,347.339992
88.374289,53,347.370188
65.836822,41,347.394143
58.1005,40,347.416446
15.314833,17,347.424992
76.6655,54,347.466507
