#{"t_start": 1736607680.5680785, "env_id": "CustomHopper-source-v0"}
r,l,t
97.067187,61,0.639472
6.727825,12,0.645982
37.587779,34,0.665071
26.619511,33,0.683301
7.998636,11,0.689348
7.588628,9,0.694982
4.784702,8,0.702218
6.430901,15,0.721902
16.516958,17,0.745811
12.59105,14,0.762751
4.045105,7,0.770622
7.164213,12,0.783705
54.750895,31,0.812057
7.419926,16,0.825569
5.555259,10,0.834605
28.336495,35,0.864241
12.91451,15,0.876584
5.60668,8,0.883508
7.663203,11,0.893353
11.947583,13,0.90166
8.298337,13,0.91262
16.078214,22,0.929055
13.244292,13,0.93901
6.693355,16,0.9519
41.481128,44,0.982595
7.411155,30,1.001309
109.881627,99,1.060177
15.199118,16,1.071003
24.481294,23,1.088286
5.460336,9,1.096034
7.498796,9,1.102232
5.827213,10,1.109237
9.281399,20,1.12328
17.720367,24,1.141654
9.365764,12,1.150175
41.836789,38,1.174255
17.572703,23,1.18991
10.818242,17,1.202497
15.16464,18,1.224555
9.83805,13,1.236728
11.568739,13,1.244674
12.783754,24,1.270487
6.03712,12,1.281091
14.549288,20,1.298793
13.94825,18,1.312539
11.82023,20,1.330648
5.66168,11,1.338381
5.469446,28,1.373183
7.499277,10,1.382135
10.662688,14,1.391984
3.262994,12,1.400144
9.803169,13,1.409788
17.196974,19,1.423814
6.024075,10,1.429902
9.301555,11,1.437197
15.774758,17,1.448482
8.468818,23,1.463395
10.048811,16,1.475623
6.32083,11,1.484081
10.292546,25,1.500766
9.747669,13,1.508466
10.251832,21,1.522479
7.938966,14,1.533545
7.257148,12,1.5407
6.683138,9,1.549149
16.688718,22,1.563934
3.07848,9,1.569396
12.075963,18,1.581368
13.849316,14,1.589863
13.506588,20,1.602175
7.359937,22,1.61515
5.402432,13,1.622551
9.26281,11,1.63106
4.796163,12,1.638969
11.889837,28,1.657112
5.745947,13,1.664862
8.943933,22,1.677727
22.709071,20,1.689653
8.688753,11,1.696144
5.687872,11,1.703437
4.708331,12,1.709863
8.874505,12,1.716208
28.322831,24,1.733852
8.175041,11,1.74245
87.620913,52,1.775782
18.302875,19,1.788028
24.655553,36,1.811579
19.865042,22,1.833921
45.844079,26,1.858001
28.705888,29,1.88377
13.311451,39,1.919931
6.857135,10,1.930929
10.604474,17,1.94795
3.985773,11,1.958953
31.78062,33,1.981302
9.102354,14,1.996073
6.946071,9,2.0052
4.943769,8,2.010468
5.18085,9,2.018364
5.422982,10,2.024618
56.314966,41,2.053023
57.423586,34,2.075836
11.591192,16,2.087159
13.214708,22,2.101069
22.388801,20,2.113422
172.677321,120,3.261765
11.902651,17,3.27176
132.874462,87,3.322773
3.675367,11,3.330433
11.084789,13,3.33864
