#{"t_start": 1736607680.58154, "env_id": "CustomHopper-target-v0"}
r,l,t
121.941662,67,349.829751
14.230911,16,349.851222
7.289461,15,349.862441
5.704491,8,349.868753
20.477441,29,349.889789
7.305215,14,349.899632
21.612232,28,349.923789
5.934063,10,349.935453
9.594356,11,349.945945
15.287838,18,349.959836
10.163417,13,349.969756
7.41548,11,349.980184
17.232196,27,349.999577
13.58901,19,350.014269
21.762983,25,350.03315
7.91771,13,350.044647
5.595786,10,350.050534
11.831949,20,350.064391
10.426844,11,350.073232
12.642793,21,350.086384
9.678691,12,350.093546
18.381847,20,350.10834
35.997073,34,350.13208
14.376128,17,350.142846
9.005532,12,350.151424
3.954979,7,350.156136
15.451639,19,350.170645
6.532139,10,350.177325
11.257989,12,350.186428
7.301389,9,350.192816
5.960053,18,350.209183
7.641031,10,350.223137
8.759224,11,350.238734
13.819898,22,350.260543
16.027356,17,350.274663
12.362216,13,350.285262
18.736235,20,350.302988
82.28763,53,350.348263
8.527447,13,350.360171
10.899851,16,350.373323
15.440952,16,350.384921
12.519864,23,350.402732
18.416405,28,350.424367
151.029585,81,350.490664
20.7664,21,350.510484
12.102112,14,350.521173
11.257086,13,350.530954
11.797498,15,350.541404
7.864357,12,350.550646
12.838914,18,350.564846
12.906241,16,350.577351
20.262768,25,350.593913
10.18112,15,350.603276
7.034672,10,350.611254
9.700739,13,350.619588
13.675948,25,350.636895
10.011352,17,350.649397
4.568069,9,350.657269
9.743241,13,350.665606
6.756196,12,350.675728
8.258434,13,350.684345
29.748686,40,350.714159
11.909507,12,350.728073
10.915815,17,350.744375
12.439492,14,350.754816
9.668758,22,350.770494
9.124843,13,350.778001
12.640736,15,350.794194
12.341601,16,350.806319
10.720129,14,350.816617
11.953802,14,350.826322
8.897961,14,350.836541
68.616849,48,350.869227
11.373597,14,350.880054
13.25243,17,350.893363
13.115706,32,350.915682
7.435627,9,350.922918
26.147153,24,350.939932
7.327671,10,350.946474
61.263971,61,350.989797
6.955052,19,351.002309
7.508309,9,351.008136
12.611715,16,351.020116
8.302488,11,351.027625
6.686575,15,351.039196
10.016419,12,351.048488
12.201482,16,351.058861
10.378153,11,351.065697
6.937567,13,351.075258
5.569212,8,351.080692
17.697403,25,351.095637
84.550879,64,351.135013
10.776779,14,351.143977
32.574402,31,351.162602
12.840112,15,351.171548
12.571848,21,351.185336
13.106597,14,351.193546
9.416573,15,351.201877
167.029911,119,351.27334
9.907752,13,351.281482
20.304702,21,351.295142
16.73979,17,351.306456
19.898638,23,352.312601
10.886871,14,352.321105
7.351128,12,352.328413
48.050418,49,352.359558
45.099743,45,352.38957
17.351957,17,352.403484
9.827723,17,352.415193
9.455998,13,352.423543
14.381216,21,352.436931
74.011518,52,352.46893
15.633195,19,352.481168
22.944482,27,352.497884
13.939925,16,352.508502
18.209142,23,352.524406
51.913669,38,352.551889
6.81176,11,352.559204
15.573248,20,352.571831
18.900184,27,352.588861
16.564572,19,352.601146
14.354425,23,352.615652
13.17651,16,352.624593
8.605675,12,352.63445
8.592589,12,352.641188
11.460678,13,352.649211
10.225771,28,352.667642
12.625281,19,352.679204
32.863707,30,352.696655
62.03892,39,352.718754
14.594689,15,352.727157
11.311773,22,352.739136
65.259798,41,352.764414
10.769192,15,352.777311
8.9129,11,352.786558
21.756534,37,352.823746
11.567767,14,352.840324
13.828354,22,352.861634
22.270648,18,352.880297
11.267241,17,352.920863
15.635141,19,352.965543
13.037726,14,352.982493
12.999159,24,353.002728
90.777801,59,353.044218
35.456844,39,353.067819
10.2977,11,353.074375
11.32754,17,353.084583
218.002945,127,353.165221
49.60931,51,353.199194
6.02239,12,353.206386
11.731389,13,353.215222
8.391886,13,353.223446
11.54275,18,353.234728
44.899307,72,353.281792
22.458542,19,353.293888
46.162866,53,353.325392
13.812957,25,353.338753
11.052862,17,353.349606
12.645719,22,353.362549
4.97599,7,353.366522
24.060801,30,353.384611
11.669839,21,353.399662
8.492606,10,353.406552
20.716037,21,353.420377
14.77118,29,353.439053
14.926642,16,353.449015
17.258723,19,353.461391
23.545493,23,353.47737
29.084458,34,353.503259
22.589595,22,353.519045
15.430443,16,353.528241
9.71917,14,353.536985
10.963588,23,353.553104
9.339645,31,353.575438
35.390323,30,353.595502
11.093506,13,353.603507
6.800532,12,353.611757
35.665909,27,353.628532
12.53437,15,353.637309
13.745572,16,353.647526
46.108808,29,353.665104
12.386491,32,353.683783
6.327792,11,353.690438
40.976405,40,353.716166
11.371374,13,353.725744
21.926566,20,355.054788
8.201903,12,355.063737
12.15582,13,355.074352
58.704698,57,355.113088
21.645316,20,355.126848
7.389507,27,355.145023
121.636264,63,355.187183
17.522095,15,355.197071
91.347076,54,355.231595
216.619247,105,357.381677
46.214329,43,357.407261
52.477788,32,357.425203
110.979434,120,357.500921
48.443522,44,357.529228
69.883617,40,357.556449
8.112117,11,357.565081
22.812054,43,357.593377
17.599279,18,357.605619
19.071449,29,357.624933
22.994323,24,357.641443
86.465553,51,357.674807
116.629446,65,357.712223
74.807619,45,357.742171
13.661135,14,357.750845
16.114765,19,357.7633
53.476068,39,357.788313
82.40338,52,357.842349
8.637083,10,357.851413
81.21414,46,357.927579
223.177383,102,358.017525
181.898686,102,358.112802
10.011325,13,358.125398
35.555754,33,358.159535
106.662236,56,358.206512
6.577913,14,358.21703
17.065726,29,358.240123
116.531082,79,358.293563
82.673601,49,358.331994
10.543425,12,358.343105
307.272359,171,358.485042
26.067315,23,358.502541
267.9691,145,358.597563
34.061459,35,358.621572
123.019902,78,359.893009
131.84147,74,359.944716
20.323746,22,359.961975
9.386572,12,359.972918
