#{"t_start": 1736605755.411791, "env_id": "CustomHopper-source-v0"}
r,l,t
10.018769,12,0.407538
17.150064,16,0.421808
14.805332,24,0.43737
4.28963,10,0.443474
8.907762,16,0.454252
11.737314,22,0.468351
3.661892,11,0.474352
7.05901,13,0.482188
1.048631,23,0.496236
20.862357,21,0.509537
11.788421,15,0.518666
17.8475,22,0.531762
2.126466,11,0.53777
15.777747,22,0.549695
21.64772,20,0.560068
7.623779,12,0.566584
5.542404,9,0.571342
7.474039,15,0.580884
17.396731,19,0.591829
5.182547,10,0.599094
42.412745,38,0.625101
4.188333,15,0.635552
16.923399,17,0.64817
49.469466,29,0.666718
8.65822,14,0.67594
29.493835,24,0.691837
10.22776,17,0.702652
5.467401,11,0.709853
6.456736,13,0.717789
4.644961,8,0.722841
24.379527,22,0.736351
7.424789,16,0.745365
14.390762,17,0.755046
5.303031,9,0.760794
9.041013,15,0.770656
13.546583,15,0.779603
57.913056,38,0.799596
29.327993,24,0.811935
21.55994,19,0.822153
17.400758,22,0.83327
23.277698,23,0.84604
3.574712,8,0.850961
4.270906,8,0.85584
223.958566,105,0.92597
8.330225,13,0.938369
11.328911,14,0.948611
10.310793,12,0.958644
62.550523,39,0.992368
9.41869,21,1.007832
5.603951,8,1.013403
9.568914,25,1.031991
13.118877,16,1.042446
3.615637,7,1.047613
23.645888,20,1.062458
10.705403,12,1.072727
10.146111,12,1.081054
19.415249,18,1.093766
6.919474,11,1.104132
2.929526,11,1.112424
40.376733,38,1.141674
8.488543,20,1.156739
6.040671,15,1.168712
11.250651,20,1.183724
6.475005,10,1.190396
14.424884,18,1.203836
6.413375,11,1.210901
8.727911,11,1.220319
14.507114,19,1.234077
15.75435,19,1.246252
7.321136,12,1.255907
13.971182,17,1.271694
7.712845,10,1.278972
2.083942,13,1.291897
6.826537,13,1.303586
9.63932,14,1.312725
16.563148,19,1.327775
7.88004,17,1.340642
9.884084,22,1.357061
5.968265,18,1.370716
47.796845,41,1.39984
