#{"t_start": 1736605755.42438, "env_id": "CustomHopper-target-v0"}
r,l,t
6.978529,10,337.050082
15.774956,26,337.111269
13.322759,14,337.127689
10.229434,15,337.139511
6.453963,12,337.149943
12.146821,13,337.160281
21.633019,21,337.182705
9.171614,11,337.198102
8.941205,18,337.218462
9.631295,14,337.233285
11.628197,14,337.24869
25.585752,24,337.267076
10.881764,20,337.286153
9.778646,18,337.304023
5.771862,8,337.312755
21.039301,28,337.333763
10.593155,15,337.343926
9.754142,23,337.35971
15.991968,17,337.373747
39.164689,29,337.402921
32.807285,25,337.422339
15.411952,16,337.434104
6.449747,10,337.442129
6.45665,12,337.450322
26.505871,21,337.466264
16.313885,23,337.482627
8.103119,13,337.490469
8.22652,13,337.498627
28.293165,27,337.516988
10.250788,15,337.527404
10.171329,14,337.537314
20.744908,23,337.556066
9.77799,16,337.56737
7.580248,11,337.575802
7.127883,14,337.584939
7.335567,15,337.595197
6.810211,12,337.603528
9.131387,14,337.612463
12.905268,16,337.623296
11.501095,21,337.63919
12.498799,14,337.64775
27.676198,26,337.664488
49.997556,57,337.697632
10.274913,22,337.711379
35.29158,29,337.728484
31.128944,29,337.750149
8.710011,15,337.760283
11.784548,27,337.777836
45.458366,49,337.80779
10.518194,18,337.818027
8.375805,13,337.825091
7.06506,11,337.830731
8.06066,12,337.838236
12.476832,24,337.85235
16.743206,26,337.869293
5.560633,9,337.875183
14.405938,18,337.887018
16.513711,29,337.9054
7.158656,14,337.914445
11.222142,17,337.926148
11.176506,17,337.936938
8.53573,13,337.944856
12.771924,19,337.955587
14.22634,23,337.968018
23.654716,34,337.986351
29.364295,26,338.000978
7.149069,27,338.020309
8.181338,12,338.02795
15.493614,18,338.038675
56.46858,35,338.061541
8.511076,13,338.070072
23.258475,29,338.088902
69.067801,43,338.113351
5.005572,10,338.121152
10.947627,19,338.133848
13.033109,21,338.149132
16.021411,22,338.162348
11.955048,17,338.173825
3.616866,25,338.190593
8.482914,14,338.199509
2.86835,8,338.204591
9.738673,15,338.214185
8.280901,10,338.220551
16.635501,25,338.234973
7.788645,15,338.242946
7.358763,11,338.24933
27.00062,52,338.278736
18.379321,31,338.298707
11.670587,19,338.309509
103.348248,62,338.348537
6.807806,10,338.355216
7.773647,11,338.362461
11.729154,16,338.372945
11.769942,14,338.381714
5.062987,9,338.38732
9.162945,15,338.396628
14.840091,17,338.407854
15.573941,38,338.429421
5.322619,11,338.435072
4.356318,13,338.441575
39.47634,31,338.456918
6.655984,20,338.467543
13.23769,17,338.478569
32.832195,24,339.440276
8.17504,10,339.445992
50.375481,31,339.465804
73.917281,67,339.510403
7.817477,10,339.517388
20.961371,21,339.531304
8.303319,13,339.539852
18.007215,18,339.551353
57.454513,68,339.587763
9.460748,14,339.594907
18.686587,23,339.607217
18.840015,22,339.620136
24.943418,25,339.639227
173.35934,84,339.692227
6.67554,10,339.698696
9.345128,13,339.706859
38.875497,31,339.725232
50.500555,44,339.750676
15.611898,19,339.761029
