#{"t_start": 1736598272.834192, "env_id": "CustomHopper-source-v0"}
r,l,t
11.467109,13,0.469321
8.099423,24,0.496412
4.740791,8,0.505107
11.141872,14,0.52043
4.95092,8,0.531412
7.998682,26,0.554823
27.309978,26,0.575866
42.706484,41,0.606752
10.674612,23,0.623703
5.970586,19,0.637652
11.409375,17,0.651802
29.857354,25,0.675588
20.154969,21,0.693646
13.882399,18,0.708393
9.10451,13,0.722158
8.22438,12,0.736237
13.062207,19,0.753255
7.746208,10,0.762599
8.545884,17,0.777868
13.357829,21,0.796333
6.934336,12,0.804657
13.332185,22,0.823445
7.958959,11,0.833416
26.267858,24,0.851617
11.47907,12,0.861366
33.609131,32,0.88819
10.524815,20,0.908165
20.28763,27,0.933164
19.24671,20,0.950632
9.918087,15,0.963949
11.490009,16,0.979787
4.080418,9,0.989047
9.193173,14,1.001121
7.804936,11,1.010362
9.219915,13,1.022053
14.856475,15,1.036883
10.883365,19,1.055008
37.838305,34,1.083465
7.533623,16,1.096814
10.386497,11,1.106876
7.467061,10,1.116434
19.008001,19,1.131085
12.450877,29,1.153001
12.544135,25,1.179342
10.428474,18,1.192883
6.232504,9,1.20052
23.977791,35,1.23887
18.056415,31,1.272178
14.915093,16,1.286225
4.943121,9,1.296705
9.740774,12,1.308482
8.186493,13,1.319747
13.409124,13,1.332083
9.156437,16,1.345071
14.395466,20,1.361829
14.046905,16,1.37449
18.843733,19,1.390004
4.893741,11,1.398894
8.187186,10,1.407218
13.461903,14,1.420816
10.514957,35,1.451574
14.088379,14,1.469486
8.841316,20,1.498348
5.157569,12,1.515297
15.04868,18,1.539529
11.31464,21,1.567508
6.337425,11,1.585131
5.148678,10,1.59846
9.981517,14,1.611402
7.358699,10,1.625901
15.384464,17,1.640788
10.81848,18,1.658638
12.106189,20,1.679004
7.380236,15,1.690973
11.082808,19,1.704893
17.920994,22,1.724939
10.434979,19,1.739348
21.303542,22,1.758746
26.925464,27,1.778373
5.233993,17,1.792042
3.285755,15,1.803059
16.227229,21,1.821507
5.452,12,1.830715
8.134174,11,1.839647
10.302522,14,1.852466
17.252224,32,1.876466
7.450429,9,1.887297
6.343679,9,1.896974
12.60661,13,1.911605
8.016539,14,1.923612
21.732531,22,1.946697
10.137105,21,1.966756
3.021092,7,1.973576
19.715703,25,1.997797
9.594896,12,2.01007
9.02525,12,2.020905
7.741814,10,2.03027
10.614127,15,2.047518
7.290862,9,2.057735
7.014601,12,2.070264
20.337329,26,2.092891
5.277246,10,2.102059
21.714271,28,2.127494
7.809521,14,2.141173
10.878678,18,2.161546
7.658811,12,2.179095
28.081814,24,2.209027
4.061872,12,2.220046
7.04177,9,2.231084
10.623238,14,2.24344
10.410716,17,2.261047
60.18765,45,2.305568
18.051873,16,2.322275
9.000706,19,2.340878
6.958361,10,2.35417
16.37046,18,2.371885
8.59121,12,2.383528
82.67324,50,3.913596
19.518567,23,3.932927
38.046744,26,3.953843
2.968304,28,3.980362
5.038461,8,3.989774
7.541782,15,4.006812
8.460046,16,4.024698
27.724486,24,4.048895
4.523358,8,4.058524
4.673458,14,4.07047
14.605807,17,4.0868
60.680974,45,4.124999
13.742123,18,4.141452
4.587488,14,4.155632
13.162311,17,4.168933
102.191522,79,4.233124
31.857887,27,4.256251
8.016194,17,4.270985
16.057428,20,4.289443
13.027119,14,4.307924
4.679053,10,4.316218
10.125256,17,4.332138
32.996506,27,4.357995
9.403396,17,4.374974
12.953967,14,4.38578
24.305006,22,4.408765
5.660211,35,4.441751
10.954791,14,4.453812
