#{"t_start": 1736508868.4079676, "env_id": "CustomHopper-target-v0"}
r,l,t
12.636914,16,137.72113
68.96983,48,137.823106
11.640771,17,137.845335
15.889874,29,137.869241
9.511837,11,137.878531
42.013289,32,137.902131
18.594602,22,137.917592
14.181646,20,137.936482
9.098134,12,137.946943
12.850589,12,137.954803
10.827163,15,137.966005
10.276377,27,137.983168
13.981324,17,137.997249
26.886968,23,138.012486
11.556184,13,138.020746
7.346019,9,138.026735
11.908871,14,138.034787
7.219462,19,138.046632
9.491181,14,138.056019
40.911031,33,138.077947
51.538288,39,138.102762
14.238339,15,138.112407
13.531461,14,138.120601
9.033033,10,138.127978
15.577347,16,138.137251
12.920568,27,138.154951
12.045545,19,138.166775
15.246306,33,138.18571
5.968613,9,138.192693
17.3196,19,138.203197
7.882743,9,138.209503
5.919268,13,138.216776
6.530103,8,138.222008
15.583353,41,138.249644
9.850204,11,138.258382
17.194495,16,138.267403
19.143999,19,138.27883
14.410342,20,138.292216
21.101549,27,138.311225
22.052507,29,138.329224
30.277752,26,138.346682
45.875964,59,138.384514
98.237166,62,138.422958
19.640167,21,138.434539
26.260109,24,138.447342
11.122332,13,138.455903
10.456751,13,138.463616
11.210054,19,138.474693
7.861577,12,138.482223
15.161054,24,138.496813
12.206825,14,138.505632
19.858666,20,138.51828
12.560846,12,138.527393
13.549606,17,138.537387
6.839252,8,138.541902
7.052582,25,138.556274
15.573697,17,138.565899
47.470269,40,138.590663
29.850078,26,138.605988
5.889905,8,138.61089
46.088739,43,138.634763
8.228073,18,138.644324
9.490673,12,138.650928
28.045855,31,138.670346
11.718086,13,138.680169
16.355111,18,138.696604
13.832762,15,138.710618
11.444083,12,138.723533
16.108929,15,138.735772
11.081168,12,138.74308
37.018564,30,138.762869
21.779267,33,138.78528
37.166193,35,138.808599
28.862248,25,138.82559
11.195873,12,138.835567
11.813509,13,138.843129
11.427203,14,138.851901
6.091117,12,138.859514
10.784566,14,138.867975
13.396629,14,138.875947
19.084645,37,138.897769
28.542188,34,138.917768
18.374244,25,138.931679
9.034046,17,138.941343
8.44309,9,138.946012
8.015694,17,138.95614
14.454526,23,138.968903
9.430815,16,138.977013
8.848559,12,138.984363
16.029555,31,139.002311
49.522457,38,139.024257
27.792404,26,139.038773
5.221275,19,139.052228
71.22116,49,139.078861
15.158017,18,139.091139
8.722869,10,139.097074
8.288693,9,139.102064
10.675207,14,140.105749
18.550926,19,140.118211
8.846196,13,140.126558
66.904942,63,140.166951
14.996475,18,140.179275
37.052666,33,140.201707
10.108213,13,140.211036
44.843543,45,140.239494
9.234977,22,140.252797
24.760141,25,140.266341
6.025296,9,140.272713
6.531926,8,140.277642
15.199014,14,140.285901
7.245045,8,140.290677
18.854898,17,140.299721
86.518597,56,140.332716
13.577397,14,140.343522
14.348866,15,140.3535
96.141921,62,140.390553
43.436237,56,140.429548
15.715165,25,140.445336
13.535026,15,140.454095
25.396659,29,140.472324
87.422725,61,140.51391
18.917915,18,140.524329
33.979514,32,140.542358
27.840027,24,140.55729
37.040782,30,140.576088
52.556516,39,140.600785
15.682759,23,140.615184
71.993106,50,140.645552
8.474644,9,140.650812
9.453067,12,140.657798
25.442838,43,140.683511
9.750032,17,140.693332
17.63675,20,140.71005
16.678818,30,140.732991
50.314898,37,140.764102
11.489686,32,140.788373
23.779785,21,140.801304
8.874658,10,140.807971
12.609334,16,140.818599
12.65103,13,140.826583
17.674397,18,140.838802
24.439514,28,140.856142
42.521171,34,140.891853
7.926309,9,140.902393
16.653375,21,140.92429
38.033119,29,140.94884
48.908141,51,140.994598
107.777907,83,141.061244
29.53772,28,141.081547
14.409404,15,141.091665
63.077782,56,141.132035
21.682954,32,141.152338
8.65742,13,141.16251
25.828053,23,141.178164
10.603647,11,141.184962
32.677923,28,141.202676
54.807419,37,141.228236
36.660105,28,141.247642
10.810079,11,141.25378
15.200329,15,141.26549
39.973815,36,141.289666
239.771303,129,141.374399
7.146058,12,141.38249
15.353221,16,141.392775
9.564528,13,141.401364
10.064898,13,141.410542
16.857044,28,141.431304
29.872877,25,141.447347
39.661153,30,141.467891
30.488162,31,141.488337
71.069934,48,142.61797
11.785282,13,142.627058
10.806179,14,142.636108
15.208467,31,142.655277
69.291797,72,142.706526
27.381427,23,142.720294
8.179226,9,142.725952
68.257417,50,142.759362
20.658633,19,142.771238
19.865754,19,142.78579
21.137675,43,142.826623
28.903208,37,142.859991
15.58525,16,142.875762
128.496994,75,142.932822
91.671552,59,142.973743
102.756211,67,143.022429
28.889752,29,143.045031
23.194142,20,143.058952
66.070398,44,143.085871
8.224752,16,143.098104
36.162532,45,143.128002
125.724349,73,143.180583
58.19091,44,143.214406
34.066364,28,143.233183
126.031724,101,143.306728
7.597356,9,143.313066
8.147826,10,143.320451
50.378157,47,143.352437
52.458218,40,143.380885
11.549099,19,143.394051
55.181633,44,143.422811
9.66385,11,143.429886
13.38126,25,143.445956
69.459268,46,143.48015
22.80202,20,143.494203
87.023429,55,143.530972
41.052768,45,143.560293
11.413124,12,143.567867
27.028749,41,143.59541
48.310357,40,143.623337
24.41404,21,143.636695
19.004314,18,143.649234
15.790927,15,143.659194
31.404405,28,143.677884
39.601256,33,143.709722
28.896812,34,143.732726
71.200469,49,143.765351
12.120488,16,143.776609
42.026762,33,143.799525
14.954746,40,143.826785
60.203066,41,143.853919
14.51635,16,143.863712
22.721514,28,143.885978
17.843452,21,143.899936
51.138833,59,143.961149
55.819018,56,144.012584
44.61244,34,144.038291
114.531244,87,145.235404
148.115452,78,145.287624
113.900924,67,145.333793
77.880704,50,145.368711
96.669683,59,145.40485
134.16575,76,145.450983
172.664954,113,145.51761
122.901563,72,145.560233
19.819815,18,145.572094
66.375742,45,145.602329
63.441532,44,145.631983
9.302967,10,145.638216
43.369022,79,145.69122
173.734486,110,145.759861
19.448759,20,145.775908
93.524915,58,145.809898
68.160849,46,145.839562
103.793995,63,145.878024
96.560704,65,145.9211
47.36367,44,145.949104
210.323103,100,146.010698
80.500915,50,146.043496
15.764897,24,146.059822
45.856454,35,146.085079
62.107725,42,146.111702
20.561504,20,146.125857
61.885453,41,146.149795
59.333865,39,146.175271
21.443713,23,146.192808
86.341385,55,146.227947
43.40148,43,146.253606
124.845093,96,146.312155
49.886949,35,146.333997
68.353996,45,146.362368
101.83757,62,146.403358
113.183408,77,146.451859
63.646129,42,146.477709
104.049031,62,146.519164
68.594948,46,147.74661
130.54633,79,147.79801
121.626838,70,147.847407
156.957798,87,147.917526
147.815135,78,147.971068
194.173712,94,148.040473
157.344879,96,148.106456
74.595591,50,148.144402
78.589281,50,148.179329
66.906267,44,148.210193
14.351178,16,148.2223
116.214532,67,148.274494
80.845652,63,148.316351
101.954605,62,148.361711
80.10548,50,148.396246
132.640816,78,148.449565
93.271323,61,148.490953
71.873371,46,148.522273
149.327093,95,148.589478
103.555777,75,148.642825
57.856815,38,148.671237
76.73625,52,148.712982
177.769734,96,148.779356
128.281268,89,148.83862
62.279904,41,148.871424
119.453534,74,148.919726
87.475062,59,148.959456
106.516731,66,149.002646
76.537101,50,149.037488
262.217467,119,149.137888
103.206449,73,149.195535
153.445791,83,150.405915
174.724521,94,150.469013
141.852929,86,150.528131
94.75914,62,150.570004
70.980202,48,150.602864
171.942833,90,150.662187
86.954415,55,150.698054
