#{"t_start": 1736087698.2468786, "env_id": "CustomHopper-source-v0"}
r,l,t
20.323952,19,0.669439
36.16241,43,0.696761
8.727942,10,0.703581
10.807129,12,0.710422
37.879031,48,0.737596
8.855481,10,0.742693
9.953163,18,0.755751
9.188265,12,0.761817
14.345216,21,0.772335
6.725178,15,0.780164
6.57505,10,0.785452
8.685484,9,0.789989
7.716282,13,0.796738
10.509242,16,0.804722
16.024102,19,0.814687
11.919979,13,0.822074
7.117796,11,0.829081
11.265187,17,0.839646
41.225576,44,0.864974
9.445529,17,0.873733
7.367497,9,0.878694
12.200494,17,0.888602
12.001117,15,0.898148
58.738413,43,0.923764
11.637184,19,0.933264
11.864479,26,0.946248
14.246778,21,0.956856
13.084445,13,0.964435
19.569228,27,0.980427
20.230488,27,0.997132
17.97723,18,1.008352
18.79395,17,1.01914
5.28611,7,1.023814
9.451354,17,1.035009
21.845651,21,1.047949
13.461599,18,1.060522
6.362347,13,1.06952
8.934509,23,1.08433
9.915222,13,1.092653
12.046149,15,1.102108
12.559858,21,1.114294
20.859588,27,1.127946
48.668692,69,1.163574
11.549974,13,1.170346
7.078703,14,1.177413
13.089464,16,1.186805
11.575948,11,1.192252
7.924653,9,1.196856
31.461218,27,1.210875
12.423452,14,1.218479
7.405141,24,1.230608
18.684293,27,1.244218
6.881659,8,1.248689
41.236685,36,1.269158
14.989132,19,1.27858
11.643423,18,1.288467
9.032072,14,1.297328
10.589581,12,1.304988
8.534024,9,1.31053
16.043757,25,1.325906
18.216696,26,1.338977
13.255686,17,1.347515
13.380292,16,1.355488
16.219635,14,1.362576
9.077129,21,1.373058
14.497452,24,1.385186
24.490987,24,1.396882
28.766314,42,1.417492
19.383025,20,1.427435
12.980432,17,1.436045
13.285639,13,1.443101
9.539189,13,1.450134
23.732219,20,1.461028
8.469371,10,1.466589
13.386836,20,1.477271
54.312073,41,1.497937
14.089993,27,1.519585
7.210572,8,1.524678
14.522972,14,1.533519
16.096441,21,1.54673
6.397583,15,1.556589
9.670694,10,1.562569
69.525679,56,1.594178
9.041201,21,1.605043
14.683769,13,1.611583
33.029324,36,1.631753
14.258342,20,1.644179
9.176147,10,1.650218
11.469971,16,1.659278
6.766008,9,1.664276
8.597864,13,1.672979
14.228077,20,1.684092
52.753171,44,1.709672
13.214776,16,1.71955
8.583553,9,1.724408
92.910338,73,1.771529
8.036652,13,1.780044
8.767877,22,1.794919
8.282521,13,1.803427
16.29991,19,1.815217
11.526321,14,1.823868
8.618869,10,2.945845
16.396788,19,2.957309
62.842474,49,2.993196
6.856447,10,3.000285
40.040604,33,3.021574
52.799767,36,3.048908
11.705129,13,3.059075
13.553517,15,3.068021
14.941604,20,3.080871
14.918998,15,3.090892
6.387119,10,3.097924
10.903971,19,3.108386
6.500284,11,3.11557
19.056105,36,3.13684
28.591233,24,3.149444
44.348522,33,3.166505
17.413975,17,3.175056
14.472449,29,3.192065
63.476342,49,3.222455
68.207481,49,3.253446
6.098083,11,3.260387
10.077657,12,3.26764
50.564708,40,3.291879
40.63515,34,3.313616
89.959888,61,3.353494
14.531506,20,3.365902
17.955138,17,3.376734
8.788517,11,3.38434
9.791257,13,3.392775
11.973612,18,3.403948
20.310623,21,3.415617
161.673561,87,3.460709
56.929299,44,3.49103
14.094926,13,3.498945
10.053232,17,3.509314
69.526076,65,3.549076
23.02163,21,3.561124
52.19551,40,3.583712
188.779639,101,3.638799
9.756153,13,3.645369
7.926483,9,3.65012
71.360539,51,3.674911
71.559783,50,3.699206
59.258574,56,3.730903
65.749589,44,3.758102
25.769283,24,3.772528
91.396145,57,3.806957
9.568898,15,3.816509
11.182016,12,3.823865
27.161821,23,3.838347
9.350808,13,3.845194
47.276495,36,3.864299
8.915943,11,3.870842
37.397634,28,3.885342
46.839281,36,3.902977
22.367102,24,3.915177
13.897958,19,3.924593
35.74827,30,3.939666
10.014846,24,3.951735
10.282806,13,3.958331
122.431827,78,4.000435
80.387598,53,4.035079
11.543051,32,4.055463
12.276563,17,4.066334
7.556931,9,4.071927
12.164144,28,4.086546
26.257264,26,4.099423
9.481186,11,4.104889
21.06977,30,4.121
30.184464,43,4.982393
29.930687,33,5.00153
162.627708,88,5.05768
86.419322,73,5.106216
21.065436,28,5.122721
23.13912,23,5.136903
