#{"t_start": 1736087698.262409, "env_id": "CustomHopper-target-v0"}
r,l,t
11.337798,15,195.751373
9.171108,14,195.770402
13.647626,19,195.799356
11.178965,12,195.807251
11.997878,15,195.838523
16.879466,16,195.855828
15.4703,14,195.871712
31.455596,39,195.901546
40.326079,50,195.935852
15.72762,22,195.950507
5.76999,7,195.955038
16.78256,22,195.970784
11.822472,12,195.977251
10.051486,11,195.984024
5.896066,13,195.991022
13.712275,21,196.002679
18.27547,18,196.01244
26.194295,24,196.027648
9.330294,15,196.038231
13.672694,13,196.045638
8.940102,13,196.055418
10.844293,15,196.0654
32.449524,44,196.093874
15.838426,18,196.104376
8.475619,11,196.110687
7.957308,10,196.11669
9.103808,10,196.122241
16.877707,33,196.143503
8.403193,9,196.150353
9.379542,17,196.159916
14.565773,26,196.177169
19.631299,17,196.189453
15.609572,20,196.204778
11.787394,15,196.216671
22.492755,20,196.236115
17.077795,16,196.245488
16.415416,15,196.257605
13.089622,17,196.270726
14.463828,14,196.28283
24.545025,25,196.302634
21.772235,18,196.314315
14.64268,14,196.324471
47.78662,37,196.352329
20.189195,22,196.368066
13.902748,15,196.378573
15.728766,15,196.390324
12.15029,14,196.402055
12.507767,15,196.411838
8.873276,14,196.421893
14.96716,23,196.438106
34.775886,53,196.482841
9.93381,14,196.492381
11.993254,14,196.50263
9.065336,13,196.511432
24.842643,22,196.526321
15.813956,22,196.54127
10.998054,12,196.550163
50.701618,50,196.58172
19.769041,25,196.594475
48.776926,35,196.616184
21.404736,21,196.628228
10.674378,22,196.642017
6.421392,10,196.648966
19.116371,17,196.657711
12.062099,13,196.665584
9.010203,12,196.672145
8.282331,9,196.676891
33.928228,29,196.693067
10.045921,13,196.702926
8.056739,9,196.70819
10.814907,12,196.717845
7.458492,9,196.723899
24.224142,25,196.747846
10.074555,11,196.755965
18.917307,18,196.770066
15.399484,17,196.783712
9.515808,10,196.790449
21.840144,23,196.807592
8.411528,10,196.815581
12.259497,18,196.827222
18.477792,37,196.8536
95.285884,70,196.897311
14.4328,15,196.906628
26.907303,22,196.919547
26.862783,30,196.937391
14.89838,21,196.949882
9.895954,13,196.956706
16.727034,30,196.973039
8.362908,10,196.979163
18.449187,24,196.996754
26.227467,23,197.012199
9.185585,16,197.024463
10.213353,11,197.031929
16.063189,18,197.04259
28.231696,23,197.059064
10.577936,11,197.068039
37.57893,39,197.092663
8.806669,14,197.104199
10.76501,13,197.1129
16.523922,25,197.130601
6.861042,16,197.141197
14.430192,29,197.160371
18.177005,29,197.179901
7.701173,14,197.189065
70.499433,54,198.129818
12.119783,14,198.138599
18.161481,16,198.147788
18.356658,22,198.16112
18.718353,30,198.18099
7.249141,8,198.186263
14.320094,15,198.195652
15.522467,17,198.206385
11.46786,19,198.218008
143.485313,96,198.265813
14.79939,14,198.272926
9.449508,25,198.288141
14.982154,14,198.295987
138.242162,84,198.343545
19.93733,17,198.354396
17.258581,17,198.363915
29.177899,27,198.378737
12.884675,18,198.389292
35.336852,30,198.406598
17.827413,30,198.428057
10.264813,12,198.436429
45.62959,58,198.468838
11.2053,19,198.479637
13.885638,14,198.487582
41.30331,49,198.517743
6.875281,10,198.523991
35.138814,27,198.540583
24.046625,23,198.555002
19.016324,17,198.567514
22.095026,22,198.580554
23.200065,19,198.591503
35.886212,46,198.616302
8.650004,10,198.621961
28.799341,24,198.635628
15.3021,18,198.647205
10.708023,13,198.654703
45.82413,33,198.671795
25.146092,21,198.68265
43.44653,39,198.701983
60.936147,47,198.729833
50.180332,51,198.761343
96.302629,84,198.810025
8.837384,16,198.820246
28.846719,26,198.834992
16.690511,16,198.845262
29.598693,32,198.866071
12.941274,13,198.875706
36.305929,44,198.89981
9.163592,11,198.905682
24.120423,38,198.925999
16.127734,15,198.934732
8.591003,12,198.941822
16.960071,17,198.952012
16.615532,20,198.964435
55.416299,43,198.98739
15.932322,24,199.000428
13.386632,22,199.011568
48.257702,52,199.038908
17.081881,20,199.049838
45.621083,37,199.068853
13.830694,21,199.08162
8.967865,13,199.089562
10.821496,15,199.098632
62.246999,45,199.125808
13.752477,21,199.137033
9.94643,12,199.143963
105.339429,66,199.177474
14.660328,15,199.185469
10.480782,14,199.19297
101.426187,71,199.231425
19.659611,19,199.24307
8.97789,13,199.25143
11.872013,13,199.259115
15.2337,22,199.2725
11.978231,14,200.311771
12.684444,17,200.321255
12.130222,13,200.329682
10.610969,12,200.337465
15.508519,22,200.351639
129.668222,82,200.397828
37.495202,46,200.421575
60.958445,46,200.444468
