#{"t_start": 1736089811.4526782, "env_id": "CustomHopper-source-v0"}
r,l,t
12.631493,14,0.372293
12.188795,13,0.380745
21.795697,20,0.393847
32.678231,27,0.410555
10.547232,18,0.422188
18.500919,18,0.431545
30.136783,37,0.450012
9.683676,21,0.460818
13.290345,16,0.469288
7.114422,14,0.476662
22.154237,20,0.487265
10.70795,15,0.496642
21.312431,20,0.50912
41.443842,45,0.532225
6.214322,8,0.537626
33.020128,27,0.551402
8.530995,12,0.558532
21.958932,20,0.568984
10.354326,11,0.574656
10.688542,13,0.581326
10.709463,24,0.593912
13.747362,14,0.60166
5.783922,9,0.606575
17.348459,27,0.620452
8.067743,26,0.633759
10.66955,12,0.640295
24.669563,33,0.66042
9.159971,25,0.675191
9.536877,12,0.682735
12.455367,17,0.692096
8.915862,16,0.702134
13.669353,14,0.709602
9.521743,16,0.718076
7.615023,12,0.725549
25.391433,26,0.741379
10.391677,27,0.755683
10.296663,13,0.762322
34.512603,34,0.779532
8.340569,11,0.785394
9.716656,21,0.795916
6.940062,12,0.802078
39.903883,34,0.819143
6.910837,11,0.825316
11.701923,21,0.837617
6.592493,11,0.84352
13.395979,15,0.851475
9.644775,10,0.856635
59.78314,42,0.877573
6.850033,13,0.884464
4.910237,8,0.88872
9.46547,10,0.893811
13.726103,14,0.900942
12.305053,17,0.910316
16.239766,16,0.918409
13.037973,18,0.927799
11.070991,13,0.934452
10.10127,19,0.944619
9.737165,26,0.958182
11.259749,26,0.971006
9.608962,13,0.978122
14.826766,23,0.992023
7.477722,10,0.998282
11.244056,13,1.005183
20.192891,19,1.014714
13.836681,14,1.021821
17.48023,17,1.030284
12.77723,13,1.036982
6.331665,14,1.044097
18.027746,17,1.052557
11.305055,12,1.058417
8.355179,10,1.063443
39.789785,31,1.078789
6.931925,15,1.086777
13.572787,17,1.096383
8.76367,11,1.103393
8.402198,12,1.111073
24.542239,26,1.125291
13.736454,17,1.134251
14.268898,15,1.14205
10.003829,13,1.148641
15.53849,22,1.163199
42.235256,43,1.185311
13.258802,16,1.193333
18.596696,16,1.203622
10.911875,14,1.210954
18.710239,21,1.221935
14.245845,15,1.229628
33.199491,36,1.248582
9.415627,11,1.254761
42.978319,56,1.287262
21.653157,25,1.29977
10.811825,13,1.306625
14.511297,16,1.314782
8.151558,11,1.320576
11.723238,13,1.327186
