#{"t_start": 1736089811.4639857, "env_id": "CustomHopper-target-v0"}
r,l,t
12.485621,13,276.585056
16.374556,17,276.608968
17.869434,36,276.641684
22.702781,20,276.657722
19.889533,23,276.674196
12.991533,17,276.685404
13.710278,14,276.695533
27.703227,23,276.711998
55.174836,40,276.738779
8.461877,10,276.74539
13.370985,14,276.755372
8.955634,10,276.76218
107.942672,71,276.809379
12.35079,25,276.825567
30.584171,39,276.850927
9.651794,11,276.857352
18.349605,20,276.868766
27.699677,28,276.887385
12.907886,14,276.896614
8.501406,9,276.901576
25.495191,25,276.917956
33.979666,48,276.950088
11.246124,18,276.96364
19.292755,22,276.980098
9.225377,10,276.987104
56.107303,42,277.014901
9.610641,11,277.023754
6.072371,9,277.02935
10.117027,11,277.036027
10.671155,18,277.050817
10.59225,16,277.061854
17.957287,17,277.073581
16.957337,26,277.091487
9.50465,17,277.102929
36.447679,29,277.123101
13.348897,24,277.140154
17.761811,20,277.151871
11.89425,18,277.165436
46.581664,36,277.19367
8.701925,11,277.200746
13.575784,17,277.213345
13.425066,15,277.225353
16.708027,16,277.235727
22.836511,27,277.25714
15.226352,18,277.269276
23.42657,29,277.291145
18.097738,19,277.305361
9.740367,10,277.312467
62.288588,56,277.352137
10.60021,11,277.362337
7.204307,10,277.369434
14.807585,20,277.383657
10.877194,12,277.393678
11.184912,13,277.403344
9.314248,13,277.412971
13.358924,21,277.42744
10.898459,12,277.435933
26.97352,27,277.456128
13.525313,15,277.46489
8.295015,9,277.472052
36.27103,31,277.490392
14.759068,19,277.501346
81.173356,54,277.533501
23.287084,27,277.551612
12.575826,17,277.561031
32.718819,35,277.589924
8.081453,9,277.595244
7.717175,10,277.602873
18.40188,20,277.615879
11.903579,23,277.63102
7.98621,11,277.638853
9.792815,11,277.646086
10.021253,12,277.654076
29.64431,27,277.670526
8.092943,9,277.678591
47.895842,58,277.71357
24.545446,47,277.7384
36.974781,33,277.7559
12.078701,13,277.762726
10.875234,13,277.769798
21.63014,21,277.780938
13.215301,14,277.790423
28.671492,32,277.807009
