#{"t_start": 1736596892.2510893, "env_id": "CustomHopper-source-v0"}
r,l,t
7.763834,13,0.379928
12.298775,22,0.396068
12.526742,18,0.407001
11.421721,17,0.417324
36.459549,30,0.436619
9.234136,11,0.442676
8.940693,13,0.449392
6.575385,20,0.46016
82.721054,54,0.488704
28.626419,34,0.507081
5.527573,12,0.513267
3.559604,8,0.517812
5.688823,10,0.523243
12.908184,18,0.533346
78.247975,43,0.556118
13.258787,25,0.571738
12.43148,15,0.583922
8.354201,21,0.600446
4.636956,24,0.616847
4.354,8,0.624338
19.736804,25,0.640255
21.651457,24,0.656799
13.965575,26,0.674798
9.664927,12,0.682141
16.640339,29,0.700884
6.290079,14,0.710662
3.991888,13,0.718859
7.13904,14,0.728968
18.883047,32,0.748052
12.62278,24,0.763065
12.024699,14,0.771557
24.314234,25,0.787527
3.744566,11,0.794107
6.213732,25,0.807972
5.897691,9,0.814919
60.817515,46,0.842512
8.316077,26,0.858163
38.951483,35,0.879397
12.506537,14,0.889493
7.310423,22,0.902073
23.354422,20,0.913176
12.29145,26,0.931041
46.273961,34,0.951771
10.691153,12,0.958973
6.451211,21,0.970735
15.71561,26,0.985894
11.33927,13,0.994486
12.573288,14,1.002426
31.020041,25,1.01751
12.697575,25,1.031327
8.110991,24,1.044473
10.358107,18,1.055148
12.272643,17,1.064492
22.244382,21,1.076984
9.549895,13,1.084256
8.7205,14,1.092469
38.224578,29,1.110578
10.624349,15,1.120677
10.786759,15,1.130502
3.957056,13,1.140761
7.089336,11,1.147633
19.130972,20,1.161235
13.476283,14,1.169924
9.167177,15,1.179463
16.582734,26,1.195822
4.084614,8,1.200377
20.596494,20,1.214363
8.860334,11,1.221797
5.291999,10,1.228614
16.809353,22,1.242229
16.584803,28,1.257943
8.992311,14,1.266336
20.699344,24,1.28028
31.426066,25,1.295193
18.708009,23,1.310132
8.945972,31,1.329583
13.768305,16,1.339689
12.011029,33,1.359917
23.31471,26,1.377934
21.180051,24,1.39297
18.392575,27,1.410015
25.348193,33,1.433637
10.682365,13,1.444567
13.116864,17,1.455881
12.149053,14,1.468213
12.968247,16,1.478117
6.282214,9,1.483293
25.085137,21,1.496619
27.186136,26,1.51248
14.069545,28,1.529946
11.778783,19,1.541584
12.412746,16,1.550585
6.934062,13,1.558682
6.356937,10,1.56439
10.047296,14,1.572862
20.04941,22,1.584615
3.772378,12,1.592552
49.95363,39,1.615001
6.022496,11,1.622556
10.590656,17,1.632566
11.835193,16,1.642037
19.964788,41,2.612264
9.741768,16,2.621052
53.024579,31,2.637517
65.30257,37,2.658477
61.91522,35,2.677308
12.092189,26,2.693492
18.339157,17,2.704337
116.778188,67,2.740175
14.281119,18,2.750456
33.028978,28,2.766149
4.898196,8,2.77112
13.487412,16,2.779859
12.367655,14,2.787695
41.874479,34,2.809649
24.578253,43,2.83311
24.440014,26,2.850297
82.889003,46,2.882613
6.676112,16,2.892736
62.140213,35,2.914635
154.260006,87,2.967933
20.099464,28,2.984652
16.796342,22,2.998755
52.37623,49,3.029983
9.96464,11,3.036891
9.171511,36,3.066778
19.598685,39,3.089154
8.02504,14,3.098297
7.989375,17,3.107955
10.72398,17,3.117648
10.96754,26,3.132251
24.531639,41,3.153966
9.025088,13,3.1614
15.420503,16,3.169904
14.21384,18,3.179329
9.005442,13,3.18724
10.290473,14,3.194656
8.11947,11,3.200924
15.457066,15,3.208974
14.428508,15,3.217567
8.842321,24,3.231873
11.332185,13,3.238943
28.486042,28,3.254896
12.431024,16,3.264425
14.182141,26,3.280746
6.864299,12,3.287544
9.52886,14,3.297119
77.054605,50,3.324632
12.536788,41,3.348476
3.856186,9,3.353687
13.740722,27,3.370087
19.199382,19,3.38204
5.827171,10,3.387675
5.561543,20,3.398464
29.225356,29,3.41423
24.815698,28,3.429952
8.777218,21,3.442282
13.540944,22,3.455606
10.993462,17,3.464866
10.64471,23,3.482506
8.536635,18,3.494722
19.962891,22,3.509412
96.729427,54,3.543125
12.399516,18,3.556212
32.650456,36,3.576797
10.441321,16,3.585657
81.886297,47,3.614124
10.813871,14,3.621978
14.977168,17,3.631443
77.182607,48,3.657908
16.91126,16,3.667667
9.785585,15,3.67657
144.105338,99,3.730266
82.81212,46,3.756972
6.498263,8,3.762588
7.320784,10,3.768482
9.113125,29,3.784964
7.246174,28,3.801762
80.480247,60,4.778126
13.070591,24,4.792062
15.418045,18,4.801868
14.719008,31,4.820045
11.937079,16,4.829721
68.270625,39,4.853972
14.439773,30,4.873761
31.312548,39,4.89712
184.432192,102,4.952255
7.626275,10,4.958954
206.27812,90,5.008584
8.12832,14,5.016912
78.269728,43,5.041795
16.39585,32,5.059298
13.56032,22,5.071357
99.166646,80,5.115178
112.199704,63,5.150619
136.819812,68,5.18609
40.015262,41,5.209889
14.312868,21,5.222138
65.834068,55,5.253612
57.231947,40,5.276666
10.482857,13,5.284178
81.114614,45,5.309528
24.860826,30,5.325702
22.35195,22,5.337961
43.447193,41,5.360865
8.7477,18,5.372741
9.80591,15,5.381125
71.723619,47,5.410236
41.089378,42,5.436195
21.493962,21,5.449466
115.763021,57,5.480695
89.683443,51,5.509057
84.911307,57,5.550029
33.694777,28,5.570244
33.134757,26,5.584378
55.759383,48,5.611498
74.603959,46,5.638836
50.33714,40,5.663904
14.89461,27,5.680609
