#{"t_start": 1736596892.262834, "env_id": "CustomHopper-target-v0"}
r,l,t
9.665359,13,501.773462
7.601478,16,501.797717
16.762885,21,501.826211
8.080144,17,501.864278
19.89582,19,501.891701
28.688364,41,501.934131
9.661353,13,501.945965
7.005111,9,501.951966
10.547846,13,501.962973
38.990691,38,501.992428
5.020279,8,501.998665
11.230682,14,502.012007
7.903485,16,502.023403
9.789111,12,502.03082
13.883486,23,502.048322
12.51453,19,502.069932
9.527771,15,502.079972
9.098453,11,502.088287
18.809946,18,502.102103
5.778479,10,502.108644
39.40512,41,502.140771
7.598392,12,502.149376
48.861879,34,502.170732
8.283358,21,502.183475
7.212841,12,502.190375
5.409033,10,502.198669
9.713068,16,502.207837
8.280857,13,502.218556
8.378997,11,502.227766
15.406834,15,502.236603
24.342262,26,502.253916
10.220682,15,502.263519
12.245567,14,502.272079
16.294335,26,502.287919
8.510275,26,502.304306
8.635296,12,502.31198
5.357648,9,502.317319
9.556891,11,502.325135
8.303407,11,502.330984
10.450612,33,502.350711
7.716385,17,502.36168
11.734813,13,502.371728
9.234524,14,502.380513
10.74468,20,502.393101
7.725695,10,502.398618
9.212523,15,502.409415
42.924144,41,502.435177
6.133553,11,502.442602
8.102826,10,502.449635
4.455571,10,502.456143
10.875012,17,502.466777
11.957261,13,502.473813
7.752627,10,502.479733
5.436144,24,502.494779
12.486565,30,502.51651
9.100666,34,502.537308
26.899986,23,502.550496
12.216804,19,502.56063
28.089339,32,502.580044
8.559295,11,502.58587
9.956839,19,502.596251
5.535424,10,502.601341
10.204259,17,502.611611
11.046972,20,502.622462
12.338697,14,502.630161
6.185082,9,502.635638
17.211075,19,502.647659
14.082521,19,502.658676
2.854366,26,502.67347
23.438322,20,502.68519
5.433899,11,502.691487
9.301888,13,502.698133
8.633033,12,502.70485
7.02147,16,502.714588
24.707661,24,502.727779
53.654628,39,502.751496
19.702001,18,502.766603
28.80791,26,502.788947
13.324956,17,502.798703
11.082415,18,502.8102
11.845036,21,502.821827
10.451696,13,502.829878
8.938313,12,502.838706
5.439259,8,502.843322
100.362213,66,502.890283
6.275622,10,502.896594
72.129225,48,502.925024
12.255392,21,502.936654
8.308911,11,502.942521
18.243114,19,502.952404
20.870951,34,502.970973
9.320255,12,502.977584
9.517309,12,502.983834
7.767967,20,502.995852
18.141411,15,503.003783
50.269256,48,503.030846
7.914623,10,503.035889
5.877082,12,503.042868
10.583848,16,503.051954
29.989225,38,503.073259
12.76675,13,503.081625
9.1171,14,503.090228
8.235222,11,503.096164
17.563667,20,503.108722
11.9062,22,503.12143
7.51528,13,503.128397
8.6927,13,503.135137
12.172329,13,503.141806
10.669695,14,503.149656
11.050275,12,503.157257
6.840566,14,504.129064
7.018347,13,504.136095
11.688712,13,504.145322
71.881558,48,504.173469
14.180188,33,504.193588
8.272659,10,504.199642
10.563111,13,504.209134
9.596386,12,504.216312
65.523036,56,504.254107
16.198745,26,504.269411
12.578902,21,504.280833
41.550199,44,504.305894
14.2789,18,504.315858
13.093582,14,504.323557
15.933839,20,504.334446
12.740325,13,504.343267
61.374131,38,504.362853
11.085467,12,504.373469
13.207074,16,504.383656
6.191781,10,504.389666
22.562513,36,504.414219
51.934151,50,504.447984
18.769873,21,504.462454
28.090065,27,504.480156
141.795204,113,504.557513
54.972032,40,504.583734
18.482502,20,504.598212
57.804899,39,504.626096
8.153917,12,504.633328
65.332027,45,504.662108
11.161008,14,504.671682
18.007075,19,504.684308
17.606838,27,504.703409
12.991617,16,504.713968
29.682542,28,504.733099
9.290427,11,504.74022
6.399209,11,504.747938
12.063655,14,504.757489
40.129651,45,504.787351
43.015234,46,504.818684
17.753711,17,504.829222
8.58959,11,504.835659
