#{"t_start": 1735828185.6749766, "env_id": "CustomHopper-source-v0"}
r,l,t
38.27843,24,0.406737
-1.157664,13,0.421061
1.252249,21,0.44454
23.453812,22,0.464163
9.819977,14,0.476063
2.394694,8,0.481449
9.702289,13,0.49155
-0.48435,22,0.505337
8.639741,17,0.516471
0.258412,10,0.527139
1.600461,17,0.538317
33.591611,20,0.551651
3.114788,9,0.559422
8.517085,13,0.567976
0.390311,10,0.57441
10.431055,12,0.581292
6.298052,12,0.592542
5.332899,13,0.603415
-0.072415,17,0.612605
-1.374922,11,0.621812
-2.429148,10,0.627821
49.318288,22,0.641055
4.245716,15,0.651638
8.193191,10,0.657388
40.31074,33,0.679364
5.569342,15,0.68752
0.114809,12,0.698613
2.676311,13,0.71161
10.364159,15,0.721037
8.581795,15,0.731797
51.691614,31,0.753028
14.578639,20,0.769288
2.098114,8,0.776469
-2.098787,9,0.782316
5.27699,13,0.791515
0.237323,22,0.805915
9.134132,12,0.813034
9.576771,15,0.822652
25.153921,25,0.838809
2.009867,21,0.853207
0.325938,15,0.867017
5.485384,13,0.879222
3.938118,12,0.888101
-4.612948,11,0.894364
-0.473995,11,0.905124
-0.772059,10,0.914164
91.065838,43,0.94068
-0.874413,10,0.948062
-1.228679,10,0.953784
28.696425,24,0.968199
1.138423,19,0.980069
93.497591,47,1.008134
63.153457,29,1.025804
3.112235,18,1.03867
-4.033319,25,1.054294
-7.349948,17,1.063592
-8.25669,17,1.074352
68.840384,48,1.103525
-6.334638,21,1.115888
8.746909,12,1.124144
19.541944,20,1.136474
4.258328,10,1.141752
-4.405709,15,1.151665
3.019539,10,1.156914
-0.690478,13,1.165413
12.472486,17,1.174693
17.974269,16,1.184929
23.769258,16,1.193804
5.463723,10,1.200591
16.240076,14,1.208344
1.787809,9,1.214738
-1.748433,24,1.229194
174.547592,72,1.270609
2.394447,21,1.283468
3.819878,10,1.290948
-0.700328,11,1.300776
14.219949,14,1.311028
48.52612,25,1.326929
-2.342972,16,1.337248
-0.615452,13,1.344276
38.683293,37,1.36551
8.060725,12,1.373855
10.439781,12,1.380472
25.885267,26,1.396063
7.426055,12,1.404728
1.220389,23,1.421963
65.113904,36,1.447615
2.005326,9,1.452307
57.147811,30,1.471177
6.268657,14,1.47963
0.594243,10,1.485267
5.449736,13,1.493469
163.562682,81,1.546011
5.90862,20,1.559584
13.220157,19,1.569751
0.775247,9,1.576084
-6.544927,8,1.580578
2.262606,14,1.589621
11.448211,16,1.598296
-3.061187,24,1.619914
-1.546014,18,1.629895
28.458958,26,1.644641
-0.298553,9,1.651624
4.532306,12,1.658361
2.357444,18,1.672087
1.636029,16,1.686554
-4.039541,20,1.698867
-1.64269,13,1.706357
4.708381,28,1.731071
8.405409,13,1.739392
1.256268,17,1.751234
-0.600864,12,1.757736
6.544044,10,1.768108
7.011667,12,2.925275
33.046489,23,2.942414
19.570106,15,2.95454
3.98007,10,2.961557
11.119,14,2.971746
9.783363,10,2.977771
7.320501,11,2.988638
56.715686,26,3.008723
21.21995,15,3.021334
5.161208,12,3.032879
56.298025,30,3.050833
17.047046,21,3.064217
0.22923,7,3.068594
8.076667,10,3.074093
2.026857,9,3.083774
21.042913,19,3.100555
24.755537,22,3.115452
43.708113,19,3.128391
7.869807,8,3.133174
90.426946,55,3.165716
0.312291,13,3.174813
44.55152,20,3.186301
42.639316,22,3.200212
0.427784,11,3.208261
26.518482,27,3.225548
40.817133,26,3.24166
-5.374864,15,3.251535
3.628861,10,3.257632
3.687604,13,3.266587
-0.033052,6,3.270625
83.138191,38,3.300496
-0.049299,10,3.308775
155.823018,76,3.354382
6.787806,10,3.361379
1.959981,14,3.370073
14.924637,16,3.38116
7.067247,18,3.394351
48.634677,33,3.417235
10.571886,18,3.432244
99.736767,47,3.459947
0.670867,13,3.467051
30.685153,17,3.486838
87.307531,46,3.523698
45.809419,24,3.541633
2.966966,13,3.550599
4.815477,10,3.556134
-1.269981,15,3.568237
54.628866,22,3.585564
7.764212,9,3.590478
1.076908,11,3.598252
8.335937,16,3.606833
25.317739,20,3.621277
20.38008,16,3.631321
-0.618927,11,3.637579
-0.68336,11,3.645474
88.757768,44,3.673625
74.125302,58,3.716633
60.434182,46,3.746552
1.157753,10,3.754489
12.866981,16,3.763499
10.224653,13,3.773236
62.698773,31,3.793437
12.254383,14,3.803676
3.720253,11,3.81028
46.794587,33,3.832205
9.247097,13,3.840058
7.965227,13,3.849431
44.960107,22,3.863406
25.550037,20,3.875591
4.316914,13,3.884936
10.495563,15,3.894835
2.752423,9,3.900324
84.889469,40,3.926334
-6.401957,12,3.937877
6.568438,8,3.946677
-1.92906,11,3.953963
78.398389,38,3.98086
2.680195,13,3.989693
8.11627,11,3.996137
51.97983,28,4.012951
11.758098,18,4.02462
58.310158,29,4.043145
7.145791,10,4.048939
63.663374,32,4.076378
21.415221,16,4.087537
6.733725,10,4.092934
5.787461,21,4.106556
4.512479,8,4.111553
4.891179,16,4.122216
7.842739,14,4.132515
2.175485,11,4.138596
27.93038,21,4.151857
8.847783,12,4.160394
4.265601,26,4.176885
1.610056,8,4.181747
7.378063,16,4.191469
2.862934,17,4.200895
85.613351,46,4.228442
29.913924,18,4.241078
7.877335,14,4.249006
29.84207,22,4.263136
13.009844,12,4.272031
35.726484,24,4.286012
31.859027,28,4.303646
8.776876,14,4.313866
6.591942,10,5.549512
46.443527,25,5.569404
83.063447,39,5.601161
16.112761,20,5.61654
53.734295,35,5.645268
66.297876,28,5.676988
66.760684,29,5.705545
131.454784,56,5.747214
19.601323,19,5.761764
6.460929,11,5.769324
87.698302,40,5.798689
48.247646,37,5.825522
93.404645,39,5.851559
53.182672,49,5.887353
58.728007,28,5.906568
41.150003,18,5.919503
59.246321,28,5.938662
5.866858,10,5.945199
61.679748,26,5.964975
62.898231,26,5.982284
156.111926,66,6.024928
58.783086,27,6.046803
98.170916,41,6.073495
-4.432772,14,6.083033
55.04623,38,6.108553
17.550836,17,6.120585
10.507122,16,6.131446
-1.646974,15,6.142215
40.01427,37,6.16698
9.804316,10,6.173681
2.151426,11,6.180771
89.34054,36,6.206225
23.406322,18,6.218584
33.795507,35,6.241681
66.508479,29,6.268558
49.174831,22,6.284109
86.105084,40,6.312294
14.823954,29,6.33924
70.811785,33,6.369079
1.986522,8,6.380264
48.092234,28,6.410936
58.794302,39,6.45004
6.253536,12,6.459657
11.00681,14,6.471746
-2.230536,14,6.484267
2.615692,7,6.489653
71.387842,32,6.515229
-2.723143,12,6.524668
66.090169,27,6.554327
79.521138,44,6.588014
45.244371,20,6.604012
156.646175,68,6.671774
49.064988,24,6.692211
127.412275,53,6.733743
0.197371,9,6.740359
92.522704,44,6.772812
72.444222,38,6.807284
54.992772,48,6.842326
49.152066,23,6.869035
2.731383,11,6.879971
34.279043,30,6.903817
87.792326,33,6.932649
14.17314,19,6.946995
3.785007,11,6.955312
49.934977,23,6.971518
48.207666,21,6.986189
-0.313276,8,6.991519
23.012737,20,7.005851
6.939169,12,7.013909
59.463572,32,7.035622
29.473947,24,7.051874
10.682073,12,7.060333
57.444083,24,7.078275
-2.138274,10,7.085109
6.982024,19,7.098534
4.921842,28,7.11716
-10.368727,12,7.125738
106.682057,45,8.31285
53.216122,22,8.329894
11.853205,11,8.338405
58.728531,29,8.357063
-2.672686,14,8.367004
17.425577,13,8.374854
12.283817,10,8.381824
43.057894,17,8.391847
83.55618,36,8.416499
40.153557,16,8.427563
67.526158,31,8.446652
7.877332,18,8.458084
38.970888,16,8.46731
112.893966,47,8.500614
45.356685,28,8.518204
132.179804,52,8.555933
40.978297,26,8.571611
-3.355501,8,8.576068
144.380357,57,8.616966
156.21987,72,8.659709
59.176615,27,8.679366
53.085825,21,8.693508
123.465247,62,8.736155
129.925118,60,8.775859
11.085833,20,8.789611
91.754598,39,8.817168
138.9348,58,8.859809
-5.73336,19,8.872443
139.810404,57,8.908567
129.713894,52,8.944222
87.602647,39,8.973364
50.014452,35,9.000708
-2.421329,9,9.008504
82.865478,36,9.035728
127.780842,52,9.078223
63.966296,27,9.098429
138.150214,55,9.154475
55.443888,21,9.17242
57.03115,38,9.200442
113.863543,51,9.236084
3.188369,11,9.243888
116.998215,54,9.280937
139.250061,66,9.336591
43.806923,26,9.354396
111.014499,46,9.385558
93.753404,50,9.418813
12.566079,14,9.427741
4.676811,14,9.437931
114.679822,50,9.478582
175.500797,77,9.528907
44.093525,50,9.56153
108.378193,55,9.598005
116.566322,51,9.638438
77.192573,35,9.66467
107.846697,47,9.701644
82.236252,35,9.731194
49.803534,24,9.75094
114.010795,50,10.939702
218.34862,90,11.008241
