#{"t_start": 1736070333.094905, "env_id": "CustomHopper-target-v0"}
r,l,t
17.993531,17,182.485681
8.59512,9,182.497475
12.524966,16,182.515224
11.014335,17,182.530204
17.299571,30,182.575978
14.143497,22,182.59908
16.824662,26,182.623682
9.945559,10,182.631309
15.642025,18,182.645144
11.860774,17,182.658635
17.764498,19,182.673631
9.141209,12,182.682019
14.949484,32,182.704086
7.336713,10,182.713012
72.48458,52,182.745156
39.920917,33,182.773827
30.685622,26,182.791311
35.291274,29,182.811141
34.612351,38,182.836067
42.64898,35,182.861348
12.047148,13,182.872473
21.882722,24,182.88669
17.209725,34,182.911756
15.802371,16,182.923377
15.081175,25,182.941644
9.412366,11,182.951088
21.428481,37,182.982456
10.593681,11,182.990395
19.100565,17,183.001147
12.930318,13,183.012005
9.420651,14,183.021914
10.604751,16,183.03304
7.938399,9,183.039826
5.940696,7,183.044958
15.360725,15,183.055159
18.564231,30,183.077968
13.347544,13,183.085651
17.341066,23,183.103179
9.737515,13,183.114198
19.825586,18,183.127932
23.331047,21,183.143885
15.133391,31,183.165061
38.978887,30,183.18844
15.700409,25,183.207677
132.865216,86,183.264253
13.026111,17,183.276483
14.509887,20,183.289842
9.537207,10,183.295916
9.041396,12,183.304096
18.463475,31,183.325384
8.634399,12,183.331776
9.238181,12,183.341434
9.172411,14,183.350341
30.560873,24,183.365632
8.801629,10,183.372641
6.922068,8,183.377641
6.116185,9,183.383711
11.597199,13,183.394059
12.000914,14,183.40318
15.976658,17,183.415857
16.740095,24,183.432646
8.327229,9,183.439483
20.491322,20,183.451898
9.195353,10,183.460969
15.378103,15,183.474072
18.213459,16,183.483884
14.494262,15,183.493313
9.872438,17,183.504858
9.703444,11,183.512105
38.175702,32,183.533488
7.799762,9,183.540605
16.501153,29,183.560742
13.816715,16,183.572051
17.762233,29,183.591705
11.105937,18,183.603393
12.067847,16,183.614257
25.404717,23,183.628072
26.159842,23,183.641252
14.541837,28,183.657304
96.878717,64,183.697543
5.61929,8,183.702899
13.672596,14,183.71241
68.860922,51,183.744462
5.844524,7,183.748091
9.27867,10,183.753296
16.357056,16,183.765066
14.723081,17,183.776126
33.028434,37,183.799748
11.039368,12,183.80756
30.375117,24,183.822384
12.110907,13,183.829764
8.404954,10,183.835731
67.835326,50,183.864007
11.461129,14,183.872221
12.499656,17,183.882584
12.178393,12,183.890449
25.617962,23,183.905244
14.380359,25,183.920217
8.303113,10,183.9262
7.493021,10,183.932717
15.464148,24,184.832729
106.399506,71,184.867785
23.953197,22,184.879522
7.583128,8,184.884457
26.170585,22,184.898544
32.143073,28,184.915582
60.54588,43,184.941069
14.443011,17,184.951962
25.576245,45,184.977449
25.338334,28,184.992114
11.29508,14,184.999479
21.637827,26,185.014985
10.449852,11,185.0224
8.016054,11,185.029149
8.915576,15,185.039719
22.254825,22,185.053391
32.311997,28,185.067935
13.657155,15,185.076021
16.928085,29,185.091471
17.726719,40,185.111608
19.076425,19,185.121347
31.704406,27,185.135166
10.791947,13,185.14194
13.661173,15,185.149646
27.066361,37,185.168182
11.727427,16,185.176652
15.768637,14,185.183965
21.862014,22,185.194835
30.256989,27,185.209147
9.124935,15,185.2169
69.045194,51,185.242736
27.018266,31,185.258188
12.266553,16,185.26643
97.670329,65,185.299356
83.802902,63,185.330644
22.77633,19,185.341574
22.467148,21,185.352728
19.706561,21,185.363888
76.318772,63,185.395295
18.832503,22,185.408145
40.078987,37,185.43112
7.6917,9,185.43707
17.222324,24,185.452471
11.064333,13,185.460708
24.756164,34,185.478863
86.854741,76,185.521081
32.37144,28,185.538837
91.05927,65,185.586227
40.751488,33,185.63742
7.456701,8,185.646438
14.143259,30,185.665199
16.921105,31,185.68691
16.377643,22,185.701625
73.347249,55,185.741047
12.144364,12,185.748208
13.556756,14,185.757477
64.787374,52,185.788889
93.897406,61,185.819893
11.326092,14,185.82704
5.662155,8,185.831565
19.322077,19,185.843153
23.80432,31,185.86223
26.672375,25,185.875053
35.783739,46,185.898388
71.625744,53,185.925175
50.712196,49,185.954211
13.361123,18,185.96674
19.313449,29,185.984132
20.166657,28,186.00289
12.005602,14,186.013432
21.671003,29,186.872631
39.928385,33,186.891315
23.010562,23,186.904809
118.579271,92,186.950357
11.556119,15,186.961583
33.93576,30,186.976349
245.286856,116,187.042331
55.682716,42,187.063603
13.371033,13,187.070791
16.544318,18,187.079904
244.468463,145,187.153723
9.665341,13,187.160369
13.165266,21,187.171872
106.895083,68,187.205394
20.890938,25,187.222159
19.753864,18,187.23361
35.091746,35,187.254397
54.476671,66,187.29311
16.31302,18,187.302454
45.129204,32,187.319383
33.797752,29,187.333918
9.041516,14,187.342246
23.882973,22,187.353635
37.891442,31,187.369071
212.755889,119,187.427463
42.875457,37,187.446294
12.66743,13,187.452813
14.766252,19,187.462411
90.405498,74,187.505189
15.689722,16,187.514611
15.252414,16,187.523408
108.451333,67,187.561758
19.020675,34,187.579058
36.621956,36,187.597263
33.043426,28,187.615275
15.292582,19,187.626627
124.818404,78,187.676579
51.39699,38,187.700174
38.585812,32,187.7169
103.672905,67,187.75566
149.708302,85,187.804163
47.222583,63,187.835457
30.994842,37,187.856408
9.255343,11,187.862051
253.953214,156,187.945268
78.62018,59,187.976468
14.257244,15,188.90539
216.366804,136,188.97729
103.750805,71,189.019249
149.814032,96,189.066874
20.846,24,189.07882
190.594423,104,189.129296
17.645452,16,189.138898
25.776025,21,189.154046
41.265303,35,189.174242
114.322458,73,189.223866
60.881934,44,189.250544
92.662396,61,189.282428
195.403577,111,189.337532
58.607597,42,189.358559
128.496659,79,189.402283
60.844793,42,189.426351
55.668922,44,189.450136
51.18682,43,189.472627
20.330579,31,189.490264
70.046845,48,189.520924
138.652858,80,189.563564
179.271365,117,189.623956
144.654905,84,189.66567
193.152722,111,189.726902
145.379763,114,189.786934
146.47193,89,189.834373
152.584504,87,189.882944
156.301788,93,189.929865
127.690606,79,189.974878
56.04839,39,189.998832
151.480962,89,190.891558
60.134646,42,190.913036
101.977286,64,190.944881
169.640922,128,191.019588
135.085367,85,191.075165
187.009727,107,191.130877
85.872092,56,191.16182
24.2743,28,191.17824
170.271449,94,191.227271
51.235255,37,191.246202
103.597781,67,191.27967
84.33551,57,191.307922
87.948536,58,191.336706
73.319717,50,191.3618
13.296095,14,191.369153
19.989845,20,191.379315
166.932966,89,191.424117
227.214454,107,191.47719
96.367675,76,191.523983
206.043897,110,191.588968
150.903037,87,191.636122
71.271484,53,191.669481
20.653891,17,191.681154
113.531463,92,191.735362
12.21532,12,191.741686
252.748923,143,191.814884
130.004828,86,191.865936
23.839703,22,191.877055
233.320379,119,191.934386
181.96166,112,192.885898
66.163328,46,192.908707
115.244127,69,192.942517
38.109288,29,192.957396
127.543425,81,193.002589
166.618718,97,193.059229
96.408704,63,193.091859
71.210302,49,193.120113
75.310521,52,193.151814
85.881248,56,193.183544
159.423764,94,193.229311
211.158426,117,193.294724
85.329744,58,193.326611
222.015278,114,193.39195
152.467983,95,193.438585
72.502225,59,193.478232
86.554771,57,193.512756
53.673616,40,193.539551
126.296923,81,193.581404
59.237884,41,193.601556
96.590011,64,193.632998
206.875354,110,193.695181
51.633296,37,193.718357
187.245833,96,193.769405
129.017056,79,193.814349
62.045659,43,193.837079
322.472248,163,193.925545
262.792899,140,194.8808
46.551627,42,194.908504
218.301141,114,194.97423
253.840867,158,195.058987
154.950998,98,195.107365
125.04832,75,195.150337
209.5214,114,195.210451
265.096802,134,195.27679
183.3811,115,195.337495
112.220053,74,195.384061
43.411721,35,195.402833
258.978171,119,195.474551
230.957847,121,195.542004
93.851651,60,195.577141
108.358093,75,195.614221
188.481886,100,195.663321
69.986784,48,195.687574
61.601784,45,195.709489
259.199979,125,195.769023
268.197144,129,195.832764
251.257289,145,195.911951
266.164305,121,196.848188
164.773059,91,196.897372
125.063643,73,196.936876
237.869593,135,197.005964
243.40364,136,197.087918
77.540077,53,197.12141
97.453674,66,197.153763
196.635843,103,197.206522
91.963033,60,197.238212
99.064197,63,197.269588
247.540913,119,197.335536
242.503826,127,197.400947
258.915455,122,197.467277
238.96133,116,197.532629
250.24022,123,197.597635
249.687171,124,197.667077
53.47454,38,197.687211
258.858977,132,197.756945
137.685195,85,197.798546
113.471858,69,197.835614
238.86037,128,197.898532
