#{"t_start": 1736849699.914239, "env_id": "CustomHopper-source-v0"}
r,l,t
7.30712,13,0.450967
14.314622,22,0.466889
67.782181,46,0.497
9.037885,15,0.505946
9.812913,13,0.514802
133.489314,66,0.553871
9.623117,20,0.565312
7.039079,9,0.570576
9.127298,17,0.581334
9.030767,16,0.590583
8.013595,11,0.596541
5.406106,12,0.602817
11.452374,25,0.615797
16.801124,18,0.625204
12.586407,21,0.636045
8.186922,13,0.642927
6.81584,10,0.648324
5.809921,9,0.655045
4.995905,10,0.662867
15.238316,19,0.674805
12.420496,15,0.684536
30.058676,24,0.699224
30.20544,25,0.711858
7.517731,10,0.717038
6.765439,10,0.722465
13.054677,24,0.734752
6.881812,12,0.741055
14.494806,15,0.748704
13.755659,18,0.758043
8.795458,11,0.763578
4.412442,22,0.77504
7.531338,14,0.782274
5.141061,8,0.786516
10.076118,13,0.793132
12.288942,16,0.801159
5.411872,11,0.806909
8.383546,15,0.814341
10.943049,14,0.821682
15.566334,19,0.83113
30.70687,44,0.856533
4.484807,9,0.862075
6.482047,12,0.869244
8.072959,11,0.875079
9.654109,13,0.881871
43.988372,32,0.902479
12.268331,14,0.911431
8.342055,30,0.9285
9.38638,26,0.943812
6.81023,9,0.949659
19.187728,24,0.964568
11.582086,16,0.973019
7.539387,11,0.978656
16.816386,17,0.987626
27.385012,24,1.000056
9.690622,21,1.010767
33.617315,41,1.032043
7.81489,14,1.040604
4.211359,10,1.047377
21.558414,21,1.059947
6.131135,9,1.0654
6.566976,13,1.072537
3.716992,18,1.082089
6.681714,18,1.091759
12.738913,16,1.099913
29.111616,32,1.116463
18.510915,20,1.126906
11.22585,14,1.134119
13.357894,15,1.142719
7.30099,10,1.149186
7.640463,10,1.156642
43.286436,32,1.174338
86.041221,54,1.203565
5.008867,9,1.209937
29.9498,25,1.227439
33.875003,34,1.248741
39.968391,37,1.269399
9.191053,12,1.276454
5.914128,11,1.283775
12.830842,15,1.292261
6.980262,18,1.303076
4.185473,10,1.308447
11.119333,24,1.32119
8.282125,12,1.327588
3.091974,22,1.339362
8.516897,12,1.345701
11.001908,18,1.356885
8.008524,11,1.363949
3.987942,17,1.374661
2.426523,10,1.380261
6.452699,10,1.385469
145.132155,76,1.423376
10.726947,25,1.438822
8.394568,12,1.446451
33.70057,26,1.461256
10.587586,22,1.472483
11.430696,14,1.479805
10.970501,20,1.489948
11.025284,17,1.499337
4.904843,13,1.50602
9.003209,13,1.513162
6.124866,10,1.519304
4.374016,8,1.524346
81.107896,45,1.55269
6.371374,20,1.564075
5.848736,9,1.569796
9.12885,20,1.581575
7.579019,23,1.593424
6.910895,26,1.607291
7.666206,20,2.530202
58.76027,33,2.551432
8.477891,12,2.559494
7.48584,10,2.56566
8.423448,27,2.579964
173.425869,106,2.637672
7.376248,26,2.651214
20.450703,27,2.665468
22.111701,20,2.675771
5.847036,8,2.680078
55.762381,32,2.69734
26.423329,23,2.71206
54.528179,35,2.732439
10.602274,11,2.738345
13.945321,16,2.746627
8.828039,16,2.754898
15.276198,18,2.763979
62.672828,48,2.788279
104.559662,53,2.814364
90.546664,49,2.838462
19.966406,22,2.849849
5.556396,13,2.857514
4.810067,11,2.863749
