#{"t_start": 1736849699.9307637, "env_id": "CustomHopper-target-v0"}
r,l,t
20.016637,19,279.969656
8.134272,17,279.985474
6.673417,18,280.007587
21.254553,25,280.040616
12.036479,27,280.069297
6.795965,12,280.078421
61.440203,45,280.109374
15.577278,20,280.123721
8.140618,13,280.132552
9.875638,12,280.140308
20.654631,20,280.15294
29.333849,39,280.177949
42.945102,33,280.199906
14.323752,28,280.216891
11.002453,27,280.237414
21.085524,29,280.257699
4.520128,7,280.26213
23.916382,31,280.28283
8.745302,10,280.289421
16.776479,33,280.310965
9.128036,12,280.319181
8.775813,15,280.329187
13.502361,16,280.339863
9.702752,12,280.346986
8.731022,14,280.356472
21.25427,21,280.370339
14.222845,18,280.382138
7.766169,19,280.394733
20.143011,20,280.408975
5.515844,16,280.420573
7.708635,12,280.428015
7.16934,10,280.436519
9.806336,24,280.451123
8.008223,16,280.461061
18.061155,37,280.48429
24.812126,25,280.501216
9.691863,29,280.519875
18.726836,25,280.53516
38.924686,31,280.555944
3.830815,6,280.559965
6.294906,9,280.565571
15.094238,18,280.578322
29.150479,24,280.593712
5.767006,14,280.602499
9.898835,14,280.614339
10.954267,18,280.625683
16.01543,24,280.640977
12.241162,13,280.649193
10.698823,12,280.658987
16.657344,19,280.674802
6.736379,20,280.691559
9.866052,15,280.702928
19.769378,22,280.71904
9.690365,16,280.730315
12.860952,16,280.741901
12.370387,16,280.752694
8.970505,15,280.76336
6.554002,9,280.769491
7.445396,14,280.778896
7.653148,12,280.786162
7.191876,12,280.793742
11.595202,12,280.80056
11.717405,14,280.81004
7.313853,9,280.815942
6.345047,9,280.821979
13.951838,16,280.831471
11.981283,20,280.84372
15.895559,23,280.85864
23.581293,22,280.872556
6.271929,9,280.877802
5.771724,14,280.88591
5.523484,7,280.889792
9.149073,11,280.895669
37.136593,26,280.910958
10.162166,12,280.919645
7.125638,15,280.928127
11.281779,16,280.938173
11.149978,15,280.9482
9.462781,11,280.955927
3.627933,9,280.963928
7.027958,8,280.969785
29.623936,27,280.98648
74.036982,48,281.016
38.970882,44,281.042914
34.807018,35,281.069704
12.770629,13,281.079177
9.500612,13,281.087234
15.021485,23,281.102375
10.012217,20,281.115995
10.027513,16,281.12648
27.033453,36,281.149384
19.376245,19,281.161215
12.010601,20,281.173997
14.350011,19,281.187259
9.535945,12,281.195654
19.295112,22,281.210786
14.644895,15,281.220791
11.188349,14,281.23062
10.817866,17,281.241907
7.86784,10,281.248541
6.227118,8,281.253838
11.319594,16,281.264689
13.813614,15,281.274266
9.07354,19,281.28649
10.685794,20,281.298627
8.651636,13,281.307639
153.848492,85,282.338905
24.779322,35,282.359341
10.441602,16,282.369436
11.762134,14,282.378525
14.307742,15,282.387836
5.211932,9,282.393076
17.641655,22,282.404866
14.524284,26,282.41947
10.74148,14,282.429969
9.405832,18,282.441118
5.528511,11,282.44881
13.589106,18,282.461102
7.706255,18,282.472212
23.821645,39,282.494078
29.129808,32,282.514189
6.387759,12,282.522149
39.72476,44,282.546678
8.994232,11,282.553536
24.447158,23,282.568379
7.089803,9,282.57401
29.561673,26,282.587638
37.088801,40,282.609037
43.994682,44,282.636247
26.720748,25,282.649746
10.084132,22,282.661703
7.308582,19,282.673613
135.000643,71,282.71709
36.670681,28,282.732684
15.760548,22,282.745272
23.281152,24,282.758468
131.064728,78,282.818192
12.389284,35,282.847959
15.718686,20,282.860617
59.794099,42,282.886205
13.148685,16,282.897415
10.293871,17,282.90659
72.218488,47,282.931591
54.317886,42,282.954715
20.842114,20,282.965502
12.179503,24,282.978282
12.04612,17,282.987263
22.054343,28,283.003168
17.131903,18,283.014808
8.058979,13,283.023127
17.601872,19,283.033915
28.425095,32,283.050792
8.334333,11,283.056545
14.317025,19,283.06692
20.919799,21,283.078134
12.402868,20,283.090685
26.855783,21,283.104326
10.595825,23,283.118567
8.972969,17,283.130337
30.48118,27,283.146751
25.011801,27,283.161876
55.338132,33,283.182908
44.412971,43,283.210362
65.822902,46,283.235374
8.300131,12,283.242055
34.784437,32,283.259919
6.371062,9,283.26507
17.112632,19,283.275523
23.151009,34,283.295846
24.796505,21,283.310038
6.174234,16,283.319889
51.878582,37,283.339905
