#{"t_start": 1737054057.2557657, "env_id": "CustomHopper-source-v0"}
r,l,t
15.396399,17,0.662191
11.576092,18,0.674884
13.976832,29,0.694852
7.589487,10,0.701581
6.116422,9,0.709233
8.221199,29,0.727734
16.585639,17,0.739735
10.741261,15,0.752918
3.925657,17,0.763873
24.620739,24,0.780776
17.409793,18,0.792548
37.69849,34,0.814808
10.747963,12,0.823266
23.311713,20,0.837986
24.364247,24,0.853744
68.924192,54,0.887411
7.307096,12,0.89546
6.552459,11,0.903193
5.161522,14,0.912117
7.513808,21,0.92591
3.863428,14,0.935429
6.780086,10,0.943377
10.871907,22,0.958384
11.910673,18,0.970486
6.580971,23,0.984935
26.180504,30,1.0073
20.336908,22,1.024889
7.451519,13,1.032923
7.431691,15,1.043693
7.680455,14,1.054538
3.945341,8,1.059758
10.982184,14,1.070371
9.498903,14,1.080469
28.276873,28,1.100179
5.323832,10,1.107322
8.488021,12,1.115716
14.621282,17,1.127146
9.374983,15,1.137674
1.856255,17,1.149364
11.432988,15,1.159768
8.129875,17,1.174294
18.911377,17,1.191016
11.311513,34,1.213348
27.454194,41,1.241282
14.770273,21,1.259557
12.266431,15,1.273695
34.024909,53,1.318756
7.848229,17,1.331288
4.272494,13,1.341266
11.346849,20,1.355275
10.473398,12,1.364478
8.356398,10,1.372268
8.987382,19,1.385467
26.366043,31,1.408821
7.03848,20,1.422374
7.447935,13,1.43205
5.215116,13,1.441279
8.791772,11,1.449373
7.477511,18,1.462006
4.248374,9,1.467399
10.359492,21,1.481307
11.892586,14,1.491664
-0.816556,20,1.506408
13.094153,17,1.518132
28.287837,27,1.53986
5.727288,8,1.545819
5.12846,20,1.559794
4.257513,9,1.56565
9.998137,23,1.58263
7.286137,13,1.593544
12.923077,16,1.606023
10.9816,14,1.614999
39.61026,58,1.66232
46.543998,37,1.690907
7.109798,11,1.701616
4.69144,14,1.71507
5.178136,13,1.730773
4.670737,9,1.737729
10.704616,29,1.76613
4.769093,15,1.781108
21.566839,29,1.809101
9.332591,15,1.826062
7.93204,14,1.836191
3.1835,7,1.841896
18.076583,19,1.855938
8.842044,13,1.864983
17.148091,24,1.881922
26.353148,32,1.90354
4.251504,8,1.909655
6.903988,11,1.918153
12.232306,14,1.928275
5.754785,9,1.934956
6.162084,12,1.946454
11.567002,20,1.961735
4.608186,8,1.967123
10.221774,18,1.982622
9.040583,16,2.001629
11.094805,15,2.017715
3.691867,15,2.033449
7.460491,15,2.052527
28.285892,25,2.081033
14.281657,18,2.096076
16.656861,17,2.11029
28.298904,22,2.127541
4.710064,9,2.134124
27.784918,32,2.158813
3.883924,9,2.166824
22.162229,25,2.187938
27.894044,28,2.212595
2.252685,10,2.221479
15.351923,18,3.480098
8.560853,10,3.486667
40.447367,39,3.520551
13.677811,36,3.545299
15.501073,17,3.556226
6.084038,18,3.572862
42.682207,40,3.60043
8.219925,18,3.612559
9.254031,12,3.620863
28.812319,31,3.641224
14.840842,28,3.660387
13.433473,13,3.670587
24.134191,23,3.68582
121.757608,68,3.733902
16.559718,33,3.755084
24.085848,28,3.775167
31.857706,26,3.794427
112.332825,71,3.840755
54.181825,36,3.867172
40.333921,39,3.892842
41.833815,33,3.915778
39.418999,28,3.935199
8.179704,12,3.942758
12.801738,24,3.958499
15.713633,16,3.969823
9.736657,22,3.985088
19.464038,40,4.012751
27.10302,27,4.031504
9.490911,18,4.043935
79.200338,51,4.08212
11.399523,16,4.094724
53.43797,59,4.136952
15.770731,20,4.150041
31.448403,27,4.167002
150.03139,85,4.222739
5.509467,9,4.22876
9.500483,33,4.250854
53.568671,63,4.291285
58.801114,53,4.331428
30.548081,25,4.347465
6.332446,15,4.357415
79.960847,74,4.408424
9.911043,33,4.430214
5.865454,9,4.437196
32.330993,37,4.467067
14.523513,14,4.477719
18.748114,18,4.491833
118.395687,86,4.553459
65.725159,39,4.581342
5.76331,17,4.59328
41.556623,30,4.612466
14.752162,33,4.63731
69.822235,41,4.663442
5.107564,13,4.677685
9.232807,16,4.694087
14.311397,16,4.710363
13.647717,15,4.725796
29.308503,27,4.753196
12.269787,18,4.789686
50.072137,41,4.869403
12.431759,13,4.887568
16.014243,17,4.899642
33.715348,33,4.926156
6.73087,10,4.933411
11.465387,27,4.95289
6.218757,20,4.967558
14.049213,14,4.976955
11.868298,27,4.995777
20.375469,19,5.009291
8.06953,14,5.019603
72.988412,41,6.486003
50.188004,41,6.517375
58.113451,33,6.546193
85.803512,47,6.58388
132.350297,79,6.6552
49.944184,35,6.683653
9.734213,19,6.698374
21.52744,20,6.715517
6.338453,9,6.726795
149.581002,100,6.805997
20.4053,21,6.828834
80.662441,55,6.875719
72.511041,43,6.914605
97.214495,71,6.973808
193.396465,129,7.085892
59.407332,35,7.123154
6.25132,9,7.130415
63.915266,53,7.173792
14.574648,16,7.187718
11.461589,15,7.200283
12.655634,28,7.228674
51.182592,57,7.27341
10.636888,27,7.297797
6.759702,20,7.315242
9.138732,11,7.325153
44.572866,25,7.347722
19.074904,19,7.365807
9.792616,14,7.377671
8.776081,11,7.386554
19.987495,24,7.40754
24.131941,27,7.436527
147.130622,102,7.530045
16.385219,20,7.543473
24.709748,30,7.563868
8.028441,13,7.575871
83.869347,55,7.61334
36.58662,29,7.633287
218.594271,110,7.710145
60.143524,50,7.745173
36.892464,28,7.765014
117.799847,75,7.818131
28.220283,33,7.843024
111.224411,57,7.884266
6.371716,9,7.893871
131.926246,95,7.964204
9.894877,12,7.972852
58.408463,57,8.01996
8.90582,13,8.035131
23.806446,27,8.062743
72.6827,58,8.107782
12.040032,23,8.132039
17.782037,22,8.147745
28.10027,28,9.401839
121.396111,63,9.446698
12.408903,15,9.45752
7.063071,10,9.463937
46.164364,40,9.494444
12.02353,29,9.528962
18.728923,20,9.550841
145.193133,86,9.610534
134.372512,81,9.673062
44.192925,35,9.702367
189.056492,107,9.825428
195.51285,100,9.905284
18.711357,18,9.920759
36.953329,35,9.962509
178.387349,90,10.128868
5.901116,10,10.13852
102.434328,66,10.200661
95.466645,58,10.245625
117.513711,101,10.326473
107.616345,57,10.368212
144.35426,75,10.430149
67.887218,39,10.459686
113.879957,73,10.524495
125.586328,73,10.578976
13.944402,16,10.592746
71.569439,43,10.62575
152.84941,96,10.693129
15.995711,17,10.709598
165.456269,95,10.814214
85.093066,60,10.879023
64.352021,38,10.910977
62.795617,39,10.93993
120.09035,63,10.985641
99.927124,66,11.030227
79.693242,58,11.080862
142.729001,75,11.225456
66.887369,39,11.267648
118.473693,70,12.724067
249.768069,150,12.906734
56.700592,44,12.959793
136.18717,69,13.062408
145.48549,73,13.138721
101.876683,61,13.200493
117.360967,72,13.291573
123.127872,64,13.370131
94.076573,96,13.503813
126.194027,63,13.588387
160.051577,96,13.680005
37.804839,53,13.719346
91.405521,50,13.755425
183.582959,89,13.821153
132.722308,66,13.883375
148.048783,78,13.95356
59.826209,35,13.983441
73.363176,43,14.019791
22.62948,18,14.038508
301.28437,194,14.24597
75.720456,43,14.298658
82.146384,48,14.354066
78.495337,45,14.397595
32.02389,31,14.423291
134.956415,69,14.481596
146.043766,71,14.532209
191.0221,95,14.61546
85.065589,48,14.650326
138.007693,70,14.709639
111.556416,60,14.752802
86.737033,47,16.405493
130.293427,72,16.458414
175.533502,92,16.541396
129.962953,67,16.619347
125.235787,77,16.679181
90.337654,48,16.714355
92.634482,53,16.780659
201.9665,110,16.864284
250.849479,155,17.003963
22.571464,20,17.017722
