#{"t_start": 1737054057.2743857, "env_id": "CustomHopper-target-v0"}
r,l,t
13.587855,15,391.845388
7.782675,15,391.866527
4.162066,25,391.912566
9.66467,11,391.948802
10.876113,13,391.988583
6.879026,12,392.019687
11.171635,18,392.06941
25.077014,22,392.109409
5.597882,18,392.129121
11.225633,23,392.150361
13.13131,18,392.169659
8.691637,11,392.182038
7.946259,11,392.195658
7.96179,14,392.207641
12.389417,18,392.222842
4.826205,7,392.229476
30.1002,24,392.251174
14.579343,15,392.269756
9.306131,18,392.297288
15.464583,17,392.315593
13.597542,19,392.341894
16.923167,17,392.361249
23.623293,28,392.391501
23.21915,24,392.416304
5.74942,19,392.437757
41.416665,37,392.482217
63.513917,47,392.524954
16.71511,22,392.545875
12.370516,21,392.561918
20.466717,18,392.578264
25.54282,23,392.599733
14.556823,15,392.619739
18.174757,17,392.635555
28.461528,26,392.661713
16.772515,17,392.67687
8.96403,10,392.684482
10.57788,12,392.692422
13.903624,16,392.703927
12.626986,15,392.714883
16.879729,27,392.733402
7.435073,10,392.741045
46.735668,47,392.770537
37.599607,40,392.799497
27.083395,22,392.814417
7.51802,9,392.825557
14.720604,15,392.841514
13.90565,17,392.855807
6.999045,17,392.869633
62.856786,56,392.90775
10.15567,12,392.917213
10.420939,12,392.931408
17.637094,18,392.942786
11.364589,16,392.953505
12.827334,14,392.963271
8.006593,10,392.969647
10.741401,14,392.978743
6.39645,8,392.984504
19.132816,19,393.001219
7.945389,9,393.007577
34.254794,27,393.02667
14.260452,14,393.035787
7.800295,9,393.041958
11.503186,13,393.050476
38.49176,27,393.069629
11.820409,16,393.080755
9.692216,13,393.088663
19.832588,19,393.10188
11.034622,20,393.121142
15.475796,17,393.136118
13.837891,27,393.167708
69.131453,46,393.203626
21.743767,26,393.220575
13.132602,20,393.234256
6.507999,9,393.24004
10.487305,12,393.249941
44.172892,43,393.288408
9.461947,23,393.305957
14.65189,16,393.316969
8.294726,11,393.324323
9.825464,19,393.342796
6.564484,19,393.357327
11.68394,19,393.370885
4.336934,8,393.376322
9.594656,15,393.38732
7.620335,9,393.394073
9.340231,28,393.415996
10.288697,16,393.425825
6.024584,11,393.434541
17.948128,23,393.449587
15.441403,15,393.458614
123.07393,80,393.511925
5.680253,8,393.51758
11.535672,13,393.528351
9.471488,12,393.536033
9.479317,12,393.546915
118.050329,72,393.597795
11.315304,19,393.612922
44.829602,27,393.635093
8.286413,26,393.652372
8.059241,13,393.660716
26.698448,32,393.687046
6.525936,12,393.695262
8.210741,12,393.703426
48.109403,45,395.057993
15.346181,19,395.073789
17.748273,16,395.091625
172.359378,126,395.20172
67.642114,40,395.238117
15.452362,15,395.249731
40.017224,35,395.273464
18.326494,17,395.285693
59.705757,36,395.309719
70.771219,44,395.337564
13.012703,17,395.348537
22.760912,22,395.364536
7.582813,11,395.373059
26.214632,23,395.39152
74.635219,44,395.421151
41.310335,48,395.453225
16.253366,19,395.471931
165.637322,85,395.531827
12.40368,17,395.543374
5.16835,9,395.551682
37.266142,38,395.57655
122.420733,65,395.631449
99.594305,60,395.673742
38.655729,40,395.704311
13.12665,13,395.716422
23.806718,20,395.729844
33.851302,28,395.748741
22.018003,24,395.766647
6.600986,9,395.772234
6.722923,10,395.779677
8.70347,17,395.790015
15.17158,18,395.802037
27.484339,44,395.833063
22.701662,21,395.847242
7.964722,11,395.854281
13.458003,15,395.864108
42.750396,50,395.89802
15.644844,17,395.909503
34.798881,45,395.937025
44.037934,43,395.968654
27.493002,28,395.9859
16.144714,22,396.002915
10.352139,14,396.012395
7.153516,9,396.018433
14.863137,15,396.029642
12.443359,18,396.042085
10.500241,17,396.052555
8.187214,10,396.059566
11.257535,26,396.076515
206.123888,127,396.167653
31.565075,33,396.193715
12.920111,18,396.206777
13.298789,22,396.22843
11.483751,17,396.240584
7.521115,11,396.249589
20.570834,23,396.266691
19.282427,21,396.284272
76.955161,47,396.316374
207.553455,128,396.415991
43.401673,61,396.466269
8.835004,10,396.474346
65.329593,47,396.508695
5.60662,25,396.529353
19.603619,18,396.543057
23.579773,27,397.903473
91.528804,61,397.949319
173.075327,91,398.015678
25.941064,35,398.057745
134.579795,97,398.160021
90.461332,48,398.193338
8.360219,12,398.200224
111.781878,112,398.277453
174.201127,123,398.362192
18.886916,30,398.383377
10.112317,11,398.391042
68.540995,42,398.427548
93.455818,53,398.464715
26.330152,25,398.486794
9.415506,13,398.495086
18.842754,19,398.509749
252.417321,158,398.639895
19.406028,21,398.656173
78.303798,52,398.696344
27.099893,25,398.713665
129.606842,70,398.770973
108.795324,74,398.826562
16.606335,15,398.837898
51.857346,41,398.876257
24.062329,24,398.894206
124.983757,64,398.942203
80.127961,56,398.982697
31.178776,37,399.010988
178.642919,104,399.089431
18.650611,28,399.10996
10.728663,13,399.119877
12.925081,14,399.131911
17.750062,19,399.158186
6.912417,9,399.166866
31.312889,26,399.186117
87.635835,60,399.231981
56.526951,34,399.256638
116.612868,64,399.307592
67.828544,42,399.339905
8.002451,10,399.350349
100.982252,62,399.411668
44.001346,35,399.439754
18.232647,18,399.455775
82.518254,49,399.503936
76.853378,44,400.76092
35.517383,30,400.781293
114.970979,63,400.826846
175.647206,122,400.92117
14.98485,17,400.936278
52.685639,31,400.95965
20.19964,26,400.980659
101.305999,64,401.027794
82.702456,47,401.06067
92.36895,57,401.10056
90.196216,57,401.141013
139.489324,87,401.195071
73.290049,43,401.227732
51.007438,30,401.247274
196.787205,109,401.335536
128.081705,67,401.393089
120.693382,92,401.485811
76.469955,43,401.519884
253.495894,130,401.63753
83.219819,46,401.677942
159.704797,81,401.745347
92.315146,59,401.792082
129.442312,70,401.844079
16.289127,15,401.857699
65.967355,41,401.892906
154.088462,88,401.962355
105.048949,56,402.010501
25.84912,28,402.036954
155.290041,93,402.114192
17.571348,19,402.129209
11.389603,18,402.141091
177.876548,94,402.222874
16.207711,19,402.238939
9.992134,12,402.249701
87.984424,49,402.291922
125.743436,87,402.35781
98.3718,54,403.675027
140.850124,81,403.736057
99.016515,66,403.7882
30.275461,44,403.823602
100.579092,59,403.876592
144.521194,76,403.936528
126.34245,78,403.9941
19.801337,20,404.010989
120.278027,95,404.082662
22.090766,20,404.096767
100.222479,58,404.134066
99.854049,57,404.176365
