#{"t_start": 1736710672.504183, "env_id": "CustomHopper-source-v0"}
r,l,t
5.975351,21,0.530266
56.353631,44,0.589599
7.062178,21,0.61243
14.076346,17,0.683864
12.882474,24,1.082538
28.668442,29,1.551771
9.723895,12,1.740101
18.577845,24,2.106469
28.490782,47,2.848796
20.131802,19,3.144026
8.228026,18,3.432701
6.476871,18,3.714206
13.453601,24,4.099196
9.618292,23,4.448274
13.840705,22,4.802561
25.712696,24,5.183507
93.535011,108,6.920254
60.01048,42,7.596099
18.49586,39,8.197909
6.673036,14,8.424675
77.085206,44,9.08783
57.006448,31,9.565826
75.964429,53,10.376051
6.740077,35,10.947262
10.149646,39,11.564425
88.85402,59,12.498884
72.963234,55,13.398123
62.295261,36,14.088014
58.112638,38,14.811932
54.960921,32,15.403291
87.499807,79,16.971431
104.422428,63,18.122335
210.099585,98,19.972905
78.789278,50,20.878971
124.025786,62,22.048704
199.973001,82,23.528929
69.078033,38,24.238996
212.502733,94,25.966884
204.261748,88,27.595624
200.217197,84,29.112909
210.884436,91,30.757994
201.193035,87,32.369898
202.29952,88,33.95411
205.111242,87,35.527918
204.059649,87,37.155751
202.890249,84,38.791435
203.85687,87,40.40806
211.418028,92,42.103099
206.081363,89,43.727692
193.449267,84,45.244902
205.279605,90,46.911979
204.920886,88,48.730239
196.535628,85,50.311158
196.234777,85,51.934171
206.713305,89,53.603334
178.163854,80,55.056818
179.873669,83,56.601981
204.646709,88,58.289707
201.963766,87,60.092458
208.678959,90,61.77301
196.887166,86,63.306687
204.300245,89,64.915703
190.756792,83,66.434283
182.772281,81,67.958969
200.311439,87,69.548332
213.774552,93,71.222462
203.816041,87,72.855594
212.724892,90,74.467115
200.554497,86,76.028737
210.789645,87,77.621969
214.379813,92,79.268558
184.391135,81,80.738527
181.246168,78,82.204236
209.39953,89,84.005173
169.856194,76,85.407148
219.807956,93,87.137451
188.308874,82,88.651036
212.778455,88,90.25266
210.543198,90,91.867332
194.794709,83,93.392009
200.185558,86,94.955636
189.784201,84,96.483278
173.830107,75,97.863123
197.909661,85,99.403301
193.328861,84,100.982429
187.91489,83,102.550044
194.178577,85,104.106505
195.474453,84,105.673944
192.009884,81,107.20301
194.705523,86,108.86006
209.814538,91,110.541147
180.125375,86,112.124168
37.518093,31,112.729337
188.86943,83,114.252102
212.349707,88,115.874077
210.949288,90,117.542431
222.698454,95,119.285683
218.380411,94,120.981878
183.666221,82,122.491505
199.047637,87,124.079128
197.377078,87,125.684504
210.244917,88,127.28332
215.450797,93,129.001197
183.315454,87,130.641329
200.917262,85,132.18134
184.372608,84,133.806859
225.405028,97,135.54304
171.64123,81,137.025194
206.821807,89,138.66947
219.031446,97,140.432838
184.324081,88,142.028129
207.683167,90,143.708507
54.085303,29,144.252899
158.681306,79,145.701343
199.13365,92,147.409704
223.301263,104,149.314639
229.042916,104,151.209828
194.319469,101,153.055153
237.001948,107,155.046279
219.530033,107,156.983444
219.924999,88,158.5954
223.261915,98,160.317827
220.875032,92,161.978795
230.47455,100,163.873867
223.336366,93,165.540637
238.883731,108,167.477962
232.46399,102,169.357395
233.417805,98,171.177519
235.242872,97,172.995294
223.045049,89,174.62332
223.089304,92,176.33311
233.020729,99,178.220959
222.959486,97,179.98496
220.884839,93,181.679447
227.914834,98,183.485384
228.291008,94,185.194804
237.111082,101,187.01643
235.298644,101,188.872337
225.164596,93,190.609201
233.93103,99,192.415668
241.590293,103,194.304362
224.073108,92,195.967731
240.890985,101,197.815195
233.34386,96,199.579139
223.842509,94,201.383472
235.916425,95,203.136171
230.03042,95,205.12191
240.713443,101,207.116294
229.231443,93,208.785374
181.610397,87,210.389933
191.73973,91,212.030776
