#{"t_start": 1736710672.5161161, "env_id": "CustomHopper-target-v0"}
r,l,t
9.995367,13,4920.270079
7.493952,10,4920.298469
32.780429,36,4920.356941
10.60247,17,4920.371604
12.86548,14,4920.384619
7.689028,36,4920.822802
15.933698,20,4921.139808
18.276687,28,4921.559439
10.135681,13,4921.761206
9.431075,32,4922.223463
16.154825,21,4922.542654
31.602006,27,4922.954443
15.39883,23,4923.317058
36.738639,46,4924.052997
15.231138,18,4924.325768
81.410269,93,4925.745614
12.02725,14,4925.965044
8.76672,11,4926.135561
7.111279,10,4926.29336
12.247444,21,4926.637855
5.647363,19,4926.932849
86.210695,51,4927.682615
23.547608,24,4928.037706
90.249502,65,4929.003859
28.662932,44,4929.663989
75.542811,50,4930.415637
176.722014,150,4932.758012
86.377584,126,4934.703692
122.104037,147,4936.974983
104.316195,82,4938.208044
86.868784,54,4939.040723
67.868027,74,4940.161259
75.342735,51,4940.952416
119.64547,123,4942.818281
127.319758,105,4944.538167
73.033591,41,4945.265683
85.156569,46,4946.126168
83.653097,56,4947.137264
110.319401,65,4948.320198
68.063315,40,4949.036808
66.365235,40,4949.749876
82.712646,47,4950.634387
57.719415,35,4951.257796
70.188522,48,4952.143537
68.172309,45,4952.943079
74.265973,42,4953.684902
55.749642,33,4954.274311
88.375437,53,4955.206156
85.12653,47,4956.05887
124.119827,72,4957.358106
217.397783,110,4959.335988
278.137453,125,4961.585539
237.488137,115,4963.639027
155.522458,78,4965.09153
183.091769,109,4966.986814
160.790121,85,4968.465267
201.806247,97,4970.205673
178.317715,93,4971.855642
168.194016,93,4973.508266
202.422549,111,4975.50589
309.368118,139,4978.018934
295.418192,127,4980.302955
307.540489,135,4982.721012
328.333918,154,4985.451289
298.446921,138,4987.883725
301.126995,137,4990.352132
192.199267,111,4992.323753
332.731445,159,4995.166636
334.306707,168,4998.163773
348.34271,169,5001.113605
342.614266,168,5004.302255
337.163218,171,5007.321271
335.69618,164,5010.227812
351.120163,164,5013.108924
346.733807,168,5016.087592
358.738893,169,5019.087028
369.209381,183,5022.354639
356.889173,170,5025.374331
368.948108,198,5028.835248
386.66984,209,5032.483652
353.212927,170,5035.533798
354.63796,189,5038.866686
401.002583,222,5042.819016
324.495731,142,5045.346464
353.492898,171,5048.396303
352.149607,181,5051.613816
409.126596,220,5055.568158
350.190191,255,5060.064569
312.404616,150,5062.738902
345.432483,176,5065.868527
482.773609,297,5071.198736
328.774141,160,5074.108663
348.197168,184,5077.373274
285.868269,138,5079.829156
305.469132,143,5082.385832
382.389637,198,5085.846002
314.421944,149,5088.53809
308.379594,143,5091.073992
328.53184,163,5093.952391
533.720854,215,5097.742495
296.938518,140,5100.244428
307.400248,138,5102.680354
327.706366,147,5105.289468
323.793094,158,5108.11643
716.954961,312,5113.730442
337.414563,142,5116.244498
280.683504,125,5118.447732
280.327432,125,5120.663566
317.14635,136,5123.098904
327.853041,143,5125.675174
276.329133,126,5127.899958
288.315534,134,5130.269495
327.119169,144,5132.879242
321.479552,146,5135.535634
278.709988,127,5137.783072
315.073026,134,5140.181885
211.179057,94,5141.844851
272.326021,124,5144.072654
51.667568,38,5144.759886
295.909764,139,5147.222551
397.159259,208,5150.93374
338.292235,155,5153.679593
322.690285,139,5156.178343
331.476191,155,5158.953096
330.510353,158,5161.761562
310.296175,145,5164.779169
361.985552,184,5168.114491
289.132485,137,5170.545079
349.286036,173,5173.687146
309.095573,146,5176.313143
294.220477,118,5178.414225
285.467778,124,5180.883577
295.496944,133,5183.620837
298.421916,137,5186.183348
285.189315,126,5188.328363
294.123398,132,5190.76031
285.133588,128,5193.100181
292.888735,132,5195.476774
282.480358,126,5197.720089
286.837163,132,5200.13442
287.996827,129,5202.480547
308.656547,126,5204.743411
270.898619,122,5207.211339
279.141681,124,5209.528898
275.078582,121,5211.83377
294.014646,132,5214.169607
273.574738,119,5216.491052
280.271014,127,5218.76753
300.710694,140,5221.269595
309.760241,125,5223.495105
285.575093,127,5225.992355
301.775256,133,5228.38874
272.669395,119,5230.660791
283.237413,126,5232.877792
286.680882,127,5235.164063
286.389231,126,5237.430918
306.192606,140,5239.943565
309.81843,144,5242.483204
306.454357,140,5244.97141
295.667789,133,5247.330803
295.722981,134,5249.715803
264.530661,121,5251.867176
303.598537,137,5254.298532
272.988405,124,5256.527291
302.405527,136,5258.953356
299.92867,135,5261.344181
274.832733,121,5263.534739
297.720847,133,5265.897073
254.965524,126,5268.121179
273.661521,119,5270.250469
297.909283,136,5272.673862
275.344917,125,5274.874402
250.626648,122,5277.071721
265.600012,116,5279.107328
295.878863,132,5281.493657
277.926945,124,5283.790034
260.1403,124,5286.088161
307.565602,156,5288.872697
248.728639,118,5290.979662
337.784361,162,5293.861381
392.605556,163,5296.819072
373.781145,193,5300.259445
271.329749,124,5302.486067
269.064423,123,5304.658844
264.275064,130,5307.007734
273.148766,136,5309.429106
250.816772,122,5311.61743
258.610948,130,5313.941305
268.970783,139,5316.450047
251.928692,124,5318.648988
239.146897,122,5320.840609
226.788317,112,5322.831065
230.074082,120,5324.983422
242.81076,124,5327.310598
242.730724,129,5329.616972
263.715523,137,5332.186605
255.86553,133,5334.480104
270.029188,144,5337.058502
290.718586,151,5339.714307
316.176008,157,5342.53663
288.910767,135,5344.956566
281.140311,134,5347.329107
298.031637,141,5349.829513
325.37049,155,5352.580337
335.511822,167,5355.609607
321.713874,152,5358.326411
342.515425,172,5361.443984
459.125336,217,5365.263773
284.445117,135,5367.764533
303.584844,147,5370.35755
539.809461,252,5374.805929
339.23234,158,5377.568085
452.777831,209,5381.299103
426.201851,235,5385.480623
343.700779,157,5388.288898
436.382879,198,5391.776182
322.991754,139,5394.333278
362.821342,174,5397.444048
429.316457,215,5401.300489
493.6456,232,5405.385011
330.388302,155,5408.225873
334.613261,194,5411.683529
399.841475,208,5415.43921
422.853979,209,5419.192662
296.133521,152,5421.916427
471.46623,224,5425.877163
306.468439,158,5428.646414
461.581568,212,5432.421108
431.458042,240,5436.697643
279.023827,151,5439.422745
306.221139,166,5442.383641
429.143517,233,5446.556225
293.32919,141,5449.078083
298.960355,154,5451.834213
276.327571,146,5454.70842
285.667106,138,5457.179861
305.062915,144,5459.770295
330.570997,157,5462.593249
320.38063,159,5465.606476
416.602751,202,5469.342018
405.414499,193,5472.751002
383.539672,176,5475.898625
307.4521,148,5478.534129
443.332789,247,5482.886986
293.762944,145,5485.494015
385.08543,202,5489.083
353.414965,185,5492.53325
401.550566,175,5495.644441
301.865664,152,5498.437083
290.114227,142,5500.958292
311.147745,157,5503.778897
276.627085,137,5506.217976
442.108982,215,5510.059974
469.250437,202,5513.655949
492.629284,212,5517.460035
196.979472,115,5519.503553
595.638941,293,5524.8145
498.690665,227,5529.069215
450.051448,219,5533.017604
192.752398,119,5535.091335
481.656011,204,5538.738301
805.714957,398,5545.83629
367.968137,155,5548.593715
505.34115,217,5552.47956
493.791918,227,5556.507074
201.654754,120,5558.647799
136.811696,88,5560.207566
501.219102,214,5564.092378
492.359002,209,5567.854398
338.632476,140,5570.330794
570.569078,230,5574.437503
291.583231,124,5576.655964
287.204717,118,5578.850532
291.245675,122,5581.011719
311.89103,118,5583.142217
342.48077,136,5585.580374
320.636318,129,5587.922477
321.309165,128,5590.179994
329.065573,124,5592.454465
328.137655,135,5594.872574
307.21448,125,5597.096955
556.129127,232,5601.789672
337.184302,135,5605.702983
189.328594,115,5608.507654
276.609118,116,5611.316179
152.24854,107,5613.805228
168.687152,108,5616.093601
184.284233,113,5618.570632
151.237072,100,5620.558841
167.11343,111,5623.026396
535.85729,293,5628.640057
655.645592,301,5633.973308
457.474708,207,5637.734167
379.677372,190,5641.162117
435.738197,307,5646.637134
646.167853,300,5651.970837
301.214773,176,5655.145564
321.856149,181,5658.356824
792.956623,500,5667.392176
377.090174,256,5671.988439
675.213499,417,5679.394204
633.077116,314,5685.031528
554.798902,334,5691.051969
744.259508,315,5696.656867
315.100601,148,5699.306971
771.137349,500,5708.145352
650.150738,309,5713.663898
321.602818,156,5716.513183
424.664144,208,5720.236039
459.809916,241,5724.501377
283.139477,135,5726.917711
686.71417,313,5732.498231
410.713948,197,5736.040563
757.756646,297,5741.32694
420.241003,212,5745.158311
281.816862,137,5747.672275
288.42663,139,5750.161152
660.251203,329,5756.042052
355.380409,157,5758.850057
423.01312,202,5762.496257
272.172831,127,5764.889861
905.332675,341,5771.047107
928.339454,365,5777.614769
473.587906,215,5781.437793
343.782828,136,5783.887066
489.553277,214,5787.707702
398.417264,181,5790.971514
304.563004,153,5793.712902
213.380055,106,5795.609716
587.058249,229,5799.702257
281.973998,129,5801.996837
515.63823,241,5806.335884
530.391295,248,5810.807515
763.82587,348,5817.008686
528.253356,264,5821.709101
1127.346767,439,5830.060523
745.567508,332,5836.004935
729.388371,457,5844.11829
270.538743,130,5846.468286
987.262096,436,5854.263828
1069.589315,500,5863.233622
226.834842,120,5865.429854
583.80784,263,5870.12769
457.537694,255,5874.685759
740.271017,262,5879.384948
996.768326,500,5888.389523
240.955556,131,5890.759517
212.640908,121,5892.932705
890.974597,391,5900.122719
337.009328,197,5903.696602
413.585399,214,5907.540675
942.865111,427,5915.280755
219.277586,130,5917.788582
218.375506,129,5920.09299
521.098388,320,5925.866076
685.222538,303,5931.312254
962.221516,394,5938.366241
122.724299,74,5939.710898
597.53875,329,5945.583284
229.421199,127,5947.941826
749.20718,351,5954.229336
1053.849653,500,5963.215701
681.679939,356,5969.706472
784.685229,411,5977.079901
222.251571,127,5979.395269
224.927754,122,5981.568257
196.568211,132,5983.935951
199.512702,118,5986.099568
219.566245,126,5988.355924
798.235349,325,5994.190844
663.703215,318,6000.002716
424.34561,184,6003.453169
637.935781,312,6009.245431
418.155714,188,6012.578174
222.496032,119,6014.766726
231.046815,147,6017.448042
572.004719,239,6021.736385
215.397765,122,6023.919149
485.669604,205,6027.563296
223.189833,124,6029.816264
471.059935,204,6033.618983
193.648771,118,6036.563401
231.573807,144,6039.735989
216.18846,124,6042.232306
644.380823,249,6047.06885
742.038489,268,6051.893111
226.526128,120,6054.110829
411.519277,193,6057.576504
709.796502,253,6062.142201
641.198273,215,6066.176866
216.032499,116,6068.265072
733.753369,243,6072.729684
223.645992,115,6074.846568
767.993639,245,6079.265832
747.9649,256,6083.818192
