#{"t_start": 1736700236.8725607, "env_id": "CustomHopper-target-v0"}
r,l,t
18.366836,27,4814.572887
13.258623,18,4814.594652
38.814183,57,4814.665369
12.475728,28,4815.186695
9.472354,12,4815.372242
9.840783,23,4815.728101
17.22027,25,4816.097615
6.426981,19,4816.378124
44.780804,36,4816.910328
9.767259,11,4817.074013
5.609716,9,4817.209179
10.555761,24,4817.565546
16.803399,17,4817.905322
8.120668,11,4818.074852
5.850251,13,4818.270083
7.407956,11,4818.429793
33.004454,51,4819.21736
16.460622,22,4819.535117
47.502895,54,4820.365305
79.182482,51,4821.148945
32.546986,57,4822.005492
19.047531,18,4822.258676
16.668436,45,4822.927006
35.234175,42,4823.559947
134.714438,79,4824.767087
115.729715,77,4825.932884
93.51841,55,4826.793898
37.730966,47,4827.539601
167.797339,91,4828.961692
126.511619,93,4830.590723
114.629807,74,4831.974792
302.723914,142,4834.653642
199.976046,98,4836.488602
215.105148,105,4838.367684
131.941651,68,4839.59084
208.349749,102,4841.450819
225.689968,107,4843.430551
73.530699,42,4844.193721
147.712665,82,4845.717906
203.771037,99,4847.528055
224.337876,113,4849.595126
207.884733,108,4851.549783
57.431766,38,4852.234227
292.808138,130,4854.602747
276.122815,127,4856.955537
345.941929,156,4859.766862
252.897788,117,4861.955075
108.524153,60,4863.020384
294.102221,132,4865.446865
286.149584,134,4867.857954
323.818216,131,4870.272227
305.15232,137,4872.743265
237.065372,117,4874.857016
320.121485,132,4877.263417
311.278607,120,4879.411903
297.023617,128,4881.784206
306.972648,134,4884.232899
312.547664,129,4886.572713
290.80286,120,4888.748832
253.383525,121,4891.002095
280.529734,129,4893.367332
295.300164,121,4895.582668
312.775059,125,4897.845573
279.862655,129,4900.177812
301.959504,122,4902.397282
315.860234,152,4905.172663
301.131725,130,4907.53445
309.451138,128,4909.849824
286.250088,122,4912.094438
325.544511,153,4914.87706
287.119477,120,4917.056577
314.089247,136,4919.521087
325.646012,139,4922.189874
308.617585,135,4924.641052
303.786859,132,4927.054791
303.439655,131,4929.407015
310.447294,137,4931.945205
306.64199,136,4934.380101
330.506018,159,4937.309182
323.010505,150,4940.041757
307.564094,145,4942.752638
295.602259,132,4945.120872
285.564194,125,4947.404167
287.633753,121,4949.57937
290.726903,133,4952.071905
313.506167,131,4954.436849
298.516572,135,4956.899423
283.734005,119,4959.035769
291.757003,115,4961.178516
300.315976,121,4963.368963
290.811425,125,4965.646387
276.79015,114,4967.738327
291.130873,123,4969.963737
259.24442,111,4971.984408
286.010573,122,4974.169964
293.250361,123,4976.433936
295.525284,122,4978.644414
289.824377,118,4980.903322
288.778209,117,4983.096154
297.729892,123,4985.3246
283.326361,116,4987.487275
290.389702,117,4989.621973
303.451022,121,4991.833502
291.782878,118,4994.004953
285.81595,115,4996.131262
287.816401,117,4998.258473
277.43223,111,5000.267933
291.827538,115,5002.494296
230.852289,102,5004.368863
215.555803,96,5006.136086
215.946522,96,5007.876991
204.213209,91,5009.507013
204.785244,92,5011.252038
204.488114,92,5012.935544
188.243404,87,5014.520211
206.017213,92,5016.196877
202.887556,91,5017.897275
206.860685,93,5019.586245
210.720227,95,5021.349429
206.024987,92,5023.01809
209.594661,93,5024.70743
220.065128,98,5026.479172
228.061188,101,5028.339945
233.623472,104,5030.191512
253.552542,112,5032.382287
248.474418,110,5034.363124
261.854127,114,5036.587581
261.380754,113,5038.551224
274.06974,117,5040.688431
283.482914,119,5042.926538
293.852615,122,5045.131907
294.703153,121,5047.356817
306.872994,125,5049.650651
300.205173,124,5051.919991
302.029044,123,5054.141847
285.036804,117,5056.505314
303.33068,122,5058.988034
284.366623,116,5061.06491
295.899297,119,5063.274954
316.572449,125,5067.215158
291.965742,117,5070.147683
289.185372,115,5073.081618
286.13808,113,5075.960464
294.789126,117,5078.890442
299.358386,118,5081.385401
266.63327,107,5083.702501
261.465494,105,5085.677375
265.882488,108,5087.839813
