#{"t_start": 1736687694.305943, "env_id": "CustomHopper-source-v0"}
r,l,t
8.518368,29,0.479386
13.554889,18,0.490957
104.100183,58,0.592735
7.533125,11,0.749318
7.298764,17,0.987494
15.477396,17,1.215028
13.906461,17,1.457827
7.608956,14,1.648452
15.570152,21,1.935794
7.978039,11,2.092797
19.464102,22,2.405273
11.392636,12,2.569778
150.311269,74,3.564823
12.117211,35,4.031649
26.967254,23,4.349778
13.029076,17,4.583285
6.493848,13,4.763856
40.277141,31,5.185535
18.931972,19,5.444604
6.284666,36,5.917193
5.6478,12,6.078932
9.286073,37,6.595808
145.972419,96,7.86978
56.071896,45,8.488426
5.95609,20,8.766266
29.642984,30,9.174436
56.558337,41,9.719188
60.363397,42,10.282862
115.768956,87,11.49435
53.116146,31,11.924327
110.692046,66,12.989967
60.585372,34,13.548771
56.795537,36,14.142204
34.259469,30,14.641117
213.077337,106,16.376569
92.02213,54,17.266866
56.397781,37,17.883403
59.832456,33,18.435023
44.139407,24,18.852456
99.883471,53,19.710511
75.3705,42,20.404134
51.982436,28,20.87223
87.598258,48,24.977324
65.668122,44,25.716637
124.164957,62,26.752967
71.747495,40,27.432543
48.066983,28,27.891678
128.449334,67,29.007883
116.057152,60,29.980161
92.372059,51,30.82615
86.353908,46,31.601484
144.056236,78,32.896933
170.230491,81,34.225854
166.759616,81,35.56412
212.410856,100,37.213936
196.469878,108,38.975515
217.67666,98,40.582767
228.517073,107,42.318114
224.685834,103,43.970016
222.614563,103,45.605005
248.190838,108,47.382826
173.453875,95,48.922523
156.955437,87,50.311014
233.091414,105,52.019841
198.367405,97,53.587456
235.076894,104,55.25176
184.8163,96,60.07046
214.518458,100,61.708704
166.215535,87,63.136897
241.56095,108,64.876628
185.591682,92,66.373148
209.426139,100,67.971228
185.969448,95,69.528885
203.847357,93,71.087802
227.525201,101,72.753553
208.065097,101,74.401098
207.545195,97,76.005629
219.935917,106,77.71569
217.790499,98,79.314305
200.27604,92,80.829639
198.173798,102,82.465118
199.755448,91,83.927507
198.976418,90,85.405618
198.546345,95,86.939182
198.504374,89,88.377661
192.355764,93,89.86675
202.207506,92,91.374983
199.312238,97,96.231088
205.876031,100,97.88687
212.81812,99,99.576484
162.93206,82,100.925442
209.526015,93,102.425256
198.211288,89,103.949225
153.077945,81,105.344119
185.78344,87,106.759334
213.16451,97,108.360932
207.320459,98,109.984184
222.104097,103,111.630845
210.488002,98,113.196015
211.533894,91,114.658692
242.442809,109,116.433521
244.447006,116,118.259512
250.202708,111,120.042331
252.585375,106,121.735601
255.047027,110,123.647671
157.424703,95,125.235738
176.081101,87,126.648632
286.295507,140,132.195773
281.765754,123,134.202839
170.576569,92,135.699385
280.466754,129,137.801338
260.905278,108,139.548773
206.045438,98,141.147564
236.544852,110,142.953547
170.02583,82,144.331383
237.949999,111,146.149496
200.726766,90,147.702022
162.462194,86,149.130556
212.999697,105,150.856065
263.048345,117,152.786654
219.232909,93,154.336339
132.161778,75,155.577925
296.291801,126,157.64012
311.287742,130,159.778208
350.869822,139,162.026649
315.267437,128,167.223512
198.146917,98,168.804456
177.650765,81,170.097787
210.307877,94,171.699268
212.152315,95,173.237585
321.027079,145,175.581366
346.256239,148,178.030699
36.051016,30,178.513466
32.105198,28,178.977567
45.250108,34,179.534999
287.382467,129,181.656555
40.826652,32,182.162366
136.632377,122,184.16893
221.506707,111,186.011424
303.640223,147,188.442199
248.937717,123,190.493666
264.094318,128,192.590243
262.883381,120,194.546073
258.100238,123,196.572986
244.774957,122,201.539717
256.108937,127,203.587643
231.462709,109,205.460403
220.655249,102,207.127631
217.082548,100,208.892333
236.357658,109,210.763141
223.799795,103,212.464994
203.026135,88,213.986634
219.529312,104,215.808991
209.035064,90,217.288983
237.662675,115,219.169986
216.005869,97,220.732949
213.482929,92,222.251264
217.730828,94,223.791744
213.148891,99,225.414774
217.52918,94,226.930091
229.240196,99,228.559317
226.261502,103,230.250881
223.420324,95,231.829361
200.489963,87,233.247811
214.83635,92,237.760314
234.84926,99,239.378689
221.877279,94,240.934692
205.21634,87,242.389374
217.702517,94,243.965571
231.726846,96,245.783062
224.167144,95,247.474518
219.431141,93,248.920861
220.10773,92,250.418115
233.142795,98,252.031546
230.842006,97,253.624748
230.74723,96,255.185193
244.756309,100,256.823727
237.850246,98,258.430586
243.966819,97,260.043169
229.085655,94,261.593805
251.801638,100,263.263902
244.61865,102,264.931778
235.338484,98,266.53883
240.361589,97,268.119407
267.620854,108,272.892528
205.14926,89,274.338448
272.967767,107,276.080037
255.4002,105,277.797687
254.730586,105,279.530767
256.868864,103,281.322174
239.392995,98,282.977321
262.051175,106,284.805894
266.02251,107,286.493615
253.761254,105,288.31584
261.74456,108,289.989394
261.429799,107,291.776604
271.058234,108,293.535883
255.318874,107,295.290101
255.132197,102,296.961954
278.175306,109,298.742054
271.376836,107,300.532714
246.876128,104,302.281253
251.152111,104,303.961066
231.984267,111,308.775173
255.796084,104,310.481448
235.001696,104,312.149549
239.244265,101,313.875929
197.036497,85,315.290889
227.435377,104,317.017883
250.258627,108,318.837754
214.391456,101,320.485173
212.99887,106,322.212998
206.137773,100,323.877623
210.597339,104,325.587623
214.485933,105,327.330513
227.738566,104,329.048122
210.768903,103,330.720829
218.549702,107,332.447555
223.992143,105,334.197205
218.374266,103,335.894202
226.473771,104,337.618343
225.613538,108,342.365465
220.518058,103,344.04135
269.217712,115,345.914572
208.266386,107,347.701542
277.258039,120,349.678115
224.555846,109,351.437623
254.639109,112,353.273767
214.941956,107,355.033626
257.011311,117,356.996594
279.61458,117,358.942306
164.953222,86,360.54438
172.84404,86,361.98243
250.695799,121,364.101185
169.554351,82,365.367818
162.048978,80,366.702115
175.781951,89,368.199622
242.914835,115,370.090588
162.040568,81,371.431884
276.580523,119,373.377825
183.110933,90,377.815136
260.362672,120,379.783314
306.316264,134,381.960894
235.175306,115,383.848758
291.206088,127,385.949524
285.578152,123,387.947424
256.365444,125,389.985857
299.63168,124,392.036397
325.119533,138,394.314473
305.195608,122,396.350296
319.232663,124,398.40159
276.080823,127,400.493793
236.743615,110,402.297222
319.138544,133,404.447627
278.295287,125,406.469743
285.478153,125,408.517721
310.323856,133,413.67034
282.645479,125,415.696355
278.686592,122,417.712059
347.915085,140,420.001889
364.510187,140,422.281897
361.385575,142,424.665157
249.803527,115,426.507216
320.162828,133,428.680364
304.568679,126,431.037478
199.82165,101,432.714884
315.522044,131,434.86622
194.653489,98,436.506577
365.965361,141,438.804982
323.871038,138,441.068702
350.002099,135,443.317638
277.438121,119,448.212116
331.369383,130,450.379588
301.823725,118,452.335717
434.725574,173,455.218901
300.63803,127,457.274023
311.962681,129,459.415897
332.630236,129,461.513278
318.770224,136,463.713707
