#{"t_start": 1736687694.3154206, "env_id": "CustomHopper-target-v0"}
r,l,t
15.877949,20,4690.283457
17.981749,26,4690.31448
23.475026,30,4690.338588
14.994779,25,4690.358018
13.825739,17,4690.643038
18.012052,27,4691.056792
14.286,16,4691.303169
11.06315,15,4691.513971
10.951728,16,4691.73795
8.673315,35,4692.215789
8.541076,15,4692.411302
7.362277,13,4692.58202
12.717275,16,4692.822454
9.961753,12,4693.023161
8.092552,10,4693.305217
20.081747,38,4693.934006
15.373158,23,4694.356022
13.107629,15,4694.586341
19.668143,22,4694.927028
15.418015,14,4695.133848
3.892565,19,4695.414434
9.052682,15,4695.627988
44.899239,51,4696.357318
105.259752,90,4697.646607
10.428845,13,4697.847459
10.325872,12,4698.007701
44.983639,43,4698.595175
28.845937,27,4698.960179
11.101348,18,4699.207835
27.277979,45,4699.840976
53.24317,51,4700.570749
23.325523,30,4701.021952
55.725815,33,4701.599181
52.732294,32,4702.123902
77.859365,49,4702.825641
147.566553,90,4704.260122
70.245516,42,4705.016522
126.284241,78,4706.57848
201.822023,93,4712.029451
182.076927,85,4713.761404
229.044295,114,4716.112695
132.10348,80,4717.585841
194.648001,89,4719.389897
197.432797,89,4721.045937
186.427122,96,4722.816323
212.232963,97,4724.710407
194.646359,89,4726.426089
167.099816,79,4727.853791
205.496687,110,4729.870822
173.192695,81,4731.419615
206.348503,92,4733.162568
203.152337,92,4734.807945
214.344775,96,4736.443087
204.621001,90,4738.207259
213.357884,93,4739.91198
51.741283,31,4740.425778
208.560289,93,4741.944633
196.641342,90,4746.964277
216.456409,94,4748.689783
205.655158,90,4750.353821
185.115746,85,4752.127291
210.189271,93,4753.662587
201.812086,89,4755.37081
205.397942,91,4756.91778
201.940055,89,4758.718725
207.855437,94,4760.47557
217.908158,95,4762.193897
190.615773,85,4763.899236
52.444077,31,4764.399601
205.049424,91,4766.05866
190.06983,85,4767.579506
187.599244,83,4768.980449
190.954766,86,4770.645148
197.296938,88,4772.187905
199.488803,88,4773.699742
209.024815,91,4775.435781
191.643178,87,4777.21279
197.952765,87,4782.4107
194.241454,87,4784.405343
211.505052,93,4786.068512
204.14419,91,4787.782113
215.727998,93,4789.514391
220.286321,96,4791.359953
191.397502,86,4792.753917
190.628804,85,4794.576759
201.932931,87,4796.251216
196.243545,88,4797.70316
200.718293,87,4799.480885
199.873389,88,4801.019342
207.567376,91,4802.611972
197.363212,88,4804.289209
194.579513,87,4806.096765
197.552982,87,4807.556888
204.117454,90,4809.475824
211.216021,92,4811.189997
201.00244,91,4812.798063
202.806386,89,4814.274757
206.010219,89,4819.118613
206.816909,89,4820.791193
193.29564,88,4822.452252
206.988045,99,4824.346625
207.89962,91,4825.993736
209.265922,92,4827.823416
211.744717,91,4829.524899
292.466763,172,4832.682071
211.254727,93,4834.743309
205.45555,91,4836.432658
229.177696,117,4838.644951
206.827315,91,4840.246947
212.620671,94,4842.161182
211.00742,93,4843.6189
211.759563,92,4845.257194
207.516143,90,4846.750995
243.192303,120,4849.606905
244.448053,122,4855.857192
218.431803,99,4858.121177
210.488067,93,4860.136889
206.52992,91,4862.080998
213.721202,94,4863.789689
216.42139,94,4865.725672
215.398758,92,4868.273082
214.781351,94,4871.756621
212.422802,93,4873.633015
203.877569,91,4876.298936
212.259612,91,4878.3242
220.274536,96,4879.993537
209.807201,91,4881.515433
210.115966,92,4883.121171
212.973836,91,4884.820251
214.966379,94,4890.022895
218.176308,95,4892.004531
211.857268,91,4893.827833
215.423377,95,4895.566553
204.875711,94,4897.46918
217.681795,95,4899.288189
216.917113,97,4902.220202
216.565497,96,4904.401282
213.240947,94,4906.05522
215.482263,94,4907.511783
219.054869,98,4909.199649
216.599143,95,4910.704017
219.661886,97,4912.306305
216.285556,96,4913.931523
220.399257,99,4915.439015
207.084723,90,4917.046605
205.577536,92,4918.444573
218.788034,96,4920.09234
199.412892,91,4924.779599
219.156903,96,4926.410273
223.294362,98,4928.103526
224.462518,100,4929.690881
222.897058,97,4931.464528
218.095507,94,4933.107344
222.118835,98,4934.849859
216.232049,94,4936.368704
214.337185,90,4937.935751
218.240246,95,4939.59003
214.201269,92,4941.66856
214.506777,92,4943.734661
214.582504,94,4945.766192
243.715967,121,4948.046709
220.230823,98,4949.662195
216.519936,94,4951.257957
218.840155,96,4952.870096
215.312763,94,4954.64298
255.919365,175,4960.947166
214.681817,92,4962.763585
213.577361,98,4964.630659
215.212729,96,4966.399147
209.545606,93,4968.137516
219.966997,99,4969.882977
215.797879,95,4971.543767
226.664971,104,4973.699611
216.074105,97,4975.540764
224.766255,104,4977.727706
215.990096,96,4979.677192
214.708335,92,4981.456779
216.042198,96,4983.334515
221.07076,97,4985.147349
224.524467,100,4986.799051
215.729193,94,4988.724779
212.585543,94,4990.805992
220.90139,98,4996.477251
220.794762,97,4998.251338
218.384136,96,5000.111735
219.188351,97,5001.890471
216.306595,95,5003.695721
217.385119,97,5005.430694
205.974734,97,5007.951601
219.417749,99,5009.959669
185.007125,86,5011.645155
228.433427,104,5013.648975
224.743977,103,5015.654584
208.679639,98,5017.382068
200.98687,94,5019.154105
221.337874,100,5021.361661
224.648052,102,5023.511143
195.422277,93,5025.074188
200.931018,95,5026.993912
213.469474,95,5032.300496
214.937716,97,5034.249393
207.383858,92,5035.925152
205.858104,93,5037.407732
224.731233,102,5039.529352
219.988419,97,5041.329503
199.412734,90,5042.888119
189.092307,86,5044.602818
202.685589,90,5046.404441
214.015305,95,5048.130907
221.439536,100,5050.072918
223.464242,100,5051.908386
210.741953,97,5053.846582
220.608675,99,5055.844886
218.419745,97,5057.558034
200.675926,91,5059.321755
228.349792,105,5061.428493
224.044227,101,5066.751291
224.156419,100,5068.747478
222.520252,101,5070.50387
207.087793,91,5072.010996
204.492803,96,5073.972424
209.504071,96,5075.779272
203.197344,91,5077.490121
197.042658,90,5079.393209
202.007388,93,5081.059529
210.052246,95,5083.251967
204.686944,95,5084.82623
215.656034,96,5088.934755
213.41582,95,5096.402391
223.748934,104,5102.824468
225.109574,101,5105.183636
193.472514,97,5107.20868
207.447331,97,5109.792197
217.614388,98,5111.468784
217.817449,98,5113.394432
237.677115,113,5115.240282
218.252227,101,5118.189119
231.281265,107,5120.146904
233.523645,110,5122.280748
233.98224,109,5124.579802
236.446463,113,5127.010141
238.8959,108,5129.277469
245.503348,118,5131.805545
237.08464,107,5133.897485
237.498177,115,5139.550534
230.527801,112,5141.942122
5.428647,7,5142.08029
53.147335,57,5143.306292
52.488978,57,5144.452336
253.000783,125,5147.155757
7.204684,9,5147.341434
250.555635,114,5149.445012
232.142999,111,5151.713684
279.260406,134,5154.214381
191.19673,143,5156.924555
199.815946,96,5158.424431
55.201981,80,5159.739928
54.527247,62,5160.992672
72.189984,76,5162.552822
39.037371,52,5163.527994
40.399698,71,5164.781517
54.80493,61,5165.710988
73.642841,95,5167.263643
46.852368,55,5168.215591
132.825576,150,5174.428409
318.558369,294,5180.03306
144.915547,87,5181.59645
178.52917,112,5183.869923
144.971263,85,5185.571352
