#{"t_start": 1736155593.8662202, "env_id": "CustomHopper-source-v0"}
r,l,t
13.688455,20,0.584229
26.160765,22,0.60798
6.864813,11,0.656234
9.533593,12,0.678237
33.486411,32,0.714114
44.143439,32,1.356941
27.950525,23,1.891795
36.252476,37,3.7252
12.161357,16,4.420171
22.205653,21,5.764054
12.978727,15,6.635614
95.381725,66,8.642184
8.961951,22,9.432276
7.8173,9,9.779179
10.527457,27,10.745672
17.847852,29,11.544868
8.659709,13,11.954496
20.993629,28,12.783569
11.36153,14,13.160818
13.775099,28,13.929094
12.270307,20,14.581824
9.745284,11,15.161156
70.940125,68,17.400852
28.930239,25,18.026904
212.55969,243,27.032009
19.890876,36,28.056294
17.826105,43,29.248147
34.435982,32,30.237669
11.883082,26,31.31406
25.523263,47,32.933209
21.847098,23,33.771426
52.662588,53,35.981425
14.105535,20,36.768747
18.478168,32,37.833005
58.459039,40,38.995057
60.551658,40,40.458379
73.812935,51,42.052042
180.08264,179,47.182209
54.849141,37,48.401731
63.941044,44,49.609615
44.283616,31,50.770885
78.493883,69,52.757062
69.472929,48,53.943232
273.435954,123,57.536713
107.322609,73,59.720774
89.861076,61,61.554842
76.943969,59,63.176299
70.196619,48,64.524959
110.090785,71,66.88873
260.394301,141,70.802961
99.691711,65,72.550817
75.503631,51,73.88085
102.206114,68,76.506863
101.408385,65,78.704427
111.225187,76,81.107223
113.552335,73,83.248408
88.685372,64,85.517141
94.489564,68,87.788203
117.528515,80,90.72678
140.210985,91,93.909656
83.922439,57,96.215255
166.847172,96,98.882103
103.055029,70,101.430585
116.235477,77,103.727397
105.3217,73,106.589467
94.678731,65,108.280828
105.428706,75,110.494943
152.438016,100,113.621302
100.791532,73,116.737365
332.610488,169,121.479658
351.393874,181,126.854199
218.653972,126,130.292772
315.701812,156,134.828966
345.132015,178,140.119634
379.885384,212,147.181364
365.479091,194,153.08338
333.686681,170,158.46286
177.767029,103,161.710914
382.423892,193,166.973583
314.683567,147,171.094447
370.29013,167,176.096337
378.857745,181,181.334688
393.867057,178,186.43949
324.95013,157,190.856863
400.916973,188,196.632783
372.657487,174,201.491193
219.073709,106,204.119157
348.310902,174,210.384336
456.548392,231,218.30408
422.923505,205,224.585734
194.47327,111,228.333799
438.824736,228,235.227189
189.933204,120,239.124883
172.158848,104,242.453025
154.831202,102,245.33734
