#{"t_start": 1736155593.8819203, "env_id": "CustomHopper-target-v0"}
r,l,t
11.94225,12,17910.122328
7.927557,9,17910.144567
16.235852,19,17910.164544
95.735917,69,17910.368811
9.878659,17,17910.749747
13.520228,14,17910.987634
7.799909,9,17911.11607
35.861778,30,17911.526542
15.454659,15,17911.735376
11.0602,14,17911.915995
15.290254,22,17912.20947
33.538781,36,17912.707472
15.491182,16,17912.92337
14.610291,23,17913.362719
10.230922,11,17913.516976
9.470615,10,17913.659898
16.289444,16,17913.877475
32.418841,39,17914.398325
18.052808,29,17914.801145
123.141237,92,17916.034638
17.025172,19,17916.328285
25.67792,20,17916.628291
41.798692,51,17917.34186
15.949694,18,17917.578827
11.198999,26,17917.93399
42.150069,46,17918.575091
111.72849,94,17919.844165
20.150954,21,17920.131302
76.044762,52,17920.886215
147.590202,112,17922.479839
73.601876,50,17923.202915
11.829382,26,17923.564727
98.821934,72,17924.548132
65.697606,46,17925.200685
133.000255,78,17926.293761
279.347838,133,17928.138041
105.272288,65,17929.028279
131.868034,79,17930.106086
183.30844,101,17931.511396
218.601446,112,17934.011
174.818577,95,17935.284701
156.697425,92,17936.583014
147.542072,84,17937.735821
332.223801,156,17939.853506
342.379444,151,17941.932541
316.726409,136,17943.796679
247.560961,121,17945.648962
130.360431,77,17946.855405
146.031598,88,17948.254909
294.062458,140,17950.378889
170.202915,95,17951.860968
276.90483,134,17953.989359
261.953884,124,17955.870326
109.809913,74,17957.056781
130.622059,84,17958.333165
300.254288,153,17960.688187
282.594751,139,17962.858498
177.879495,107,17964.541914
307.9061,156,17967.964303
283.659653,141,17970.130334
164.601775,104,17971.740229
400.037662,180,17974.54477
350.001288,164,17977.083736
340.780894,169,17979.854605
344.961339,172,17982.632874
480.500874,210,17985.90337
330.573963,168,17988.509728
333.048047,167,17991.02214
425.663286,200,17994.126067
283.266481,147,17996.368987
292.156756,150,17998.731932
389.948773,178,18002.440169
390.141315,180,18005.225657
288.682393,142,18007.427751
77.198919,59,18008.339863
304.635582,149,18010.636808
53.700693,42,18011.318941
467.671293,193,18014.350563
292.660728,150,18016.674419
326.553846,185,18019.519976
297.929326,149,18021.832777
307.925968,156,18024.226103
279.730713,137,18026.33044
403.986361,192,18029.306829
287.306734,138,18031.459143
302.517564,136,18034.512486
331.93368,149,18036.806305
302.17238,149,18039.116084
283.846337,135,18041.246606
260.063658,131,18043.290379
277.920961,139,18045.46014
296.61951,145,18047.725208
317.653818,151,18050.042871
323.30682,144,18052.246798
315.373952,140,18054.432058
291.41117,150,18056.759542
294.563243,136,18058.873319
292.33079,146,18061.125891
325.784153,141,18063.366752
287.934674,137,18066.431385
295.115676,147,18068.656969
376.007761,160,18071.137144
446.545533,167,18073.837192
297.29312,136,18075.947627
473.916876,198,18079.009885
365.618248,155,18081.382729
319.183902,145,18083.61381
400.110177,153,18085.961239
89.571425,59,18086.91644
434.92321,160,18089.413409
105.321136,66,18090.43942
518.546533,180,18093.203477
382.163282,157,18095.625727
398.051859,152,18098.001623
389.740634,155,18101.393532
369.169852,150,18103.757587
384.802502,156,18106.242436
376.383911,155,18108.681752
413.107388,159,18111.121046
392.531275,155,18113.621708
379.514721,153,18116.056953
426.35932,164,18118.613682
412.996466,163,18121.149932
394.025967,159,18123.628202
418.411541,160,18126.117646
403.420307,159,18128.868318
371.418107,152,18131.665907
385.038343,155,18135.549939
478.391116,174,18138.693024
389.997043,157,18141.360379
475.184665,175,18144.176319
440.651868,168,18146.732429
483.900258,175,18149.43152
424.469991,167,18152.223429
608.360282,216,18155.642411
450.866131,168,18158.161302
495.470765,183,18160.975635
612.615989,216,18164.341523
394.138467,165,18167.858743
570.696938,192,18170.827439
543.08659,199,18173.924132
455.027335,169,18176.637168
406.554526,160,18179.155909
458.92995,169,18181.909506
320.381897,180,18184.664321
356.850672,153,18187.010656
15.169205,22,18187.353255
328.618995,157,18189.778507
430.683938,163,18192.345562
389.767729,157,18194.828164
319.64949,138,18197.060428
451.766504,197,18201.14927
278.879227,144,18203.679646
288.544167,128,18205.732117
17.913198,41,18206.420635
482.525319,200,18209.745815
445.609143,164,18212.263569
445.410936,166,18214.924401
387.788034,153,18217.381129
482.673338,171,18220.061493
483.041514,172,18222.849329
533.085494,183,18225.606258
525.42183,177,18228.359345
495.44064,171,18231.038047
487.611648,169,18234.617136
307.775115,154,18236.979317
583.314692,190,18239.916298
501.08354,202,18243.063999
531.161089,177,18245.814101
572.040992,185,18248.792765
596.15639,230,18252.579492
547.028455,180,18255.41436
653.576396,233,18259.161599
37.758741,31,18259.645214
529.759065,184,18262.526085
396.807646,160,18265.972415
477.396608,184,18268.911824
761.496277,233,18272.522362
667.679738,214,18275.959882
685.163314,240,18279.697047
689.531231,241,18283.391114
552.178734,217,18286.752676
606.413233,227,18290.243669
657.814247,242,18294.005973
720.575092,260,18299.104402
521.152691,189,18302.047439
690.814557,252,18305.98923
759.385422,231,18309.557766
725.70886,235,18313.1519
619.935287,204,18316.335779
748.120353,226,18319.819231
577.506572,195,18322.845042
521.935556,187,18325.999838
756.506943,230,18329.587775
757.149252,230,18334.131443
759.149633,262,18338.157291
779.915795,234,18341.762333
672.795006,210,18345.008708
