#{"t_start": 1736098356.421942, "env_id": "CustomHopper-source-v0"}
r,l,t
16.762101,30,0.372767
10.944398,12,0.381919
11.755633,14,0.391841
25.057832,23,0.4085
17.671937,21,0.424429
16.622098,17,0.670326
10.229711,23,1.007412
8.823319,11,1.157612
8.410993,10,1.300194
25.817234,28,1.687599
13.185507,14,1.877347
13.8775,21,2.190796
18.869765,16,2.455084
6.966704,13,2.664855
19.973376,19,2.97285
10.678565,20,3.26992
9.904941,12,3.487024
38.071573,29,3.922982
50.782,52,4.698126
130.198329,103,6.326574
16.543352,14,6.555185
46.578308,44,7.192103
31.858615,27,7.579728
52.985924,37,8.096404
11.58906,22,8.415624
79.844432,56,9.187175
17.35974,18,9.430274
12.523747,31,9.852511
11.21829,21,10.156314
12.627373,20,10.431674
42.402756,58,11.248769
17.106127,33,11.721551
8.648309,27,12.118887
11.836498,23,12.454318
35.922931,50,13.169991
25.768594,23,13.510718
47.068848,33,13.977323
61.188708,41,14.581277
17.443926,43,15.186702
131.207471,83,16.387982
83.703267,55,17.169053
57.848454,39,17.710225
154.349193,116,19.346994
79.921399,54,20.094319
209.101004,149,22.241038
82.151886,55,23.025323
67.494761,55,23.786823
80.213544,54,24.564361
214.319961,104,25.997925
199.269609,105,27.564393
246.982436,130,29.650892
265.378446,125,31.671862
177.01266,95,33.195875
332.074925,151,35.541127
214.903689,108,37.306649
172.496363,90,38.726196
208.663528,109,40.57919
118.289283,71,41.805994
173.982027,91,43.297685
225.502859,110,45.023421
198.550351,98,46.597374
248.242269,117,48.464778
264.586012,118,50.313456
194.510336,97,51.866043
246.129848,115,53.70996
278.263407,123,55.727433
333.971564,137,57.907787
293.055982,133,60.006335
305.401678,132,62.172264
311.127396,135,64.288754
309.949163,132,66.371264
274.440569,124,68.347932
313.929711,143,70.569028
339.57503,153,72.985566
337.84402,150,75.33886
374.758769,163,77.942748
341.180216,155,80.414497
364.77659,159,82.951826
385.155017,167,85.533845
411.437333,202,88.718407
372.136939,168,91.384715
439.096174,184,94.278836
196.496612,130,96.314752
446.780991,270,100.577159
329.235776,161,103.160321
419.840214,234,106.809173
417.645635,217,110.290164
390.736527,194,113.473947
314.588144,131,115.547299
307.049518,136,117.703964
302.722219,132,119.783552
297.334058,141,121.987517
298.435728,133,124.156695
293.163445,128,126.162741
257.448775,114,127.981531
255.088844,116,129.820396
216.19365,103,131.43274
221.859148,105,133.127569
224.837197,106,134.800661
227.812267,107,136.473362
211.938278,102,138.14677
217.140301,103,139.787267
221.914486,104,141.43019
185.100383,93,142.910688
234.872753,113,144.708118
259.938891,114,146.467706
285.389162,124,148.435146
261.501146,115,150.229001
277.02797,121,152.167827
271.026894,117,154.045524
302.648192,129,156.081499
223.648777,103,157.701836
265.138597,116,159.531276
315.34036,135,161.664112
311.207167,131,163.821812
245.934509,112,165.571979
253.766213,114,167.354474
274.069346,124,169.346139
275.896273,126,171.424642
314.720036,137,173.589258
265.599924,115,175.428805
227.187202,112,177.179031
283.907068,122,179.120224
297.08117,129,181.177889
284.393389,122,183.121927
239.294205,111,184.926366
247.992318,114,186.8069
241.39917,110,188.692518
177.990923,97,190.222044
254.419058,121,192.148842
226.748104,105,193.829103
258.611807,113,195.597919
254.518094,115,197.434342
234.17594,107,199.178469
259.31867,115,201.000049
250.118296,113,202.891858
234.147591,107,204.629058
229.183845,105,206.269883
225.918988,104,207.897151
184.366711,97,209.474703
276.894768,133,211.589091
272.072831,132,213.695198
235.593697,107,215.541055
259.368316,117,217.441665
318.997579,146,219.791327
212.210834,109,221.495151
267.429509,115,223.383392
278.107177,118,225.261376
253.824117,111,227.063012
250.82463,111,228.783844
263.757656,114,230.566824
289.160037,122,232.579255
265.198778,117,234.407515
325.954505,140,236.694015
321.122598,137,238.891496
294.1294,123,240.829979
269.816413,120,242.732727
309.972162,136,244.898169
297.762802,129,246.955991
315.601145,135,249.367886
302.833023,127,251.381983
305.962701,134,253.510776
304.465781,131,255.584808
318.776808,135,257.744538
298.71867,129,259.913943
293.68751,127,261.867537
307.397323,129,263.933846
293.432036,126,265.931749
289.205368,124,267.929113
319.83282,133,270.04251
323.244571,141,272.28061
307.94266,126,274.312036
309.922461,132,276.584178
259.724945,113,278.427599
