#{"t_start": 1736098356.4338937, "env_id": "CustomHopper-target-v0"}
r,l,t
23.556395,22,2234.964763
51.906921,41,2235.049219
13.922466,18,2235.082898
11.929227,14,2235.108525
7.509821,13,2235.2766
8.349579,21,2235.650059
9.677557,11,2235.807537
19.425346,19,2236.090119
20.214798,20,2236.365477
46.685982,38,2236.905697
7.135364,10,2237.05421
8.095927,9,2237.183916
10.817988,12,2237.356632
12.035657,20,2237.644595
25.543237,33,2238.103169
15.116324,20,2238.395844
10.421005,14,2238.602041
56.262259,42,2239.236087
10.511411,21,2239.521101
6.946743,10,2239.664726
15.702142,29,2240.07593
93.356844,62,2240.932645
12.408627,24,2241.264582
11.224804,14,2241.459147
65.100074,49,2242.158361
10.276191,13,2242.338493
60.905637,44,2242.946528
14.010804,16,2243.165236
23.523926,22,2243.466061
17.960234,28,2243.854874
89.5463,59,2244.653863
169.552992,96,2246.0183
11.098712,24,2246.387218
141.247281,81,2247.542112
265.473247,140,2249.524606
151.970015,96,2250.872961
28.912777,55,2251.680201
28.55687,56,2252.468826
61.405071,43,2253.0623
120.447951,81,2254.198814
165.703923,99,2255.599178
107.55157,69,2256.577852
48.157411,34,2257.045387
82.067976,56,2257.8342
133.451755,79,2258.968878
53.180324,39,2259.526516
142.674725,83,2260.694921
80.23253,55,2261.511693
254.960568,123,2263.255804
237.119623,125,2265.021209
243.381913,126,2266.829555
245.84148,114,2268.464836
275.998832,134,2270.477805
281.298694,129,2272.5493
251.418377,124,2274.534851
271.045904,125,2276.530037
295.14471,140,2278.74881
309.499403,134,2280.875442
348.15721,148,2283.215285
289.827578,132,2285.286064
296.625436,137,2287.546347
312.331848,137,2289.688985
270.40327,122,2291.632679
301.213252,132,2293.89978
306.793448,142,2296.110209
344.787376,143,2298.614423
374.73658,150,2300.927616
355.160083,147,2303.197539
360.37721,151,2305.641427
281.256768,131,2307.986464
304.032957,138,2310.258976
313.705586,147,2312.653472
255.560881,122,2314.691138
352.577609,155,2317.062041
332.768305,147,2319.33488
321.371999,146,2321.676327
342.789646,164,2324.266133
321.890768,158,2326.743548
323.063998,145,2329.005391
349.571384,141,2331.181633
320.92873,155,2333.669231
324.533944,151,2336.021662
350.35133,149,2338.408747
355.031284,150,2340.761574
192.514914,99,2342.34746
378.234929,184,2345.229051
352.473182,186,2348.352781
399.680954,165,2350.957868
208.799438,105,2352.827934
401.889148,156,2355.25273
394.913293,167,2357.921648
381.762164,150,2360.26009
400.774771,191,2363.375398
347.990661,146,2365.67372
352.507056,148,2368.010131
379.853743,153,2370.467272
424.654281,165,2373.101635
409.985036,162,2375.611156
331.099399,141,2377.857586
400.894126,148,2380.187357
287.787728,137,2382.399819
10.982194,28,2382.848577
10.640992,28,2383.303649
12.487403,32,2383.806735
330.738613,146,2386.120967
12.7479,33,2386.629509
330.642239,146,2388.974734
411.149639,161,2391.510277
321.668627,144,2393.843333
375.742632,152,2396.235284
432.140575,166,2398.858171
446.97344,174,2401.698971
429.485178,164,2404.412989
433.472952,167,2407.087523
303.554704,137,2409.263055
486.293339,179,2412.129167
404.781461,167,2414.824188
400.912766,160,2417.51421
494.165644,189,2420.467448
430.569795,172,2423.226887
427.594966,176,2426.018419
416.305163,171,2428.776335
378.306518,160,2431.290087
375.640393,158,2433.786196
406.043874,168,2436.465322
393.702253,156,2438.944878
383.74569,159,2441.438483
387.747391,157,2443.927185
371.554714,159,2446.449479
322.202236,147,2448.795793
410.584028,154,2451.241604
440.746203,157,2453.783336
246.007195,115,2455.574779
406.571701,149,2457.998722
333.190622,146,2460.326809
188.8321,94,2461.802969
407.882176,151,2464.25188
413.938855,149,2466.572354
411.58355,152,2469.019804
430.030935,156,2471.456259
454.830587,155,2473.980778
465.484084,176,2476.748642
425.114946,153,2479.185293
451.006703,161,2481.724433
440.089887,158,2484.28398
428.917284,156,2486.708398
485.270422,168,2489.340902
498.864931,172,2492.072108
492.378523,170,2494.805957
461.182221,168,2497.467676
487.542654,169,2500.139145
492.602431,169,2502.8584
499.995166,172,2505.591604
490.135886,168,2508.380913
480.097136,167,2511.011409
510.225104,170,2513.734526
505.298201,170,2516.430685
464.766321,158,2518.935656
488.674909,165,2521.547657
497.915945,167,2524.231407
499.484938,169,2526.892695
509.102504,171,2529.628636
508.913459,175,2532.358809
506.268556,171,2535.070591
450.217367,157,2537.584255
488.128426,168,2540.245747
467.006857,164,2542.860231
488.919172,166,2545.496761
498.948052,170,2548.21735
490.7927,170,2550.911333
491.894481,167,2553.551134
492.183452,169,2556.202308
501.552822,169,2558.913599
483.133772,168,2561.542928
495.451759,171,2564.291414
484.482491,169,2566.949294
481.999906,166,2569.600809
455.617222,162,2572.140944
491.928528,168,2574.830044
490.430703,167,2577.481872
487.729296,168,2580.160096
515.107125,173,2582.894752
521.425172,174,2585.6462
365.007327,139,2587.921176
344.767205,136,2590.124131
353.616533,136,2592.276575
308.456118,127,2594.327282
338.571366,133,2596.413434
320.159392,126,2598.437341
645.477677,210,2601.961641
321.2168,131,2604.048186
471.730182,171,2606.778581
323.494838,130,2608.932735
681.046224,221,2612.542603
586.278645,198,2615.81996
637.224092,205,2619.150986
463.047421,165,2622.237722
489.420747,170,2625.054849
750.278071,235,2628.659613
508.69268,174,2631.426075
620.443118,196,2634.553602
609.617549,194,2637.614906
537.233954,176,2640.44532
593.626863,191,2643.531602
493.032096,170,2646.246337
727.445972,215,2649.696208
532.992277,175,2652.47164
533.247797,169,2655.283022
584.88705,183,2658.259121
576.796556,184,2661.202471
688.665126,204,2664.548791
499.7403,164,2667.125547
493.845556,161,2669.729063
430.879327,156,2672.252278
537.729938,172,2674.986654
