#{"t_start": 1736677674.4803379, "env_id": "CustomHopper-source-v0"}
r,l,t
13.700098,21,0.446113
32.083968,29,0.46646
14.597669,17,0.47572
6.861964,11,0.482095
19.699366,38,0.747273
9.000728,15,0.953449
12.038491,17,1.194181
15.326145,21,1.479198
70.649161,58,2.292482
11.1318,34,2.895269
23.580125,32,3.346063
26.247549,29,3.742648
74.325687,41,4.301453
23.990757,42,4.871852
18.156495,41,5.411386
190.017446,139,7.507967
1.287577,24,7.910142
11.96221,35,8.48983
86.77735,47,9.242609
3.683485,25,9.656653
91.251663,79,10.998206
5.595114,34,11.481998
13.673298,37,12.19139
10.213577,36,12.853813
90.29068,63,14.012309
111.435112,59,15.024407
115.923957,87,16.380358
177.799279,117,18.297477
109.044748,60,19.252234
182.628833,112,21.233515
113.050816,63,25.682481
224.912095,111,27.499125
199.409948,97,29.120181
236.155352,103,30.801077
131.537655,68,31.909275
260.201141,120,33.877061
199.35449,92,35.391748
177.839955,85,36.784334
114.225989,67,37.856843
148.613782,73,39.06885
117.114202,62,40.079838
197.465995,96,41.697317
211.209378,90,43.164256
246.450486,107,44.903705
250.96899,108,46.678953
253.027757,114,48.521753
267.815243,111,50.320996
240.441366,103,52.005081
229.062452,102,53.70228
220.30073,96,55.259079
221.270504,97,56.846882
218.185264,97,61.450906
214.769002,95,63.020267
196.919386,98,64.655699
196.867527,96,66.206558
183.787883,92,67.729663
232.01596,100,69.390115
227.639177,102,71.046761
228.318852,101,72.669539
239.541713,112,74.505264
242.03572,104,76.189575
246.772604,101,77.861581
229.776189,103,79.546277
271.962859,116,81.444944
232.270873,96,83.029402
253.219985,103,84.723407
241.115727,116,86.605532
221.782324,96,88.15956
231.669793,104,89.8668
250.619759,117,91.781919
264.056518,124,96.802524
268.13821,126,98.849754
291.164583,120,100.811855
278.875719,127,102.897143
293.70042,123,104.895202
285.145637,124,106.928281
296.387362,123,108.950042
291.946119,137,111.192929
278.570431,116,113.093468
271.204981,128,115.200412
25.070931,24,115.594254
284.799912,121,117.562522
280.098623,128,119.61344
266.880742,111,121.422628
291.207318,136,123.660785
278.415644,119,125.583729
274.058772,135,127.861623
292.933795,124,132.82198
281.68928,133,135.006296
276.078692,127,137.082185
251.61847,112,138.909516
243.659299,120,140.874388
286.257899,123,143.067213
262.424736,121,145.10375
267.604157,123,147.099849
263.041531,134,149.360361
275.550691,114,151.199231
258.437248,107,152.942393
253.854435,107,154.690234
247.704017,104,156.383646
253.188653,106,158.114318
258.846763,109,159.894229
276.848327,112,161.738176
353.547547,140,166.973558
482.546332,184,170.013166
338.610593,133,172.208537
294.146539,118,174.165214
317.497036,137,176.388192
382.629738,187,179.445586
266.264866,117,181.332629
261.274167,113,183.191952
277.256422,115,185.067011
68.956586,56,186.116065
242.396655,99,187.957942
248.133114,101,189.600453
245.751023,99,191.288948
243.511696,97,192.798244
254.741389,108,194.503556
309.960919,137,196.704788
245.653378,103,198.359547
267.512812,105,203.220539
263.539478,105,204.938694
271.829632,106,206.662184
269.185422,106,208.462532
319.107086,116,210.34475
287.230548,110,212.158715
223.390838,96,213.736294
216.607197,91,215.101137
214.380895,90,216.581617
303.905061,113,218.416405
214.527093,92,219.885922
330.408541,127,221.949129
215.683571,93,223.462557
233.256598,99,225.020267
367.013315,133,227.174765
236.482491,97,228.720057
