#{"t_start": 1736677674.4905968, "env_id": "CustomHopper-target-v0"}
r,l,t
16.150633,21,4838.748233
12.220591,19,4838.785858
13.140009,15,4838.800046
8.527363,21,4838.819723
8.155888,14,4838.829913
16.281649,26,4839.088676
10.792187,15,4839.332795
18.84159,20,4839.604863
5.508429,15,4839.833481
7.294536,9,4839.959767
10.574435,14,4840.152317
7.422934,10,4840.2932
10.630425,33,4840.730894
9.903754,13,4840.900247
24.848756,21,4841.174582
12.627467,19,4841.431305
7.120093,10,4841.576018
6.934267,12,4841.808327
18.251301,27,4842.173538
18.33532,18,4842.417648
15.125416,21,4842.695041
7.331276,25,4843.08851
52.76894,65,4843.994852
12.027111,28,4844.382848
15.961185,26,4844.781424
5.437121,15,4844.971137
18.817296,18,4845.199108
10.403138,20,4845.458309
4.093025,27,4845.832436
77.635945,52,4846.533658
18.826193,43,4847.110922
5.90253,12,4847.266759
2.813198,26,4847.624613
12.145778,15,4847.827614
171.581582,111,4849.335127
88.609391,55,4850.117791
107.373243,62,4850.975348
116.339605,64,4851.862991
151.412826,105,4853.291634
10.408214,34,4853.749358
162.823605,129,4855.524737
230.191437,113,4857.053996
81.837503,48,4857.717474
94.301695,55,4858.457892
193.207907,96,4859.76879
83.121149,48,4860.434212
198.959114,106,4861.871712
190.366505,105,4866.326898
59.624495,34,4866.820466
147.284599,84,4868.234122
202.30092,105,4869.919206
156.440378,82,4871.227509
147.474915,77,4872.454619
223.577291,104,4874.112635
136.037011,72,4875.229678
165.920089,85,4876.812238
154.280049,85,4878.321213
191.972686,99,4879.850524
221.162131,106,4881.547491
203.00439,97,4883.085117
185.377372,91,4884.530065
233.640099,107,4886.27803
158.972082,83,4887.605262
204.419738,103,4889.207843
150.665636,80,4890.478992
155.810741,83,4891.797545
65.232858,37,4892.390725
215.102353,102,4894.012444
53.613867,32,4894.526382
130.139014,74,4895.695984
187.824803,98,4897.24449
237.426591,110,4902.524933
157.04852,80,4903.827665
145.193149,76,4905.036956
129.250068,74,4906.256078
144.387298,78,4907.505226
221.378727,113,4909.321413
131.831099,76,4910.531736
247.964684,125,4912.568194
151.191558,86,4913.963082
221.957616,113,4915.924907
207.642141,107,4917.799596
206.423861,108,4919.573361
213.577018,108,4921.285114
188.181076,102,4922.996835
218.361742,114,4924.746848
211.416875,113,4926.574553
210.899545,110,4928.312965
198.901647,98,4929.85162
252.985696,132,4931.942813
211.373726,105,4933.612641
241.526761,127,4938.859064
232.622653,118,4940.77252
259.471274,136,4942.932622
245.272402,126,4944.925353
26.827911,25,4945.313316
230.135121,118,4947.26833
16.371442,17,4947.549737
259.353995,134,4949.660467
228.371371,116,4951.500139
231.477953,116,4953.347779
242.986688,125,4955.342164
246.453189,126,4957.334917
224.493453,109,4959.03089
221.957442,108,4960.743956
246.785718,122,4962.644137
195.792728,95,4964.116886
225.544501,114,4965.930254
237.646717,118,4967.786171
225.752809,110,4972.998979
233.266886,120,4974.870568
217.750935,106,4976.537843
223.919332,110,4978.314456
230.332002,114,4980.08601
192.569304,94,4981.56704
214.539489,108,4983.305333
212.141158,102,4984.924775
190.76177,95,4986.431486
224.549081,109,4988.161412
225.738295,108,4989.856677
189.156319,93,4991.354129
216.341181,107,4993.03704
228.472782,107,4994.774737
208.487983,104,4996.403776
214.951421,103,4998.019981
239.496743,113,4999.806583
249.881952,110,5001.521402
247.579406,115,5003.344708
232.341193,107,5008.500713
217.955393,101,5010.083677
220.266757,103,5011.7129
249.275144,118,5013.563672
211.219223,100,5015.166537
225.346943,108,5016.880234
207.904101,97,5018.406739
224.396576,110,5020.16688
223.44293,104,5021.848975
224.501607,103,5023.476996
239.834926,110,5025.198345
239.469813,113,5026.997339
218.506514,103,5028.61149
233.775672,107,5030.322145
234.664409,108,5032.031407
250.60169,114,5033.822906
243.595097,113,5035.628798
244.543805,111,5037.396609
231.906028,106,5039.059803
216.707389,104,5044.161795
246.54102,115,5046.016845
249.354531,111,5047.76862
257.792155,116,5049.607687
245.221281,114,5051.395468
249.4608,114,5053.192281
250.053983,119,5055.062684
241.304672,111,5056.820004
247.754825,116,5058.66168
246.170756,111,5060.428901
254.265805,114,5062.255301
250.231283,114,5064.119977
240.128476,111,5065.881514
234.219367,107,5067.597428
226.31057,105,5069.253002
249.192533,113,5071.069018
243.887679,112,5072.854135
243.493445,111,5074.619883
240.425561,113,5079.655964
235.036275,109,5081.627035
245.943199,109,5083.348678
235.890684,107,5085.17958
238.012916,107,5086.832125
248.963024,113,5088.614921
247.229413,110,5090.401371
246.746701,107,5092.105907
235.495947,106,5093.812292
242.466297,110,5095.588978
237.242374,109,5097.331219
235.412832,106,5099.048317
256.572526,113,5100.863623
247.661298,112,5102.665264
233.503184,108,5104.391256
223.16956,105,5106.058347
237.185553,111,5107.896712
228.62424,105,5109.562596
223.543143,106,5111.256654
231.617652,109,5116.158562
230.10606,114,5118.151348
221.419264,108,5119.935333
231.573655,112,5121.807181
232.704128,113,5123.647859
235.592535,121,5125.808282
253.096007,128,5128.249237
255.31515,135,5130.511767
238.645145,117,5132.422377
241.47277,118,5134.329354
223.38176,111,5136.210438
221.977175,111,5138.019664
234.035894,112,5139.853023
214.135057,105,5141.594968
225.644634,109,5143.518825
219.92309,106,5145.171776
226.359681,109,5147.050936
222.252547,109,5151.818343
228.364069,114,5153.658473
218.568843,106,5155.372283
230.096055,111,5157.143749
216.710533,106,5158.840354
215.687911,106,5160.560131
223.07298,108,5162.278145
221.484406,107,5164.018394
234.40712,116,5165.908343
226.405524,113,5167.714097
212.384241,103,5169.340852
226.513909,115,5171.169671
229.935312,110,5172.94424
255.535275,123,5174.936797
212.096069,107,5176.676466
157.603013,89,5178.143934
247.707084,119,5180.05617
277.644713,132,5182.192412
263.764057,121,5187.272538
266.645692,118,5189.177255
245.752769,120,5191.074678
259.925172,120,5192.956391
267.753817,124,5194.959157
253.755914,121,5196.923061
255.991065,118,5198.813521
255.75787,118,5200.708044
243.45368,119,5202.605933
216.644037,105,5204.312196
236.557393,109,5206.053102
242.23473,118,5207.928871
205.760899,102,5209.552076
256.261977,113,5211.356012
255.300541,124,5213.303821
242.700197,111,5215.072944
236.508762,109,5216.847014
247.949574,123,5221.9453
245.294564,113,5223.769813
243.741084,118,5225.645651
247.478797,117,5227.525268
237.397001,110,5229.301369
243.559117,116,5231.154324
250.663566,119,5233.066361
246.548046,119,5234.965536
274.29271,137,5237.172161
239.57657,118,5239.062954
246.485639,118,5240.937174
250.719066,124,5242.948258
250.691918,123,5244.910861
273.404301,143,5247.189123
246.015662,123,5249.152745
276.729846,139,5251.364695
266.665406,133,5256.654031
277.151599,136,5258.839119
244.351301,116,5260.701802
281.019878,138,5263.041322
264.245638,133,5265.161788
304.424513,164,5267.770878
260.135343,132,5269.882587
283.733907,149,5272.268513
283.877462,137,5274.468928
249.785289,127,5276.549423
252.489129,125,5278.528384
258.107646,126,5280.544026
268.22707,134,5282.707161
261.468157,128,5284.763892
262.94613,136,5286.941341
236.945985,117,5291.977871
260.606529,128,5294.050475
271.200708,143,5296.371518
263.603572,132,5298.532534
249.103869,124,5300.538766
252.431524,124,5302.52181
248.351476,122,5304.477205
250.287897,126,5306.550409
237.451914,113,5308.34716
253.481267,124,5310.348606
249.141475,116,5312.174433
251.197309,118,5314.07119
244.404818,118,5315.958379
245.45456,120,5317.875169
223.900408,111,5319.651126
285.113813,141,5321.895239
231.309078,115,5323.742272
249.407592,115,5328.750821
248.636576,116,5330.621638
239.898412,112,5332.421246
254.863122,115,5334.249522
248.244052,115,5336.098994
275.947045,121,5338.056782
246.808856,109,5339.778609
278.547185,121,5341.703093
276.133862,121,5343.685982
271.790021,115,5345.527667
275.81048,118,5347.422717
278.554623,117,5349.286058
239.515131,104,5350.959634
241.484046,113,5352.839698
290.718699,121,5354.776468
276.259234,123,5356.758455
267.686898,122,5358.743179
277.029935,119,5363.804057
271.194544,118,5365.76714
278.810536,117,5367.649624
274.77438,121,5369.58698
274.37022,123,5371.534369
267.064431,119,5373.423577
265.120093,120,5375.291334
278.543639,120,5377.213352
270.541704,123,5379.141075
298.574034,129,5381.192333
284.845825,119,5383.045899
273.912714,129,5385.085823
281.373736,125,5387.065072
279.57895,126,5389.080856
397.049478,169,5391.738757
260.294879,117,5393.637122
319.199023,133,5399.261373
374.697199,165,5401.876901
252.370878,121,5403.796951
316.062712,135,5405.942605
327.098845,140,5408.166619
262.803897,126,5410.155316
337.385516,135,5412.308479
362.121282,162,5414.89794
245.769849,116,5416.732849
231.208544,114,5418.535305
343.672525,146,5421.121819
308.656378,138,5423.256227
263.073255,125,5425.624905
253.335588,120,5427.50261
301.935491,131,5429.566323
264.478386,121,5435.075423
277.360914,128,5437.084033
293.207739,131,5439.15847
260.277582,122,5441.050677
326.943786,146,5443.47399
265.976711,121,5445.432431
255.0229,122,5447.482059
272.957275,124,5449.389765
309.542808,134,5451.61037
313.268676,130,5453.678181
269.253646,124,5455.659386
316.289915,132,5457.688214
254.88328,119,5459.614939
280.650073,128,5461.641931
350.608779,165,5464.270013
296.814568,131,5466.358196
280.460278,127,5471.942016
339.520084,147,5474.269592
331.350488,143,5476.531964
370.417652,156,5479.02585
222.162164,111,5480.805135
333.355983,145,5483.126993
381.6929,156,5485.627649
64.770554,45,5486.35933
368.359134,151,5488.810398
370.74222,150,5491.189389
376.892264,156,5493.700206
343.14571,145,5496.01893
348.147063,145,5498.355628
341.299162,144,5500.627617
338.850848,152,5506.458914
309.140415,140,5508.685927
362.695125,157,5511.207417
358.997893,152,5513.605669
379.454511,159,5516.139246
360.698653,149,5518.507393
307.499741,149,5520.904277
355.761718,151,5523.313333
419.284307,182,5526.269517
336.313568,160,5528.7854
319.161217,146,5531.133614
277.572035,131,5533.193236
336.08313,139,5535.406935
384.435157,158,5537.949531
481.121817,219,5544.92973
355.502418,155,5547.365487
368.848039,168,5550.029498
401.513434,166,5552.656219
379.061989,148,5555.020868
344.562839,143,5557.352186
338.871509,141,5559.574906
301.462039,125,5561.540499
369.210816,155,5564.005945
339.358922,144,5566.323665
308.741199,129,5568.369882
314.896055,129,5570.415831
299.875799,123,5572.387977
303.989165,128,5577.840861
290.967377,119,5579.724941
296.13674,120,5581.627656
251.154454,105,5583.314707
288.276672,115,5585.146944
299.601896,126,5587.156771
189.092436,86,5588.578043
301.695528,126,5590.583098
278.556357,115,5592.406853
292.501646,119,5594.300193
190.801434,90,5595.719599
315.7361,137,5597.950322
318.455239,140,5600.180154
194.562953,91,5601.627558
297.368521,124,5603.598287
289.265127,122,5605.577376
195.448305,91,5607.049965
241.60037,106,5608.785649
294.156423,124,5614.126363
295.169643,126,5616.138343
283.426638,121,5618.06923
319.013368,133,5620.157302
299.487554,129,5622.221848
293.510511,124,5624.179188
205.098758,94,5625.673884
289.624847,122,5627.627162
198.848161,92,5629.093928
322.969408,133,5631.238576
201.859629,95,5632.745515
294.746893,124,5634.717577
334.263153,137,5636.957767
293.506147,123,5638.908968
315.155584,132,5640.999177
297.955233,125,5642.999956
291.909572,122,5648.263142
313.698724,128,5650.319308
348.604739,140,5652.545673
338.158683,138,5654.739147
337.794429,142,5657.037337
333.003114,135,5659.20018
363.491096,147,5661.526359
350.418035,142,5663.837667
359.183329,146,5666.176194
378.404169,158,5668.699579
400.587937,161,5671.263208
399.175283,171,5673.945201
320.371023,144,5676.223469
407.800494,165,5678.829764
382.227636,164,5684.96516
268.052262,130,5687.024014
395.473787,162,5689.602975
374.335304,160,5692.159658
348.614423,142,5694.394821
395.158135,165,5697.030767
259.156328,124,5699.019742
387.297652,168,5701.679004
268.420172,127,5703.703908
380.3067,163,5706.317271
266.814731,128,5708.358622
283.699895,130,5710.453702
271.838772,140,5712.677605
418.00814,169,5715.340164
382.509417,163,5721.664171
389.005471,161,5724.383058
359.513606,154,5726.892434
357.666908,149,5729.301529
414.526893,170,5732.035287
352.671491,155,5734.521674
365.243316,150,5736.915758
393.093487,166,5739.555951
370.3432,157,5742.133039
386.715449,163,5744.825948
355.817726,154,5747.441715
380.215481,151,5749.770437
325.857169,146,5755.621659
387.267756,160,5758.89908
391.824018,161,5761.591083
382.731807,159,5764.093428
415.224096,170,5766.847296
403.509998,160,5769.434355
404.464393,162,5772.01714
291.909015,134,5774.176337
368.963784,150,5776.540978
391.962169,160,5779.121178
407.301048,169,5781.805123
394.31632,162,5784.373025
401.594392,158,5786.901716
356.148362,142,5792.925672
391.079795,150,5795.352823
407.854123,163,5797.941723
404.864234,166,5800.603073
457.073848,181,5803.461772
395.689972,159,5806.013596
392.80595,160,5808.53703
407.252933,157,5811.047257
476.126423,188,5814.05784
407.664948,168,5816.756333
398.222795,164,5819.405095
435.86805,172,5822.118335
410.669091,166,5828.285491
423.802777,173,5831.135632
427.91452,173,5833.893574
416.353486,168,5836.602993
434.229549,172,5839.374205
455.944564,181,5842.262162
397.412739,168,5844.938416
440.965648,179,5847.799265
466.660682,183,5850.744771
406.234395,161,5853.28306
398.171314,157,5855.808397
398.847358,160,5858.340571
404.043286,168,5864.571026
417.017991,167,5867.242857
414.637838,162,5869.836514
365.300863,144,5872.121404
351.90759,144,5874.446347
414.041115,166,5877.070386
406.836523,159,5879.615841
373.197389,150,5882.03265
385.264012,154,5884.511091
407.477484,160,5887.05405
419.953065,164,5889.698324
446.210347,170,5892.435572
392.150639,154,5894.916046
385.636967,152,5900.834378
407.722519,158,5903.361026
402.485328,152,5905.81571
392.816835,152,5908.359602
391.954141,156,5910.827363
417.954879,165,5913.462201
418.29793,162,5916.042596
433.463208,171,5918.757092
438.221855,167,5921.451543
414.49362,163,5924.045701
435.633677,165,5926.691889
425.339,166,5929.334538
437.907211,172,5935.619133
414.814543,156,5938.197944
447.441954,173,5941.010856
444.888865,169,5943.793629
391.90362,151,5946.325378
431.038853,160,5948.989079
461.630776,179,5951.910125
435.618945,172,5954.756747
397.416453,154,5957.230407
470.983598,182,5960.148612
459.334294,180,5963.035158
396.106494,155,5965.569715
433.299366,166,5971.421207
462.795963,179,5974.329216
528.837689,200,5977.585992
425.985185,163,5980.216809
476.905997,183,5983.172811
465.678387,176,5985.996034
437.809058,185,5988.985083
491.349827,186,5991.974395
543.41319,207,5995.335464
463.60171,176,5998.1507
427.128234,159,6000.739909
435.940588,169,6006.938033
471.996965,181,6009.959278
496.545914,188,6013.085111
425.342477,159,6015.715564
515.531103,199,6019.283794
454.401457,172,6022.361573
408.482914,153,6024.785973
458.427293,178,6027.699681
452.446522,170,6030.74227
415.316469,160,6033.479717
522.18714,203,6036.762164
543.543008,205,6043.119851
473.368133,183,6046.188047
406.117465,154,6048.784796
62.974173,42,6049.448574
514.454592,193,6052.651496
585.048995,220,6056.257581
493.67542,183,6059.217807
591.644524,219,6062.800382
566.161002,214,6066.255149
472.007513,178,6069.156047
514.227067,191,6072.259796
454.883377,175,6078.797125
526.720465,195,6082.152105
489.373619,185,6085.301701
513.943661,193,6088.448359
564.874884,210,6091.889158
589.713816,222,6095.457016
479.642273,184,6098.413024
581.392029,224,6102.030462
515.775831,195,6105.204277
460.051195,175,6108.039322
459.234873,174,6113.924933
464.219326,175,6116.773004
492.659683,187,6119.803655
532.012724,200,6123.071767
575.593397,217,6126.573687
456.346227,175,6129.417155
550.946324,207,6132.823154
459.197166,175,6135.656824
537.880418,199,6138.909032
450.66841,170,6141.689612
632.777363,238,6149.288342
454.214827,173,6152.177977
482.535249,180,6155.200296
580.615526,223,6158.939385
456.855361,180,6161.920278
637.465203,233,6165.704425
502.974217,191,6168.850499
449.703846,172,6171.686171
535.365674,203,6175.023736
596.880374,221,6178.625652
495.618993,186,6184.897402
498.401102,188,6187.974386
392.984795,147,6190.37322
463.102931,175,6193.248013
539.953846,203,6196.613043
615.173594,233,6202.63312
586.626351,214,6207.34937
505.908128,187,6210.992686
603.069421,236,6219.037512
654.779007,249,6223.372847
480.052187,178,6226.345162
594.115902,220,6229.943234
603.045357,228,6233.734649
673.993524,251,6237.811258
610.134984,241,6241.729075
475.281982,178,6244.6368
499.182286,193,6247.776062
558.999658,208,6251.176868
588.714199,222,6258.321957
616.432846,228,6262.224806
51.599492,35,6262.828654
683.065837,252,6266.975573
550.498154,200,6270.221371
617.96456,236,6274.069385
624.823305,238,6278.011158
624.140588,231,6281.809641
628.698916,237,6285.681675
627.818494,232,6292.927311
484.36196,179,6295.891011
486.578485,181,6298.86607
627.763547,231,6302.663272
607.332908,220,6306.315739
584.243673,213,6309.831504
529.158123,193,6312.962292
497.87518,184,6316.039023
556.742074,201,6319.416718
492.227018,181,6322.418409
475.477557,176,6328.900155
545.158633,200,6332.186345
420.296071,159,6334.823267
630.427131,231,6338.647327
577.81493,209,6342.125627
506.497628,186,6345.36341
524.062686,193,6348.648366
470.775735,176,6351.673365
434.724017,161,6354.366049
563.921326,214,6358.204059
548.217677,201,6364.85029
588.501719,213,6368.691432
512.023273,189,6371.793337
550.334544,198,6375.025585
513.016545,186,6378.062906
508.801305,184,6381.080156
631.145051,229,6384.815796
585.893104,214,6388.396922
490.4866,180,6391.326446
455.445321,170,6396.676529
514.104746,190,6399.941282
515.373298,188,6403.164915
586.247166,217,6406.70391
478.508955,176,6409.572903
493.295178,180,6412.530857
501.54662,185,6415.588059
487.238974,181,6418.508229
489.121023,184,6421.544782
618.377701,224,6425.252761
494.999185,183,6431.501089
499.001857,184,6434.837908
414.607426,154,6437.531348
456.111185,169,6440.359373
419.32435,156,6442.954158
601.014266,224,6446.62489
643.409664,238,6450.562488
341.632558,133,6452.736002
499.171758,183,6455.756722
406.447689,152,6458.278207
479.635649,178,6461.299447
613.430381,222,6467.776037
417.315818,156,6470.439389
676.534701,245,6474.538558
394.80523,149,6477.034786
518.027039,190,6480.172872
565.081975,205,6483.537123
575.17461,221,6487.153766
427.44936,158,6489.736977
449.544558,164,6492.467668
467.076809,172,6495.332881
503.843633,186,6501.516371
333.642291,130,6503.764325
596.629491,213,6507.40105
356.794472,134,6509.621358
