#{"t_start": 1736666873.4530778, "env_id": "CustomHopper-source-v0"}
r,l,t
8.626385,32,0.693394
22.101182,49,0.743398
7.04302,12,0.756465
12.358333,23,1.252911
33.037986,30,2.049017
14.512269,26,2.636683
6.426085,14,2.94298
58.820774,60,4.326575
16.206905,27,5.017369
26.912788,43,6.292593
23.113729,29,7.128918
76.174235,53,8.348753
28.337607,39,9.524741
118.885528,66,11.548516
93.825874,51,12.76422
229.089001,111,15.574729
116.981518,117,20.904085
69.403,40,23.85853
222.16608,109,29.061385
75.359999,41,32.520011
72.231272,97,35.810584
54.882854,32,36.765132
205.244398,125,39.877668
183.056697,86,43.012552
162.282282,76,46.12116
216.198839,110,49.228918
61.385635,34,50.402601
223.397035,116,53.596872
225.971329,99,56.455925
238.815558,118,59.104522
208.099157,97,61.739863
187.375109,87,63.680936
189.042152,81,65.790047
182.010606,88,67.927874
195.189457,86,70.129479
205.949171,94,75.022578
194.955797,89,78.991247
189.866578,89,83.497997
177.586759,92,87.566494
180.41683,80,90.020164
180.768297,90,93.070213
173.523367,79,95.58466
203.911218,89,98.394374
202.420388,97,102.96494
168.497885,81,108.92604
199.179387,86,117.729733
210.524049,88,121.867269
218.934272,91,124.335751
222.557964,94,128.083017
197.408268,87,130.508633
220.247725,91,132.711774
221.204762,94,135.496304
179.841922,81,138.451745
204.325309,98,141.241948
201.398552,86,143.4429
218.332332,96,145.907121
196.807944,87,148.145356
201.603136,90,150.905991
185.90355,81,152.864924
191.415116,85,155.82695
193.968371,93,158.456515
206.464489,88,160.551899
191.199572,83,162.884741
230.21775,110,168.969429
229.880261,101,173.910109
213.413033,95,176.228537
233.085847,105,180.405229
217.661278,102,183.103512
225.414841,111,186.3592
236.570561,119,189.313249
223.538462,104,191.998158
217.114252,108,193.897979
228.656728,104,195.757189
245.508383,107,197.71563
229.202396,109,201.168395
235.060989,116,207.649837
235.825044,104,209.902624
232.314012,104,212.159795
234.090769,105,214.678345
244.763023,122,214.931294
251.040749,103,217.293129
251.25765,104,219.732913
264.902258,106,221.889077
211.805973,94,223.795899
255.557061,106,225.916705
225.96954,92,227.943872
229.034764,101,229.969539
270.644316,108,232.24699
272.951909,105,234.351731
267.621271,106,236.537011
258.116505,111,238.631504
254.479028,106,240.877993
257.010562,101,242.879888
244.109696,98,244.991291
211.531432,90,246.653874
246.812675,105,248.895934
248.670426,102,250.899668
244.673344,101,253.063244
247.844973,101,254.972152
254.728699,103,254.783353
247.413688,105,256.81452
145.001491,73,258.412854
272.281849,115,260.576747
276.830894,111,262.893819
252.678844,106,265.142944
269.016196,112,267.548793
297.563708,116,270.007283
250.385207,106,272.249361
301.462039,123,275.202469
272.846299,109,277.454222
288.662815,118,279.744007
305.604779,125,282.356695
307.411966,125,285.028512
328.949077,124,291.920619
246.626413,104,294.327024
201.861269,88,296.045371
157.205676,77,297.843582
141.073874,73,299.536754
201.610548,89,301.696442
161.728977,76,303.291915
136.497322,72,304.903091
190.740152,88,306.975285
226.044787,95,309.204174
239.265358,101,311.357324
236.970135,103,313.549311
213.865825,95,315.755745
201.349496,90,317.679589
236.120158,105,319.991509
257.359717,110,322.651052
298.8084,113,325.359103
274.189469,108,328.015522
327.705696,121,331.178572
275.699336,110,334.0491
287.480841,110,336.517313
313.130885,124,343.046798
320.673727,115,346.303368
312.632783,122,349.221979
271.71332,103,351.529721
281.351699,109,353.869717
337.518251,127,356.733541
300.54105,109,360.926181
375.327289,138,364.466497
303.689527,109,367.209858
335.293226,123,380.172393
351.597636,126,387.111571
261.915761,103,394.029993
264.113165,108,400.80383
274.718325,105,409.792619
244.306937,126,424.472793
255.172933,125,439.452831
432.532306,160,450.660248
37.507904,32,452.353546
44.256091,34,454.218124
256.404959,129,463.228977
263.374226,124,469.402105
264.219538,130,476.481139
247.446008,112,482.262823
246.403687,121,489.168043
269.389534,129,497.640125
268.277683,125,503.751022
