#{"t_start": 1736666873.4692717, "env_id": "CustomHopper-target-v0"}
r,l,t
10.999581,16,6172.805584
15.639492,19,6172.838476
25.586685,26,6172.879342
9.636613,14,6172.9005
6.922402,10,6172.917915
8.661801,16,6172.943736
6.48486,8,6173.164713
9.611148,10,6173.428804
14.219148,15,6173.76173
10.67182,15,6174.105149
11.350768,17,6174.383746
17.592629,27,6174.793621
10.570711,23,6175.171174
16.934973,18,6175.44446
7.86724,37,6176.077233
18.441861,23,6176.407815
8.595034,11,6176.588173
13.733325,19,6176.871429
10.494061,18,6177.117409
14.066664,19,6177.370011
18.506155,18,6177.610516
11.596659,14,6177.792997
16.85921,17,6178.040126
31.964589,34,6178.553718
16.789924,17,6178.805337
63.602204,44,6179.382692
117.753201,87,6180.524048
51.503672,32,6180.928608
11.298843,14,6181.130894
55.919828,35,6181.579558
18.025237,28,6181.957766
39.180359,54,6182.664902
8.174287,10,6182.810266
62.114618,44,6183.421562
52.130918,92,6184.650651
24.353617,49,6185.299204
151.170295,99,6186.649903
18.8525,41,6187.198896
69.024062,49,6187.853806
71.778697,43,6188.429998
70.892092,42,6189.013631
110.5866,93,6190.302349
54.795962,33,6190.730405
55.510261,33,6191.161637
77.26413,54,6191.932102
59.214941,36,6195.567218
58.16453,37,6196.060635
57.536008,35,6196.534638
69.623403,41,6197.122474
69.559448,42,6197.726931
49.471129,30,6198.137695
202.426411,96,6199.456677
97.441415,53,6200.208854
219.525926,102,6201.69177
228.139761,101,6203.248011
259.179954,131,6205.136504
222.163446,102,6206.71507
227.863175,98,6208.143025
219.362765,103,6209.611285
216.464071,96,6210.967422
202.365623,88,6212.290807
211.014802,92,6213.602757
208.911646,93,6214.918707
211.565635,93,6216.257906
210.070154,92,6217.633889
211.169278,92,6218.956731
214.410502,95,6220.336836
215.862513,96,6221.723918
209.855033,92,6223.113174
210.268831,93,6224.496256
207.403997,90,6225.78487
190.758997,83,6226.994304
202.39908,90,6231.499374
209.372533,94,6232.872842
190.562594,86,6234.104245
209.012438,93,6235.475628
203.97039,90,6236.859471
203.408436,87,6238.11169
200.937325,89,6239.393259
200.660323,90,6240.681109
211.290755,93,6242.047875
188.68519,90,6243.34177
209.185869,92,6244.629315
215.049027,95,6245.985786
212.110148,94,6247.389569
207.290992,91,6248.667019
189.771001,84,6249.86602
210.044082,91,6251.153429
186.365485,82,6252.375049
209.046903,91,6253.691223
223.453307,98,6255.096639
217.726884,97,6256.448391
207.671084,90,6257.821316
209.896865,89,6259.096384
214.043937,95,6260.476231
210.328385,92,6261.80248
219.51626,94,6266.48312
206.242799,92,6267.822864
232.936995,100,6269.240908
225.294853,95,6270.58039
223.780219,96,6272.010763
214.522467,94,6273.393716
213.47495,95,6274.763394
214.270884,91,6276.07012
216.062701,94,6277.458122
238.86957,103,6278.948849
217.681772,94,6280.278864
213.004589,93,6281.604201
7.942365,9,6281.734018
223.695748,97,6283.164352
219.631426,97,6284.565079
8.829721,10,6284.71462
226.22356,98,6286.188777
222.668408,96,6287.555959
200.31631,88,6288.864144
225.731609,99,6290.308752
265.981592,119,6292.064813
251.083793,110,6293.678945
213.482838,93,6295.013284
287.983372,132,6296.975107
269.189651,118,6301.919802
261.795384,108,6303.500955
263.767363,112,6305.112674
269.253102,110,6306.729102
277.640985,114,6308.404196
261.230536,105,6309.992884
288.005676,119,6311.673929
304.347784,134,6313.527411
262.914899,111,6315.163138
280.018755,118,6317.004122
271.358528,112,6318.828875
260.060903,108,6320.520499
174.30184,84,6322.156668
125.400816,70,6323.284475
278.120302,117,6325.304356
252.638878,107,6326.904136
224.217004,103,6328.468699
181.123425,93,6329.831106
196.942573,94,6331.193701
210.617622,97,6332.604013
222.744816,105,6337.378752
273.045304,115,6339.148908
125.398691,77,6340.239272
203.820618,97,6341.552167
192.761353,99,6343.068033
184.477822,100,6344.508638
182.619635,92,6345.836344
195.85779,103,6347.326238
237.41101,104,6348.849543
166.726227,85,6350.098069
266.28667,113,6351.708217
288.637284,121,6353.404761
272.217695,115,6355.150279
187.193691,98,6356.569465
271.752931,115,6358.255073
267.011111,113,6359.857599
180.617602,88,6361.174619
273.989269,118,6362.854962
303.720347,125,6364.653606
274.081513,121,6366.381937
287.130423,119,6368.204658
286.263196,118,6373.126596
269.741247,113,6374.764548
276.696573,114,6376.391074
262.347362,111,6378.073072
281.617687,116,6379.756375
281.015352,115,6381.433897
290.704875,122,6383.178854
273.972274,115,6384.895813
266.423764,113,6386.480068
268.762501,112,6388.067026
275.497817,115,6389.672764
261.503719,108,6391.256506
278.417996,117,6392.907057
265.529662,110,6394.46739
269.435983,112,6396.02955
270.788441,113,6397.720534
266.632759,109,6399.289699
251.816314,104,6400.742906
266.127385,107,6402.247116
255.855114,104,6403.828918
248.990553,102,6408.608592
269.775678,112,6410.24505
273.358938,115,6411.957648
236.559768,99,6413.475894
270.890281,110,6415.210225
269.684338,111,6416.9252
259.236689,106,6418.438767
261.594362,109,6420.050929
275.189423,112,6421.646957
268.994658,113,6423.277386
276.377036,113,6424.988012
264.835586,109,6426.534936
274.494224,112,6428.143878
273.448123,112,6429.738255
276.481931,113,6431.311934
259.696444,110,6433.057168
275.057658,113,6434.729553
290.490678,113,6436.35756
287.141681,116,6438.035165
279.473001,117,6439.747104
282.647216,112,6444.60188
284.761147,113,6446.25823
290.690558,117,6447.955982
295.373256,120,6449.785065
291.095214,118,6451.53353
282.224013,115,6453.166821
288.379853,116,6454.784404
281.5341,114,6456.504626
272.240467,114,6458.128044
279.734146,110,6459.662147
274.786334,111,6461.205253
285.79718,116,6462.913514
273.060332,115,6464.560785
281.359563,117,6466.236813
283.254862,117,6467.901579
278.212343,112,6469.604367
262.97298,107,6471.361409
277.085375,112,6472.976138
263.057749,106,6474.644971
273.837222,111,6479.690902
283.118763,113,6481.35895
286.897126,114,6483.04833
276.746353,113,6484.794873
304.632266,128,6486.950422
273.387282,113,6488.567657
266.567519,110,6490.200141
271.877035,108,6491.783901
313.636589,141,6493.98329
282.704173,120,6495.759818
285.064644,118,6497.425113
287.669465,114,6499.041888
285.622308,116,6500.821939
289.891699,114,6502.457687
288.690355,117,6504.167839
286.124381,112,6505.752131
309.004217,133,6507.702952
281.076623,112,6509.306093
293.88507,116,6510.909646
293.04532,119,6515.388386
280.733916,113,6517.110995
288.6426,117,6518.776648
285.225012,113,6520.344399
332.946885,154,6522.548816
356.748926,166,6524.957601
307.232334,130,6526.766744
175.649328,94,6528.071179
355.9638,179,6530.579527
335.776716,153,6532.820937
188.969321,98,6534.190555
325.845713,151,6536.368463
337.000177,160,6538.78943
315.096421,149,6540.969948
299.895522,141,6542.959388
369.379272,187,6545.609761
341.80702,161,6551.464107
304.644244,154,6553.895079
340.995125,163,6556.426301
338.714841,155,6558.821879
329.583087,159,6561.290407
339.200082,157,6563.716842
153.042465,88,6565.032081
361.29304,176,6567.600333
338.467514,153,6569.819087
359.843154,170,6572.388608
306.747803,139,6574.402352
325.73607,139,6576.368866
340.9846,156,6578.577151
323.043293,142,6580.675153
314.018372,135,6584.470473
332.747075,138,6586.397737
320.785673,133,6588.296063
317.008136,131,6590.228639
299.331503,125,6591.977535
323.222542,131,6593.82114
317.771022,133,6595.701072
329.893716,149,6597.955442
307.292682,126,6599.775495
293.740543,118,6601.47203
320.148724,129,6603.330663
312.030372,126,6605.18881
304.464232,123,6606.928151
299.596783,126,6608.848759
273.302076,117,6610.518243
264.243937,115,6612.203825
312.415153,126,6613.994765
327.22156,130,6615.820652
320.929036,128,6621.384896
92.429628,52,6622.274232
259.563383,111,6624.051568
308.008226,123,6626.056221
309.547484,129,6628.070354
299.687324,120,6629.916326
331.888849,126,6631.818983
320.058748,127,6633.645965
324.791168,124,6636.054912
324.773279,130,6638.27761
280.119909,118,6640.120017
324.50674,130,6642.228265
331.675255,128,6644.129336
321.542924,126,6646.082196
338.465929,134,6648.034114
344.979024,134,6649.976486
265.40819,140,6651.959741
324.107097,127,6655.900271
339.137888,132,6657.745703
344.186697,132,6659.585608
266.939898,110,6661.138597
326.30657,133,6663.150607
307.167015,123,6664.841005
272.493508,110,6666.410534
328.741277,130,6668.253392
256.93073,108,6669.86142
270.212843,111,6671.406851
310.729065,123,6673.132112
198.542118,110,6674.721347
306.397558,125,6676.580637
268.812596,112,6678.147445
247.109277,105,6679.675617
295.798521,120,6681.367826
256.904806,114,6683.286784
261.376938,111,6684.905652
298.261762,123,6690.155436
204.835466,91,6691.597089
178.881107,85,6693.036721
243.730574,107,6694.757526
279.498015,121,6696.593924
347.995317,141,6698.593749
319.168802,128,6700.45846
323.251729,125,6702.237679
337.001231,137,6704.172351
136.276417,69,6705.158111
339.427854,146,6707.327903
334.744558,149,6709.424759
342.462133,147,6711.497774
311.46943,128,6713.376457
82.192401,49,6714.121303
327.558085,136,6716.095232
339.478631,152,6718.21929
352.016755,176,6720.694706
127.99783,72,6721.764124
129.396497,69,6725.634299
346.641542,157,6727.885851
356.554858,170,6730.35968
326.689858,148,6732.603734
355.860032,166,6734.938964
343.956479,162,6737.192806
350.649122,153,6739.35662
347.649622,142,6741.505866
331.949231,145,6743.541974
329.74351,139,6745.556845
333.189473,141,6747.505682
331.089409,140,6749.568815
328.983358,148,6751.675634
340.027102,150,6753.856704
334.183039,145,6755.949198
343.959586,152,6761.651315
331.970919,142,6763.735636
353.835946,143,6765.803605
337.150233,140,6767.853282
315.196045,129,6769.862291
316.99395,129,6771.748573
336.961642,138,6773.772815
337.081682,139,6775.803638
342.75427,140,6777.989362
335.078673,137,6780.010614
326.261976,135,6781.882587
310.266603,125,6783.622454
334.248328,138,6785.660686
314.28935,126,6787.464923
310.482241,125,6789.256539
300.33334,122,6790.973523
323.82997,130,6795.84532
325.577819,132,6797.770055
319.595728,129,6799.606113
335.380962,133,6801.531622
306.842929,124,6803.382784
308.62164,126,6805.268407
316.801126,123,6806.987729
310.586486,123,6808.722784
301.89937,120,6810.499601
306.759923,120,6812.232553
315.623939,124,6814.077258
308.507092,121,6815.851717
317.363957,122,6817.649945
311.942809,128,6819.441961
303.150847,119,6821.123592
301.395397,123,6822.869929
305.842043,120,6824.657944
291.977351,120,6826.409912
323.997902,124,6831.665324
312.213335,118,6833.433286
320.223402,126,6835.39482
302.414391,121,6837.185553
337.033091,127,6839.103706
322.500031,119,6840.961704
349.702469,128,6842.960936
326.504911,123,6844.847044
320.121571,124,6846.669031
336.473676,128,6848.517318
336.410085,125,6850.448167
321.64849,122,6852.3123
314.85508,126,6854.178824
321.86599,127,6856.104927
333.432483,126,6858.052965
352.452135,128,6859.933614
323.967046,124,6861.809496
321.586041,121,6865.856639
330.900661,123,6867.852804
334.891531,124,6869.689896
305.319355,120,6871.434929
307.414561,118,6873.161546
305.651881,120,6874.939601
322.046087,122,6876.683302
293.815477,124,6878.409215
337.251022,129,6880.222002
326.964982,125,6882.056605
312.711118,122,6883.820166
263.63742,115,6885.450672
282.233256,122,6887.165548
298.395947,119,6888.909828
325.53284,123,6890.648412
316.245395,121,6892.374564
279.111622,123,6894.147737
315.767366,122,6895.94105
328.454701,126,6897.901601
326.300781,129,6903.092383
339.58249,131,6905.126439
334.933994,129,6907.147757
329.525014,127,6909.052191
332.098114,131,6911.14404
292.807767,127,6913.139231
339.907227,130,6915.116091
334.99244,129,6917.062949
338.639784,126,6918.945247
342.088317,132,6920.94648
333.18128,130,6922.974243
334.329528,132,6924.940571
21.036248,19,6925.242173
18.752571,19,6925.53345
284.083369,114,6927.302503
279.801887,114,6929.273267
243.896099,103,6930.810745
260.348746,108,6932.444842
287.215007,119,6936.034884
277.307544,120,6937.836804
193.864337,93,6939.25284
228.224125,110,6940.954753
247.217849,107,6942.562669
268.987302,105,6944.061394
332.994282,128,6945.90947
231.146216,111,6947.512684
279.523424,124,6949.393185
292.605711,130,6951.273242
339.97452,130,6953.145275
348.241549,151,6955.283009
320.206452,144,6957.402427
338.339044,164,6959.747653
339.358556,168,6962.137464
336.191248,160,6964.420107
364.554074,176,6967.189628
331.477914,156,6972.626786
336.761456,158,6974.967942
349.076546,170,6977.489281
354.304461,148,6979.819539
351.015316,150,6982.261708
356.817338,157,6984.565262
313.189897,140,6986.589396
334.166588,141,6988.684766
341.005951,144,6990.745663
353.327082,142,6992.827075
345.800047,137,6994.825363
350.58811,139,6996.906423
345.493007,150,6999.046936
346.429289,142,7001.062581
358.30235,144,7005.936783
354.452113,137,7008.00216
318.492862,137,7010.019471
358.183261,147,7012.194574
337.740405,139,7014.348305
328.460675,140,7016.497308
338.561405,138,7018.54496
339.927715,143,7020.603962
344.754495,140,7022.578022
358.030302,148,7024.789337
348.499976,140,7026.800939
351.671344,142,7028.808625
352.399412,146,7030.892701
340.471721,139,7032.976877
368.717935,150,7035.125443
349.361409,141,7037.212611
355.388729,146,7042.550725
362.433549,150,7044.862036
326.009252,137,7046.907714
357.286541,149,7049.110226
345.738952,146,7051.216008
350.195688,152,7053.571478
336.653383,145,7055.693459
344.055795,149,7057.87272
347.638631,139,7059.879002
357.043699,140,7062.015285
344.288152,140,7064.117548
338.707111,137,7066.148376
358.89152,149,7068.368263
361.266908,149,7070.62649
351.98126,146,7072.810974
369.238006,164,7077.841245
347.626998,144,7080.063097
353.674886,147,7082.374157
357.692741,146,7084.503181
361.560317,145,7086.578738
319.535309,137,7088.67483
353.105407,145,7090.836862
367.131337,153,7093.10539
365.828569,146,7095.208239
378.657154,157,7097.579514
350.089663,148,7099.899464
370.129933,154,7102.235803
361.021039,144,7104.506978
310.332929,134,7106.667603
371.996207,152,7112.446112
360.949104,141,7115.222659
341.385675,141,7117.914883
365.447675,140,7120.227381
328.734137,138,7122.416882
361.990746,142,7124.477463
347.670017,137,7126.554883
348.996168,134,7128.444217
344.98139,134,7130.440549
338.90034,137,7132.415142
330.756033,138,7134.452283
336.75124,130,7136.356243
336.785149,129,7138.326991
338.776531,133,7140.276927
357.997252,138,7142.338037
337.109478,130,7147.24079
338.406647,135,7149.43647
352.570424,136,7151.485629
352.815109,135,7153.458595
349.478983,139,7155.520993
357.47863,137,7157.612996
346.011142,133,7159.566247
344.530558,136,7161.533298
347.043528,137,7163.549188
367.282236,140,7165.722088
363.035975,140,7167.740444
342.583949,132,7169.641012
386.126401,147,7171.784653
367.007427,143,7173.951175
370.067926,143,7176.03526
378.518046,142,7178.130054
361.945572,135,7183.127123
360.24872,132,7185.199434
347.313332,131,7187.131763
372.870521,139,7189.201252
361.785685,136,7191.239253
346.341509,132,7193.236342
371.620748,140,7195.277658
369.028113,138,7197.266792
342.440789,131,7199.119889
374.100659,141,7201.261299
357.203384,131,7203.10929
357.333114,132,7205.04069
350.423006,131,7206.968743
372.888892,138,7209.236813
378.832468,141,7211.318835
350.699198,138,7213.313934
363.284679,133,7218.5009
356.266809,134,7220.544694
374.282565,136,7222.511159
343.311414,127,7224.540433
366.499922,138,7226.640989
353.915458,134,7228.683773
332.903404,133,7230.667294
349.902329,133,7232.598831
367.780426,138,7234.65284
367.876495,135,7236.712013
356.389854,133,7238.633848
351.421038,130,7240.463199
326.661656,131,7242.345376
353.478464,131,7244.354908
360.916306,136,7246.36445
359.974093,133,7248.401033
314.805059,132,7253.644942
347.408186,137,7255.784755
357.249362,133,7257.808192
332.189749,131,7259.742526
360.967591,134,7261.68806
364.863092,135,7263.783865
365.814076,135,7265.751987
361.691778,140,7267.833642
388.171928,140,7269.841112
367.397402,135,7271.898603
360.719808,133,7273.825469
361.143686,132,7275.777956
361.756242,131,7277.682904
335.550172,124,7279.570359
347.953573,129,7281.495354
334.450763,129,7283.422826
352.13452,130,7288.499276
364.628837,133,7290.588957
352.58521,129,7292.489087
355.390103,128,7294.39351
380.004528,142,7296.525195
370.915649,136,7298.618939
371.216205,137,7300.632106
350.464693,131,7302.53572
354.921179,131,7304.426165
377.001617,138,7306.643095
372.058095,137,7308.606047
361.544159,134,7310.562573
370.420085,137,7312.608991
372.815886,140,7314.770403
378.057744,138,7316.841132
341.155157,129,7318.752744
328.363305,129,7323.850555
364.908561,131,7325.876731
382.328112,141,7327.941709
345.659375,133,7329.903963
358.832613,136,7331.901129
357.018516,132,7333.962711
374.880462,140,7335.984097
341.805876,131,7337.856517
352.160673,132,7339.78622
385.621815,141,7341.921342
352.90255,130,7343.819028
343.88178,127,7345.656137
369.590697,135,7347.612905
364.397554,132,7349.63744
358.144041,132,7351.619769
366.650669,134,7353.674011
378.892932,139,7358.997208
377.708199,136,7361.1329
354.151947,131,7363.082886
