#{"t_start": 1735984490.5293112, "env_id": "CustomHopper-target-v0"}
r,l,t
8.980468,14,1946.498513
-1.174458,13,1946.514473
20.088887,22,1946.533185
3.995324,15,1946.547893
9.042062,20,1946.565839
-2.68249,19,1946.624983
14.146015,30,1947.314447
15.689425,18,1947.679138
-5.410513,13,1947.95657
-3.154896,20,1948.335512
9.769173,18,1948.642356
4.233115,14,1948.881538
5.58166,9,1949.065049
44.2017,33,1949.610254
49.942539,23,1949.981295
11.936307,17,1950.283621
22.847371,34,1950.897018
12.956564,26,1951.395054
4.891159,16,1951.674451
2.493899,11,1951.881202
67.249416,38,1952.576004
17.497625,13,1952.806274
67.998926,30,1953.338796
44.813662,28,1953.80169
49.675261,20,1954.152551
12.365624,14,1954.402787
53.833102,24,1954.894071
50.308898,25,1955.419616
54.749841,25,1955.900855
98.978666,41,1956.632276
70.115034,40,1957.347041
48.796546,22,1957.727134
42.943714,20,1958.101601
55.093756,28,1958.603334
76.655436,54,1959.679264
46.13628,22,1960.08811
43.335798,18,1960.422319
51.331674,25,1960.896167
117.485509,56,1961.935151
41.802523,17,1962.272653
56.008281,25,1962.762264
35.441167,14,1963.028673
133.712526,57,1964.142626
47.624006,21,1964.546664
219.038021,100,1966.35193
195.735503,75,1967.846239
194.889623,80,1969.298898
178.31433,72,1970.601618
183.184985,74,1972.291374
194.339308,81,1973.742613
217.91309,88,1975.612006
181.69909,75,1977.04907
175.685576,70,1978.708818
194.936895,82,1980.283658
207.277678,89,1981.875012
196.799636,82,1983.642973
184.408859,81,1985.09158
177.039799,72,1986.488169
210.950689,85,1988.086444
198.772172,80,1989.485129
189.821396,78,1991.037661
208.557831,86,1992.576815
223.29715,90,1994.198553
193.247231,76,1995.787343
200.824454,81,1997.205967
195.819863,79,1998.726563
231.321594,96,2000.436722
196.018047,79,2001.926905
187.7398,75,2003.435957
228.841661,104,2005.27887
232.997508,89,2006.984269
211.882808,86,2008.553864
205.275897,85,2010.102621
191.642018,74,2011.600984
224.187474,92,2013.248898
206.857913,84,2014.84907
222.48969,88,2016.573257
230.567335,105,2018.414721
215.681669,93,2020.234911
237.474044,100,2021.970493
211.990299,87,2023.685349
245.767442,104,2025.641293
257.18179,124,2028.092131
212.058672,87,2029.734637
238.851375,109,2031.85528
241.675563,121,2033.975541
170.643001,75,2035.617796
244.172806,111,2037.537856
202.643032,85,2039.674515
190.393764,81,2041.379808
215.355778,86,2043.399864
287.86044,137,2046.305985
243.694892,105,2048.734814
230.283371,96,2050.50474
294.577977,137,2053.142582
271.9508,129,2055.591234
268.379373,123,2057.78789
276.872136,130,2060.258911
160.954773,80,2061.779831
235.737883,99,2064.457084
276.5834,116,2066.504321
142.997768,78,2068.125901
249.756135,103,2069.963086
265.381033,117,2072.232201
287.32947,131,2074.61944
284.526381,128,2077.053659
250.110337,102,2078.894278
237.316831,97,2080.75698
268.230236,123,2082.943747
236.075782,99,2084.808958
240.415012,98,2086.489338
260.104431,107,2088.569299
234.885725,96,2090.250788
235.445883,91,2092.021263
250.895344,116,2094.031072
222.753961,90,2095.762649
256.305402,109,2097.676783
221.297464,88,2099.416953
215.813983,89,2101.085446
205.213828,80,2102.500278
222.499642,92,2104.42717
286.014222,135,2106.799734
252.857844,110,2108.963543
188.925448,94,2110.589914
263.210616,116,2112.834256
252.035149,108,2114.651234
265.405434,107,2116.737771
121.906367,63,2117.817538
240.972696,97,2119.715292
242.444983,104,2121.641308
256.377949,108,2123.762324
258.948562,113,2125.902335
280.428602,123,2128.403354
224.59123,90,2130.085083
249.524182,102,2132.041471
267.865942,116,2134.147012
382.36806,206,2139.634773
228.912281,91,2141.792229
305.510808,138,2144.938581
282.55435,130,2147.816917
253.729575,106,2149.86474
235.688353,95,2151.745577
306.592087,138,2154.967578
211.654838,84,2156.997061
223.322074,89,2158.685163
52.926918,25,2159.593629
214.198515,88,2161.554214
359.623746,187,2165.643424
220.720795,90,2167.534641
219.698813,89,2169.351509
219.305344,91,2171.064593
214.253567,82,2173.667872
268.921404,126,2176.457284
227.626903,97,2178.303974
211.629486,83,2180.005037
229.364347,161,2182.967149
216.158578,89,2184.893898
211.485895,87,2186.569184
273.648012,127,2189.116496
232.289504,100,2190.965963
238.946176,105,2193.081895
272.686872,126,2195.574895
259.73723,119,2198.076946
224.07438,92,2199.967844
268.457528,123,2202.4529
213.006981,83,2204.212507
228.414397,93,2206.017653
232.866347,98,2207.97787
275.25689,125,2210.375797
271.560871,122,2212.933116
222.755741,90,2214.619287
238.930017,97,2216.57849
221.819951,92,2218.205315
253.169536,103,2220.286003
336.205252,169,2223.608772
223.006925,90,2225.607477
224.356396,89,2227.319479
221.824017,90,2229.202987
225.849067,90,2230.836531
241.187911,95,2232.772762
246.972842,97,2234.479572
237.726894,93,2236.31742
254.281855,106,2238.223311
217.937197,87,2239.920139
223.201512,90,2241.717506
240.785193,95,2243.531316
230.04243,92,2245.489515
232.278078,94,2247.123257
225.237153,89,2248.908762
222.243223,87,2250.544917
228.959743,92,2252.41086
230.572616,90,2254.065031
239.493274,95,2255.949284
239.809302,98,2257.802488
230.116332,92,2259.448631
253.665616,100,2261.58475
233.143241,98,2263.533912
244.702173,96,2265.704147
242.692017,95,2268.007154
232.147819,90,2269.685986
246.907467,96,2271.647703
225.387285,93,2273.621678
247.408977,95,2275.287232
244.377451,99,2277.266215
225.73143,88,2278.831508
254.561079,102,2280.842483
256.547591,104,2282.667692
255.350141,97,2284.622713
267.632573,104,2286.491623
279.494421,111,2288.678507
266.248252,103,2290.517564
242.546853,98,2292.395842
302.111398,127,2294.74832
282.355088,111,2296.945678
324.25394,134,2299.453921
251.0689,101,2301.462476
326.534221,141,2304.042256
290.070209,114,2306.200469
267.282717,107,2308.135953
240.603068,92,2309.915928
278.922484,110,2311.871457
247.932724,100,2313.874915
326.153693,135,2316.378151
278.898228,111,2318.420196
257.795331,102,2320.367729
76.068721,38,2321.092757
272.565268,115,2323.142065
259.903749,101,2325.128132
334.788221,134,2327.692456
307.326489,129,2330.220876
293.062061,118,2332.353061
244.699281,99,2334.265673
296.455847,122,2336.704043
279.040935,112,2338.78904
266.874343,103,2340.881554
360.531966,173,2344.035397
316.171266,134,2346.596575
346.291122,151,2349.872254
303.165264,124,2352.409563
299.174114,127,2354.776382
159.032772,65,2355.989775
200.598603,78,2357.589887
352.645331,164,2360.581439
-1.427203,12,2360.808444
499.555231,300,2367.041056
298.360634,127,2369.478107
344.908827,167,2372.546353
339.09699,166,2375.537387
316.029757,141,2378.256665
285.444934,111,2380.344793
417.279563,234,2384.84091
300.651955,124,2387.076898
273.461237,106,2389.182268
288.876017,113,2391.18139
312.362874,128,2393.673377
305.804249,119,2395.767817
290.6183,114,2397.966122
311.635495,120,2400.092951
279.093732,113,2402.322709
300.605921,121,2404.488531
322.301988,135,2407.059085
300.468379,124,2409.451195
272.60369,112,2411.393036
273.795137,108,2413.487156
264.549487,105,2415.327499
239.895761,96,2417.279151
239.693293,96,2418.997882
253.925374,97,2420.844448
92.444069,43,2421.67174
267.687081,112,2423.644098
231.058,93,2425.486661
260.471827,102,2427.276085
249.068799,104,2429.319639
241.594828,101,2431.132946
