#{"t_start": 1736092026.423851, "env_id": "CustomHopper-source-v0"}
r,l,t
12.830803,18,0.382972
9.744175,14,0.411699
8.477238,14,0.437599
11.622088,17,0.469182
47.722705,40,0.599519
9.6526,12,0.773271
12.884489,13,0.957305
17.92169,20,1.234694
28.856486,25,1.591198
11.234883,16,1.82228
13.760256,17,2.060735
8.846098,10,2.200515
38.929007,34,2.68613
15.432348,26,3.051696
9.264582,10,3.185381
7.32333,8,3.30078
20.827804,26,3.666062
9.149562,13,3.864512
9.620906,21,4.151219
19.054618,19,4.412891
7.967476,21,4.712383
51.900991,41,5.280771
9.549607,17,5.500623
25.434619,23,5.833915
118.268862,69,6.813947
115.863559,83,8.004023
10.944586,13,8.183604
93.640811,61,9.050761
10.491746,20,9.347813
35.383038,57,10.159068
40.044397,27,10.535117
35.781113,40,11.100965
109.460272,74,12.174798
77.079432,50,12.889318
76.582221,57,13.747507
87.643722,57,14.569319
94.689075,59,15.41853
32.294913,61,16.307175
80.13093,59,17.142273
173.45726,108,18.714931
48.579465,33,19.209364
67.274771,44,19.834704
111.735212,71,20.840225
268.807498,193,23.596117
82.647946,54,24.376027
199.265274,107,25.926182
97.158441,64,26.870597
78.491256,53,27.627631
147.077534,81,28.814796
137.437643,85,30.005045
221.084066,107,31.525412
235.370901,120,33.319064
258.137949,141,35.606611
251.395937,114,37.425106
227.930776,105,39.127622
246.437851,113,40.909295
248.829255,115,42.726618
234.194787,109,44.484235
196.201491,94,45.955109
219.247367,104,47.613043
220.193397,105,49.317217
232.398292,110,51.271597
286.880953,142,53.563796
239.141676,111,55.35087
234.137154,115,57.155849
255.686332,120,59.071382
260.918011,126,61.16968
152.949695,94,62.679778
191.29424,94,64.285751
216.245326,103,65.92122
250.493631,114,67.693223
179.277362,93,69.367405
243.033298,118,71.221416
258.012239,118,73.079443
262.091877,119,74.952031
229.781623,110,76.68758
258.395123,114,78.770042
268.217382,128,80.848256
217.23875,117,82.681969
254.17032,115,84.505235
277.487649,129,86.623232
262.543291,128,88.692216
304.814308,130,90.705187
238.418869,125,92.660314
271.378627,128,94.725958
202.812616,119,96.576417
277.735359,124,98.53144
249.236354,115,100.370848
275.538023,127,102.363219
239.07902,117,104.255613
245.635196,118,106.127371
246.967116,115,107.929172
233.59617,109,109.687439
221.237299,113,111.452502
251.757566,132,113.538087
271.868977,117,115.426905
243.145687,123,117.343623
286.103913,125,119.325819
240.083699,110,121.081431
228.944622,106,122.772639
251.620883,112,124.562643
257.155006,113,126.352582
237.009271,110,128.088554
246.087149,112,129.896757
255.347329,116,131.724745
239.259551,109,133.495069
194.994621,98,135.072531
236.502704,123,136.993625
208.443615,106,138.699757
251.120516,113,140.504977
228.228381,105,142.145741
210.472227,101,143.750063
231.210734,108,145.499073
239.476787,110,147.224113
223.474669,107,148.906883
211.851689,101,150.529808
253.356851,128,152.5613
215.887356,102,154.18013
