#{"t_start": 1736092026.433942, "env_id": "CustomHopper-target-v0"}
r,l,t
14.44132,20,1768.812705
32.770175,39,1768.869436
37.090053,31,1768.902305
19.873511,22,1769.083778
14.093903,14,1769.30804
10.129038,11,1769.503635
14.676445,16,1769.772772
11.059358,15,1769.999393
35.783418,42,1770.609681
13.942903,22,1770.920859
25.831031,25,1771.269154
29.543353,27,1771.644297
19.77799,21,1771.938637
9.62395,11,1772.081364
8.487338,11,1772.235249
8.421698,9,1772.355816
13.367445,13,1772.543497
11.578184,22,1772.845578
10.751641,15,1773.12483
14.946299,15,1773.33569
19.112027,38,1773.867982
12.224183,16,1774.109136
26.218624,30,1774.541574
11.837142,30,1775.123514
10.210349,19,1775.427042
15.077444,32,1775.888926
18.586001,19,1776.18217
7.987867,14,1776.380826
8.364286,17,1776.625939
11.618991,15,1776.841283
82.927623,118,1778.487158
10.878504,30,1778.929193
13.22986,16,1779.168756
7.468612,16,1779.415948
50.795926,66,1780.367021
29.474993,28,1780.763757
79.05293,56,1781.569863
39.240788,69,1782.538835
88.393293,66,1783.499784
119.457684,72,1784.511245
83.22599,56,1785.328787
55.673087,74,1786.412638
58.467126,94,1787.753918
377.417606,197,1790.55382
207.021472,103,1792.045474
112.962525,75,1793.089727
227.185299,111,1794.645324
222.443683,106,1796.22007
218.924066,108,1797.723799
237.20375,113,1799.300822
223.641825,108,1800.851564
241.100533,117,1802.485445
230.910519,110,1804.175075
247.481369,115,1806.074349
232.628122,110,1807.818264
246.989813,116,1809.676873
225.096039,107,1811.411195
222.263433,106,1813.067422
238.820683,113,1814.851544
229.601506,110,1816.619167
227.742606,110,1818.370834
222.526089,106,1820.0547
215.588844,103,1821.697038
234.397845,111,1823.432628
228.358046,108,1825.165704
222.071777,106,1826.86107
222.445481,106,1828.496431
229.990112,111,1830.23763
207.64339,100,1831.872555
225.824216,108,1833.552963
224.989157,107,1835.252149
228.807531,109,1836.981521
228.002983,108,1838.675122
222.445321,106,1840.333838
222.55543,104,1842.017536
228.319749,108,1843.744736
220.714316,105,1845.421277
218.423242,103,1847.203195
234.503066,109,1848.911683
248.354346,111,1850.655192
237.934617,111,1852.434877
224.452802,107,1854.088918
230.829984,109,1855.823457
235.134767,109,1857.507989
220.19679,103,1859.142341
224.187056,107,1860.862402
226.975893,105,1862.506428
248.440396,113,1864.277031
209.269715,99,1865.86081
91.174413,59,1866.788445
261.807848,110,1868.535891
250.193217,113,1870.312417
241.113764,115,1872.111135
222.81094,109,1873.836086
230.002797,105,1875.490359
62.207374,43,1876.177652
232.295058,106,1877.842856
239.965023,113,1879.594152
259.985473,117,1881.481828
251.095728,108,1883.169171
303.551375,127,1885.159975
280.964396,119,1887.056398
354.691639,154,1889.488755
153.268863,88,1890.903452
139.880057,81,1892.20472
136.035283,81,1893.488536
311.143416,136,1895.595982
212.674853,107,1897.317869
190.070021,99,1898.874017
162.428443,89,1900.247007
362.65218,141,1902.565659
339.434446,143,1904.781895
332.417601,134,1906.946975
343.973803,144,1909.180475
340.747068,133,1911.312141
306.532485,126,1913.287661
317.669261,129,1915.329696
329.088,131,1917.406177
316.932517,128,1919.403526
304.889199,126,1921.38591
301.490596,125,1923.376501
310.603781,129,1925.419705
294.592685,123,1927.347912
329.331279,134,1929.471517
293.458788,120,1931.381971
328.593853,131,1933.468274
333.538865,134,1935.573378
372.572281,143,1937.876644
328.863134,130,1939.918229
343.433409,137,1942.06678
313.66637,121,1943.963866
334.850118,134,1946.054472
327.63457,132,1948.251097
345.343383,138,1950.433167
327.241228,132,1952.541814
315.721795,130,1954.575035
335.153622,136,1956.74762
309.736371,132,1958.838582
291.088919,130,1960.892878
263.848985,115,1962.746536
236.534177,117,1964.598172
269.874055,122,1966.530965
261.923642,120,1968.423481
242.50652,113,1970.184925
298.636067,129,1972.237696
282.475998,120,1974.140348
250.063126,116,1975.941495
279.149483,119,1977.818411
315.601995,132,1979.900709
311.171244,127,1981.947502
115.945137,71,1983.075492
322.953887,131,1985.128273
282.484781,112,1986.930213
315.591121,126,1988.915872
110.809824,68,1989.996719
352.451246,135,1992.148705
242.105724,106,1993.827276
377.96884,139,1996.011373
262.364535,113,1997.792407
268.920132,114,1999.598358
288.442588,122,2001.53969
75.047084,48,2002.320331
344.381263,130,2004.358232
335.723332,129,2006.376485
74.059507,47,2007.223068
105.862305,66,2008.357348
300.28819,117,2010.241758
327.077615,123,2012.499377
85.412347,54,2013.340554
105.743383,67,2014.39931
81.960361,52,2015.229013
90.828044,56,2016.10477
224.250352,101,2017.731551
299.15523,116,2019.685782
111.842232,69,2020.780507
87.623161,55,2021.633232
96.5201,61,2022.56944
210.092487,103,2024.177519
200.158351,99,2025.730288
84.426743,53,2026.564597
293.061729,120,2028.452197
112.992829,70,2029.567985
108.080153,68,2030.61487
261.105918,110,2032.385018
102.020595,65,2033.406821
107.07853,67,2034.478734
109.046524,68,2035.554364
104.95233,65,2036.575436
104.009444,66,2037.631529
105.182906,67,2038.695652
214.115707,102,2040.273103
153.317689,86,2041.650251
105.388405,66,2042.715281
241.527293,111,2044.462358
297.62794,117,2046.320632
251.742947,113,2048.140896
252.7598,107,2049.821852
306.183793,118,2051.681748
314.483576,122,2053.574489
270.511512,116,2055.387587
319.942789,122,2057.352669
294.307175,118,2059.23215
345.101456,128,2061.214283
329.566788,128,2063.249952
275.545907,111,2064.982984
260.11515,114,2066.785298
366.412766,135,2068.917244
291.133934,117,2070.757037
324.420271,126,2072.804881
340.132404,130,2075.123924
331.616568,130,2077.353909
328.748024,127,2079.537346
324.093916,126,2081.497784
336.074813,127,2083.424955
334.880396,128,2085.451913
352.471256,133,2087.541233
364.239635,136,2089.698499
340.399393,130,2091.769173
357.657457,135,2093.935484
336.922718,131,2095.971365
343.263189,133,2098.101959
335.620904,131,2100.246443
367.074636,137,2102.409474
369.876444,138,2104.564866
354.675235,136,2106.732287
343.164668,133,2108.868114
384.795639,141,2111.082517
369.350022,139,2113.271486
392.932447,144,2115.565492
370.608756,143,2117.816528
411.46296,145,2120.347629
408.584213,145,2122.617763
409.558414,146,2124.937693
403.208703,144,2127.210299
406.735757,148,2129.646321
407.867654,146,2131.933698
223.190655,103,2133.630244
214.809554,99,2135.189229
452.956315,154,2137.578723
478.511477,163,2140.155059
396.203035,146,2142.410828
450.782878,158,2144.936504
403.018484,147,2147.217444
434.373316,156,2149.67868
431.712083,156,2152.11695
438.146455,162,2154.687578
416.707588,153,2157.069591
432.425885,167,2159.68649
398.680447,150,2162.026298
383.042638,145,2164.336626
385.186983,146,2166.604624
508.681929,186,2169.527081
396.412216,160,2172.064611
396.268368,148,2174.391084
377.877325,149,2176.702951
397.267544,153,2179.109345
254.052353,122,2181.172283
230.499784,114,2182.870077
404.580322,148,2185.179705
388.062578,145,2187.424186
388.955046,157,2189.905061
494.62668,177,2192.687003
403.639634,155,2195.136748
401.419261,148,2197.45561
440.397737,169,2200.153043
453.610816,167,2202.770735
468.755573,166,2205.368882
543.819489,190,2208.346704
531.416975,183,2211.29842
527.60301,184,2214.159967
475.044857,172,2216.839065
536.222041,189,2219.816355
345.705541,140,2222.014116
519.999246,180,2224.843305
552.81661,190,2227.815062
524.126634,184,2230.703738
529.634285,189,2233.693181
494.57569,180,2236.515874
182.048097,96,2238.006167
194.924179,100,2239.650286
177.056532,95,2241.122029
571.400567,185,2244.069825
728.04226,221,2247.532955
175.465402,94,2249.036268
189.454654,99,2250.633402
162.543043,92,2252.05728
299.290414,137,2254.196957
703.164279,242,2257.910657
616.920235,216,2261.293254
277.378438,138,2263.477096
915.633828,317,2268.397528
717.515538,231,2272.0166
86.647106,57,2272.893213
456.243261,166,2275.562294
754.933204,276,2279.822156
540.208654,197,2282.91712
463.726678,174,2285.685105
517.23812,180,2288.453851
444.868096,169,2291.104241
