#{"t_start": 1736612677.488398, "env_id": "CustomHopper-source-v0"}
r,l,t
98.480343,74,0.413738
8.240046,18,0.421079
11.21418,13,0.535649
17.178848,21,0.864763
9.991656,14,1.086651
7.014274,10,1.235363
17.333328,16,1.460588
16.16021,22,1.775332
18.881743,19,2.049464
15.461012,17,2.284719
12.59175,23,2.596876
15.979947,23,2.928943
12.530011,17,3.165167
25.316278,39,3.724549
52.067075,64,4.608495
54.307792,63,5.504164
7.848045,16,5.742085
8.907843,14,5.937374
45.261769,49,6.609373
7.990736,18,6.868094
20.646766,18,7.131364
22.289111,21,7.423097
111.499345,86,8.662317
3.647877,28,9.084572
2.738867,23,9.440167
54.980404,32,9.912486
79.657753,63,11.001509
51.90087,30,11.519667
211.03831,179,14.596736
107.955244,62,15.697074
85.249714,68,18.821166
43.043344,24,19.221347
71.698329,41,19.840294
176.008416,88,21.489884
213.244333,103,23.246139
216.904678,100,25.193885
81.199762,50,26.301646
203.074568,96,27.819137
57.76159,33,28.376616
200.309826,87,29.908203
185.79779,84,31.257859
157.560059,77,32.51866
249.96296,107,34.407688
204.404321,97,36.22731
197.901358,92,38.015286
199.506902,99,39.562392
185.664154,89,41.200584
200.074798,95,42.716868
242.595536,104,44.62923
237.780446,108,46.398219
217.688322,99,48.123722
213.626048,94,49.685691
186.734187,85,53.022506
188.999186,87,54.584403
225.427146,101,56.185476
182.520297,88,57.771493
232.727639,104,59.467802
202.173895,93,61.067164
202.020682,89,62.620446
255.196911,115,64.424383
228.049625,97,66.163656
103.773164,56,67.017176
255.568306,109,68.916748
263.363585,102,70.614855
236.941634,103,72.347926
291.083234,119,74.385659
182.482474,93,75.887177
228.226855,101,77.677578
240.46168,110,79.501934
217.883739,105,81.367779
294.749013,121,83.327767
166.300957,81,86.694408
146.423396,79,87.960396
234.796879,103,89.772295
185.839178,87,91.224433
338.348367,131,93.444105
229.069664,100,95.177837
375.725776,130,97.547443
279.43677,116,99.391963
321.013644,128,101.661371
322.404816,123,103.606973
313.105102,125,105.81253
324.220986,119,107.684661
295.725206,116,109.738365
296.205941,121,111.732074
290.906375,121,113.852302
320.210614,138,116.150508
306.076421,118,118.155936
278.364673,118,122.152955
297.323753,122,124.111315
339.372018,152,126.760318
326.741038,143,129.321423
300.502958,124,131.454029
328.182896,140,133.847628
308.283509,128,135.86843
281.403548,118,137.996302
318.85485,133,140.084145
331.600079,138,142.492097
298.865199,122,144.55062
263.559926,110,146.422651
308.291546,129,148.593395
295.456743,118,150.481283
275.160162,110,152.416415
284.546573,119,156.544465
253.41912,105,158.413902
46.705082,28,158.919727
279.315166,116,160.791785
226.074425,103,162.629836
252.225022,105,164.614147
231.124984,102,166.845513
222.68263,101,168.415465
219.268939,98,170.181731
211.134454,99,171.751002
254.188658,106,173.60973
218.551265,96,175.164293
213.244459,95,176.783909
225.746907,97,178.475359
226.723693,97,180.032139
221.041816,91,181.717509
256.615276,106,183.40507
244.735477,100,185.191935
223.680016,99,186.797322
205.172098,87,190.30866
229.707558,97,192.066863
257.392255,105,193.739573
227.923956,94,195.424223
257.211478,103,197.039726
243.780945,100,198.836039
302.387927,116,200.676755
240.80969,113,202.713398
276.604234,110,204.478631
294.237321,117,206.570428
105.982283,57,207.489436
328.82025,122,209.59386
329.964344,123,211.548122
321.389305,120,213.653618
283.368622,110,215.401922
253.340909,107,217.355234
306.304179,117,219.288477
298.739539,116,223.299573
270.477386,111,225.100525
268.688363,117,227.154365
251.966939,106,228.80924
267.900566,112,230.834086
260.854932,114,232.651579
268.134772,114,234.663305
284.551763,119,236.539977
289.936549,117,238.595588
285.432227,117,240.516965
294.888599,115,242.793835
257.886175,111,244.568466
268.186243,114,246.566401
274.981731,112,248.345691
266.601744,109,250.152843
249.97201,109,251.974085
245.47126,108,253.887259
240.842622,107,257.677147
227.062645,102,259.503964
253.692628,104,261.138287
263.869996,106,263.033978
285.455899,111,264.831928
251.464,107,266.747969
278.298389,108,268.556781
275.595604,108,270.775767
245.451591,107,272.707555
243.446181,105,274.615219
279.010521,108,276.28746
243.641839,105,278.182655
292.28499,111,279.948765
269.330008,104,281.687051
267.406166,103,283.399907
292.937972,109,285.306839
308.771708,117,287.195915
293.479775,108,289.072873
291.047357,110,292.836133
284.043745,105,294.637808
266.555207,107,296.438988
346.305495,124,298.52145
308.883145,113,300.662429
356.235234,127,302.930315
365.120493,127,304.973246
158.922883,75,306.304117
163.921181,76,307.572416
357.157956,126,309.643402
379.138681,131,311.839061
221.871816,95,313.46484
222.585568,91,315.060722
383.75152,133,317.259569
174.999289,79,318.646494
360.222742,130,320.724778
391.428409,135,323.081422
328.465866,126,327.224729
347.339002,130,329.362611
343.438219,125,331.576703
333.953511,127,333.590934
366.729028,132,335.791967
333.20548,124,337.925611
325.768078,122,339.997227
380.494732,136,342.350538
351.624655,128,344.463299
372.84379,133,346.805323
386.219367,139,349.061044
378.610999,137,351.341112
358.019826,132,353.530853
378.776195,133,355.759861
379.209132,132,358.084527
384.968944,136,362.411665
377.383675,129,364.587202
362.64367,137,367.002474
381.327942,141,369.294655
379.488625,129,371.473842
382.37753,134,373.564687
367.012611,136,375.8293
356.522217,137,378.201699
389.097053,131,380.371547
356.333165,128,382.611271
363.778021,136,385.010365
350.764183,136,387.283849
343.087895,125,389.470619
348.960363,129,391.544281
350.050017,128,395.891284
338.836598,127,398.228161
366.382241,130,400.715328
320.636883,119,402.852692
351.933105,126,404.898137
379.861925,132,407.239492
365.978946,130,409.313774
364.1501,132,411.651538
356.273631,130,413.7882
360.477547,131,415.855922
176.84332,80,417.246083
167.430317,78,418.60539
351.175285,127,420.662997
175.270169,80,422.125908
194.217802,85,423.455792
337.852133,126,425.694533
174.080058,80,428.916558
164.07434,77,430.281415
301.098136,112,432.228176
165.912622,78,433.526877
315.053944,118,435.712501
172.105781,80,436.938891
301.638334,113,438.931156
327.272997,125,440.911054
348.011794,128,443.175607
344.143266,129,445.22773
333.393679,127,447.375302
344.114623,129,449.496597
348.86399,130,451.597378
358.98465,133,454.095413
348.651503,131,456.299957
337.584758,127,458.566588
356.439231,136,460.902938
365.324657,136,465.187788
349.579698,132,467.60482
330.287209,130,469.709357
357.131242,134,472.078616
345.820528,131,474.211832
351.533465,133,476.35946
371.36933,139,478.715605
359.864148,135,480.835925
370.518557,138,483.202346
367.915135,139,485.474542
369.656034,138,487.649104
383.850402,141,490.196568
367.956614,139,492.421188
382.151483,143,494.877456
401.479701,146,499.627562
379.141775,140,502.021523
410.909407,147,504.752858
402.970527,149,507.298633
434.270887,152,509.72496
443.465199,157,512.406962
427.760568,154,514.988783
397.413705,146,517.217762
417.041422,150,519.685086
396.191841,146,522.125047
419.690778,150,524.53193
421.14287,153,527.176315
235.740558,100,528.844764
218.78417,95,532.633379
216.463625,94,534.174564
231.241325,98,536.106514
424.098533,151,538.723143
416.78905,151,541.228297
431.640353,151,543.891769
411.432846,150,546.352136
425.190812,149,548.736552
398.388397,148,551.224826
411.122708,151,553.579617
423.54857,150,555.986508
428.866234,152,558.63121
410.63251,149,561.115444
405.537766,152,563.659695
416.771791,150,568.45345
418.225931,155,571.085935
395.835116,152,573.636772
406.987349,152,576.188279
409.057909,153,578.692663
416.542844,152,581.089766
400.891198,151,583.666811
395.713162,149,586.082131
384.05435,147,588.375373
416.128247,157,591.248365
429.023104,158,593.973825
422.131869,155,596.432467
400.466268,149,601.23383
404.311621,153,604.008976
404.894413,151,606.438726
395.474087,145,608.787377
406.357545,151,611.322847
388.872247,146,613.552812
409.455859,152,616.111236
414.759827,153,618.62744
387.449978,149,620.972094
354.355128,140,623.342188
381.91723,147,625.803151
372.926535,150,628.190587
376.145872,147,630.764234
354.494082,144,635.379797
351.245004,143,637.833064
360.573371,143,640.307362
379.220455,150,642.720082
344.780028,136,644.946233
374.929926,148,647.429322
330.486203,142,649.571616
58.87298,37,650.227738
349.089453,142,652.475018
65.595159,40,653.125567
44.671034,30,653.625401
47.338978,31,654.208674
49.942732,32,654.757397
55.368442,35,655.332111
53.782942,34,655.826319
357.459809,142,658.181675
44.134738,30,658.701546
66.146077,40,659.374829
390.780424,147,661.881118
423.585238,155,664.362105
415.709922,155,669.262364
415.825703,158,672.059277
282.922007,119,673.940573
386.247413,146,676.528346
307.767654,127,678.424791
354.302584,128,680.558984
343.76563,134,682.653422
