#{"t_start": 1736612677.5038216, "env_id": "CustomHopper-target-v0"}
r,l,t
11.86229,16,4613.989161
7.642514,10,4613.993944
21.121226,20,4614.005379
18.556714,19,4614.011541
10.028726,26,4614.026359
14.179904,20,4614.251688
16.295813,16,4614.522702
18.95709,35,4615.03898
109.998617,78,4616.170597
7.503135,10,4616.323812
9.626121,14,4616.541527
42.443765,36,4617.080673
31.277523,26,4619.729059
10.37038,13,4619.932167
78.307964,69,4620.963343
60.230741,52,4621.746775
15.255111,21,4622.044945
8.059859,12,4622.214592
4.951907,16,4622.451072
40.802917,42,4623.051685
97.9953,56,4623.838823
28.744347,30,4624.255787
46.74169,68,4625.181063
14.530709,35,4625.676821
19.424183,42,4626.250993
21.116171,45,4626.864536
6.770244,31,4627.28791
39.910565,51,4627.982261
107.594172,58,4628.762217
14.667005,15,4628.968242
8.708112,35,4629.437091
105.935387,80,4630.541961
98.220543,75,4631.71618
114.674683,93,4633.379492
21.223089,49,4634.225424
51.079652,31,4634.725632
79.35703,45,4635.392869
140.354876,69,4636.557888
107.933277,59,4637.635823
68.089306,42,4638.348052
207.733428,91,4639.74288
145.013133,71,4640.912975
199.36419,88,4642.383701
199.023271,92,4643.933243
63.08133,37,4644.656443
66.951604,40,4645.352407
196.96143,91,4646.837845
60.25739,36,4647.438945
193.242113,87,4649.034837
187.689581,85,4650.405475
183.274135,86,4654.13259
155.4221,78,4655.643275
185.041842,91,4657.078997
183.29081,86,4658.772483
187.36447,85,4660.159077
194.100858,88,4661.504518
189.958168,94,4663.14828
198.178446,95,4664.645346
199.999931,89,4666.161874
191.665005,95,4667.619793
181.13763,84,4669.030301
185.957423,86,4670.52666
138.388095,74,4671.628924
94.248776,53,4672.481599
184.389827,89,4674.056092
123.284642,70,4675.150188
191.15173,86,4676.644198
201.711801,104,4678.404864
190.454578,86,4679.822844
51.724496,38,4680.562544
139.57342,77,4681.843838
142.568419,77,4683.072534
198.148619,88,4684.71521
206.759485,98,4688.528914
201.78659,90,4690.171354
203.060568,90,4691.727858
209.2219,93,4693.206602
207.27161,91,4694.821384
207.510699,91,4696.212462
209.976765,92,4697.701099
217.204193,95,4699.26185
218.897334,95,4700.705169
222.954867,96,4702.335631
214.964857,93,4703.745792
215.770341,93,4705.369125
219.328658,95,4706.898701
214.481264,93,4708.339561
213.041027,93,4709.944918
220.570287,96,4711.486396
207.799764,91,4713.020569
210.469627,92,4714.592059
214.864853,94,4716.221098
214.637378,94,4717.889322
212.346554,92,4719.390789
217.612167,94,4723.30226
220.024274,96,4724.901553
215.983252,94,4726.551788
196.639401,88,4728.028428
218.751826,95,4729.499502
232.670094,95,4731.108814
237.139722,98,4732.570868
233.831083,97,4734.244545
252.418094,101,4735.774943
202.736684,90,4737.197678
219.550957,101,4738.924199
36.532971,25,4739.275721
285.602892,116,4741.080416
279.632752,108,4742.795582
277.928073,109,4744.633439
263.881493,105,4746.484466
259.673779,114,4748.404019
304.434091,114,4750.493019
280.533405,111,4752.304023
354.472168,159,4757.158403
233.598589,103,4759.012436
147.891916,92,4760.522367
260.180389,106,4762.373246
227.218757,104,4764.107855
392.573757,155,4766.770336
346.465163,145,4769.096314
202.508061,116,4771.137836
437.656905,245,4775.21376
364.344546,160,4777.803374
349.514889,154,4780.336883
334.300786,140,4782.796211
333.424769,151,4785.304754
394.638324,208,4788.739637
387.293928,161,4793.204027
339.243921,158,4796.026767
444.681829,171,4798.935027
380.424628,149,4801.290424
432.751554,169,4804.164943
414.544808,153,4806.815438
399.148112,152,4809.240756
359.274328,136,4811.499719
383.415146,146,4814.038686
415.694239,150,4816.48254
380.078407,145,4818.993377
379.17318,142,4821.232704
351.86627,133,4825.282916
389.910373,142,4827.755244
355.434637,134,4829.917838
340.663693,128,4832.172546
333.585764,129,4834.275905
363.52418,134,4836.496455
237.175353,95,4838.090549
330.625131,127,4840.185196
378.832545,143,4842.657532
228.324942,97,4844.269144
221.152097,91,4845.844307
8.576808,15,4846.12338
242.22517,97,4847.738723
340.663336,121,4849.786856
321.990443,126,4851.833924
117.436843,66,4852.900083
214.311349,106,4854.830279
312.340151,125,4857.142663
308.67553,131,4861.111714
295.577558,127,4863.334148
299.735231,112,4865.097177
314.85116,113,4867.096065
327.245522,118,4868.983993
322.996465,115,4871.005167
310.03736,113,4872.800091
332.939652,122,4874.959545
308.23937,113,4876.737258
324.879421,119,4878.810351
331.759914,119,4880.696698
332.020724,119,4882.854336
331.780548,121,4884.743711
326.356707,119,4886.914926
344.883937,125,4888.892194
335.779179,123,4891.053572
321.624831,120,4894.828687
338.054862,123,4896.968034
314.319648,116,4898.879536
323.807558,119,4900.875974
321.394549,118,4903.046833
330.505991,121,4905.346052
326.247354,120,4907.508896
340.220486,122,4909.490151
331.681809,121,4911.661431
323.674322,119,4913.548157
336.013111,122,4915.699187
335.266766,122,4917.669785
336.591923,122,4919.857906
313.571145,116,4921.82866
350.276302,125,4923.890542
353.925283,126,4928.052785
342.334678,124,4930.202453
349.150293,125,4932.437993
332.683106,122,4934.370826
326.077276,119,4936.481337
328.306137,121,4938.388263
330.541382,121,4940.492265
345.337081,124,4942.51973
18.821284,16,4942.827944
336.265882,122,4944.790876
328.61478,120,4946.899119
334.259047,121,4948.843707
323.306867,120,4950.970443
321.139102,119,4952.860866
337.595049,122,4954.98368
383.800541,131,4957.220213
354.047219,125,4959.437734
341.976887,124,4963.252288
359.47451,128,4965.458733
289.942386,112,4967.257264
361.785625,127,4969.418768
378.034451,130,4971.61502
357.858422,127,4973.675121
365.183906,129,4975.948876
349.230181,124,4977.935761
413.396551,140,4980.366855
398.242907,135,4982.552456
377.162743,133,4984.823735
418.901198,143,4987.196691
469.288704,157,4989.799106
479.230411,161,4992.53456
430.276543,147,4996.964299
449.712497,152,4999.456388
435.374925,146,5001.845392
478.46731,163,5004.654943
491.923594,159,5007.321982
486.195733,167,5010.02492
646.758927,216,5013.639125
565.513092,191,5016.86481
340.912779,138,5019.223695
314.381425,132,5021.354491
333.083808,129,5023.612668
300.810013,127,5025.655653
317.652038,131,5029.747151
189.100398,90,5031.186748
266.902919,124,5033.4336
272.605398,128,5035.555533
740.513407,250,5039.751735
350.5956,138,5041.984258
295.172009,126,5044.19236
542.274883,191,5047.371673
703.797389,232,5051.224005
633.076288,215,5054.865484
649.034491,215,5058.457482
500.710595,209,5063.753305
514.979996,166,5066.535823
561.053972,197,5069.911885
605.93093,205,5073.389616
611.786566,215,5076.995344
656.018957,214,5080.569415
538.738003,178,5083.525545
669.750808,220,5087.454857
529.11348,177,5090.424237
600.352819,194,5093.636792
501.476276,160,5098.238089
521.483744,170,5101.131239
536.162769,173,5103.936522
501.460437,180,5107.006296
482.321597,163,5109.708563
478.828415,158,5112.740207
544.255231,176,5115.798463
547.401352,190,5118.913406
452.11263,149,5121.440857
485.475397,172,5124.264463
101.547398,58,5125.177898
672.668281,259,5129.50274
488.512948,164,5134.32861
401.229148,133,5136.587768
526.680345,193,5139.716043
505.270995,162,5142.3329
421.381947,166,5145.235579
513.576735,190,5148.308916
456.685056,173,5151.10926
368.812385,164,5153.730757
550.584094,192,5156.93004
586.936556,203,5160.344347
527.761388,196,5163.656255
560.509929,213,5169.257184
606.544904,211,5172.762791
538.693081,202,5176.05205
525.79149,189,5179.018648
589.330319,202,5182.311867
385.673503,164,5185.040289
334.484364,139,5187.466774
521.732668,182,5190.367293
319.448467,137,5192.692176
704.13566,226,5196.578606
344.212687,137,5200.969751
592.98319,205,5204.471626
536.410941,187,5209.648035
604.559033,212,5214.486756
589.082373,198,5221.482091
583.346486,205,5225.909645
616.381585,204,5230.112161
350.288041,139,5232.75509
600.660857,199,5238.15933
593.541889,198,5241.568741
696.96486,217,5245.132425
703.993352,226,5248.945548
751.154173,233,5252.82426
346.767648,135,5254.990474
682.715418,230,5259.011532
365.328792,140,5261.313599
590.289461,187,5264.50481
524.81817,173,5269.332762
361.838921,140,5271.54713
584.649596,199,5274.80721
342.351527,137,5277.180583
364.311035,143,5279.481336
338.339517,136,5281.711083
660.241325,214,5285.336181
1022.387197,315,5290.431749
871.608112,273,5295.016565
497.072707,176,5297.858074
523.02312,206,5303.46688
590.606626,227,5307.886086
1111.303539,334,5313.808933
552.103078,215,5318.485766
633.297035,197,5324.569397
413.165317,144,5327.867484
1333.23641,500,5340.567304
392.760329,139,5343.578196
904.20427,280,5350.63828
406.867497,146,5354.674279
394.892866,141,5358.31985
357.784091,133,5362.082596
423.735724,153,5367.161536
394.740389,142,5372.447382
269.329626,119,5376.064936
312.674427,123,5378.685733
348.456447,135,5381.278566
352.077104,136,5383.387969
400.198907,141,5385.80458
440.66907,157,5388.220394
321.828832,126,5390.269017
406.545591,153,5392.700354
549.454153,178,5395.564986
163.623748,85,5396.924519
573.495802,178,5399.8039
366.746662,139,5402.023596
551.413768,175,5406.819532
581.512697,200,5410.046729
827.183034,269,5414.386899
804.359719,248,5418.318587
443.390257,153,5420.762096
1202.778142,375,5426.775275
557.8167,200,5430.008998
630.599474,206,5433.323797
696.242285,242,5437.168757
625.737623,217,5442.630635
527.452525,181,5445.604018
564.762177,194,5448.685389
444.68175,161,5451.256677
538.510609,188,5454.322543
576.79093,193,5457.558826
507.510636,179,5460.363712
636.492944,220,5463.8781
484.309441,164,5466.491975
167.162374,79,5467.896354
602.737635,199,5471.217948
638.594203,220,5476.802403
664.35956,223,5480.415732
634.860898,208,5483.811935
931.640459,274,5488.207179
730.665836,224,5491.812699
730.664758,227,5495.424565
460.132325,156,5497.895466
692.614597,213,5501.399176
581.926276,187,5504.613286
758.547584,226,5510.571433
510.509879,165,5513.563979
897.944307,265,5517.90659
799.736895,254,5521.820375
628.309934,218,5525.167931
703.437327,229,5528.860989
701.341969,213,5532.433293
433.841578,150,5534.841634
780.885483,237,5538.739533
458.810492,157,5543.380694
976.481583,300,5548.368939
873.209511,263,5552.663197
732.871127,257,5556.619205
531.225281,171,5559.267994
463.526694,156,5561.784576
651.947843,213,5565.187839
707.692504,212,5568.574279
1157.975117,327,5573.854354
613.759436,226,5579.726872
721.239031,220,5583.443146
1117.567546,319,5588.560741
675.855251,214,5592.07837
612.890117,201,5595.241173
477.628741,160,5597.69211
611.519211,203,5600.839435
610.396151,201,5604.08596
657.965048,199,5607.293245
992.496444,292,5614.23617
436.183175,147,5616.769182
587.27099,201,5620.143381
432.271932,149,5623.003189
601.363504,204,5626.469362
454.044271,152,5628.833223
416.799986,145,5631.856304
409.518063,142,5634.511036
946.434267,269,5638.827034
965.365887,285,5643.422847
406.284825,144,5647.859599
413.548794,147,5650.319854
419.803285,147,5652.808715
426.696481,151,5655.277668
514.138976,168,5658.006778
537.29456,177,5660.869056
1542.664997,500,5668.63864
543.590254,177,5671.512587
637.505864,198,5674.82052
445.607658,154,5677.444504
380.3499,138,5681.747521
1526.082472,500,5689.924567
588.885526,187,5692.827755
535.984072,176,5695.579101
613.028588,194,5698.69931
606.750189,191,5701.791727
638.785457,201,5705.055191
633.46972,197,5708.255136
680.988554,216,5711.697773
996.541079,291,5718.69337
1163.624327,344,5724.421372
739.390152,225,5728.482354
807.810003,236,5732.674552
773.168689,231,5737.443417
656.794339,215,5741.135936
733.201286,219,5744.825225
728.566155,222,5750.763473
838.427283,244,5754.788339
1099.11627,305,5759.73307
598.352859,199,5762.843014
876.694592,252,5766.803812
796.72258,231,5770.478385
780.425998,231,5774.205351
1573.411891,500,5784.635288
891.310998,255,5788.881231
667.572615,200,5792.052509
749.706338,221,5795.51963
725.757686,215,5798.858775
867.853269,253,5803.205794
1190.514005,339,5809.156276
635.366717,201,5813.334361
871.015497,250,5819.835406
824.747688,237,5823.713323
704.731399,214,5827.113911
699.194897,216,5830.494115
1073.516574,378,5836.569788
575.504844,203,5839.819545
973.2254,275,5844.444775
774.276436,226,5848.363322
981.681646,279,5855.281384
891.277315,254,5859.467032
951.870765,322,5864.523865
1002.853455,300,5869.29133
580.711726,223,5872.868325
1356.675735,386,5879.149076
1343.337287,408,5888.231767
873.227293,326,5893.660137
807.219444,292,5898.264052
887.142262,320,5903.310988
1366.099063,403,5909.865349
1443.434875,446,5917.507409
847.402271,294,5924.80773
756.219287,274,5929.256948
1319.559935,500,5937.099748
930.345314,320,5942.308381
1151.083361,369,5948.510724
795.814573,282,5953.289949
942.642041,341,5961.248563
1202.821974,373,5967.195244
1232.828007,395,5973.781113
891.396552,320,5978.96382
880.140819,299,5984.028865
715.962289,257,5990.712598
671.418702,219,5994.59785
1133.530126,336,5999.943646
708.105378,251,6003.896075
759.165635,265,6008.204869
991.593246,295,6012.953107
1484.230006,427,6020.318453
1191.564263,347,6028.384727
853.42472,250,6032.610339
1017.730838,293,6037.850207
1228.933123,363,6043.877308
1171.401002,345,6049.807437
1226.286725,364,6055.795524
1519.872801,448,6065.054114
794.238552,250,6069.22878
1196.355024,347,6074.977683
