#{"t_start": 1735808494.083697, "env_id": "CustomHopper-source-v0"}
r,l,t
19.133605,20,0.380834
20.261339,19,0.387904
8.826005,11,0.392173
30.501528,30,0.403025
26.442361,24,0.471968
10.877382,24,0.805044
20.597277,19,1.057102
13.077342,14,1.266696
4.180077,8,1.385521
17.370858,19,1.628922
8.690323,11,1.772661
8.14538,11,1.917033
8.26332,11,2.067555
10.939689,14,2.260811
12.879186,15,2.471394
69.729655,46,3.119488
13.588841,14,3.302095
5.85528,11,3.444713
43.066592,32,3.86526
22.90529,19,4.131312
6.891414,11,4.287801
7.961176,18,4.526582
6.134953,12,4.688264
6.904802,9,4.815418
11.726964,15,5.034593
8.725379,15,5.237687
3.491332,10,5.378659
105.098573,55,6.14208
39.765565,32,6.599221
10.774145,17,6.876894
119.059172,64,7.832448
22.729185,26,8.174955
13.449537,16,8.382846
9.033095,19,8.632634
134.20586,66,11.696719
89.408414,48,12.400243
7.696766,37,12.92081
28.069607,55,13.670341
100.41648,66,14.567487
301.327441,184,17.236133
135.483749,72,18.274558
220.338553,108,19.793355
65.131569,37,20.284195
108.64624,58,21.045484
146.427256,77,22.148106
167.10207,81,23.247772
87.19313,49,23.883557
176.901026,94,25.145339
66.881678,39,25.694531
76.827259,42,26.32417
63.345263,35,26.796093
67.212666,37,27.283481
202.656242,94,28.684481
227.162484,104,30.292235
211.191281,94,31.678362
216.702784,93,33.042307
53.40556,31,33.503075
178.170114,85,34.753662
190.266412,88,36.049624
213.539353,93,37.417407
185.952903,87,38.768852
192.072395,87,40.077778
196.713818,85,41.304215
181.708766,82,42.516454
192.528698,84,46.05251
197.825884,86,47.343051
184.127645,82,48.520814
183.623226,82,49.699322
184.644771,82,50.98366
188.540092,83,52.206848
184.305067,84,53.441193
182.374274,83,54.652767
188.373454,83,55.925297
182.088983,87,57.206895
178.593507,83,58.384257
184.198802,82,59.568208
175.112223,80,60.786848
159.848868,79,61.93021
186.407389,82,63.131187
177.661739,82,64.299185
178.882812,82,65.574432
178.737766,83,66.838757
177.367358,80,68.030645
172.691352,80,69.232608
168.95923,79,70.509065
183.660254,86,71.912186
