#{"t_start": 1735808494.0946808, "env_id": "CustomHopper-target-v0"}
r,l,t
8.988068,12,1695.778341
31.75934,40,1695.809237
10.785522,13,1695.814736
17.413961,24,1695.827
10.548905,16,1695.891987
20.285697,30,1696.323767
22.336696,24,1696.71457
10.078654,12,1696.938164
8.631309,12,1697.16603
37.983673,35,1697.710803
10.300329,13,1697.920674
5.869862,11,1698.09812
13.087597,24,1698.565241
7.696566,14,1698.805781
6.974579,11,1698.984241
7.63229,18,1699.239363
23.238172,37,1699.745943
8.406705,16,1699.95973
15.875707,21,1700.244436
16.497027,36,1700.731018
8.570086,29,1701.168555
26.956089,34,1701.700267
23.186334,33,1702.108174
9.57084,14,1702.2836
4.079386,20,1702.531015
8.87085,30,1702.905886
87.897559,68,1703.74857
5.938053,25,1704.056348
68.559702,46,1704.647871
7.217582,36,1705.078648
44.631461,69,1705.933901
42.29719,66,1706.905144
120.288257,71,1707.926495
100.699693,72,1708.927332
152.698212,147,1711.010212
103.9602,57,1711.88906
121.980693,102,1713.292955
80.507642,47,1713.905601
92.982541,58,1714.817472
23.403857,53,1715.640472
119.145552,67,1716.685451
75.002396,44,1717.339687
91.785278,67,1718.489512
108.133086,68,1719.824706
95.679695,55,1720.887539
82.02938,47,1721.763258
161.113457,91,1725.384305
109.841802,61,1726.30452
238.068609,125,1728.478027
173.417378,85,1730.021437
107.650675,60,1731.050942
123.397382,67,1732.224192
195.691828,103,1734.011572
158.505844,87,1735.306446
228.817903,108,1736.925392
201.884857,107,1738.431632
169.467134,97,1739.947592
258.531197,126,1741.708259
269.054842,138,1743.720163
243.293821,119,1745.474252
261.677372,131,1747.433144
241.779785,124,1749.278909
258.885875,130,1751.21441
238.507817,114,1752.98912
245.028808,125,1754.986394
250.712078,124,1757.087505
242.252799,119,1761.228938
261.536996,135,1763.422642
248.574176,129,1765.413764
241.362591,122,1767.470115
239.687835,120,1769.51789
261.313642,136,1771.790536
265.385774,139,1774.238243
270.419989,140,1776.64383
255.051884,128,1778.819831
270.985919,142,1780.884302
270.748803,140,1783.139019
261.675884,135,1785.29937
267.086183,135,1787.342135
293.967706,155,1789.76621
276.37241,145,1794.626037
293.347514,146,1797.35598
269.80883,119,1799.472322
303.027977,151,1802.044859
289.301444,128,1804.083969
280.480173,125,1805.933228
257.556904,113,1807.620204
271.406519,133,1809.611455
251.303572,113,1811.4102
285.34816,140,1813.424044
251.979586,120,1815.246443
276.011525,136,1817.093409
284.081525,126,1819.007601
274.78167,131,1820.971197
292.229003,146,1823.144589
292.979889,142,1825.266995
