#{"t_start": 1735816556.419185, "env_id": "CustomHopper-source-v0"}
r,l,t
25.862118,25,0.356742
103.818061,53,0.38703
-1.304649,16,0.396581
92.753632,43,0.884139
191.334604,76,1.892492
13.681079,16,2.101924
8.084756,15,2.296443
6.060754,10,4.615313
1.144207,13,4.784956
57.36306,26,5.120747
17.951977,20,5.384438
5.084873,11,5.530044
46.217936,21,5.811036
83.314367,52,6.491727
15.555009,33,6.919279
132.971419,57,7.642697
90.544558,43,8.220444
2.745179,22,8.512159
40.633088,19,8.752064
3.312869,27,9.115949
113.215379,55,9.827015
57.705185,26,10.152806
161.612902,83,11.211965
47.497264,23,11.518592
65.655061,30,11.925866
48.989875,22,12.207401
41.222952,19,12.471337
38.621637,21,12.749432
84.242674,36,13.256147
55.623992,25,13.618662
54.585076,25,13.953568
126.708638,60,14.830973
86.922537,42,15.397863
196.405567,85,16.529523
219.19034,93,17.797392
85.686995,39,18.310906
240.787184,96,19.583663
175.350113,80,20.618825
195.894676,79,21.669204
229.049899,109,23.139217
241.024061,99,24.507342
228.544858,92,26.133214
235.536391,116,28.242146
207.587875,85,29.495172
232.560561,110,31.295064
227.412042,91,32.718609
231.203117,97,34.166575
180.332019,81,35.431084
247.351177,110,39.320667
234.834809,94,40.754415
214.665556,104,42.369549
233.781876,91,43.779768
251.05942,99,45.310645
223.823061,93,46.746587
234.280845,94,48.15158
246.867193,103,49.717835
236.274461,98,51.227969
254.150899,96,52.7076
250.459795,97,54.296206
247.205742,94,55.758836
241.635648,92,57.259474
265.654812,111,58.850657
260.941346,103,60.411941
272.895229,116,62.181994
258.802099,103,63.767527
243.231916,93,65.216882
245.72595,101,66.76123
244.740237,98,68.258092
243.246135,96,69.714283
239.182423,94,71.21623
240.48299,97,74.948991
228.690182,94,76.411843
235.033817,93,77.866085
262.046231,109,79.54697
261.441728,101,81.083666
249.635869,98,82.561681
233.727555,94,84.005741
239.78898,96,85.457494
255.326785,102,87.000275
241.405184,93,88.404949
275.96712,113,90.125183
258.518092,105,91.733742
241.072523,94,93.180567
265.52498,115,94.936769
263.815224,108,96.626637
260.851997,107,98.241973
250.464206,96,99.710576
257.025933,103,101.285835
262.849868,113,103.089222
253.612367,103,104.666796
253.851129,111,108.609045
261.82879,109,110.296851
232.529172,103,111.931574
242.166336,90,113.361948
255.294056,101,114.958746
263.635527,111,116.686381
272.481448,120,118.493553
263.215335,113,120.162919
247.649351,107,121.732533
267.219208,120,123.50788
243.365957,100,125.062099
267.989719,125,126.952725
223.630888,95,128.395255
257.242576,106,130.027315
256.514611,105,131.666542
254.363573,104,133.314814
246.667101,98,134.84168
288.586683,125,136.822315
236.593633,99,138.47442
250.385005,105,140.132141
258.222248,103,143.97974
258.602894,104,145.611628
243.830038,94,147.095308
244.561677,100,148.665762
257.324544,111,150.398268
269.795272,113,152.10814
265.866794,113,153.923213
283.312758,115,155.695471
262.368911,105,157.335916
260.11119,103,158.9317
267.735824,106,160.531102
287.497642,118,162.290128
266.743928,109,163.954724
275.7608,112,165.641873
302.191004,132,167.626616
275.041463,106,169.259488
278.201595,115,171.028059
255.334923,104,172.610175
274.0225,110,174.338885
292.650846,121,178.361111
267.776885,109,180.113455
251.736132,113,181.96331
282.693354,113,183.72298
275.033837,111,185.442076
257.295609,104,187.029941
244.412961,98,188.500781
250.776331,105,190.100002
274.184426,111,191.796842
270.458619,108,193.499616
271.944763,112,195.186052
245.032298,93,196.592636
268.782348,111,198.213511
284.158879,117,199.978376
240.629725,100,201.518396
224.467003,101,203.089635
245.195141,97,204.585463
262.957863,105,206.168608
248.658246,104,207.792693
255.285811,101,211.584333
245.721484,103,213.237511
256.151416,101,214.873428
215.483701,105,216.593961
201.474948,97,218.113156
209.28321,112,219.848706
209.781753,102,221.397794
386.160623,283,225.776396
203.205118,102,227.285475
202.521539,113,228.989291
201.107878,110,230.638894
216.429228,121,232.451399
205.831667,108,234.073137
204.570995,104,235.770202
212.939077,110,237.611989
227.087686,106,239.260305
265.218879,118,241.00535
235.709294,100,242.565185
191.2606,101,246.429635
229.209152,111,248.236639
206.060622,104,249.946852
215.759073,113,251.787135
231.093268,123,253.705318
263.981905,111,255.448509
319.935288,168,258.060485
297.295057,124,259.959997
322.624125,157,262.361777
318.306617,143,264.519104
305.431576,131,266.524607
325.304785,154,268.86597
307.195126,129,270.806959
314.399373,130,272.781725
294.927804,116,274.5728
305.271583,119,276.387277
302.325554,121,280.477934
274.578707,108,282.31398
286.25242,113,284.125137
289.572272,117,286.048204
298.523245,114,287.910151
267.961377,118,289.62801
284.849439,111,291.206976
288.75041,116,292.953208
271.346733,111,294.623939
271.061485,110,296.228521
274.501314,110,297.884691
242.882221,99,299.416786
250.897969,105,301.023687
258.0959,103,302.576404
264.2446,106,304.201221
255.218689,104,305.818511
239.758515,97,307.331182
251.493306,102,308.922684
249.03264,105,310.586735
262.663623,111,312.354063
270.467014,110,316.574265
253.430549,103,318.247553
279.430157,127,320.207068
272.470168,116,321.982328
273.188919,110,323.631672
275.940688,112,325.279801
242.733173,94,326.668113
232.16521,91,328.018597
254.70513,102,329.541413
272.471101,107,331.109231
267.09485,105,332.645756
261.316841,105,334.205081
264.014457,105,335.752186
246.682183,99,337.190209
281.665013,112,338.880249
287.057042,120,340.762481
291.085816,126,342.771363
258.382993,105,344.440683
352.665646,210,350.031957
266.081865,103,351.742138
271.95844,108,353.43993
284.758751,114,355.354867
261.296382,100,356.99246
268.204583,109,358.541806
314.716486,124,360.303764
268.471913,109,361.906369
282.076516,112,363.585665
305.313182,137,365.620101
266.475339,108,367.268061
264.868433,104,368.824295
257.344678,104,370.408784
284.33354,116,372.219057
268.863039,108,373.859701
263.228466,109,375.519657
278.409675,110,377.250226
280.818966,111,378.984144
265.566926,109,380.665001
262.400774,102,384.65574
271.449066,108,386.450145
283.18303,126,388.597876
265.517444,106,390.219429
270.295845,105,391.802836
283.047612,125,393.637984
291.937057,122,395.427072
276.846933,113,397.091843
266.854018,104,398.606776
274.600829,108,400.208868
302.071425,142,402.266664
276.942478,118,404.021718
260.634539,108,405.647672
427.683563,262,409.633098
266.93236,101,411.180334
270.863482,110,412.871893
253.489302,103,414.464375
266.550651,103,416.107186
271.635138,99,420.027725
270.21893,108,421.777831
272.08531,108,423.406712
260.573964,105,425.017103
263.596469,106,426.676176
249.223833,103,428.144847
292.176381,126,429.990695
283.756634,104,431.535154
265.317933,107,433.14807
244.331686,99,434.625417
288.580393,110,436.322291
268.305079,111,437.997087
290.298315,118,439.78634
253.479017,108,441.401966
286.702952,117,443.197657
291.372296,124,445.142442
279.486741,116,447.021572
325.69541,151,449.339366
318.554396,143,454.022576
250.083239,106,455.986319
254.017687,102,457.908488
295.136419,126,459.797682
266.986329,105,461.38272
276.479249,114,463.111972
320.400825,132,465.059068
288.044369,120,466.83969
296.797239,119,468.634988
315.384318,124,470.508454
302.783968,124,472.356795
294.115442,114,474.018192
270.140215,105,475.58068
284.818784,120,477.408055
353.941311,186,480.314476
307.714769,123,482.155492
315.376957,133,484.22594
281.632105,115,488.516675
319.530873,137,490.693341
313.022504,124,492.597715
532.598161,374,498.295472
298.340584,123,500.084267
282.470277,110,501.731459
288.62857,111,503.390764
325.522169,135,505.405019
296.683697,111,507.080505
304.454678,124,508.965839
324.772033,126,510.871616
322.047544,123,512.777516
325.842236,127,514.764582
291.418691,116,516.553251
304.012405,129,518.545472
314.586231,122,522.868397
303.612075,120,524.844091
294.338218,119,526.702437
281.914971,111,528.422241
295.210015,113,530.083973
309.441199,118,531.808615
299.879571,118,533.631236
297.80333,113,535.299243
182.692424,76,536.438099
300.763964,115,538.26152
303.463446,125,540.136957
306.973198,117,541.994039
310.692103,118,543.689703
314.216124,125,545.580324
291.443847,112,547.302848
