#{"t_start": 1735816556.4277682, "env_id": "CustomHopper-target-v0"}
r,l,t
2.51463,13,2264.012896
-1.436562,14,2264.029762
-1.8191,9,2264.049864
2.258972,12,2264.065943
122.081196,82,2264.522628
14.482225,26,2264.853694
2.697015,14,2266.474058
28.134377,38,2267.046971
1.714395,10,2267.205774
4.353691,18,2267.494438
69.347209,35,2267.986677
161.091688,79,2269.194865
2.522496,9,2269.319731
-4.404379,17,2269.555193
61.101174,28,2269.981738
77.920992,36,2270.501949
60.710367,25,2270.888121
48.959286,22,2271.210623
75.556136,35,2271.69715
12.927437,20,2271.946284
18.837216,32,2272.370711
13.937551,13,2272.543716
87.880817,45,2273.126045
96.463826,58,2273.860594
64.826168,30,2274.246967
118.059271,58,2275.004224
48.515985,21,2275.268267
84.493948,44,2275.835092
107.384946,47,2276.482507
51.158736,21,2276.746778
81.746526,36,2277.26774
52.02168,21,2277.563734
70.02007,31,2277.981173
63.781836,31,2278.411652
56.444035,25,2278.752061
53.972637,24,2279.079571
61.536755,27,2279.447371
207.371726,93,2280.644436
66.954077,28,2280.998986
166.684295,69,2281.940293
62.318357,27,2282.301877
52.508972,21,2282.575908
84.390855,38,2283.066726
214.146067,94,2284.416959
63.879298,27,2284.858768
266.541942,114,2286.742895
172.630576,75,2287.910887
45.744485,18,2288.195862
225.291928,98,2289.765566
205.368816,97,2291.267981
193.408206,85,2292.601835
221.27274,120,2294.467374
271.254675,101,2296.222261
201.714877,79,2297.478978
250.453564,115,2300.795844
215.45585,100,2302.418847
302.10305,123,2304.437068
295.884552,145,2306.591552
309.389755,134,2308.577811
174.3458,73,2309.671345
324.638829,142,2311.876236
271.791374,113,2313.639828
291.134569,121,2315.442645
310.282868,124,2317.339581
295.792702,117,2319.208783
314.306344,133,2321.301625
296.413073,124,2323.239388
316.181378,134,2325.340178
368.263236,157,2327.837703
312.48587,133,2329.920815
276.146118,119,2331.821976
308.050901,130,2335.411053
350.765585,154,2337.928009
381.731762,175,2340.719279
304.976003,122,2342.565639
295.667133,122,2344.537032
286.003348,115,2346.331985
267.679121,105,2347.84469
319.701804,135,2349.856807
310.993233,134,2351.949101
303.60757,123,2353.976285
364.368842,145,2356.21119
300.667674,112,2357.904454
280.337284,110,2359.60721
274.725834,104,2361.359604
293.485525,116,2363.23779
276.221649,106,2364.872788
309.399535,126,2368.386931
308.229206,127,2370.454914
290.35602,116,2372.297936
309.421022,123,2374.127606
306.81592,137,2376.145945
312.549142,133,2378.196301
275.55445,106,2379.875198
123.050946,68,2380.898573
309.129069,123,2382.746061
285.55894,107,2384.406321
293.543123,114,2386.260607
283.593295,115,2388.109799
281.655254,110,2389.736959
252.630419,114,2391.529946
311.214446,143,2393.856091
417.452403,197,2397.018326
288.646524,120,2398.952843
335.52439,147,2402.926604
268.785107,112,2404.749629
288.845152,113,2406.468265
255.068096,100,2407.974644
302.626783,137,2410.047214
283.490229,114,2411.7641
298.905385,120,2413.673508
311.185903,139,2415.763226
309.854231,138,2417.79615
297.511623,129,2419.856246
297.91926,108,2421.609623
301.489285,119,2423.416726
333.157964,125,2425.264622
308.8314,123,2427.259108
270.768575,103,2428.95084
282.227836,120,2430.809071
313.450628,121,2432.762513
263.269581,104,2436.047604
290.195873,111,2437.834079
266.116784,101,2439.459255
299.645143,119,2441.249489
267.242345,105,2442.798107
274.96461,108,2444.418173
273.144494,109,2446.09339
326.779729,121,2447.99322
287.783348,109,2449.639169
295.288926,116,2451.398955
267.439869,103,2453.090589
347.936685,125,2455.160099
59.440481,31,2455.697554
789.544027,351,2461.239625
195.198501,76,2462.400055
194.225891,78,2463.622833
247.14289,98,2465.114853
211.133765,88,2466.605122
203.499031,79,2469.527954
281.106537,108,2471.291159
278.564495,101,2472.943828
325.510165,119,2474.751717
303.036449,115,2476.498975
265.417973,99,2478.041646
276.359452,107,2479.778567
318.162324,118,2481.645028
263.71002,98,2483.157759
274.679241,106,2484.77644
256.014841,99,2486.362876
206.801372,81,2487.653837
302.077159,110,2489.360962
248.592112,96,2490.795006
343.693387,133,2492.821511
285.83321,107,2494.558097
326.270741,123,2496.590931
326.868087,117,2498.350143
254.630093,102,2499.879148
264.677001,98,2501.436906
307.009831,115,2504.857167
343.237703,148,2507.197594
430.06173,146,2509.365919
308.477906,110,2511.210633
230.881171,107,2513.08327
268.024579,107,2514.835201
338.092328,153,2517.044478
298.225268,139,2519.177844
249.050929,95,2520.722588
267.501785,106,2522.445754
281.279265,107,2524.055031
337.312983,141,2526.164166
217.621552,97,2527.727227
291.00073,134,2529.903888
323.779934,132,2531.915884
262.268596,103,2533.425994
276.282369,102,2535.03032
449.939349,245,2540.536671
368.810354,156,2542.959105
332.393046,123,2544.8054
334.958623,143,2547.133578
237.573146,95,2548.632282
322.965508,140,2550.725524
276.825431,115,2552.596036
326.197295,125,2554.739587
399.390957,157,2557.183286
340.154042,130,2559.12878
317.673143,127,2561.139312
333.813612,136,2563.524457
302.029148,114,2565.344029
436.165824,166,2567.930863
305.331519,123,2571.517769
277.842423,96,2573.159767
200.784229,90,2574.839904
271.561371,94,2576.26926
464.036175,199,2579.24505
532.836405,236,2582.994754
301.22813,123,2584.838804
291.956358,129,2586.866194
248.540551,96,2588.407317
417.735423,218,2591.712538
316.56618,124,2593.591269
377.954545,178,2596.442607
315.121672,120,2598.332125
378.723589,159,2600.716097
289.142445,117,2602.656996
342.625278,128,2606.338727
316.869086,112,2608.066423
360.856037,130,2610.002641
331.751699,137,2612.070906
299.968787,140,2614.349643
356.904698,133,2616.443072
333.078058,127,2618.335321
276.382708,127,2620.354499
282.434865,120,2622.310885
285.965302,125,2624.246651
245.271793,109,2625.901139
245.044779,99,2627.445287
208.130714,76,2628.687823
238.307282,97,2630.266768
282.636875,143,2632.485315
143.902325,60,2633.402063
260.830193,104,2634.990342
249.420918,86,2636.391862
245.343169,123,2639.979374
266.630145,109,2641.85277
245.309804,104,2643.428942
252.945273,113,2645.119681
325.358878,138,2647.37621
235.508361,96,2648.914172
227.491364,94,2650.302381
239.429381,98,2651.757706
329.579631,133,2653.803351
344.36271,169,2656.576869
342.669707,137,2658.633968
266.341828,109,2660.247348
287.016292,126,2662.324421
354.160087,179,2665.189999
324.114417,136,2667.203141
398.314376,186,2670.088728
293.635806,141,2673.966173
342.594251,161,2676.371258
396.846867,191,2679.262475
340.054622,172,2682.066465
351.478792,144,2684.21974
341.69627,156,2686.588166
322.080346,141,2688.789962
383.114169,174,2691.552614
145.249138,77,2692.751055
347.157242,152,2695.066355
589.007233,322,2700.257424
388.286394,178,2703.067248
135.913285,79,2704.369885
263.688969,110,2707.833335
399.556901,197,2710.774996
367.577115,155,2713.111312
410.054504,203,2716.443887
316.063527,141,2718.569411
430.13658,250,2722.498827
308.994366,144,2724.738628
277.568585,112,2726.50237
328.271511,171,2729.173392
471.691819,197,2732.477264
326.250238,145,2734.546649
441.984038,248,2740.104509
386.226464,193,2743.117225
292.099355,110,2744.766706
385.788251,178,2747.480602
260.396932,112,2749.332482
364.39241,168,2751.842909
352.279966,157,2754.301664
348.115768,162,2757.032963
401.324621,193,2760.03354
554.806063,294,2764.613941
299.707844,123,2766.533834
288.904208,115,2768.285215
344.623908,170,2771.074441
319.954678,116,2774.561205
296.207683,123,2776.472846
389.84239,138,2778.534883
462.825011,176,2781.255494
414.888283,148,2783.680865
478.796658,171,2786.280443
99.951971,67,2787.256931
507.255515,199,2790.45327
117.925089,65,2791.490275
447.079094,174,2794.097583
637.15541,278,2798.541317
549.345845,259,2802.447898
890.265647,431,2810.869693
735.517728,268,2815.04611
625.10613,216,2818.431214
657.189803,232,2821.987973
666.273387,307,2826.81268
793.141274,238,2830.510515
248.874498,142,2832.807827
1279.709781,461,2841.558515
908.767913,341,2846.811881
1051.782095,500,2854.636001
813.664446,362,2860.428508
1009.267942,500,2868.311539
737.585737,269,2872.79608
618.392706,257,2878.387387
516.660519,210,2881.570287
697.956706,230,2885.224891
589.035859,194,2888.12008
434.244085,154,2890.570114
727.621487,272,2894.798929
705.07935,260,2898.952308
557.368025,210,2902.202394
971.077933,380,2909.893917
1048.023342,456,2916.719527
741.390697,291,2921.229549
1054.526548,375,2927.080903
980.403753,390,2933.176924
733.373532,247,2937.050261
558.217497,170,2939.698343
930.08459,393,2948.060449
1137.610728,500,2955.586528
627.246994,203,2958.687095
1361.564723,440,2965.670952
622.581152,201,2968.825783
1052.259305,310,2973.642252
1094.635879,385,2981.387605
813.269768,333,2986.651144
730.929782,295,2990.983184
616.79097,178,2993.665487
537.486641,152,2995.946621
1113.113509,500,3003.622292
914.964508,424,3012.513732
300.351803,130,3014.676461
444.11428,192,3017.733572
647.44223,248,3021.495598
629.318875,191,3024.424934
660.804214,214,3027.626201
844.527699,249,3031.2969
1252.321142,491,3038.8013
290.841976,124,3040.74737
1369.997834,483,3050.569927
595.193961,211,3053.949
1131.197824,460,3061.235011
1062.670382,371,3066.647735
790.29693,262,3070.638366
766.855763,275,3074.988517
888.233682,289,3081.537864
888.562248,312,3086.612352
780.392721,271,3090.665014
709.177815,244,3094.296607
478.215205,149,3096.513105
545.54252,151,3098.780262
959.35099,382,3104.520322
579.430147,210,3107.889645
781.744561,245,3111.793103
885.853971,500,3122.173343
597.514537,207,3125.274381
700.969912,233,3128.749532
678.762837,264,3132.614831
368.280684,176,3135.226706
330.492716,162,3137.703349
636.847208,254,3141.730125
1008.405491,329,3149.083197
493.902981,224,3152.722598
375.121934,175,3155.586141
1040.263493,437,3162.332906
719.834553,225,3165.681323
456.565518,218,3169.046935
569.651875,197,3172.027512
468.595664,206,3175.367541
315.43489,162,3178.023988
305.84405,123,3179.850955
1184.560497,401,3188.269873
1077.021487,353,3193.59665
1213.255344,414,3199.938225
819.349101,320,3204.793877
937.306718,328,3209.947847
987.774508,383,3218.284389
1130.448816,500,3226.185838
538.530249,180,3228.926839
1223.376023,479,3236.149621
729.354853,304,3240.852547
1114.531181,433,3252.381398
898.70161,376,3259.382629
887.074597,275,3263.831261
1093.65926,399,3269.80509
221.261893,116,3271.589006
1492.793596,489,3279.154512
670.432872,304,3283.941746
810.994836,222,3289.566203
903.545733,362,3295.265539
508.061428,207,3298.553361
491.872924,187,3301.45988
668.045301,233,3305.41448
1393.889451,500,3313.568123
981.054276,313,3318.488243
546.607843,163,3322.751053
745.640316,249,3326.706624
539.142638,227,3330.48257
815.836965,247,3334.36908
409.32204,172,3336.974055
1111.256422,366,3342.646364
481.09565,161,3345.179686
812.129015,238,3348.902508
1043.984715,350,3356.402898
919.003051,260,3360.61976
932.735334,274,3364.820021
754.961918,219,3368.242901
703.477152,218,3371.671611
1550.400836,500,3379.4749
922.520848,260,3383.621144
657.366592,250,3389.531538
506.483914,185,3392.374339
1193.067105,423,3398.941183
1521.74494,486,3406.494344
553.217,191,3409.544851
309.92416,129,3411.535834
387.86554,167,3414.181036
757.39049,221,3417.726558
841.416943,282,3424.141735
818.829104,255,3428.163731
487.742508,162,3430.705706
661.593556,227,3434.246855
446.244085,173,3437.002479
1062.206551,341,3442.321055
959.329717,283,3447.242675
849.510044,269,3451.429957
926.893955,293,3458.024502
951.693427,335,3463.366578
857.489483,289,3467.939639
1382.405452,390,3474.336515
530.812416,170,3476.996103
1264.455428,389,3483.081123
730.486317,226,3486.641541
1333.78841,373,3494.482452
1149.886915,378,3500.464922
1181.448276,361,3506.226718
770.051576,232,3509.896461
946.798215,301,3514.631976
690.188717,229,3518.274272
606.496479,188,3521.24996
819.439656,235,3526.96863
606.104711,231,3530.650051
1378.933434,368,3536.551788
1319.83206,374,3542.624292
855.881338,259,3547.038719
964.291514,285,3551.534276
700.86222,253,3555.483911
1201.530582,363,3563.224079
917.649207,329,3568.479742
711.04417,248,3572.355289
604.872937,210,3575.701072
603.551183,213,3579.049432
1240.3744,438,3586.161604
644.122097,232,3589.868402
1038.64411,366,3597.785176
1026.038013,343,3603.284232
789.122764,281,3607.786651
645.728813,256,3611.856209
1559.905066,500,3619.91606
575.466666,212,3623.256265
987.953348,345,3631.012211
870.846052,263,3635.391867
520.403091,183,3638.358505
938.566429,333,3643.621096
506.721054,182,3646.494979
895.663202,311,3651.417611
701.538892,245,3655.384386
634.801253,240,3659.351409
1256.537564,384,3667.335767
716.933539,285,3671.909493
1672.246585,500,3679.830431
641.559463,228,3683.402714
1438.79123,500,3691.364821
802.946358,287,3697.919485
1478.572211,475,3705.444451
675.740871,211,3708.787747
1284.788053,356,3714.261073
1080.715808,404,3720.660563
1606.896492,500,3728.690174
913.407083,299,3735.562611
570.45891,231,3739.217834
956.966426,347,3744.638469
1240.964788,414,3751.097815
1150.278844,431,3758.213807
794.612289,320,3763.310952
747.644033,229,3769.123831
1063.174991,338,3774.753638
579.879294,237,3778.431219
861.40723,320,3783.47075
596.48425,255,3787.505008
713.357347,306,3792.343675
855.991434,264,3796.473729
705.628186,274,3802.841861
443.828507,172,3805.527534
608.07052,233,3809.263809
473.802325,174,3812.007814
860.425423,305,3816.825619
802.131356,316,3821.810622
809.736727,301,3826.629706
754.751684,344,3832.210103
539.274796,209,3837.520886
741.976666,299,3842.228383
579.214896,191,3845.426342
891.848179,322,3850.427989
632.404406,231,3854.02026
650.92962,205,3857.237069
865.192741,273,3861.577821
750.379397,252,3865.569676
505.345449,187,3870.777153
614.681712,200,3873.935788
1037.714487,361,3879.664466
979.359123,345,3885.107224
891.207185,305,3889.91439
757.846855,238,3893.692497
570.324835,184,3896.672589
744.625677,240,3900.450992
1127.96862,364,3908.269347
635.90557,226,3911.825505
716.532887,239,3915.606677
755.66131,244,3919.426995
636.291883,213,3922.753201
614.207327,193,3925.825947
819.157132,258,4883.061207
796.400663,250,4883.209698
801.091331,258,4883.386698
813.002101,260,4883.536312
796.822415,254,4883.692545
791.701339,250,4883.85259
832.782266,267,4884.035045
788.232614,244,4884.203146
832.257488,265,4884.359618
789.850112,253,4884.521054
802.657273,258,4884.709283
815.773135,261,4884.877546
805.327224,256,4885.051133
808.96674,259,4885.225391
785.607923,252,4885.382775
811.398893,261,4885.549141
782.108689,250,4885.705155
795.737515,256,4885.883028
803.751406,259,4886.048101
802.636794,253,4886.202825
820.819345,263,4886.370178
804.307817,259,4886.514794
724.024397,229,4886.657614
772.514707,239,4886.807315
816.19982,262,4886.97142
704.280415,233,4887.114228
793.17728,247,4887.284498
793.095552,250,4887.436317
807.28887,259,4887.600507
797.660652,257,4887.762824
831.456689,266,4887.934525
780.147659,247,4888.080995
802.435191,258,4888.255379
794.540932,255,4888.411078
824.058412,265,4888.588049
825.013614,265,4888.758656
806.425408,259,4888.925107
786.201812,252,4889.079348
810.840242,260,4889.254313
798.798257,257,4889.407457
787.097093,251,4889.567672
789.574784,253,4889.70879
800.922566,258,4889.880674
794.380519,256,4890.035286
812.933713,260,4890.20551
763.231247,239,4890.357198
826.017275,264,4890.525603
793.86374,254,4890.700513
700.974211,232,4890.856318
809.6518,255,4891.010044
811.877014,262,4891.173929
807.060443,257,4891.325703
774.385096,245,4891.481329
705.415881,233,4891.641227
790.517626,253,4891.805432
794.119945,253,4891.952891
812.394462,261,4892.124727
806.479612,259,4892.280075
900.773258,280,4892.472144
775.247631,249,4892.626423
789.938565,245,4892.77756
780.953949,250,4892.944016
814.265319,261,4893.122696
802.224953,258,4893.274898
812.958348,258,4893.4573
785.425069,251,4893.628174
786.887226,252,4893.789537
709.757156,236,4893.931649
811.862522,260,4894.08543
805.727763,259,4894.233162
791.615581,253,4894.390429
820.746726,260,4894.558893
810.44748,260,4894.717308
796.349089,253,4894.866483
819.834024,263,4895.031546
867.131542,273,4895.201163
804.362408,259,4895.374928
775.412693,247,4895.538892
794.915326,249,4895.701151
706.171834,233,4895.837863
764.11353,244,4895.979988
808.210207,260,4896.131219
807.90454,256,4896.285974
806.490928,258,4896.456281
812.615196,260,4896.632956
802.888936,259,4896.795101
805.024898,254,4896.97479
790.574168,255,4897.1374
812.065661,260,4897.284958
807.893971,260,4897.457705
898.835965,279,4897.633816
791.711326,249,4897.797749
811.896713,257,4897.964918
794.028944,256,4898.129591
792.043002,251,4898.284326
824.279488,264,4898.460649
805.309064,258,4898.628763
804.96979,259,4898.792698
811.547369,257,4898.964711
820.834058,259,4899.133176
793.643635,254,4899.286564
806.641092,259,4899.450029
788.495139,246,4899.605641
829.764241,266,4899.77937
792.118079,255,4899.929923
811.990647,258,4902.186186
792.244009,253,4902.338928
800.768682,253,4902.481327
774.718873,247,4902.635246
795.612179,248,4902.794068
812.938159,261,4902.952352
806.94639,259,4903.116028
798.595258,257,4903.277029
798.04927,257,4903.438919
791.31999,254,4903.60814
816.472625,261,4903.775282
809.267134,257,4903.927299
762.846818,244,4904.090621
803.243029,258,4904.264013
815.09185,261,4904.422004
801.537475,259,4904.583316
810.897683,259,4904.72599
813.413512,261,4904.875149
785.038868,251,4905.031336
790.728338,255,4905.206471
800.027562,257,4905.368987
802.190497,250,4905.540256
812.738772,261,4905.71217
804.47703,256,4905.855915
788.806184,255,4906.021153
779.24065,243,4906.174488
804.178334,259,4906.33592
694.416984,229,4906.491803
802.906073,258,4906.644794
818.398,263,4906.817262
863.430591,273,4907.004278
810.221211,261,4907.166492
823.369864,263,4907.346056
792.88425,250,4907.509287
816.193897,263,4907.674338
810.413331,260,4907.844848
791.741929,252,4907.99753
799.464146,254,4908.158462
819.635623,263,4908.321727
816.239236,260,4908.485217
1021.640461,312,4908.673991
794.722884,250,4908.833767
811.566049,256,4908.996897
791.683652,255,4909.16626
788.340584,250,4909.327295
783.657551,251,4909.481768
840.796552,268,4909.662002
811.737937,261,4909.82731
807.028826,256,4909.994864
797.905776,258,4910.159532
763.818213,249,4910.324248
812.780248,260,4910.468219
800.880897,248,4910.630589
819.337788,263,4910.802793
817.447885,262,4910.977066
812.083027,260,4911.125273
815.327825,261,4911.280777
794.027671,251,4911.448512
806.906202,257,4911.662212
791.085441,250,4911.834461
779.105997,247,4911.987711
821.823928,264,4912.153078
781.749713,246,4912.315536
806.294621,259,4912.478563
797.86489,257,4912.636603
787.734223,253,4912.807648
812.618678,261,4912.972892
808.303771,259,4913.139985
698.321893,232,4913.287965
800.024407,246,4913.458627
795.641756,256,4913.62981
809.668961,256,4913.807659
780.590028,245,4913.962182
819.144507,262,4914.117531
774.788053,246,4914.281984
813.086467,261,4914.468593
804.995236,258,4914.635137
833.984776,267,4914.813331
800.783265,254,4914.970884
793.7969,252,4915.126809
789.183416,253,4915.274163
821.547833,260,4915.448641
803.986453,257,4915.616821
791.446217,255,4915.779889
808.428148,260,4915.944275
818.572745,259,4916.113248
807.16546,257,4916.301296
820.11467,263,4916.502105
792.549016,252,4916.664131
789.875978,253,4916.854872
798.777292,251,4917.0216
781.897677,250,4917.182618
815.67416,262,4917.330839
814.122657,257,4917.496464
818.12762,262,4917.671726
892.816667,278,4917.851964
903.709505,281,4918.025414
777.882965,249,4918.177339
799.593301,256,4918.32673
790.343697,254,4918.485353
795.57418,256,4918.648595
801.532685,258,4918.803205
868.141657,273,4918.968163
811.716805,261,4919.126945
785.271992,253,4919.285125
824.380644,264,4919.442581
803.489002,258,4919.619113
798.548909,248,4919.769809
783.263098,249,4919.922739
816.675149,261,4920.088095
805.973966,257,4920.253367
801.913442,258,4920.422764
804.318209,259,4920.596095
799.092072,257,4920.742838
827.532992,265,4920.917181
818.662135,263,4921.087406
812.648466,261,4921.252513
791.480641,255,4921.402689
787.324651,245,4921.577154
796.811916,246,4921.72924
809.885611,260,4921.901819
791.189857,253,4922.044715
789.5999,244,4922.209083
817.723212,262,4922.367142
805.215006,259,4922.534304
802.152977,253,4922.686274
795.895321,248,4922.840177
809.761024,260,4923.00701
807.639871,257,4923.170064
801.411241,258,4923.333744
734.695509,232,4923.49171
814.594592,262,4923.659402
803.830835,250,4923.826493
815.010592,261,4923.996449
776.080266,249,4924.142172
798.387926,252,4924.279897
838.308782,267,4924.43827
788.632637,252,4924.598545
795.559181,256,4924.747166
817.870192,262,4924.913091
813.937411,261,4925.090129
766.28926,249,4925.261223
794.453188,252,4925.416403
799.756258,258,4925.579131
814.067018,260,4925.737328
814.752334,261,4925.894367
779.427259,249,4926.053558
797.19044,247,4926.20978
811.975957,261,4926.36255
768.996011,245,4926.501027
808.234023,260,4926.6603
794.98133,256,4926.822511
815.35258,261,4926.975296
810.065064,258,4927.148687
697.138267,234,4927.282369
816.47977,262,4927.449426
806.357965,260,4927.630834
795.629942,254,4927.786028
783.528753,250,4927.947116
820.112319,262,4928.128582
822.421282,261,4928.298783
809.440016,255,4928.442662
808.554621,257,4928.599773
798.654756,256,4928.752218
815.916105,262,4928.930011
757.949097,244,4929.070311
788.916037,253,4929.230151
813.006281,261,4929.400638
695.361044,232,4929.547796
798.928424,247,4929.718616
804.765408,256,4929.880425
755.355429,247,4930.05034
795.714116,254,4930.187454
797.502736,257,4930.338965
798.439493,257,4930.494202
832.880075,266,4930.672609
820.055277,262,4930.842278
779.193919,250,4931.016389
793.373123,252,4931.178848
883.526061,276,4931.355168
815.60498,263,4931.507298
786.915029,250,4931.649289
795.708093,251,4931.81203
809.290613,260,4931.987466
838.819236,267,4932.139765
811.518827,260,4932.312946
796.756618,257,4932.482373
772.119261,245,4932.649916
802.55483,258,4932.808163
806.959231,258,4932.981215
