#{"t_start": 1737037159.7462628, "env_id": "CustomHopper-source-v0"}
r,l,t
20.702891,25,2.113474
11.411693,18,2.191696
5.305986,12,2.261926
11.137987,25,2.3408
22.038483,19,2.438942
10.979306,24,4.422415
15.791759,17,5.53536
11.213763,20,6.72456
6.974938,10,7.453099
13.780106,20,8.615699
9.063034,23,10.334526
11.081333,23,12.99376
11.405641,20,14.411433
13.852945,27,17.451336
8.512646,14,18.291282
120.924299,66,23.998049
96.519033,54,26.649546
10.508617,15,27.168429
8.251702,25,28.236524
36.507288,40,30.588547
38.952982,27,32.3438
17.742296,19,33.446634
70.806999,42,35.012643
26.079336,19,35.815107
26.125987,26,37.400943
29.660429,40,38.862801
19.686946,22,39.594715
95.696698,53,42.279646
85.515151,58,45.096391
62.666753,33,46.416036
28.03194,38,47.646997
7.662544,24,49.337107
140.994176,96,54.896074
59.61702,34,57.060794
58.736606,34,58.502632
90.998864,65,61.017051
123.14924,71,64.666696
86.087102,45,67.112475
77.994511,46,69.265877
80.22494,46,71.409347
96.193742,51,74.198228
49.692076,28,75.510355
80.788292,45,77.939256
65.21878,37,79.053082
65.150704,36,81.04179
72.742786,39,82.714277
110.020115,58,86.431479
81.464246,45,88.456344
81.796393,46,91.047514
113.089601,63,94.251656
89.58251,50,97.262673
66.476241,35,98.708014
60.746334,33,100.953922
58.236678,33,102.862144
125.895591,69,106.255157
111.295575,62,109.052389
146.064636,76,112.642495
136.527343,71,115.312755
117.518953,63,118.429793
174.992779,88,122.400363
172.684214,88,126.558051
137.185723,79,130.090415
167.189424,90,134.155964
144.049097,81,138.459652
151.209303,85,142.833125
156.328468,85,147.303485
153.13813,82,153.680159
179.040672,87,166.948484
168.828667,93,174.183276
200.924778,105,182.579884
178.552452,91,192.815493
190.197674,111,202.422048
162.983092,96,208.588043
215.080661,117,212.724956
174.858457,94,215.342678
221.72654,118,219.707301
221.625796,118,224.173024
238.006607,134,228.608017
204.190732,109,232.403944
221.075526,120,236.42702
206.429214,109,240.458261
216.912855,120,244.484342
185.184159,97,247.531801
201.854652,107,250.53286
182.802259,93,254.649315
206.866799,112,257.973303
240.153392,135,261.83013
213.761874,102,266.690495
232.825409,122,269.937511
226.858449,119,273.476736
229.973863,132,277.480355
213.109135,110,280.644926
222.961896,118,284.015881
215.343041,104,286.107686
236.593872,132,289.699733
242.321944,137,293.733816
239.115936,124,297.692887
241.457442,116,301.632692
230.211601,117,305.226264
218.257518,107,308.646025
239.766793,134,312.929659
204.735178,107,316.175179
241.788435,136,320.084514
234.99277,111,323.181792
233.085155,108,326.550314
227.269918,106,331.743326
250.074237,118,335.04597
233.811702,113,338.257793
259.869309,137,342.062946
243.891823,144,346.012425
292.324658,178,350.935367
275.233294,149,357.67874
335.639997,195,365.624115
275.247175,143,370.493649
225.226717,113,373.562154
288.022352,159,377.776056
313.529426,173,381.743015
285.033426,146,384.812371
282.725828,154,387.993243
307.098098,177,392.847277
237.301781,123,395.530771
223.76519,111,398.310444
206.906168,102,400.493134
191.596937,100,402.723648
163.451942,88,404.869556
187.917516,93,407.182454
195.680705,100,411.14634
177.725617,92,414.210952
189.175293,93,417.882734
195.010466,95,420.613097
203.383978,104,423.495333
178.529989,89,425.676262
189.704766,96,428.125609
187.096299,97,430.470718
192.464679,94,432.893898
195.901092,99,436.657482
186.531825,94,441.29216
220.110253,112,444.642662
194.617664,97,446.942092
185.200797,96,449.011154
190.624213,97,451.426309
184.383987,94,453.82283
188.071017,94,456.172581
168.450328,85,458.299178
180.829499,92,460.474695
181.934252,90,462.460255
226.476127,105,464.961259
200.250137,104,467.295057
204.139058,100,469.876846
200.950494,104,472.933464
205.382944,103,479.790171
196.520048,99,488.73832
206.700987,105,493.78757
255.695303,134,496.621099
227.056556,107,498.887602
255.736521,118,501.69211
255.908044,119,504.949874
267.458977,120,507.778881
249.628551,114,510.548289
231.499085,107,513.128508
251.524214,117,515.956516
264.135477,121,518.594363
259.695636,119,521.195158
241.126636,119,523.773983
277.381411,127,526.61406
284.572032,153,529.994651
258.622381,120,532.800984
270.954372,137,535.941
273.719811,138,539.199083
329.461809,203,544.72979
212.936748,101,547.0733
259.352809,130,550.366672
141.309418,79,552.160537
260.30212,128,555.151669
271.554849,139,558.293381
224.070257,106,560.834424
209.663222,96,563.090238
219.904252,107,565.453677
197.794673,95,567.67172
214.40832,103,569.955099
172.136875,85,571.84996
208.568037,107,574.180615
116.627999,67,575.538593
223.062453,117,578.582667
205.231129,99,581.102773
12.388403,22,581.630485
222.927612,108,584.579274
234.888678,117,587.911016
208.387197,106,591.120506
69.709193,76,593.25986
231.370076,130,596.590714
214.571707,114,599.529863
310.76449,197,605.62568
249.702147,133,608.850806
196.065056,107,611.755899
216.536227,100,615.242023
195.799484,90,617.733668
210.973042,98,620.641231
172.106802,86,622.719388
213.892607,114,625.759111
228.489315,118,628.635118
223.675705,111,631.265467
201.585003,120,633.892753
274.513913,142,636.933816
244.997484,111,639.786581
259.20488,124,642.855188
269.239254,136,646.228271
250.753541,120,648.794931
240.254075,126,651.944373
274.086254,127,654.868325
281.007313,140,657.941582
264.881985,130,660.903963
295.516258,157,664.270118
274.752983,136,667.058269
289.42638,145,670.153437
142.734577,76,671.816841
265.204997,122,675.053309
272.033473,119,679.174235
276.069928,124,682.755731
277.245962,122,685.276985
250.683296,116,687.848663
318.916479,162,691.352333
272.578008,125,694.115441
324.228528,172,697.905589
313.962705,167,702.595173
309.8181,157,706.637886
271.12924,125,710.446988
280.124168,129,714.023449
270.133152,123,717.478796
242.774409,109,720.473157
271.795495,122,723.623276
267.765161,120,726.589031
261.700998,117,729.582886
269.213041,124,733.016142
236.15367,108,736.216923
235.512512,108,739.486109
268.941694,121,743.083155
269.513133,124,745.984811
246.099253,112,748.918293
267.371733,120,751.923222
239.543301,110,754.576353
264.240274,120,757.710828
246.333064,116,760.933276
236.376579,108,763.889523
273.6715,129,767.286938
264.684613,120,771.005595
256.811557,117,774.507949
271.621849,125,778.027034
236.095509,110,780.840465
237.830051,110,783.633707
235.351786,106,786.167844
279.031887,126,789.189737
262.323788,125,792.346927
269.872226,123,796.502515
240.396811,112,799.467954
266.311942,120,802.382119
219.51671,126,805.440528
267.175337,126,808.595323
265.994313,121,811.840796
263.875227,122,814.922781
265.839331,122,817.924813
259.926837,119,821.022071
277.035723,126,824.292456
250.88357,128,827.312759
271.708497,127,830.422584
260.638473,120,833.729693
269.842402,123,837.086356
269.059803,121,840.793
254.67912,120,846.399314
258.537893,119,851.103883
256.459752,119,854.093998
258.436523,117,856.985558
263.792832,121,860.25325
243.861913,115,862.793916
235.746238,112,865.331278
242.912201,115,867.919271
189.733243,90,870.006734
268.375174,150,873.439387
250.768275,122,876.304346
309.442447,163,879.81963
317.439604,153,883.236006
0.985615,26,883.785011
1.355285,26,884.348707
3.249089,26,884.865482
2.58731,27,885.566774
351.816649,188,889.570947
2.270719,28,890.287541
2.790603,28,890.993097
3.937944,28,891.86721
2.073994,28,892.557353
2.324954,28,893.183879
2.972746,27,893.764308
3.369916,25,894.295154
2.991274,25,894.886449
4.042188,31,895.555497
2.012871,26,896.170577
3.669178,29,897.159488
2.598629,29,898.007532
2.966821,30,898.800763
4.507013,31,899.702817
4.186606,30,900.607004
2.470219,29,901.428585
3.96969,29,902.193878
4.191006,28,902.973584
3.564697,30,903.789299
4.717012,29,904.691542
4.506191,31,905.753014
3.539986,31,906.460829
4.478665,29,907.647942
4.671648,27,908.343531
5.435614,28,909.03756
6.127143,29,910.014022
4.422886,27,910.756925
6.112217,28,911.400578
