#{"t_start": 1737037159.794367, "env_id": "CustomHopper-target-v0"}
r,l,t
84.212859,53,6375.267017
5.793189,8,6375.2767
20.640417,43,6375.432353
7.138574,11,6375.697088
8.203965,27,6376.277942
5.455079,13,6376.535763
12.529857,34,6377.268755
8.848523,13,6377.550294
9.39642,11,6377.798786
9.430947,36,6378.509959
8.019159,14,6378.786475
82.541674,89,6380.543345
19.57581,21,6380.995249
33.450387,33,6381.722846
10.934337,19,6382.133622
6.277495,9,6382.325538
55.265202,33,6383.05168
9.799152,26,6383.635069
9.103167,24,6384.139042
32.734035,43,6385.070946
18.15345,36,6385.873502
19.716489,21,6386.331199
8.171097,14,6386.629078
25.834756,25,6387.158232
94.580043,64,6388.576313
66.478866,41,6389.440251
108.685021,58,6390.66128
126.652465,64,6392.057144
130.503336,83,6393.864236
140.344576,76,6395.50269
10.309825,31,6396.181968
15.530394,45,6397.134002
106.119405,60,6398.489211
68.559108,41,6399.442217
100.080281,55,6400.665422
146.505635,85,6402.523508
45.043566,66,6403.946252
118.867794,67,6405.393824
258.065734,135,6408.357088
228.90099,108,6410.677229
157.856251,82,6412.438599
141.965974,72,6414.075584
223.397155,98,6416.168163
213.664688,97,6418.453503
207.381291,94,6420.378093
128.628141,69,6421.879375
206.937615,96,6424.073919
218.475096,98,6426.419496
204.457197,95,6428.569559
206.513574,94,6430.828455
201.956545,100,6433.116449
210.364373,96,6435.396733
213.074109,96,6437.700908
217.838433,98,6439.900266
195.513053,98,6442.167567
206.849748,97,6444.289517
206.221562,105,6446.753668
206.378017,98,6448.954956
204.461555,101,6451.291767
205.937311,100,6453.570192
59.858912,36,6454.377257
240.112103,103,6456.831394
209.936359,97,6459.015072
232.822361,102,6461.546527
222.996356,99,6464.02157
209.451891,97,6466.305997
235.374406,114,6469.081121
230.057474,100,6471.345801
235.191421,102,6473.609917
276.994081,115,6476.105007
279.926371,115,6478.625394
287.615008,121,6481.259448
296.347493,124,6484.248178
303.961538,124,6487.175462
256.10334,110,6489.650636
240.316645,108,6492.214846
290.551645,118,6495.023044
301.287092,121,6497.861444
253.305122,108,6500.33593
228.903508,101,6502.715774
213.050479,102,6505.08577
319.137999,131,6508.088783
106.131103,65,6509.555049
315.713382,132,6512.59889
325.557056,134,6515.660787
389.60366,147,6518.986669
406.149359,157,6522.866934
324.911442,119,6525.57164
552.732305,183,6529.773987
410.571531,154,6533.557189
404.862696,150,6536.989968
325.200827,126,6539.898823
266.359464,121,6542.737381
364.056297,132,6545.779389
322.107691,125,6548.787657
292.138946,116,6551.576319
375.68434,139,6554.717995
307.237582,120,6557.488845
339.121482,130,6560.596399
295.87078,126,6563.472168
329.007052,126,6566.528571
369.412594,141,6569.838732
300.229992,120,6572.594365
288.188862,115,6575.317716
307.192664,121,6578.141639
289.277371,116,6580.79639
317.158756,125,6583.666811
303.902385,120,6586.327506
300.955598,120,6589.126646
288.119596,117,6591.791207
290.709514,117,6594.416138
298.72573,121,6597.153324
277.382179,112,6599.849388
368.276517,148,6603.164911
271.566977,109,6605.656049
263.642591,110,6608.173327
273.031642,112,6610.727378
273.312999,114,6613.33236
263.756752,115,6616.362673
261.813122,109,6619.075958
343.476063,138,6622.45906
263.777206,111,6624.942685
264.595923,112,6627.609871
259.03991,135,6630.753909
484.272412,301,6637.791292
93.751006,124,6641.048017
55.736135,85,6643.15854
313.147047,164,6646.852326
289.611821,128,6649.771718
307.35324,133,6652.753879
242.948267,106,6655.24411
252.994672,117,6657.903225
291.115243,120,6660.633376
234.039681,108,6663.217349
251.650629,116,6666.023662
248.209792,104,6668.400507
300.830943,122,6671.35823
334.029096,130,6674.568091
344.772132,130,6677.560238
248.600867,109,6679.976828
324.857684,125,6683.046007
342.555771,131,6686.168132
310.161221,124,6689.17425
343.867134,131,6692.443746
357.160482,135,6695.660983
364.606171,134,6698.735903
364.840949,137,6702.017808
363.589296,137,6705.227844
342.357886,133,6708.832642
378.331945,140,6712.679038
378.855212,139,6716.503338
383.366455,139,6719.301395
376.01089,137,6722.270915
392.207601,144,6725.452303
378.128387,139,6728.96154
391.061704,144,6732.070111
375.133335,143,6735.45965
375.393592,138,6739.25083
390.344978,144,6742.598814
432.502294,154,6746.508482
395.315179,148,6749.733705
412.413741,148,6753.184107
418.03301,149,6756.874293
441.539547,155,6760.728235
428.776704,149,6764.139857
419.957109,148,6767.2164
402.711005,147,6770.743458
442.673021,152,6774.217649
438.700371,158,6777.806578
415.574819,150,6781.203154
435.219756,150,6785.000232
418.432403,147,6788.137688
425.767532,152,6791.294253
412.10553,147,6794.583506
411.39464,151,6797.912577
430.97678,152,6801.569954
410.451778,153,6805.243571
423.200865,150,6809.041807
449.891994,155,6812.368452
477.950091,161,6816.013461
427.023622,150,6820.981907
392.652811,147,6824.529142
421.605007,149,6827.709015
432.487266,154,6831.149808
418.319342,151,6834.524756
430.998998,159,6837.935012
442.630277,153,6841.275339
443.938379,160,6844.950597
449.119877,153,6848.439235
428.744728,155,6851.800894
431.782867,154,6855.174762
446.508778,153,6858.455138
426.105468,150,6861.863465
423.139989,160,6865.408323
441.64714,164,6871.565139
432.198156,162,6875.217468
453.843619,164,6878.717871
418.147194,158,6882.117687
434.588202,160,6885.552694
423.994141,156,6888.920369
447.740064,165,6892.577746
444.085598,164,6896.090921
419.588084,153,6899.301424
436.588951,159,6902.620584
471.071774,164,6906.194679
430.264068,155,6909.59685
435.528753,163,6913.136133
439.04602,161,6916.929872
460.588793,172,6920.662906
479.243439,179,6924.700356
460.375446,169,6929.219149
457.480048,167,6934.571307
496.050323,169,6938.68428
433.355302,163,6944.449915
435.314844,163,6948.080573
677.811131,210,6953.321426
665.121192,206,6957.66855
316.5471,127,6960.287743
616.717034,210,6965.125079
479.804052,176,6968.773699
484.623852,173,6972.531819
508.448,174,6976.151697
488.832732,169,6979.944802
529.585728,186,6984.109428
511.152245,183,6987.974831
264.044444,116,6990.565571
389.414109,148,6993.859167
220.219053,100,6995.902262
424.532692,165,6999.333523
495.22311,196,7003.45607
479.851308,174,7007.0448
637.711903,203,7011.185282
311.901909,132,7015.15068
251.102498,122,7018.261916
658.380188,209,7023.092464
264.869638,115,7025.631141
304.048366,136,7028.369146
280.724386,128,7031.165445
321.791136,141,7034.486958
696.242295,220,7039.293513
670.327833,218,7044.335327
266.606879,115,7047.080836
262.234595,113,7050.079668
525.876105,196,7054.627068
323.466736,129,7057.561163
490.153064,184,7061.857126
248.463546,112,7064.606706
338.466263,139,7067.701871
242.544034,113,7070.5162
535.512086,189,7074.83279
270.299403,115,7077.431441
430.368159,154,7081.031276
511.380422,184,7085.169727
508.950728,183,7089.303613
677.871886,224,7094.380083
467.5127,169,7098.100558
519.814958,170,7102.321754
567.399853,200,7107.075941
522.741062,188,7111.179818
552.417905,195,7115.549026
588.654421,190,7119.725409
573.437666,201,7124.305533
580.789921,201,7128.794851
621.347526,212,7133.812414
559.360661,186,7138.0618
621.957188,207,7145.762233
300.320252,128,7151.422083
590.768891,202,7158.014997
651.72227,216,7163.973701
559.983667,192,7168.260159
563.375779,189,7172.495155
770.367074,258,7178.3587
634.062881,206,7183.529478
631.763575,211,7188.868327
686.357857,218,7193.989882
668.530724,219,7198.624584
64.597772,90,7200.529515
125.491246,79,7202.220071
54.465948,72,7203.798994
136.209186,158,7207.243583
73.412079,100,7209.898388
427.175997,206,7215.078623
739.158603,228,7220.356497
587.718414,214,7225.154751
528.478412,175,7230.095802
849.638309,261,7236.308091
590.672677,219,7242.386463
718.62202,229,7249.832274
1040.790876,320,7259.937364
463.586706,168,7265.964949
830.162598,261,7275.057402
844.47082,260,7283.790806
821.920363,265,7291.338728
905.426132,278,7300.058892
893.849687,282,7308.025218
409.606425,156,7312.667808
260.457292,138,7316.304168
416.31715,160,7320.245611
895.051992,280,7328.027098
654.060253,216,7333.497245
735.788742,232,7340.625319
784.676919,251,7347.613832
847.935643,259,7353.600783
644.956603,207,7359.148267
676.5484,212,7364.063254
756.936747,238,7370.235369
759.801597,239,7376.062666
677.936159,214,7381.228927
721.129185,230,7387.438903
824.232953,261,7393.570292
703.465039,228,7399.678561
944.58555,314,7407.200581
651.816023,205,7412.621528
698.002796,219,7417.958961
720.692619,225,7423.003579
633.245957,200,7427.10869
661.45133,205,7431.489377
606.302656,196,7435.631922
595.619609,193,7440.252287
728.150911,229,7445.347533
665.701042,210,7450.191868
634.812808,200,7454.534426
661.772158,207,7459.625379
750.115527,229,7465.508122
741.707647,228,7471.001487
669.144231,209,7476.601635
601.859786,192,7481.017578
592.21105,194,7485.959719
664.317447,208,7491.059987
563.949643,183,7495.813945
672.949714,213,7501.27345
788.032093,240,7507.303518
686.051074,211,7511.855226
799.309619,233,7517.320139
