#{"t_start": 1736622318.360387, "env_id": "CustomHopper-source-v0"}
r,l,t
18.724641,22,0.398253
12.77255,14,0.414966
8.652406,21,0.44313
25.212627,23,0.463717
34.079501,32,0.659464
5.959465,24,1.000251
53.553077,38,1.516731
6.388563,12,1.682972
9.16372,14,1.887087
8.50724,13,2.06978
30.980018,24,2.395585
18.415175,22,2.743618
29.03014,24,3.08052
9.428083,11,3.229794
27.552967,43,3.809978
17.20616,31,4.223206
17.172539,44,4.839886
12.735353,23,5.147999
8.503755,11,5.297102
2.862753,30,5.708415
72.019884,39,6.246551
31.520305,32,6.673577
56.230442,33,7.134972
9.086961,12,7.300749
74.719959,43,7.926202
24.818403,19,8.185642
23.726754,20,8.480539
40.293648,45,9.110561
23.016905,38,9.656152
101.941589,54,10.431586
128.866764,87,11.697997
74.009538,45,12.376662
133.688824,76,13.713282
92.735698,58,14.72533
119.061307,62,18.088124
142.82749,83,19.682332
216.142547,94,21.319766
66.901504,38,21.978909
254.102395,136,24.289335
89.818529,64,25.360235
223.174953,99,27.464722
232.488625,105,29.215139
221.703072,96,30.898966
260.225657,111,32.597096
244.011725,105,34.35138
233.17716,98,36.005805
257.107127,108,37.765439
168.960227,80,39.114723
227.864731,98,40.75227
248.896612,106,42.571822
221.593269,95,44.187942
187.004108,83,45.590639
242.102565,104,47.36566
227.737562,98,49.01043
198.329117,89,52.840747
229.618717,101,54.614082
256.696935,109,56.480049
268.057894,111,58.371127
266.116987,115,60.252724
223.250224,96,61.838061
251.65782,102,63.509589
265.547303,110,65.26931
266.589236,113,67.302489
266.352155,110,69.098524
261.99949,107,71.052171
277.829427,112,72.831731
259.505661,105,74.561598
264.323005,108,76.380124
274.572667,112,78.341499
228.995753,96,79.983896
234.794126,97,81.620331
272.06951,110,83.464986
268.332129,109,87.635593
262.823783,106,89.565333
275.142647,112,91.435204
258.444707,105,93.188604
240.578343,99,94.820187
65.500901,39,95.438167
261.414609,108,97.162501
38.349312,29,97.622043
39.499749,30,98.115843
304.291301,130,100.225513
31.612582,27,100.654168
34.863146,30,101.131872
318.324818,148,103.549477
240.06533,98,105.179926
246.680335,99,106.780473
249.853699,101,108.416299
239.956486,98,110.186833
237.798109,97,111.917962
241.871127,99,113.601645
234.808936,97,115.301081
219.82899,91,116.90496
238.191085,98,118.600439
217.787362,90,122.37872
227.775574,100,124.142178
227.674668,96,125.736708
220.865933,92,127.301469
226.434803,96,128.874963
226.991509,96,130.410787
215.968223,90,131.911919
217.790514,92,133.387877
223.382084,95,134.899202
216.056268,92,136.418751
214.317958,92,137.951648
219.38445,93,139.466556
216.296521,94,140.987376
213.645832,90,142.524515
226.113712,96,144.262907
222.487477,94,145.863987
222.34748,94,147.510505
231.33877,97,149.175351
216.694161,91,150.755888
229.715109,97,152.47864
235.140882,100,156.455231
222.413182,95,158.162868
237.050782,100,159.896442
260.682773,107,161.672488
265.997382,108,163.41522
241.320859,101,165.061294
262.010961,104,166.737389
283.54287,113,168.581856
278.268149,112,170.384511
287.360317,114,172.208632
320.060632,121,174.202317
296.974873,117,176.078439
287.308842,116,177.96239
302.058312,119,180.07682
272.339937,110,182.017877
286.452703,113,183.995997
270.729709,109,185.871997
276.278493,111,187.719129
272.554332,111,191.776664
262.15976,106,193.574761
258.777097,105,195.319187
283.258043,112,197.19701
273.659167,110,199.050324
277.435549,111,201.003637
257.938236,103,202.755034
257.486334,106,204.513825
281.594507,111,206.405779
264.705533,107,208.23752
243.781987,101,209.902324
245.767867,103,211.643346
270.093662,108,213.464589
52.275698,31,214.00339
