#{"t_start": 1736622318.3729563, "env_id": "CustomHopper-target-v0"}
r,l,t
7.87874,31,4603.695243
11.611025,14,4603.710129
7.861898,35,4603.738487
9.870175,13,4603.748716
14.448505,22,4604.055064
16.82351,17,4604.343836
6.748274,10,4604.493152
13.712999,17,4604.77439
14.00671,32,4605.274277
11.132147,12,4605.478827
18.384075,44,4606.374109
13.386776,17,4606.69757
14.121969,15,4606.969765
10.706352,13,4607.194092
7.400421,18,4607.484169
8.261327,10,4607.644565
8.322563,10,4607.807808
16.988955,23,4608.162248
5.930945,9,4608.355816
10.602562,37,4608.989701
10.054784,18,4609.273953
11.786847,30,4609.744061
6.148166,32,4610.204252
16.251232,20,4610.523545
12.441065,21,4610.857371
74.03305,74,4611.975285
10.225566,29,4612.634265
96.786794,52,4613.67011
56.446503,34,4614.329055
7.66173,13,4614.537134
17.250696,18,4614.875277
65.938795,39,4615.697569
20.564713,36,4616.421402
113.761236,63,4617.636857
27.188918,26,4618.175066
8.945754,35,4618.89212
83.666086,50,4619.858462
80.520701,50,4620.837002
91.77233,91,4624.837454
115.680422,62,4626.064618
166.033383,89,4627.887821
98.005715,61,4629.170991
68.36516,40,4629.951904
209.121899,103,4632.417708
109.475765,67,4633.727932
263.560089,136,4636.401458
54.101452,33,4637.053748
200.392047,95,4638.920344
188.303604,90,4640.688617
79.674891,47,4641.628178
219.190747,101,4643.607788
190.413251,95,4645.438407
194.51923,88,4647.174636
226.18755,111,4649.236961
192.140722,92,4650.770504
224.858235,115,4652.676365
205.27736,91,4654.191086
192.951328,89,4655.655664
231.972958,100,4659.39155
209.022033,94,4660.928478
190.430328,89,4662.401161
198.767997,89,4663.867446
246.417603,104,4665.585287
230.144302,103,4667.270136
235.168315,101,4668.970299
229.333614,97,4670.552713
229.734499,99,4672.188105
222.254586,103,4673.904457
206.684218,92,4675.448428
237.661579,100,4677.102254
272.686891,110,4678.941728
209.034123,93,4680.441633
228.973483,100,4682.099735
224.480499,96,4683.704694
246.270315,107,4685.473567
217.029855,95,4687.024519
224.120327,97,4688.63514
222.637102,97,4690.240595
231.560743,101,4693.994266
254.340084,113,4695.87784
228.907588,99,4697.538856
258.516303,114,4699.387978
228.009085,99,4701.041269
231.684046,102,4702.709289
223.158575,96,4704.270763
225.385368,99,4705.929369
234.839827,103,4707.61434
242.332835,103,4709.286449
238.577112,105,4711.038672
252.015962,107,4712.810328
242.6958,102,4714.546119
253.437147,107,4716.296648
227.719012,98,4717.883484
253.655966,105,4719.677527
251.267059,105,4721.440138
244.395794,102,4723.093418
252.103564,105,4724.862422
259.129856,108,4728.871786
267.831037,111,4730.69434
242.430969,102,4732.700457
244.995628,104,4734.52433
248.590167,105,4736.238001
261.327584,108,4738.109615
247.440014,103,4739.802562
193.633737,86,4741.238757
257.791038,106,4742.99863
254.81979,108,4744.7658
210.355652,106,4746.554161
237.820539,101,4748.219039
238.195684,101,4749.903862
247.339501,109,4751.703341
241.518361,102,4753.411294
255.450126,107,4755.186834
226.378382,96,4756.79101
242.373354,100,4758.441438
201.871566,100,4762.206078
238.058718,103,4763.927637
243.15204,110,4765.735885
206.684386,98,4767.324457
228.235146,102,4768.987485
210.365531,100,4770.697969
213.066708,101,4772.342622
228.80606,112,4774.185213
234.443917,111,4776.096361
270.126088,113,4777.954294
279.512185,129,4780.165647
272.976418,127,4782.4613
45.668212,27,4782.911653
203.041528,91,4784.463526
42.528868,25,4784.875367
213.816309,95,4786.468003
40.006468,24,4786.8698
213.241842,96,4788.485984
198.305961,92,4789.998751
268.482009,111,4791.875437
256.527363,104,4795.710824
249.948099,102,4797.407813
275.122033,116,4799.342795
269.314215,113,4801.211076
272.978326,118,4803.212036
252.871212,104,4805.00342
273.024488,116,4806.922329
265.99047,110,4808.732084
270.763719,112,4810.559085
265.693808,108,4812.352712
248.40748,102,4814.037275
271.299371,112,4815.874856
251.454062,102,4817.545985
257.058379,105,4819.297727
257.319028,105,4821.02063
263.099999,108,4822.794948
247.531331,102,4824.481489
263.833085,108,4826.287908
248.248208,101,4830.166342
267.991141,108,4831.962388
264.27517,106,4833.741223
259.960877,106,4835.54436
274.239327,110,4837.374923
264.641039,106,4839.165902
270.434538,109,4840.93185
248.970931,112,4842.748233
258.914728,122,4844.724678
268.307046,111,4846.884225
272.668865,111,4848.708459
272.230673,113,4850.765296
286.862521,118,4852.631954
275.416663,115,4854.549979
285.008642,116,4856.502394
285.077727,119,4858.486677
287.747772,118,4860.45193
295.407585,122,4864.724833
287.689459,120,4866.760099
293.69448,120,4868.83676
296.621222,124,4871.000344
299.557792,126,4873.353567
300.701433,125,4875.487663
293.100822,124,4877.397159
288.01967,120,4879.336119
290.750003,120,4881.265363
293.319966,122,4883.335771
289.005826,120,4885.296561
298.36629,126,4887.547427
298.220115,123,4889.739968
290.630461,142,4892.178772
302.110283,124,4894.271737
297.829652,124,4896.33828
292.268315,123,4900.670247
291.239907,122,4903.17193
293.128948,122,4905.373402
286.341591,126,4907.433787
271.500005,114,4909.422232
281.397699,119,4911.605685
278.019778,117,4913.501943
283.086272,119,4915.593108
268.589563,125,4917.522024
280.211787,115,4919.374715
287.096957,140,4921.670201
280.757243,117,4923.588942
279.041153,130,4925.778413
285.611684,140,4928.104729
267.29222,107,4929.904629
272.579945,114,4933.952979
259.964705,125,4936.089494
288.827809,117,4938.112106
269.054688,108,4940.01405
273.899796,111,4941.883731
286.121276,118,4943.834743
283.484988,117,4945.727932
266.403211,106,4947.501263
280.082883,114,4949.380403
275.915858,114,4951.209242
281.960702,117,4953.10015
277.364971,116,4954.947129
285.38915,117,4956.796738
280.107506,116,4958.712536
277.932627,116,4960.663134
279.026868,116,4963.039352
279.165479,114,4965.219403
285.388261,118,4969.503206
280.563101,117,4971.532442
281.36229,117,4973.59106
288.778681,118,4975.791863
286.987913,118,4977.806351
286.923887,118,4979.911417
273.114534,114,4981.745765
273.522078,113,4983.617092
279.001743,113,4985.48261
288.248963,127,4987.495965
298.192193,134,4989.632696
288.312027,125,4991.644542
267.778388,112,4993.478791
285.882234,119,4995.465193
266.74946,110,4997.362416
278.473882,116,4999.265317
287.780492,132,5003.522422
291.775034,118,5005.550009
295.410912,122,5007.671348
279.843326,120,5009.720985
297.20564,130,5011.781962
297.612175,130,5013.849655
290.14718,120,5015.758444
295.165718,121,5017.672209
298.494676,128,5019.690423
303.359131,131,5021.743297
296.462089,119,5023.655204
287.298847,117,5025.493364
289.374235,129,5027.631833
282.509308,116,5029.592762
298.456429,140,5031.986261
296.617029,118,5034.021995
299.842865,136,5038.801207
343.446517,157,5041.69566
280.327549,128,5043.947112
295.828656,118,5045.877002
304.466252,145,5048.203524
288.988336,118,5050.13733
310.777293,137,5052.377726
307.00117,146,5054.733797
281.885759,119,5056.623991
298.710127,131,5058.801167
300.467539,146,5061.1833
307.189293,140,5063.590152
306.093777,149,5066.054672
298.261114,120,5068.037116
326.253298,155,5073.024872
315.196629,146,5075.491621
305.607114,122,5077.546544
302.976315,124,5079.570647
311.480516,126,5081.576994
307.333453,124,5083.575304
308.24934,125,5085.58646
333.470246,162,5088.165053
328.880109,167,5090.918045
338.311777,161,5093.531065
313.638782,125,5095.633718
307.082565,123,5097.719643
317.092191,125,5099.828607
306.476737,121,5101.913579
311.806523,126,5106.393189
305.138717,121,5108.54736
311.295872,123,5110.653228
326.16403,155,5113.248698
314.698287,126,5115.293731
306.18592,124,5117.267302
313.382177,128,5119.316706
328.818755,156,5121.826779
362.818996,182,5124.708941
316.774051,142,5126.963957
312.682844,136,5129.238577
338.046098,163,5131.988866
309.279457,128,5134.145149
324.139261,148,5136.634016
307.209221,137,5141.274389
312.926053,127,5143.478872
308.454949,127,5145.553796
317.812464,136,5147.790241
316.370355,130,5149.862011
308.83089,126,5151.894293
314.984006,128,5153.979026
312.914909,129,5156.042522
321.916164,135,5158.250239
320.345585,129,5160.32354
314.21929,131,5162.470949
315.821826,129,5164.599256
315.748658,125,5166.697242
313.78179,127,5168.845603
316.724991,128,5171.183274
313.473648,127,5175.695933
315.886332,129,5178.100533
320.717276,129,5180.240238
311.347211,126,5182.311003
309.08369,126,5184.313697
316.784294,126,5186.349675
314.815965,129,5188.390046
310.939602,125,5190.403516
309.013441,125,5192.399011
314.408142,127,5194.475852
313.666349,126,5196.52024
310.683066,123,5198.526289
312.529081,125,5200.66594
314.713777,125,5202.766885
316.34861,126,5204.862122
310.461839,124,5209.384637
307.741391,124,5211.668396
300.905823,121,5213.838032
312.00479,124,5215.82773
308.629762,124,5217.832806
310.686142,125,5219.80551
309.382765,125,5221.823773
308.690549,124,5223.801457
332.785499,149,5226.211918
305.020904,128,5228.269051
311.498223,129,5230.366812
328.726456,149,5232.831325
299.800117,138,5235.157715
314.880188,149,5237.699761
310.279336,124,5239.845055
320.159301,149,5244.761492
307.156692,123,5246.869865
300.600929,120,5248.870727
301.792332,119,5250.841239
296.496543,133,5252.937691
310.140932,135,5255.08732
311.539624,127,5257.201271
304.546474,123,5259.165205
294.160054,128,5261.266021
311.457951,125,5263.264666
311.638901,125,5265.312612
312.175609,126,5267.397702
304.444791,125,5269.506748
304.951692,124,5271.608374
313.117347,124,5273.717305
308.278026,128,5278.237418
304.984226,123,5280.496625
311.71182,123,5282.551324
304.156442,121,5284.527878
313.510415,126,5286.581151
306.232715,127,5288.63424
311.706255,124,5290.596303
308.376687,123,5292.566623
301.132888,121,5294.519918
313.551422,124,5296.509836
311.545609,127,5298.586326
320.594098,126,5300.642427
314.432916,126,5302.811398
315.216745,125,5304.922967
314.41691,125,5307.038428
313.564236,123,5309.25841
330.582074,146,5314.057292
303.070316,121,5316.107957
301.361408,125,5318.166796
317.461297,126,5320.221072
310.933894,124,5322.2011
304.633712,123,5324.194851
317.649477,124,5326.172153
309.841207,126,5328.157202
310.543377,125,5330.184172
308.625585,121,5332.11567
298.892521,122,5334.043114
301.246588,115,5336.0001
308.826061,126,5338.274558
311.920698,124,5340.452257
309.035673,145,5342.872771
301.193107,121,5347.141913
290.083624,113,5349.096843
314.043797,129,5351.518896
311.139587,116,5353.474838
308.125388,125,5355.555613
305.800854,117,5357.522653
310.363288,124,5359.58298
303.460362,123,5361.618914
311.565889,126,5363.733779
313.366126,121,5365.758497
304.893072,122,5367.817265
300.924389,122,5369.842997
303.164549,125,5371.937711
306.4892,122,5374.076861
303.91641,122,5376.13321
302.849249,121,5378.166805
311.988954,141,5382.31795
333.54823,154,5384.910692
300.574634,122,5386.930163
308.849589,123,5388.997782
304.871372,122,5391.039407
310.980718,123,5393.076194
295.327028,123,5395.123082
304.115146,125,5397.213611
313.83112,126,5399.343282
300.206734,122,5401.438205
307.155852,126,5403.697437
308.656449,124,5405.92213
311.128949,139,5408.176642
305.302774,125,5410.314665
314.217505,124,5412.394313
318.741581,149,5416.765677
308.447888,137,5419.026346
314.73334,129,5421.198646
310.411752,127,5423.315391
307.819959,132,5425.49147
171.702164,79,5426.822542
318.780103,146,5429.252014
295.884348,130,5431.441903
305.086769,134,5433.676925
299.238064,125,5435.791875
302.295866,127,5437.941924
307.326463,127,5440.12199
322.046002,131,5442.341534
315.646768,131,5444.518622
302.771725,124,5446.615968
289.945283,128,5450.613978
298.060008,122,5452.641622
305.024837,132,5454.869424
300.771158,126,5456.977
304.681744,131,5459.178459
281.69781,117,5461.133247
297.22609,124,5463.254794
291.651285,117,5465.257106
307.145502,127,5467.373283
300.544043,124,5469.446831
298.873458,118,5471.563193
288.274534,120,5473.940927
304.015516,119,5475.860948
293.366827,121,5477.882233
289.389551,120,5479.910063
294.434796,124,5483.870144
308.75913,126,5486.007192
303.590578,122,5488.049836
292.153541,123,5490.11033
286.971223,117,5492.081164
298.242298,119,5494.065914
300.533652,121,5496.094676
300.399671,119,5498.084408
294.008758,119,5500.108564
178.950299,82,5501.498543
307.728687,124,5503.605515
301.432483,122,5505.655219
285.400302,119,5507.649842
296.515573,122,5509.704087
276.662547,115,5511.736597
298.423989,121,5513.930621
311.917742,129,5518.049471
303.153253,125,5520.325835
298.53835,123,5522.297866
286.089403,119,5524.321678
290.562279,122,5526.377402
292.788925,123,5528.448946
65.953443,38,5529.090531
284.680145,120,5531.078313
307.287228,129,5533.256729
282.222432,130,5535.43356
300.631276,127,5537.560214
300.192633,127,5539.721025
287.911639,126,5541.853893
70.830433,41,5542.541788
319.318134,139,5544.897496
296.502488,131,5547.074087
268.734053,119,5549.078321
339.171673,168,5553.743129
291.28381,128,5555.902841
439.417345,236,5559.917218
292.765474,128,5562.059206
343.881112,173,5564.977189
360.419822,171,5567.832403
445.777469,252,5572.571641
456.644597,268,5577.877561
382.24768,175,5581.194651
369.614582,194,5586.945289
378.567779,204,5590.942896
388.274768,195,5594.742995
402.210638,220,5598.897197
331.338798,151,5601.429691
425.773043,232,5605.351934
317.496971,139,5607.70649
319.294477,136,5610.002105
336.728881,144,5612.411512
356.027141,160,5615.10713
349.866225,163,5617.86995
354.087117,148,5622.209403
337.106935,140,5624.592564
345.55057,150,5627.131347
319.482416,141,5629.547867
333.376863,140,5631.919375
326.275144,135,5634.209814
323.078268,134,5636.700724
310.55141,127,5638.984587
351.176189,145,5641.390606
333.922928,138,5643.734887
333.303548,137,5646.072315
358.565007,167,5648.876299
324.5137,133,5651.127811
315.185574,130,5655.195489
317.100096,131,5657.434916
342.103421,142,5659.971745
339.57406,157,5662.609056
315.35071,130,5664.774412
315.819037,130,5666.983327
322.021177,133,5669.215743
314.401252,129,5671.431832
347.607707,143,5673.845555
333.565046,138,5676.18573
321.202268,133,5678.512421
336.045167,141,5680.851883
336.456674,138,5683.19331
305.314347,127,5685.347064
306.253766,126,5689.372032
306.570699,128,5691.567731
327.049364,140,5693.935376
330.166526,137,5696.181102
328.09382,137,5698.466192
330.204452,139,5700.806962
314.660443,134,5703.069546
329.904401,135,5705.375581
310.275542,139,5707.71326
313.809179,137,5710.045736
314.636988,136,5712.31596
414.996221,209,5715.817406
368.970332,175,5718.847219
321.083372,143,5723.386626
319.781763,143,5725.827736
329.08492,146,5728.272961
314.198067,136,5730.572641
323.124229,142,5733.038051
308.642278,141,5735.415004
327.163583,136,5737.696301
306.604702,125,5739.805595
332.734461,142,5742.233894
302.875407,125,5744.302475
325.312164,141,5746.700328
346.891162,146,5749.189831
318.179104,131,5751.411276
318.113563,135,5753.704563
310.343196,127,5757.831031
338.052633,153,5760.443319
333.471188,141,5762.815345
327.609641,133,5765.092498
316.767218,133,5767.351817
320.256859,138,5769.829113
319.285611,130,5771.933331
